city_name,province_name,value,date
台州市,浙江省,8.66,20200101
杭州市,浙江省,7.01,20200101
丽水市,浙江省,6.28,20200101
宁德市,福建省,5.16,20200101
金华市,浙江省,4.74,20200101
上海市,上海市,3.3,20200101
宁波市,浙江省,2.96,20200101
重庆市,重庆市,2.88,20200101
上饶市,江西省,2.55,20200101
遵义市,贵州省,1.77,20200101
九江市,江西省,1.64,20200101
绍兴市,浙江省,1.52,20200101
福州市,福建省,1.41,20200101
黄冈市,湖北省,1.27,20200101
铜仁市,贵州省,1.14,20200101
阜阳市,安徽省,1.13,20200101
毕节市,贵州省,1.09,20200101
嘉兴市,浙江省,1.07,20200101
恩施土家族苗族自治州,湖北省,1.06,20200101
黔东南苗族侗族自治州,贵州省,1.03,20200101
黔西南布依族苗族自治州,贵州省,1.01,20200101
周口市,河南省,0.98,20200101
苏州市,江苏省,0.94,20200101
宜春市,江西省,0.92,20200101
怀化市,湖南省,0.89,20200101
衢州市,浙江省,0.89,20200101
黄石市,湖北省,0.84,20200101
安顺市,贵州省,0.8,20200101
湘西土家族苗族自治州,湖南省,0.7,20200101
广州市,广东省,0.65,20200101
抚州市,江西省,0.65,20200101
泉州市,福建省,0.64,20200101
武汉市,湖北省,0.62,20200101
贵阳市,贵州省,0.6,20200101
景德镇市,江西省,0.59,20200101
昭通市,云南省,0.58,20200101
六盘水市,贵州省,0.56,20200101
亳州市,安徽省,0.53,20200101
成都市,四川省,0.53,20200101
宿州市,安徽省,0.52,20200101
达州市,四川省,0.5,20200101
黔南布依族苗族自治州,贵州省,0.49,20200101
信阳市,河南省,0.49,20200101
无锡市,江苏省,0.49,20200101
安庆市,安徽省,0.49,20200101
北京市,北京市,0.48,20200101
南京市,江苏省,0.47,20200101
湖州市,浙江省,0.46,20200101
株洲市,湖南省,0.46,20200101
宜宾市,四川省,0.46,20200101
杭州市,浙江省,5.53,20200102
台州市,浙江省,4.67,20200102
重庆市,重庆市,4.02,20200102
丽水市,浙江省,3.57,20200102
上饶市,江西省,3.4,20200102
金华市,浙江省,3.29,20200102
遵义市,贵州省,3.2,20200102
