city_name,province_name,value,date
西安市,陕西省,61.52,20200101
咸阳市,陕西省,6.43,20200101
运城市,山西省,4.08,20200101
延安市,陕西省,3.49,20200101
铜川市,陕西省,3.46,20200101
三门峡市,河南省,1.24,20200101
榆林市,陕西省,1.12,20200101
商洛市,陕西省,1.11,20200101
宝鸡市,陕西省,0.99,20200101
北京市,北京市,0.97,20200101
临汾市,山西省,0.84,20200101
苏州市,江苏省,0.65,20200101
汉中市,陕西省,0.56,20200101
郑州市,河南省,0.51,20200101
上海市,上海市,0.44,20200101
安康市,陕西省,0.4,20200101
洛阳市,河南省,0.36,20200101
成都市,四川省,0.31,20200101
重庆市,重庆市,0.28,20200101
天津市,天津市,0.23,20200101
太原市,山西省,0.22,20200101
深圳市,广东省,0.21,20200101
杭州市,浙江省,0.2,20200101
兰州市,甘肃省,0.2,20200101
南阳市,河南省,0.2,20200101
庆阳市,甘肃省,0.18,20200101
乌鲁木齐市,新疆维吾尔自治区,0.17,20200101
石家庄市,河北省,0.17,20200101
潍坊市,山东省,0.16,20200101
晋中市,山西省,0.16,20200101
鄂尔多斯市,内蒙古自治区,0.15,20200101
银川市,宁夏回族自治区,0.15,20200101
东莞市,广东省,0.15,20200101
武汉市,湖北省,0.15,20200101
徐州市,江苏省,0.14,20200101
天水市,甘肃省,0.14,20200101
西宁市,青海省,0.14,20200101
无锡市,江苏省,0.13,20200101
开封市,河南省,0.13,20200101
广州市,广东省,0.12,20200101
吕梁市,山西省,0.12,20200101
南京市,江苏省,0.12,20200101
晋城市,山西省,0.12,20200101
济南市,山东省,0.11,20200101
邯郸市,河北省,0.11,20200101
焦作市,河南省,0.11,20200101
合肥市,安徽省,0.11,20200101
南通市,江苏省,0.11,20200101
商丘市,河南省,0.1,20200101
青岛市,山东省,0.1,20200101
西安市,陕西省,57.22,20200102
咸阳市,陕西省,6.75,20200102
延安市,陕西省,2.97,20200102
运城市,山西省,2.45,20200102
铜川市,陕西省,2.22,20200102
榆林市,陕西省,1.44,20200102
商洛市,陕西省,1.34,20200102
宝鸡市,陕西省,1.31,20200102
北京市,北京市,1.29,20200102
苏州市,江苏省,1.2,20200102
临汾市,山西省,0.79,20200102
汉中市,陕西省,0.77,20200102
三门峡市,河南省,0.76,20200102
上海市,上海市,0.73,20200102
郑州市,河南省,0.55,20200102
成都市,四川省,0.5,20200102
深圳市,广东省,0.48,20200102
安康市,陕西省,0.47,20200102
天津市,天津市,0.44,20200102
重庆市,重庆市,0.43,20200102
东莞市,广东省,0.36,20200102
洛阳市,河南省,0.35,20200102
杭州市,浙江省,0.33,20200102
兰州市,甘肃省,0.3,20200102
石家庄市,河北省,0.29,20200102
鄂尔多斯市,内蒙古自治区,0.25,20200102
