city_name,province_name,value,date
西安市,陕西省,60.22,20200101
咸阳市,陕西省,6.62,20200101
运城市,山西省,5.58,20200101
铜川市,陕西省,4.12,20200101
延安市,陕西省,3.73,20200101
商洛市,陕西省,1.77,20200101
三门峡市,河南省,1.65,20200101
宝鸡市,陕西省,1.39,20200101
榆林市,陕西省,0.9,20200101
汉中市,陕西省,0.82,20200101
安康市,陕西省,0.76,20200101
临汾市,山西省,0.75,20200101
郑州市,河南省,0.51,20200101
北京市,北京市,0.46,20200101
重庆市,重庆市,0.41,20200101
成都市,四川省,0.33,20200101
南阳市,河南省,0.3,20200101
洛阳市,河南省,0.25,20200101
巴中市,四川省,0.25,20200101
天水市,甘肃省,0.25,20200101
苏州市,江苏省,0.24,20200101
达州市,四川省,0.23,20200101
兰州市,甘肃省,0.18,20200101
上海市,上海市,0.18,20200101
南充市,四川省,0.18,20200101
平凉市,甘肃省,0.18,20200101
十堰市,湖北省,0.17,20200101
广元市,四川省,0.16,20200101
安阳市,河南省,0.15,20200101
菏泽市,山东省,0.14,20200101
太原市,山西省,0.14,20200101
武汉市,湖北省,0.14,20200101
庆阳市,甘肃省,0.13,20200101
邯郸市,河北省,0.12,20200101
周口市,河南省,0.12,20200101
绵阳市,四川省,0.12,20200101
新乡市,河南省,0.11,20200101
开封市,河南省,0.11,20200101
深圳市,广东省,0.1,20200101
广州市,广东省,0.1,20200101
银川市,宁夏回族自治区,0.1,20200101
许昌市,河南省,0.1,20200101
鄂尔多斯市,内蒙古自治区,0.1,20200101
石家庄市,河北省,0.1,20200101
吕梁市,山西省,0.09,20200101
阜阳市,安徽省,0.09,20200101
定西市,甘肃省,0.09,20200101
昆明市,云南省,0.09,20200101
焦作市,河南省,0.08,20200101
襄阳市,湖北省,0.08,20200101
西安市,陕西省,58.32,20200102
咸阳市,陕西省,6.81,20200102
延安市,陕西省,3.19,20200102
铜川市,陕西省,2.37,20200102
运城市,山西省,2.37,20200102
商洛市,陕西省,1.98,20200102
宝鸡市,陕西省,1.73,20200102
汉中市,陕西省,1.28,20200102
榆林市,陕西省,1.16,20200102
三门峡市,河南省,1.04,20200102
安康市,陕西省,1.0,20200102
成都市,四川省,0.7,20200102
重庆市,重庆市,0.68,20200102
巴中市,四川省,0.62,20200102
北京市,北京市,0.61,20200102
郑州市,河南省,0.59,20200102
临汾市,山西省,0.54,20200102
南阳市,河南省,0.46,20200102
洛阳市,河南省,0.38,20200102
十堰市,湖北省,0.38,20200102
南充市,四川省,0.37,20200102
苏州市,江苏省,0.37,20200102
上海市,上海市,0.31,20200102
广元市,四川省,0.28,20200102
达州市,四川省,0.25,20200102
兰州市,甘肃省,0.25,20200102
天水市,甘肃省,0.24,20200102
菏泽市,山东省,0.22,20200102
绵阳市,四川省,0.19,20200102
银川市,宁夏回族自治区,0.19,20200102
太原市,山西省,0.18,20200102
合肥市,安徽省,0.17,20200102
西双版纳傣族自治州,云南省,0.17,20200102
庆阳市,甘肃省,0.16,20200102
商丘市,河南省,0.15,20200102
武汉市,湖北省,0.15,20200102
广州市,广东省,0.15,20200102
周口市,河南省,0.15,20200102
深圳市,广东省,0.15,20200102
开封市,河南省,0.15,20200102
长沙市,湖南省,0.14,20200102
鄂尔多斯市,内蒙古自治区,0.14,20200102
邯郸市,河北省,0.13,20200102
平凉市,甘肃省,0.13,20200102
吕梁市,山西省,0.13,20200102
昆明市,云南省,0.12,20200102
襄阳市,湖北省,0.12,20200102
遵义市,贵州省,0.12,20200102
南京市,江苏省,0.11,20200102
安阳市,河南省,0.11,20200102
西安市,陕西省,61.83,20200103
咸阳市,陕西省,6.22,20200103
延安市,陕西省,3.28,20200103
铜川市,陕西省,3.07,20200103
运城市,山西省,3.0,20200103
商洛市,陕西省,1.67,20200103
宝鸡市,陕西省,1.49,20200103
三门峡市,河南省,1.35,20200103
汉中市,陕西省,1.16,20200103
榆林市,陕西省,0.98,20200103
安康市,陕西省,0.9,20200103
临汾市,山西省,0.62,20200103
北京市,北京市,0.58,20200103
成都市,四川省,0.51,20200103
郑州市,河南省,0.51,20200103
重庆市,重庆市,0.47,20200103
巴中市,四川省,0.44,20200103
南充市,四川省,0.39,20200103
洛阳市,河南省,0.33,20200103
达州市,四川省,0.33,20200103
南阳市,河南省,0.32,20200103
苏州市,江苏省,0.3,20200103
太原市,山西省,0.25,20200103
兰州市,甘肃省,0.22,20200103
庆阳市,甘肃省,0.2,20200103
上海市,上海市,0.2,20200103
菏泽市,山东省,0.19,20200103
广元市,四川省,0.19,20200103
十堰市,湖北省,0.18,20200103
安阳市,河南省,0.16,20200103
