city_name,province_name,value,date
杭州市,浙江省,27.77,20200101
嘉兴市,浙江省,11.09,20200101
苏州市,江苏省,9.86,20200101
宣城市,安徽省,6.98,20200101
上海市,上海市,5.35,20200101
安庆市,安徽省,3.4,20200101
无锡市,江苏省,2.2,20200101
绍兴市,浙江省,1.9,20200101
宁波市,浙江省,1.64,20200101
金华市,浙江省,1.43,20200101
常州市,江苏省,1.07,20200101
黄山市,安徽省,0.97,20200101
文山壮族苗族自治州,云南省,0.93,20200101
南京市,江苏省,0.92,20200101
阜阳市,安徽省,0.91,20200101
合肥市,安徽省,0.86,20200101
毕节市,贵州省,0.82,20200101
信阳市,河南省,0.82,20200101
台州市,浙江省,0.76,20200101
温州市,浙江省,0.6,20200101
南通市,江苏省,0.52,20200101
芜湖市,安徽省,0.51,20200101
亳州市,安徽省,0.49,20200101
重庆市,重庆市,0.48,20200101
衢州市,浙江省,0.47,20200101
泰州市,江苏省,0.43,20200101
宿州市,安徽省,0.41,20200101
周口市,河南省,0.41,20200101
商丘市,河南省,0.37,20200101
滁州市,安徽省,0.37,20200101
六安市,安徽省,0.35,20200101
驻马店市,河南省,0.34,20200101
上饶市,江西省,0.33,20200101
北京市,北京市,0.31,20200101
徐州市,江苏省,0.3,20200101
盐城市,江苏省,0.29,20200101
六盘水市,贵州省,0.29,20200101
宿迁市,江苏省,0.29,20200101
黔南布依族苗族自治州,贵州省,0.27,20200101
贵阳市,贵州省,0.26,20200101
临沂市,山东省,0.26,20200101
镇江市,江苏省,0.25,20200101
扬州市,江苏省,0.24,20200101
蚌埠市,安徽省,0.23,20200101
南阳市,河南省,0.23,20200101
黔东南苗族侗族自治州,贵州省,0.23,20200101
黄冈市,湖北省,0.23,20200101
铜仁市,贵州省,0.21,20200101
丽水市,浙江省,0.19,20200101
马鞍山市,安徽省,0.19,20200101
杭州市,浙江省,16.17,20200102
安庆市,安徽省,7.28,20200102
嘉兴市,浙江省,6.03,20200102
上海市,上海市,5.7,20200102
苏州市,江苏省,5.54,20200102
宣城市,安徽省,5.08,20200102
文山壮族苗族自治州,云南省,2.17,20200102
宁波市,浙江省,2.05,20200102
金华市,浙江省,1.95,20200102
绍兴市,浙江省,1.94,20200102
无锡市,江苏省,1.71,20200102
阜阳市,安徽省,1.63,20200102
黄山市,安徽省,1.45,20200102
合肥市,安徽省,1.41,20200102
信阳市,河南省,1.32,20200102
温州市,浙江省,1.19,20200102
毕节市,贵州省,1.08,20200102
亳州市,安徽省,0.98,20200102
南京市,江苏省,0.97,20200102
台州市,浙江省,0.93,20200102
常州市,江苏省,0.93,20200102
重庆市,重庆市,0.92,20200102
宿州市,安徽省,0.78,20200102
周口市,河南省,0.75,20200102
芜湖市,安徽省,0.68,20200102
黔南布依族苗族自治州,贵州省,0.67,20200102
商丘市,河南省,0.67,20200102
驻马店市,河南省,0.64,20200102
上饶市,江西省,0.63,20200102
衢州市,浙江省,0.6,20200102
铜仁市,贵州省,0.58,20200102
南通市,江苏省,0.58,20200102
北京市,北京市,0.57,20200102
泰州市,江苏省,0.55,20200102
六盘水市,贵州省,0.54,20200102
黔东南苗族侗族自治州,贵州省,0.53,20200102
宿迁市,江苏省,0.49,20200102
六安市,安徽省,0.47,20200102
盐城市,江苏省,0.44,20200102
滁州市,安徽省,0.42,20200102
景德镇市,江西省,0.42,20200102
贵阳市,贵州省,0.41,20200102
徐州市,江苏省,0.4,20200102
黄冈市,湖北省,0.39,20200102
丽水市,浙江省,0.37,20200102
临沂市,山东省,0.36,20200102
蚌埠市,安徽省,0.36,20200102
遵义市,贵州省,0.36,20200102
南阳市,河南省,0.35,20200102
镇江市,江苏省,0.35,20200102
杭州市,浙江省,26.2,20200103
苏州市,江苏省,7.4,20200103
嘉兴市,浙江省,7.4,20200103
宣城市,安徽省,5.29,20200103
上海市,上海市,5.25,20200103
安庆市,安徽省,4.99,20200103
宁波市,浙江省,2.12,20200103
绍兴市,浙江省,1.98,20200103
无锡市,江苏省,1.94,20200103
金华市,浙江省,1.72,20200103
阜阳市,安徽省,1.23,20200103
黄山市,安徽省,1.15,20200103
南京市,江苏省,1.11,20200103
常州市,江苏省,1.09,20200103
合肥市,安徽省,1.01,20200103
文山壮族苗族自治州,云南省,0.96,20200103
信阳市,河南省,0.96,20200103
台州市,浙江省,0.91,20200103
