city_name,province_name,value,date
广州市,广东省,20.09,20200101
茂名市,广东省,20.08,20200101
深圳市,广东省,7.33,20200101
佛山市,广东省,6.2,20200101
玉林市,广西壮族自治区,5.94,20200101
东莞市,广东省,4.76,20200101
海口市,海南省,4.06,20200101
北海市,广西壮族自治区,3.59,20200101
珠海市,广东省,2.63,20200101
中山市,广东省,2.53,20200101
南宁市,广西壮族自治区,1.84,20200101
阳江市,广东省,1.8,20200101
江门市,广东省,1.6,20200101
惠州市,广东省,1.0,20200101
肇庆市,广东省,0.84,20200101
三亚市,海南省,0.82,20200101
钦州市,广西壮族自治区,0.8,20200101
云浮市,广东省,0.51,20200101
防城港市,广西壮族自治区,0.51,20200101
贵港市,广西壮族自治区,0.5,20200101
柳州市,广西壮族自治区,0.5,20200101
上海市,上海市,0.41,20200101
儋州市,海南省,0.39,20200101
清远市,广东省,0.35,20200101
梧州市,广西壮族自治区,0.28,20200101
桂林市,广西壮族自治区,0.27,20200101
北京市,北京市,0.26,20200101
重庆市,重庆市,0.26,20200101
长沙市,湖南省,0.25,20200101
韶关市,广东省,0.25,20200101
澄迈县,海南省,0.25,20200101
成都市,四川省,0.24,20200101
乐东黎族自治县,海南省,0.23,20200101
崇左市,广西壮族自治区,0.22,20200101
文昌市,海南省,0.22,20200101
百色市,广西壮族自治区,0.21,20200101
陵水黎族自治县,海南省,0.2,20200101
贵阳市,贵州省,0.19,20200101
来宾市,广西壮族自治区,0.19,20200101
汕头市,广东省,0.18,20200101
西安市,陕西省,0.18,20200101
郑州市,河南省,0.18,20200101
昆明市,云南省,0.17,20200101
东方市,海南省,0.16,20200101
河池市,广西壮族自治区,0.16,20200101
琼海市,海南省,0.15,20200101
临高县,海南省,0.12,20200101
香港,香港,0.12,20200101
河源市,广东省,0.12,20200101
天津市,天津市,0.11,20200101
广州市,广东省,27.5,20200102
茂名市,广东省,10.93,20200102
深圳市,广东省,8.44,20200102
佛山市,广东省,6.26,20200102
东莞市,广东省,5.58,20200102
玉林市,广西壮族自治区,4.18,20200102
海口市,海南省,2.99,20200102
中山市,广东省,2.66,20200102
珠海市,广东省,2.41,20200102
北海市,广西壮族自治区,2.3,20200102
阳江市,广东省,1.66,20200102
南宁市,广西壮族自治区,1.57,20200102
江门市,广东省,1.52,20200102
惠州市,广东省,1.3,20200102
三亚市,海南省,1.04,20200102
肇庆市,广东省,0.9,20200102
上海市,上海市,0.81,20200102
北京市,北京市,0.66,20200102
柳州市,广西壮族自治区,0.61,20200102
防城港市,广西壮族自治区,0.51,20200102
贵港市,广西壮族自治区,0.51,20200102
钦州市,广西壮族自治区,0.51,20200102
云浮市,广东省,0.46,20200102
韶关市,广东省,0.44,20200102
清远市,广东省,0.43,20200102
重庆市,重庆市,0.39,20200102
长沙市,湖南省,0.38,20200102
桂林市,广西壮族自治区,0.32,20200102
儋州市,海南省,0.32,20200102
澄迈县,海南省,0.31,20200102
成都市,四川省,0.29,20200102
乐东黎族自治县,海南省,0.25,20200102
百色市,广西壮族自治区,0.24,20200102
武汉市,湖北省,0.22,20200102
黔南布依族苗族自治州,贵州省,0.22,20200102
贵阳市,贵州省,0.22,20200102
西安市,陕西省,0.21,20200102
文昌市,海南省,0.21,20200102
汕头市,广东省,0.21,20200102
梧州市,广西壮族自治区,0.2,20200102
琼海市,海南省,0.19,20200102
来宾市,广西壮族自治区,0.18,20200102
郑州市,河南省,0.18,20200102
香港,香港,0.17,20200102
崇左市,广西壮族自治区,0.17,20200102
昆明市,云南省,0.17,20200102
厦门市,福建省,0.15,20200102
万宁市,海南省,0.15,20200102
东方市,海南省,0.15,20200102
杭州市,浙江省,0.14,20200102
广州市,广东省,27.75,20200103
茂名市,广东省,13.45,20200103
深圳市,广东省,7.68,20200103
佛山市,广东省,6.08,20200103
东莞市,广东省,4.99,20200103
玉林市,广西壮族自治区,4.92,20200103
海口市,海南省,3.63,20200103
北海市,广西壮族自治区,2.68,20200103
中山市,广东省,2.27,20200103
珠海市,广东省,2.19,20200103
南宁市,广西壮族自治区,1.64,20200103
阳江市,广东省,1.59,20200103
江门市,广东省,1.5,20200103
惠州市,广东省,1.23,20200103
肇庆市,广东省,0.89,20200103
三亚市,海南省,0.87,20200103
钦州市,广西壮族自治区,0.59,20200103
北京市,北京市,0.52,20200103
柳州市,广西壮族自治区,0.49,20200103
防城港市,广西壮族自治区,0.49,20200103
贵港市,广西壮族自治区,0.47,20200103
云浮市,广东省,0.47,20200103
桂林市,广西壮族自治区,0.44,20200103
韶关市,广东省,0.44,20200103
上海市,上海市,0.43,20200103
长沙市,湖南省,0.41,20200103
重庆市,重庆市,0.36,20200103
清远市,广东省,0.36,20200103
成都市,四川省,0.34,20200103
儋州市,海南省,0.3,20200103
武汉市,湖北省,0.3,20200103
澄迈县,海南省,0.28,20200103
乐东黎族自治县,海南省,0.26,20200103
贵阳市,贵州省,0.26,20200103
琼海市,海南省,0.21,20200103
郑州市,河南省,0.21,20200103
百色市,广西壮族自治区,0.2,20200103
文昌市,海南省,0.2,20200103
梧州市,广西壮族自治区,0.18,20200103
赣州市,江西省,0.18,20200103
昆明市,云南省,0.18,20200103
东方市,海南省,0.16,20200103
黔南布依族苗族自治州,贵州省,0.16,20200103
万宁市,海南省,0.15,20200103
河池市,广西壮族自治区,0.14,20200103
崇左市,广西壮族自治区,0.14,20200103
西安市,陕西省,0.14,20200103
汕头市,广东省,0.14,20200103
揭阳市,广东省,0.14,20200103
陵水黎族自治县,海南省,0.14,20200103
广州市,广东省,26.21,20200104
茂名市,广东省,15.31,20200104
深圳市,广东省,7.09,20200104
