city_name,province_name,value,date
茂名市,广东省,19.07,20200101
广州市,广东省,17.07,20200101
深圳市,广东省,8.34,20200101
佛山市,广东省,6.65,20200101
玉林市,广西壮族自治区,5.69,20200101
东莞市,广东省,4.54,20200101
北海市,广西壮族自治区,3.26,20200101
海口市,海南省,2.96,20200101
中山市,广东省,2.68,20200101
珠海市,广东省,2.53,20200101
江门市,广东省,2.29,20200101
南宁市,广西壮族自治区,1.98,20200101
阳江市,广东省,1.9,20200101
惠州市,广东省,1.12,20200101
肇庆市,广东省,0.92,20200101
钦州市,广西壮族自治区,0.83,20200101
防城港市,广西壮族自治区,0.63,20200101
贵港市,广西壮族自治区,0.57,20200101
柳州市,广西壮族自治区,0.53,20200101
清远市,广东省,0.51,20200101
三亚市,海南省,0.46,20200101
云浮市,广东省,0.45,20200101
桂林市,广西壮族自治区,0.43,20200101
北京市,北京市,0.38,20200101
重庆市,重庆市,0.36,20200101
上海市,上海市,0.36,20200101
河池市,广西壮族自治区,0.35,20200101
百色市,广西壮族自治区,0.35,20200101
长沙市,湖南省,0.33,20200101
来宾市,广西壮族自治区,0.31,20200101
赣州市,江西省,0.3,20200101
韶关市,广东省,0.3,20200101
昆明市,云南省,0.29,20200101
成都市,四川省,0.29,20200101
梧州市,广西壮族自治区,0.28,20200101
文昌市,海南省,0.25,20200101
儋州市,海南省,0.25,20200101
崇左市,广西壮族自治区,0.23,20200101
澄迈县,海南省,0.23,20200101
武汉市,湖北省,0.23,20200101
郑州市,河南省,0.22,20200101
河源市,广东省,0.2,20200101
汕头市,广东省,0.19,20200101
永州市,湖南省,0.18,20200101
香港,香港,0.18,20200101
黔南布依族苗族自治州,贵州省,0.18,20200101
文山壮族苗族自治州,云南省,0.18,20200101
贵阳市,贵州省,0.17,20200101
福州市,福建省,0.17,20200101
揭阳市,广东省,0.16,20200101
广州市,广东省,19.83,20200102
茂名市,广东省,11.24,20200102
深圳市,广东省,9.06,20200102
佛山市,广东省,7.63,20200102
东莞市,广东省,4.92,20200102
玉林市,广西壮族自治区,3.45,20200102
中山市,广东省,2.72,20200102
珠海市,广东省,2.56,20200102
海口市,海南省,2.54,20200102
南宁市,广西壮族自治区,2.4,20200102
江门市,广东省,2.4,20200102
北海市,广西壮族自治区,2.13,20200102
阳江市,广东省,1.84,20200102
惠州市,广东省,1.48,20200102
肇庆市,广东省,0.84,20200102
清远市,广东省,0.83,20200102
钦州市,广西壮族自治区,0.79,20200102
重庆市,重庆市,0.76,20200102
防城港市,广西壮族自治区,0.69,20200102
三亚市,海南省,0.67,20200102
云浮市,广东省,0.59,20200102
韶关市,广东省,0.55,20200102
柳州市,广西壮族自治区,0.53,20200102
长沙市,湖南省,0.5,20200102
北京市,北京市,0.42,20200102
贵港市,广西壮族自治区,0.4,20200102
梧州市,广西壮族自治区,0.4,20200102
桂林市,广西壮族自治区,0.39,20200102
成都市,四川省,0.38,20200102
河池市,广西壮族自治区,0.38,20200102
文昌市,海南省,0.36,20200102
上海市,上海市,0.36,20200102
澄迈县,海南省,0.35,20200102
百色市,广西壮族自治区,0.35,20200102
儋州市,海南省,0.33,20200102
汕头市,广东省,0.31,20200102
崇左市,广西壮族自治区,0.31,20200102
武汉市,湖北省,0.3,20200102
来宾市,广西壮族自治区,0.29,20200102
揭阳市,广东省,0.28,20200102
郑州市,河南省,0.26,20200102
黔南布依族苗族自治州,贵州省,0.25,20200102
汕尾市,广东省,0.25,20200102
荆州市,湖北省,0.25,20200102
贵阳市,贵州省,0.24,20200102
梅州市,广东省,0.24,20200102
河源市,广东省,0.24,20200102
永州市,湖南省,0.23,20200102
厦门市,福建省,0.22,20200102
澳门,澳门,0.22,20200102
广州市,广东省,17.42,20200103
茂名市,广东省,16.17,20200103
深圳市,广东省,6.94,20200103
佛山市,广东省,6.25,20200103
玉林市,广西壮族自治区,4.48,20200103
东莞市,广东省,4.12,20200103
海口市,海南省,3.22,20200103
北海市,广西壮族自治区,3.05,20200103
江门市,广东省,2.64,20200103
中山市,广东省,2.62,20200103
珠海市,广东省,2.26,20200103
南宁市,广西壮族自治区,2.11,20200103
阳江市,广东省,2.02,20200103
惠州市,广东省,1.27,20200103
清远市,广东省,0.9,20200103
肇庆市,广东省,0.89,20200103
云浮市,广东省,0.76,20200103
防城港市,广西壮族自治区,0.76,20200103
钦州市,广西壮族自治区,0.67,20200103
三亚市,海南省,0.65,20200103
韶关市,广东省,0.6,20200103
汕头市,广东省,0.56,20200103
重庆市,重庆市,0.55,20200103
柳州市,广西壮族自治区,0.52,20200103
桂林市,广西壮族自治区,0.5,20200103
河源市,广东省,0.5,20200103
揭阳市,广东省,0.48,20200103
文昌市,海南省,0.45,20200103
上海市,上海市,0.45,20200103
贵港市,广西壮族自治区,0.44,20200103
长沙市,湖南省,0.43,20200103
成都市,四川省,0.42,20200103
澄迈县,海南省,0.4,20200103
梅州市,广东省,0.36,20200103
梧州市,广西壮族自治区,0.34,20200103
崇左市,广西壮族自治区,0.33,20200103
北京市,北京市,0.31,20200103
澳门,澳门,0.31,20200103
昆明市,云南省,0.3,20200103
