city_name,province_name,value,date
南京市,江苏省,28.24,20200101
合肥市,安徽省,14.48,20200101
蚌埠市,安徽省,13.78,20200101
扬州市,江苏省,4.9,20200101
上海市,上海市,3.29,20200101
淮安市,江苏省,3.15,20200101
苏州市,江苏省,2.82,20200101
马鞍山市,安徽省,2.15,20200101
淮南市,安徽省,2.14,20200101
芜湖市,安徽省,1.52,20200101
无锡市,江苏省,1.37,20200101
常州市,江苏省,1.25,20200101
宿州市,安徽省,1.2,20200101
镇江市,江苏省,1.18,20200101
六安市,安徽省,1.05,20200101
宿迁市,江苏省,0.91,20200101
杭州市,浙江省,0.84,20200101
徐州市,江苏省,0.8,20200101
阜阳市,安徽省,0.78,20200101
淮北市,安徽省,0.69,20200101
亳州市,安徽省,0.69,20200101
泰州市,江苏省,0.53,20200101
宁波市,浙江省,0.52,20200101
安庆市,安徽省,0.51,20200101
南通市,江苏省,0.47,20200101
盐城市,江苏省,0.47,20200101
宣城市,安徽省,0.43,20200101
嘉兴市,浙江省,0.35,20200101
金华市,浙江省,0.35,20200101
北京市,北京市,0.34,20200101
湖州市,浙江省,0.33,20200101
临沂市,山东省,0.27,20200101
池州市,安徽省,0.26,20200101
武汉市,湖北省,0.25,20200101
郑州市,河南省,0.25,20200101
商丘市,河南省,0.23,20200101
连云港市,江苏省,0.23,20200101
绍兴市,浙江省,0.22,20200101
台州市,浙江省,0.19,20200101
铜陵市,安徽省,0.18,20200101
温州市,浙江省,0.15,20200101
周口市,河南省,0.15,20200101
信阳市,河南省,0.14,20200101
驻马店市,河南省,0.14,20200101
青岛市,山东省,0.14,20200101
天津市,天津市,0.14,20200101
黄冈市,湖北省,0.11,20200101
黄山市,安徽省,0.11,20200101
重庆市,重庆市,0.11,20200101
洛阳市,河南省,0.1,20200101
南京市,江苏省,23.36,20200102
合肥市,安徽省,14.76,20200102
蚌埠市,安徽省,7.71,20200102
上海市,上海市,4.63,20200102
扬州市,江苏省,4.31,20200102
苏州市,江苏省,3.42,20200102
无锡市,江苏省,2.14,20200102
淮安市,江苏省,2.0,20200102
马鞍山市,安徽省,1.79,20200102
淮南市,安徽省,1.68,20200102
宿州市,安徽省,1.64,20200102
常州市,江苏省,1.56,20200102
镇江市,江苏省,1.54,20200102
芜湖市,安徽省,1.51,20200102
杭州市,浙江省,1.39,20200102
六安市,安徽省,1.18,20200102
阜阳市,安徽省,1.16,20200102
徐州市,江苏省,1.03,20200102
宿迁市,江苏省,0.91,20200102
宁波市,浙江省,0.88,20200102
安庆市,安徽省,0.86,20200102
南通市,江苏省,0.85,20200102
亳州市,安徽省,0.82,20200102
淮北市,安徽省,0.81,20200102
北京市,北京市,0.63,20200102
泰州市,江苏省,0.62,20200102
盐城市,江苏省,0.61,20200102
宣城市,安徽省,0.59,20200102
湖州市,浙江省,0.58,20200102
嘉兴市,浙江省,0.41,20200102
金华市,浙江省,0.4,20200102
临沂市,山东省,0.36,20200102
池州市,安徽省,0.35,20200102
武汉市,湖北省,0.34,20200102
商丘市,河南省,0.34,20200102
台州市,浙江省,0.34,20200102
郑州市,河南省,0.34,20200102
温州市,浙江省,0.3,20200102
铜陵市,安徽省,0.28,20200102
周口市,河南省,0.27,20200102
连云港市,江苏省,0.26,20200102
黄冈市,湖北省,0.24,20200102
重庆市,重庆市,0.24,20200102
绍兴市,浙江省,0.22,20200102
深圳市,广东省,0.2,20200102
黄山市,安徽省,0.2,20200102
青岛市,山东省,0.2,20200102
济南市,山东省,0.2,20200102
天津市,天津市,0.19,20200102
潍坊市,山东省,0.19,20200102
南京市,江苏省,23.42,20200103
合肥市,安徽省,16.09,20200103
蚌埠市,安徽省,11.89,20200103
扬州市,江苏省,3.98,20200103
上海市,上海市,3.46,20200103
苏州市,江苏省,3.11,20200103
淮安市,江苏省,2.45,20200103
马鞍山市,安徽省,2.19,20200103
淮南市,安徽省,2.06,20200103
无锡市,江苏省,1.82,20200103
宿州市,安徽省,1.52,20200103
芜湖市,安徽省,1.5,20200103
镇江市,江苏省,1.33,20200103
常州市,江苏省,1.22,20200103
阜阳市,安徽省,1.21,20200103
六安市,安徽省,1.15,20200103
亳州市,安徽省,1.04,20200103
淮北市,安徽省,0.98,20200103
杭州市,浙江省,0.96,20200103
徐州市,江苏省,0.96,20200103
宿迁市,江苏省,0.94,20200103
安庆市,安徽省,0.74,20200103
宣城市,安徽省,0.66,20200103
泰州市,江苏省,0.63,20200103
北京市,北京市,0.57,20200103
南通市,江苏省,0.56,20200103
宁波市,浙江省,0.56,20200103
湖州市,浙江省,0.51,20200103
嘉兴市,浙江省,0.4,20200103
商丘市,河南省,0.39,20200103
盐城市,江苏省,0.39,20200103
金华市,浙江省,0.39,20200103
临沂市,山东省,0.36,20200103
池州市,安徽省,0.34,20200103
武汉市,湖北省,0.32,20200103
郑州市,河南省,0.26,20200103
铜陵市,安徽省,0.26,20200103
连云港市,江苏省,0.24,20200103
重庆市,重庆市,0.23,20200103
