city_name,province_name,value,date
厦门市,福建省,52.63,20200101
泉州市,福建省,11.62,20200101
龙岩市,福建省,4.89,20200101
福州市,福建省,4.28,20200101
汕头市,广东省,3.1,20200101
潮州市,广东省,2.69,20200101
三明市,福建省,1.41,20200101
深圳市,广东省,1.03,20200101
莆田市,福建省,0.99,20200101
揭阳市,广东省,0.9,20200101
广州市,广东省,0.87,20200101
宁德市,福建省,0.73,20200101
赣州市,江西省,0.71,20200101
南平市,福建省,0.66,20200101
重庆市,重庆市,0.57,20200101
东莞市,广东省,0.43,20200101
梅州市,广东省,0.39,20200101
温州市,浙江省,0.35,20200101
惠州市,广东省,0.35,20200101
佛山市,广东省,0.32,20200101
汕尾市,广东省,0.29,20200101
上海市,上海市,0.28,20200101
文山壮族苗族自治州,云南省,0.27,20200101
黔东南苗族侗族自治州,贵州省,0.25,20200101
杭州市,浙江省,0.23,20200101
抚州市,江西省,0.23,20200101
北京市,北京市,0.23,20200101
铜仁市,贵州省,0.2,20200101
宜春市,江西省,0.18,20200101
上饶市,江西省,0.18,20200101
南昌市,江西省,0.18,20200101
吉安市,江西省,0.18,20200101
遵义市,贵州省,0.17,20200101
武汉市,湖北省,0.16,20200101
九江市,江西省,0.14,20200101
毕节市,贵州省,0.14,20200101
苏州市,江苏省,0.13,20200101
长沙市,湖南省,0.13,20200101
香港,香港,0.13,20200101
宁波市,浙江省,0.13,20200101
南京市,江苏省,0.12,20200101
周口市,河南省,0.12,20200101
中山市,广东省,0.12,20200101
成都市,四川省,0.12,20200101
金华市,浙江省,0.12,20200101
贵阳市,贵州省,0.12,20200101
南阳市,河南省,0.1,20200101
湘西土家族苗族自治州,湖南省,0.1,20200101
商丘市,河南省,0.1,20200101
台州市,浙江省,0.1,20200101
厦门市,福建省,40.36,20200102
泉州市,福建省,11.22,20200102
福州市,福建省,5.8,20200102
龙岩市,福建省,3.95,20200102
汕头市,广东省,3.17,20200102
潮州市,广东省,1.73,20200102
三明市,福建省,1.71,20200102
重庆市,重庆市,1.64,20200102
莆田市,福建省,1.45,20200102
广州市,广东省,1.05,20200102
深圳市,广东省,1.04,20200102
赣州市,江西省,0.93,20200102
宁德市,福建省,0.89,20200102
南平市,福建省,0.87,20200102
揭阳市,广东省,0.78,20200102
东莞市,广东省,0.73,20200102
文山壮族苗族自治州,云南省,0.64,20200102
梅州市,广东省,0.56,20200102
上海市,上海市,0.55,20200102
黔东南苗族侗族自治州,贵州省,0.51,20200102
惠州市,广东省,0.51,20200102
遵义市,贵州省,0.48,20200102
铜仁市,贵州省,0.45,20200102
温州市,浙江省,0.42,20200102
北京市,北京市,0.41,20200102
抚州市,江西省,0.4,20200102
汕尾市,广东省,0.34,20200102
湘西土家族苗族自治州,湖南省,0.32,20200102
佛山市,广东省,0.32,20200102
毕节市,贵州省,0.32,20200102
宜春市,江西省,0.32,20200102
杭州市,浙江省,0.31,20200102
吉安市,江西省,0.29,20200102
周口市,河南省,0.28,20200102
安顺市,贵州省,0.27,20200102
金华市,浙江省,0.25,20200102
南昌市,江西省,0.25,20200102
恩施土家族苗族自治州,湖北省,0.24,20200102
上饶市,江西省,0.24,20200102
武汉市,湖北省,0.23,20200102
南阳市,河南省,0.22,20200102
泸州市,四川省,0.21,20200102
中山市,广东省,0.21,20200102
宁波市,浙江省,0.21,20200102
怀化市,湖南省,0.19,20200102
成都市,四川省,0.19,20200102
台州市,浙江省,0.18,20200102
昆明市,云南省,0.18,20200102
九江市,江西省,0.18,20200102
舟山市,浙江省,0.18,20200102
厦门市,福建省,46.67,20200103
泉州市,福建省,11.37,20200103
福州市,福建省,6.05,20200103
龙岩市,福建省,4.82,20200103
汕头市,广东省,2.74,20200103
潮州市,广东省,1.78,20200103
三明市,福建省,1.63,20200103
莆田市,福建省,1.43,20200103
深圳市,广东省,1.09,20200103
重庆市,重庆市,0.96,20200103
广州市,广东省,0.93,20200103
南平市,福建省,0.82,20200103
宁德市,福建省,0.78,20200103
赣州市,江西省,0.74,20200103
揭阳市,广东省,0.6,20200103
东莞市,广东省,0.51,20200103
梅州市,广东省,0.5,20200103
上海市,上海市,0.43,20200103
佛山市,广东省,0.41,20200103
铜仁市,贵州省,0.4,20200103
惠州市,广东省,0.39,20200103
温州市,浙江省,0.36,20200103
文山壮族苗族自治州,云南省,0.34,20200103
北京市,北京市,0.32,20200103
抚州市,江西省,0.3,20200103
汕尾市,广东省,0.3,20200103
遵义市,贵州省,0.28,20200103
湘西土家族苗族自治州,湖南省,0.26,20200103
宜春市,江西省,0.25,20200103
成都市,四川省,0.24,20200103
南昌市,江西省,0.24,20200103
黔东南苗族侗族自治州,贵州省,0.24,20200103
杭州市,浙江省,0.22,20200103
宁波市,浙江省,0.21,20200103
上饶市,江西省,0.21,20200103
吉安市,江西省,0.19,20200103
南宁市,广西壮族自治区,0.19,20200103
阜阳市,安徽省,0.19,20200103
舟山市,浙江省,0.18,20200103
南京市,江苏省,0.18,20200103
武汉市,湖北省,0.18,20200103
恩施土家族苗族自治州,湖北省,0.18,20200103
长沙市,湖南省,0.17,20200103
怀化市,湖南省,0.16,20200103
贵阳市,贵州省,0.15,20200103
安顺市,贵州省,0.15,20200103
九江市,江西省,0.15,20200103
金华市,浙江省,0.15,20200103
周口市,河南省,0.14,20200103
毕节市,贵州省,0.14,20200103
厦门市,福建省,48.1,20200104
泉州市,福建省,11.18,20200104
龙岩市,福建省,5.27,20200104
福州市,福建省,4.69,20200104
汕头市,广东省,2.69,20200104
潮州市,广东省,2.53,20200104
莆田市,福建省,1.41,20200104
三明市,福建省,1.32,20200104
重庆市,重庆市,0.98,20200104
广州市,广东省,0.95,20200104
深圳市,广东省,0.89,20200104
宁德市,福建省,0.82,20200104
南平市,福建省,0.76,20200104
赣州市,江西省,0.75,20200104
揭阳市,广东省,0.67,20200104
梅州市,广东省,0.45,20200104
东莞市,广东省,0.43,20200104
上海市,上海市,0.4,20200104
惠州市,广东省,0.35,20200104
铜仁市,贵州省,0.33,20200104
佛山市,广东省,0.32,20200104
温州市,浙江省,0.29,20200104
北京市,北京市,0.29,20200104
遵义市,贵州省,0.28,20200104
南昌市,江西省,0.28,20200104
上饶市,江西省,0.27,20200104
抚州市,江西省,0.26,20200104
黔东南苗族侗族自治州,贵州省,0.25,20200104
杭州市,浙江省,0.23,20200104
文山壮族苗族自治州,云南省,0.23,20200104
汕尾市,广东省,0.22,20200104
宜春市,江西省,0.22,20200104
成都市,四川省,0.21,20200104
武汉市,湖北省,0.2,20200104
吉安市,江西省,0.2,20200104
阜阳市,安徽省,0.19,20200104
毕节市,贵州省,0.19,20200104
长沙市,湖南省,0.18,20200104
泸州市,四川省,0.17,20200104
西安市,陕西省,0.16,20200104
湘西土家族苗族自治州,湖南省,0.16,20200104
宁波市,浙江省,0.16,20200104
金华市,浙江省,0.16,20200104
驻马店市,河南省,0.16,20200104
周口市,河南省,0.15,20200104
九江市,江西省,0.15,20200104
台州市,浙江省,0.15,20200104
昆明市,云南省,0.15,20200104
南宁市,广西壮族自治区,0.14,20200104
怀化市,湖南省,0.14,20200104
厦门市,福建省,57.97,20200105
泉州市,福建省,8.9,20200105
福州市,福建省,4.94,20200105
龙岩市,福建省,3.97,20200105
汕头市,广东省,2.11,20200105
潮州市,广东省,1.9,20200105
莆田市,福建省,1.1,20200105
三明市,福建省,0.95,20200105
深圳市,广东省,0.95,20200105
广州市,广东省,0.88,20200105
重庆市,重庆市,0.76,20200105
宁德市,福建省,0.63,20200105
南平市,福建省,0.6,20200105
赣州市,江西省,0.54,20200105
揭阳市,广东省,0.43,20200105
上海市,上海市,0.4,20200105
东莞市,广东省,0.39,20200105
梅州市,广东省,0.33,20200105
抚州市,江西省,0.26,20200105
温州市,浙江省,0.26,20200105
黔东南苗族侗族自治州,贵州省,0.26,20200105
铜仁市,贵州省,0.25,20200105
杭州市,浙江省,0.24,20200105
文山壮族苗族自治州,云南省,0.23,20200105
惠州市,广东省,0.22,20200105
佛山市,广东省,0.22,20200105
上饶市,江西省,0.22,20200105
恩施土家族苗族自治州,湖北省,0.2,20200105
遵义市,贵州省,0.2,20200105
宜春市,江西省,0.2,20200105
北京市,北京市,0.19,20200105
贵阳市,贵州省,0.18,20200105
湘西土家族苗族自治州,湖南省,0.17,20200105
长沙市,湖南省,0.16,20200105
成都市,四川省,0.15,20200105
阜阳市,安徽省,0.15,20200105
汕尾市,广东省,0.15,20200105
南宁市,广西壮族自治区,0.15,20200105
武汉市,湖北省,0.15,20200105
吉安市,江西省,0.14,20200105
泸州市,四川省,0.13,20200105
周口市,河南省,0.13,20200105
郑州市,河南省,0.12,20200105
南昌市,江西省,0.12,20200105
南阳市,河南省,0.12,20200105
洛阳市,河南省,0.11,20200105
昆明市,云南省,0.11,20200105
怀化市,湖南省,0.11,20200105
六盘水市,贵州省,0.11,20200105
宁波市,浙江省,0.1,20200105
厦门市,福建省,47.98,20200106
泉州市,福建省,9.83,20200106
福州市,福建省,5.61,20200106
龙岩市,福建省,4.68,20200106
汕头市,广东省,2.5,20200106
潮州市,广东省,2.14,20200106
三明市,福建省,1.29,20200106
莆田市,福建省,1.26,20200106
重庆市,重庆市,1.12,20200106
宁德市,福建省,1.12,20200106
深圳市,广东省,0.95,20200106
南平市,福建省,0.9,20200106
广州市,广东省,0.78,20200106
赣州市,江西省,0.71,20200106
揭阳市,广东省,0.67,20200106
上海市,上海市,0.46,20200106
东莞市,广东省,0.44,20200106
梅州市,广东省,0.4,20200106
铜仁市,贵州省,0.4,20200106
遵义市,贵州省,0.39,20200106
宜春市,江西省,0.35,20200106
黔东南苗族侗族自治州,贵州省,0.34,20200106
抚州市,江西省,0.33,20200106
惠州市,广东省,0.31,20200106
北京市,北京市,0.31,20200106
文山壮族苗族自治州,云南省,0.3,20200106
温州市,浙江省,0.29,20200106
杭州市,浙江省,0.28,20200106
上饶市,江西省,0.27,20200106
毕节市,贵州省,0.27,20200106
怀化市,湖南省,0.25,20200106
贵阳市,贵州省,0.25,20200106
南昌市,江西省,0.23,20200106
昆明市,云南省,0.21,20200106
周口市,河南省,0.21,20200106
吉安市,江西省,0.21,20200106
湘西土家族苗族自治州,湖南省,0.2,20200106
长沙市,湖南省,0.2,20200106
武汉市,湖北省,0.2,20200106
泸州市,四川省,0.19,20200106
佛山市,广东省,0.19,20200106
宁波市,浙江省,0.18,20200106
安顺市,贵州省,0.18,20200106
成都市,四川省,0.18,20200106
恩施土家族苗族自治州,湖北省,0.17,20200106
南宁市,广西壮族自治区,0.16,20200106
洛阳市,河南省,0.16,20200106
岳阳市,湖南省,0.16,20200106
南京市,江苏省,0.16,20200106
金华市,浙江省,0.15,20200106
厦门市,福建省,41.46,20200107
泉州市,福建省,11.15,20200107
福州市,福建省,5.96,20200107
龙岩市,福建省,4.92,20200107
汕头市,广东省,2.41,20200107
潮州市,广东省,2.03,20200107
莆田市,福建省,1.79,20200107
三明市,福建省,1.69,20200107
宁德市,福建省,1.41,20200107
南平市,福建省,1.26,20200107
重庆市,重庆市,1.21,20200107
广州市,广东省,0.98,20200107
深圳市,广东省,0.91,20200107
赣州市,江西省,0.75,20200107
揭阳市,广东省,0.65,20200107
铜仁市,贵州省,0.51,20200107
遵义市,贵州省,0.48,20200107
上海市,上海市,0.47,20200107
东莞市,广东省,0.42,20200107
黔东南苗族侗族自治州,贵州省,0.4,20200107
梅州市,广东省,0.39,20200107
上饶市,江西省,0.38,20200107
温州市,浙江省,0.34,20200107
北京市,北京市,0.33,20200107
文山壮族苗族自治州,云南省,0.33,20200107
惠州市,广东省,0.33,20200107
贵阳市,贵州省,0.32,20200107
湘西土家族苗族自治州,湖南省,0.31,20200107
抚州市,江西省,0.29,20200107
宜春市,江西省,0.29,20200107
昆明市,云南省,0.28,20200107
成都市,四川省,0.26,20200107
泸州市,四川省,0.25,20200107
毕节市,贵州省,0.25,20200107
南宁市,广西壮族自治区,0.24,20200107
佛山市,广东省,0.24,20200107
南昌市,江西省,0.24,20200107
汕尾市,广东省,0.23,20200107
安顺市,贵州省,0.22,20200107
长沙市,湖南省,0.22,20200107
武汉市,湖北省,0.22,20200107
怀化市,湖南省,0.21,20200107
杭州市,浙江省,0.21,20200107
吉安市,江西省,0.2,20200107
恩施土家族苗族自治州,湖北省,0.19,20200107
昭通市,云南省,0.19,20200107
南阳市,河南省,0.18,20200107
邵阳市,湖南省,0.18,20200107
九江市,江西省,0.18,20200107
周口市,河南省,0.18,20200107
厦门市,福建省,39.26,20200108
泉州市,福建省,10.59,20200108
福州市,福建省,6.52,20200108
龙岩市,福建省,4.53,20200108
汕头市,广东省,2.35,20200108
潮州市,广东省,1.97,20200108
莆田市,福建省,1.76,20200108
三明市,福建省,1.64,20200108
宁德市,福建省,1.52,20200108
南平市,福建省,1.37,20200108
重庆市,重庆市,1.37,20200108
广州市,广东省,0.95,20200108
深圳市,广东省,0.93,20200108
赣州市,江西省,0.88,20200108
铜仁市,贵州省,0.68,20200108
揭阳市,广东省,0.65,20200108
黔东南苗族侗族自治州,贵州省,0.53,20200108
遵义市,贵州省,0.52,20200108
上海市,上海市,0.48,20200108
上饶市,江西省,0.44,20200108
东莞市,广东省,0.44,20200108
文山壮族苗族自治州,云南省,0.38,20200108
北京市,北京市,0.37,20200108
