city_name,province_name,value,date
青岛市,山东省,22.14,20200101
淄博市,山东省,9.01,20200101
济南市,山东省,6.92,20200101
东营市,山东省,6.48,20200101
临沂市,山东省,6.17,20200101
烟台市,山东省,5.13,20200101
日照市,山东省,4.9,20200101
滨州市,山东省,3.11,20200101
北京市,北京市,2.22,20200101
济宁市,山东省,2.09,20200101
菏泽市,山东省,1.83,20200101
泰安市,山东省,1.8,20200101
聊城市,山东省,1.46,20200101
德州市,山东省,1.46,20200101
威海市,山东省,0.94,20200101
上海市,上海市,0.79,20200101
天津市,天津市,0.78,20200101
枣庄市,山东省,0.76,20200101
盐城市,江苏省,0.71,20200101
连云港市,江苏省,0.59,20200101
沧州市,河北省,0.59,20200101
邯郸市,河北省,0.47,20200101
徐州市,江苏省,0.47,20200101
哈尔滨市,黑龙江省,0.44,20200101
石家庄市,河北省,0.42,20200101
苏州市,江苏省,0.38,20200101
郑州市,河南省,0.35,20200101
保定市,河北省,0.34,20200101
杭州市,浙江省,0.32,20200101
邢台市,河北省,0.32,20200101
南通市,江苏省,0.3,20200101
南京市,江苏省,0.3,20200101
驻马店市,河南省,0.3,20200101
西安市,陕西省,0.29,20200101
巴中市,四川省,0.28,20200101
广州市,广东省,0.28,20200101
沈阳市,辽宁省,0.26,20200101
周口市,河南省,0.26,20200101
廊坊市,河北省,0.25,20200101
成都市,四川省,0.23,20200101
商丘市,河南省,0.23,20200101
濮阳市,河南省,0.23,20200101
长春市,吉林省,0.23,20200101
唐山市,河北省,0.22,20200101
武汉市,湖北省,0.22,20200101
无锡市,江苏省,0.2,20200101
合肥市,安徽省,0.19,20200101
安阳市,河南省,0.19,20200101
淮安市,江苏省,0.18,20200101
阜阳市,安徽省,0.18,20200101
青岛市,山东省,16.89,20200102
济南市,山东省,7.65,20200102
淄博市,山东省,6.6,20200102
临沂市,山东省,5.19,20200102
烟台市,山东省,4.34,20200102
东营市,山东省,4.03,20200102
日照市,山东省,3.02,20200102
济宁市,山东省,2.8,20200102
北京市,北京市,2.66,20200102
滨州市,山东省,2.62,20200102
菏泽市,山东省,2.44,20200102
泰安市,山东省,1.78,20200102
德州市,山东省,1.71,20200102
聊城市,山东省,1.58,20200102
威海市,山东省,1.14,20200102
天津市,天津市,0.99,20200102
上海市,上海市,0.98,20200102
邯郸市,河北省,0.92,20200102
枣庄市,山东省,0.85,20200102
苏州市,江苏省,0.72,20200102
石家庄市,河北省,0.62,20200102
徐州市,江苏省,0.59,20200102
哈尔滨市,黑龙江省,0.58,20200102
连云港市,江苏省,0.58,20200102
沧州市,河北省,0.56,20200102
南京市,江苏省,0.55,20200102
盐城市,江苏省,0.55,20200102
广州市,广东省,0.51,20200102
杭州市,浙江省,0.51,20200102
郑州市,河南省,0.51,20200102
保定市,河北省,0.47,20200102
南通市,江苏省,0.46,20200102
驻马店市,河南省,0.45,20200102
成都市,四川省,0.42,20200102
邢台市,河北省,0.41,20200102
巴中市,四川省,0.4,20200102
周口市,河南省,0.39,20200102
濮阳市,河南省,0.38,20200102
无锡市,江苏省,0.38,20200102
宁波市,浙江省,0.35,20200102
重庆市,重庆市,0.34,20200102
唐山市,河北省,0.34,20200102
西安市,陕西省,0.34,20200102
沈阳市,辽宁省,0.33,20200102
扬州市,江苏省,0.33,20200102
长春市,吉林省,0.32,20200102
廊坊市,河北省,0.32,20200102
合肥市,安徽省,0.31,20200102
武汉市,湖北省,0.31,20200102
商丘市,河南省,0.3,20200102
青岛市,山东省,18.68,20200103
济南市,山东省,8.48,20200103
淄博市,山东省,7.45,20200103
临沂市,山东省,6.09,20200103
东营市,山东省,5.33,20200103
烟台市,山东省,4.99,20200103
日照市,山东省,4.02,20200103
滨州市,山东省,3.07,20200103
北京市,北京市,2.38,20200103
济宁市,山东省,2.34,20200103
菏泽市,山东省,2.26,20200103
泰安市,山东省,1.83,20200103
德州市,山东省,1.56,20200103
聊城市,山东省,1.5,20200103
威海市,山东省,1.24,20200103
天津市,天津市,0.97,20200103
上海市,上海市,0.8,20200103
枣庄市,山东省,0.8,20200103
盐城市,江苏省,0.64,20200103
连云港市,江苏省,0.63,20200103
沧州市,河北省,0.6,20200103
苏州市,江苏省,0.54,20200103
邯郸市,河北省,0.52,20200103
郑州市,河南省,0.5,20200103
徐州市,江苏省,0.49,20200103
保定市,河北省,0.48,20200103
石家庄市,河北省,0.48,20200103
南京市,江苏省,0.47,20200103
哈尔滨市,黑龙江省,0.45,20200103
杭州市,浙江省,0.42,20200103
邢台市,河北省,0.41,20200103
驻马店市,河南省,0.41,20200103
周口市,河南省,0.41,20200103
南通市,江苏省,0.36,20200103
巴中市,四川省,0.34,20200103
西安市,陕西省,0.33,20200103
唐山市,河北省,0.3,20200103
成都市,四川省,0.29,20200103
濮阳市,河南省,0.28,20200103
广州市,广东省,0.28,20200103
商丘市,河南省,0.27,20200103
廊坊市,河北省,0.26,20200103
重庆市,重庆市,0.26,20200103
无锡市,江苏省,0.25,20200103
武汉市,湖北省,0.25,20200103
扬州市,江苏省,0.24,20200103
昆明市,云南省,0.24,20200103
合肥市,安徽省,0.23,20200103
长春市,吉林省,0.22,20200103
长沙市,湖南省,0.22,20200103
青岛市,山东省,19.71,20200104
济南市,山东省,8.7,20200104
淄博市,山东省,8.0,20200104
临沂市,山东省,6.77,20200104
东营市,山东省,5.91,20200104
烟台市,山东省,5.0,20200104
日照市,山东省,4.03,20200104
滨州市,山东省,3.07,20200104
济宁市,山东省,2.39,20200104
菏泽市,山东省,2.23,20200104
泰安市,山东省,2.14,20200104
北京市,北京市,2.06,20200104
德州市,山东省,1.52,20200104
聊城市,山东省,1.44,20200104
威海市,山东省,1.02,20200104
枣庄市,山东省,0.86,20200104
天津市,天津市,0.79,20200104
上海市,上海市,0.73,20200104
沧州市,河北省,0.65,20200104
连云港市,江苏省,0.6,20200104
邯郸市,河北省,0.56,20200104
徐州市,江苏省,0.53,20200104
石家庄市,河北省,0.49,20200104
盐城市,江苏省,0.48,20200104
保定市,河北省,0.47,20200104
郑州市,河南省,0.41,20200104
杭州市,浙江省,0.38,20200104
苏州市,江苏省,0.35,20200104
哈尔滨市,黑龙江省,0.35,20200104
邢台市,河北省,0.34,20200104
南京市,江苏省,0.34,20200104
周口市,河南省,0.33,20200104
巴中市,四川省,0.33,20200104
驻马店市,河南省,0.33,20200104
西安市,陕西省,0.32,20200104
成都市,四川省,0.3,20200104
南通市,江苏省,0.28,20200104
武汉市,湖北省,0.26,20200104
廊坊市,河北省,0.26,20200104
唐山市,河北省,0.26,20200104
重庆市,重庆市,0.26,20200104
无锡市,江苏省,0.24,20200104
濮阳市,河南省,0.24,20200104
衡水市,河北省,0.24,20200104
商丘市,河南省,0.24,20200104
沈阳市,辽宁省,0.22,20200104
广州市,广东省,0.21,20200104
合肥市,安徽省,0.21,20200104
宿迁市,江苏省,0.2,20200104
朝阳市,辽宁省,0.2,20200104
青岛市,山东省,20.69,20200105
济南市,山东省,10.56,20200105
淄博市,山东省,7.8,20200105
东营市,山东省,5.82,20200105
临沂市,山东省,5.71,20200105
烟台市,山东省,4.42,20200105
日照市,山东省,3.69,20200105
滨州市,山东省,2.89,20200105
北京市,北京市,2.86,20200105
泰安市,山东省,1.79,20200105
菏泽市,山东省,1.78,20200105
济宁市,山东省,1.76,20200105
德州市,山东省,1.63,20200105
聊城市,山东省,1.34,20200105
天津市,天津市,1.02,20200105
威海市,山东省,1.0,20200105
上海市,上海市,0.93,20200105
沧州市,河北省,0.67,20200105
枣庄市,山东省,0.62,20200105
徐州市,江苏省,0.57,20200105
邯郸市,河北省,0.53,20200105
盐城市,江苏省,0.49,20200105
石家庄市,河北省,0.47,20200105
连云港市,江苏省,0.46,20200105
苏州市,江苏省,0.44,20200105
杭州市,浙江省,0.43,20200105
南京市,江苏省,0.43,20200105
保定市,河北省,0.39,20200105
南通市,江苏省,0.38,20200105
哈尔滨市,黑龙江省,0.38,20200105
郑州市,河南省,0.38,20200105
驻马店市,河南省,0.33,20200105
周口市,河南省,0.3,20200105
邢台市,河北省,0.29,20200105
西安市,陕西省,0.29,20200105
濮阳市,河南省,0.27,20200105
廊坊市,河北省,0.27,20200105
广州市,广东省,0.27,20200105
重庆市,重庆市,0.26,20200105
长春市,吉林省,0.26,20200105
合肥市,安徽省,0.25,20200105
沈阳市,辽宁省,0.25,20200105
唐山市,河北省,0.24,20200105
朝阳市,辽宁省,0.23,20200105
成都市,四川省,0.23,20200105
无锡市,江苏省,0.23,20200105
巴中市,四川省,0.23,20200105
衡水市,河北省,0.21,20200105
商丘市,河南省,0.21,20200105
常州市,江苏省,0.2,20200105
青岛市,山东省,19.16,20200106
济南市,山东省,10.14,20200106
淄博市,山东省,8.08,20200106
东营市,山东省,5.98,20200106
临沂市,山东省,5.92,20200106
烟台市,山东省,4.43,20200106
日照市,山东省,3.59,20200106
滨州市,山东省,2.84,20200106
菏泽市,山东省,2.73,20200106
北京市,北京市,2.35,20200106
济宁市,山东省,2.26,20200106
泰安市,山东省,1.98,20200106
德州市,山东省,1.89,20200106
聊城市,山东省,1.58,20200106
枣庄市,山东省,1.02,20200106
天津市,天津市,0.89,20200106
威海市,山东省,0.88,20200106
上海市,上海市,0.81,20200106
沧州市,河北省,0.57,20200106
盐城市,江苏省,0.53,20200106
徐州市,江苏省,0.48,20200106
南京市,江苏省,0.46,20200106
石家庄市,河北省,0.45,20200106
南通市,江苏省,0.45,20200106
邯郸市,河北省,0.42,20200106
郑州市,河南省,0.41,20200106
哈尔滨市,黑龙江省,0.41,20200106
连云港市,江苏省,0.41,20200106
杭州市,浙江省,0.41,20200106
驻马店市,河南省,0.4,20200106
苏州市,江苏省,0.35,20200106
保定市,河北省,0.34,20200106
周口市,河南省,0.34,20200106
唐山市,河北省,0.29,20200106
广州市,广东省,0.28,20200106
巴中市,四川省,0.28,20200106
邢台市,河北省,0.28,20200106
合肥市,安徽省,0.25,20200106
濮阳市,河南省,0.25,20200106
商丘市,河南省,0.25,20200106
廊坊市,河北省,0.25,20200106
沈阳市,辽宁省,0.24,20200106
长春市,吉林省,0.24,20200106
西安市,陕西省,0.24,20200106
重庆市,重庆市,0.23,20200106
成都市,四川省,0.23,20200106
泰州市,江苏省,0.22,20200106
无锡市,江苏省,0.22,20200106
阜阳市,安徽省,0.22,20200106
扬州市,江苏省,0.22,20200106
青岛市,山东省,18.07,20200107
济南市,山东省,9.02,20200107
淄博市,山东省,7.71,20200107
临沂市,山东省,6.1,20200107
东营市,山东省,5.54,20200107
烟台市,山东省,4.44,20200107
日照市,山东省,3.37,20200107
滨州市,山东省,3.08,20200107
菏泽市,山东省,3.07,20200107
济宁市,山东省,2.88,20200107
北京市,北京市,2.43,20200107
泰安市,山东省,2.16,20200107
德州市,山东省,2.16,20200107
聊城市,山东省,2.04,20200107
枣庄市,山东省,1.21,20200107
天津市,天津市,0.91,20200107
威海市,山东省,0.89,20200107
上海市,上海市,0.7,20200107
哈尔滨市,黑龙江省,0.6,20200107
徐州市,江苏省,0.53,20200107
郑州市,河南省,0.49,20200107
南京市,江苏省,0.49,20200107
盐城市,江苏省,0.47,20200107
苏州市,江苏省,0.46,20200107
邯郸市,河北省,0.45,20200107
沧州市,河北省,0.43,20200107
石家庄市,河北省,0.42,20200107
连云港市,江苏省,0.42,20200107
沈阳市,辽宁省,0.34,20200107
西安市,陕西省,0.33,20200107
杭州市,浙江省,0.33,20200107
保定市,河北省,0.32,20200107
邢台市,河北省,0.3,20200107
南通市,江苏省,0.27,20200107
濮阳市,河南省,0.27,20200107
成都市,四川省,0.27,20200107
唐山市,河北省,0.27,20200107
合肥市,安徽省,0.25,20200107
广州市,广东省,0.25,20200107
重庆市,重庆市,0.24,20200107
廊坊市,河北省,0.23,20200107
商丘市,河南省,0.23,20200107
长春市,吉林省,0.22,20200107
无锡市,江苏省,0.22,20200107
周口市,河南省,0.22,20200107
太原市,山西省,0.22,20200107
大连市,辽宁省,0.2,20200107
巴中市,四川省,0.19,20200107
宁波市,浙江省,0.19,20200107
衡水市,河北省,0.19,20200107
青岛市,山东省,16.53,20200108
济南市,山东省,9.11,20200108
临沂市,山东省,6.64,20200108
淄博市,山东省,6.56,20200108
东营市,山东省,5.12,20200108
烟台市,山东省,4.06,20200108
日照市,山东省,3.38,20200108
滨州市,山东省,3.36,20200108
济宁市,山东省,3.35,20200108
菏泽市,山东省,3.24,20200108
泰安市,山东省,2.51,20200108
北京市,北京市,2.44,20200108
聊城市,山东省,2.36,20200108
德州市,山东省,2.25,20200108
枣庄市,山东省,1.31,20200108
威海市,山东省,1.04,20200108
上海市,上海市,0.88,20200108
天津市,天津市,0.85,20200108
南京市,江苏省,0.63,20200108
徐州市,江苏省,0.56,20200108
沧州市,河北省,0.55,20200108
盐城市,江苏省,0.49,20200108
哈尔滨市,黑龙江省,0.48,20200108
邯郸市,河北省,0.47,20200108
苏州市,江苏省,0.45,20200108
杭州市,浙江省,0.45,20200108
郑州市,河南省,0.43,20200108
连云港市,江苏省,0.43,20200108
石家庄市,河北省,0.43,20200108
保定市,河北省,0.33,20200108
沈阳市,辽宁省,0.33,20200108
南通市,江苏省,0.32,20200108
西安市,陕西省,0.31,20200108
成都市,四川省,0.3,20200108
周口市,河南省,0.29,20200108
廊坊市,河北省,0.27,20200108
唐山市,河北省,0.27,20200108
大连市,辽宁省,0.26,20200108
重庆市,重庆市,0.26,20200108
商丘市,河南省,0.26,20200108
长春市,吉林省,0.25,20200108
邢台市,河北省,0.25,20200108
濮阳市,河南省,0.25,20200108
合肥市,安徽省,0.25,20200108
无锡市,江苏省,0.24,20200108
长沙市,湖南省,0.22,20200108
太原市,山西省,0.21,20200108
广州市,广东省,0.21,20200108
巴中市,四川省,0.21,20200108
吉林市,吉林省,0.21,20200108
青岛市,山东省,17.12,20200109
济南市,山东省,8.34,20200109
淄博市,山东省,6.84,20200109
临沂市,山东省,6.57,20200109
烟台市,山东省,4.76,20200109
东营市,山东省,4.72,20200109
菏泽市,山东省,3.5,20200109
滨州市,山东省,3.45,20200109
日照市,山东省,3.39,20200109
济宁市,山东省,3.16,20200109
泰安市,山东省,2.7,20200109
聊城市,山东省,2.32,20200109
北京市,北京市,2.24,20200109
德州市,山东省,2.16,20200109
枣庄市,山东省,1.24,20200109
威海市,山东省,1.05,20200109
上海市,上海市,0.81,20200109
天津市,天津市,0.78,20200109
沧州市,河北省,0.56,20200109
邯郸市,河北省,0.56,20200109
徐州市,江苏省,0.51,20200109
郑州市,河南省,0.48,20200109
南京市,江苏省,0.48,20200109
哈尔滨市,黑龙江省,0.47,20200109
盐城市,江苏省,0.47,20200109
连云港市,江苏省,0.42,20200109
苏州市,江苏省,0.42,20200109
石家庄市,河北省,0.41,20200109
周口市,河南省,0.38,20200109
杭州市,浙江省,0.36,20200109
保定市,河北省,0.34,20200109
沈阳市,辽宁省,0.32,20200109
重庆市,重庆市,0.32,20200109
南通市,江苏省,0.31,20200109
廊坊市,河北省,0.31,20200109
濮阳市,河南省,0.3,20200109
邢台市,河北省,0.29,20200109
无锡市,江苏省,0.28,20200109
西安市,陕西省,0.27,20200109
驻马店市,河南省,0.26,20200109
唐山市,河北省,0.25,20200109
扬州市,江苏省,0.24,20200109
合肥市,安徽省,0.24,20200109
巴中市,四川省,0.23,20200109
阜阳市,安徽省,0.23,20200109
成都市,四川省,0.21,20200109
大连市,辽宁省,0.21,20200109
商丘市,河南省,0.21,20200109
长春市,吉林省,0.21,20200109
武汉市,湖北省,0.19,20200109
青岛市,山东省,18.75,20200110
济南市,山东省,8.57,20200110
淄博市,山东省,7.5,20200110
临沂市,山东省,6.84,20200110
东营市,山东省,4.84,20200110
烟台市,山东省,4.84,20200110
日照市,山东省,3.72,20200110
滨州市,山东省,3.63,20200110
菏泽市,山东省,3.08,20200110
济宁市,山东省,2.84,20200110
泰安市,山东省,2.21,20200110
北京市,北京市,2.08,20200110
聊城市,山东省,1.97,20200110
德州市,山东省,1.96,20200110
枣庄市,山东省,1.18,20200110
威海市,山东省,1.13,20200110
天津市,天津市,0.88,20200110
上海市,上海市,0.77,20200110
沧州市,河北省,0.63,20200110
盐城市,江苏省,0.58,20200110
连云港市,江苏省,0.56,20200110
郑州市,河南省,0.55,20200110
南京市,江苏省,0.53,20200110
邯郸市,河北省,0.48,20200110
徐州市,江苏省,0.46,20200110
苏州市,江苏省,0.42,20200110
杭州市,浙江省,0.41,20200110
石家庄市,河北省,0.39,20200110
哈尔滨市,黑龙江省,0.39,20200110
保定市,河北省,0.35,20200110
南通市,江苏省,0.31,20200110
廊坊市,河北省,0.3,20200110
无锡市,江苏省,0.3,20200110
周口市,河南省,0.29,20200110
邢台市,河北省,0.29,20200110
沈阳市,辽宁省,0.28,20200110
西安市,陕西省,0.26,20200110
唐山市,河北省,0.25,20200110
濮阳市,河南省,0.24,20200110
重庆市,重庆市,0.24,20200110
成都市,四川省,0.24,20200110
驻马店市,河南省,0.23,20200110
大连市,辽宁省,0.22,20200110
合肥市,安徽省,0.22,20200110
太原市,山西省,0.22,20200110
宿迁市,江苏省,0.21,20200110
商丘市,河南省,0.21,20200110
常州市,江苏省,0.19,20200110
武汉市,湖北省,0.19,20200110
长沙市,湖南省,0.18,20200110
青岛市,山东省,19.84,20200111
济南市,山东省,8.86,20200111
淄博市,山东省,7.93,20200111
临沂市,山东省,6.62,20200111
东营市,山东省,5.51,20200111
烟台市,山东省,5.01,20200111
日照市,山东省,3.86,20200111
滨州市,山东省,3.35,20200111
菏泽市,山东省,2.75,20200111
济宁市,山东省,2.44,20200111
北京市,北京市,2.15,20200111
德州市,山东省,2.03,20200111
泰安市,山东省,1.99,20200111
聊城市,山东省,1.73,20200111
威海市,山东省,1.1,20200111
枣庄市,山东省,0.88,20200111
天津市,天津市,0.8,20200111
上海市,上海市,0.7,20200111
盐城市,江苏省,0.66,20200111
沧州市,河北省,0.63,20200111
徐州市,江苏省,0.57,20200111
连云港市,江苏省,0.57,20200111
南京市,江苏省,0.51,20200111
郑州市,河南省,0.5,20200111
哈尔滨市,黑龙江省,0.43,20200111
苏州市,江苏省,0.42,20200111
杭州市,浙江省,0.4,20200111
邯郸市,河北省,0.38,20200111
石家庄市,河北省,0.36,20200111
保定市,河北省,0.34,20200111
南通市,江苏省,0.32,20200111
西安市,陕西省,0.29,20200111
周口市,河南省,0.28,20200111
邢台市,河北省,0.28,20200111
无锡市,江苏省,0.28,20200111
廊坊市,河北省,0.27,20200111
唐山市,河北省,0.25,20200111
重庆市,重庆市,0.25,20200111
驻马店市,河南省,0.25,20200111
濮阳市,河南省,0.24,20200111
商丘市,河南省,0.24,20200111
沈阳市,辽宁省,0.23,20200111
大连市,辽宁省,0.2,20200111
合肥市,安徽省,0.2,20200111
巴中市,四川省,0.19,20200111
阜阳市,安徽省,0.19,20200111
成都市,四川省,0.18,20200111
扬州市,江苏省,0.18,20200111
衡水市,河北省,0.18,20200111
长春市,吉林省,0.17,20200111
青岛市,山东省,21.16,20200112
济南市,山东省,8.59,20200112
淄博市,山东省,8.37,20200112
临沂市,山东省,6.27,20200112
东营市,山东省,5.75,20200112
烟台市,山东省,5.02,20200112
日照市,山东省,4.14,20200112
滨州市,山东省,3.24,20200112
菏泽市,山东省,2.45,20200112
济宁市,山东省,2.39,20200112
北京市,北京市,2.01,20200112
泰安市,山东省,1.83,20200112
德州市,山东省,1.58,20200112
聊城市,山东省,1.35,20200112
威海市,山东省,0.94,20200112
枣庄市,山东省,0.76,20200112
天津市,天津市,0.72,20200112
上海市,上海市,0.68,20200112
沧州市,河北省,0.61,20200112
盐城市,江苏省,0.54,20200112
郑州市,河南省,0.5,20200112
连云港市,江苏省,0.5,20200112
西安市,陕西省,0.44,20200112
邯郸市,河北省,0.43,20200112
徐州市,江苏省,0.43,20200112
南京市,江苏省,0.39,20200112
哈尔滨市,黑龙江省,0.39,20200112
邢台市,河北省,0.39,20200112
石家庄市,河北省,0.39,20200112
苏州市,江苏省,0.38,20200112
杭州市,浙江省,0.37,20200112
周口市,河南省,0.34,20200112
保定市,河北省,0.33,20200112
南通市,江苏省,0.32,20200112
廊坊市,河北省,0.27,20200112
阜阳市,安徽省,0.27,20200112
商丘市,河南省,0.24,20200112
沈阳市,辽宁省,0.24,20200112
太原市,山西省,0.24,20200112
唐山市,河北省,0.23,20200112
长春市,吉林省,0.23,20200112
衡水市,河北省,0.23,20200112
合肥市,安徽省,0.22,20200112
广州市,广东省,0.22,20200112
濮阳市,河南省,0.21,20200112
驻马店市,河南省,0.21,20200112
重庆市,重庆市,0.19,20200112
无锡市,江苏省,0.19,20200112
巴中市,四川省,0.19,20200112
淮安市,江苏省,0.18,20200112
青岛市,山东省,20.63,20200113
济南市,山东省,9.5,20200113
淄博市,山东省,7.53,20200113
临沂市,山东省,5.59,20200113
东营市,山东省,5.51,20200113
烟台市,山东省,4.53,20200113
日照市,山东省,3.64,20200113
滨州市,山东省,2.82,20200113
北京市,北京市,2.61,20200113
菏泽市,山东省,2.35,20200113
济宁市,山东省,2.29,20200113
泰安市,山东省,1.7,20200113
德州市,山东省,1.64,20200113
聊城市,山东省,1.32,20200113
威海市,山东省,1.04,20200113
天津市,天津市,1.0,20200113
枣庄市,山东省,0.78,20200113
上海市,上海市,0.74,20200113
沧州市,河北省,0.56,20200113
盐城市,江苏省,0.55,20200113
南京市,江苏省,0.53,20200113
徐州市,江苏省,0.52,20200113
邯郸市,河北省,0.51,20200113
连云港市,江苏省,0.51,20200113
郑州市,河南省,0.48,20200113
石家庄市,河北省,0.47,20200113
周口市,河南省,0.46,20200113
哈尔滨市,黑龙江省,0.46,20200113
南通市,江苏省,0.41,20200113
保定市,河北省,0.4,20200113
西安市,陕西省,0.36,20200113
杭州市,浙江省,0.34,20200113
邢台市,河北省,0.32,20200113
沈阳市,辽宁省,0.3,20200113
