city_name,province_name,value,date
汕头市,广东省,41.35,20200101
揭阳市,广东省,13.1,20200101
广州市,广东省,5.92,20200101
漳州市,福建省,5.3,20200101
梅州市,广东省,4.04,20200101
深圳市,广东省,3.4,20200101
赣州市,江西省,2.56,20200101
佛山市,广东省,1.35,20200101
东莞市,广东省,1.23,20200101
惠州市,广东省,1.13,20200101
黔南布依族苗族自治州,贵州省,1.07,20200101
重庆市,重庆市,0.9,20200101
厦门市,福建省,0.77,20200101
泉州市,福建省,0.74,20200101
德阳市,四川省,0.72,20200101
汕尾市,广东省,0.7,20200101
常德市,湖南省,0.57,20200101
龙岩市,福建省,0.52,20200101
中山市,广东省,0.45,20200101
黔东南苗族侗族自治州,贵州省,0.45,20200101
毕节市,贵州省,0.43,20200101
珠海市,广东省,0.42,20200101
怀化市,湖南省,0.36,20200101
张家界市,湖南省,0.31,20200101
南宁市,广西壮族自治区,0.3,20200101
黄冈市,湖北省,0.3,20200101
上海市,上海市,0.29,20200101
河源市,广东省,0.28,20200101
上饶市,江西省,0.26,20200101
阜阳市,安徽省,0.24,20200101
福州市,福建省,0.22,20200101
南充市,四川省,0.21,20200101
韶关市,广东省,0.21,20200101
达州市,四川省,0.21,20200101
百色市,广西壮族自治区,0.2,20200101
桂林市,广西壮族自治区,0.2,20200101
湘西土家族苗族自治州,湖南省,0.2,20200101
河池市,广西壮族自治区,0.19,20200101
抚州市,江西省,0.19,20200101
遵义市,贵州省,0.19,20200101
肇庆市,广东省,0.19,20200101
黔西南布依族苗族自治州,贵州省,0.18,20200101
江门市,广东省,0.17,20200101
清远市,广东省,0.17,20200101
成都市,四川省,0.17,20200101
郑州市,河南省,0.15,20200101
襄阳市,湖北省,0.15,20200101
南昌市,江西省,0.14,20200101
贵阳市,贵州省,0.14,20200101
株洲市,湖南省,0.14,20200101
汕头市,广东省,26.98,20200102
揭阳市,广东省,7.83,20200102
广州市,广东省,7.66,20200102
深圳市,广东省,3.99,20200102
赣州市,江西省,3.57,20200102
漳州市,福建省,3.34,20200102
梅州市,广东省,2.97,20200102
黔南布依族苗族自治州,贵州省,2.49,20200102
重庆市,重庆市,2.04,20200102
佛山市,广东省,1.8,20200102
东莞市,广东省,1.77,20200102
惠州市,广东省,1.71,20200102
黔东南苗族侗族自治州,贵州省,1.5,20200102
常德市,湖南省,1.18,20200102
德阳市,四川省,1.11,20200102
毕节市,贵州省,0.89,20200102
泉州市,福建省,0.88,20200102
厦门市,福建省,0.87,20200102
怀化市,湖南省,0.73,20200102
湘西土家族苗族自治州,湖南省,0.73,20200102
汕尾市,广东省,0.63,20200102
张家界市,湖南省,0.61,20200102
南宁市,广西壮族自治区,0.58,20200102
龙岩市,福建省,0.58,20200102
南充市,四川省,0.55,20200102
珠海市,广东省,0.54,20200102
中山市,广东省,0.52,20200102
河源市,广东省,0.48,20200102
上饶市,江西省,0.46,20200102
阜阳市,安徽省,0.46,20200102
恩施土家族苗族自治州,湖北省,0.44,20200102
成都市,四川省,0.43,20200102
黄冈市,湖北省,0.43,20200102
郴州市,湖南省,0.41,20200102
驻马店市,河南省,0.4,20200102
上海市,上海市,0.38,20200102
达州市,四川省,0.38,20200102
福州市,福建省,0.37,20200102
抚州市,江西省,0.36,20200102
衡阳市,湖南省,0.36,20200102
武汉市,湖北省,0.34,20200102
金华市,浙江省,0.34,20200102
邵阳市,湖南省,0.33,20200102
昭通市,云南省,0.33,20200102
亳州市,安徽省,0.32,20200102
肇庆市,广东省,0.32,20200102
襄阳市,湖北省,0.3,20200102
湛江市,广东省,0.3,20200102
遵义市,贵州省,0.3,20200102
南阳市,河南省,0.29,20200102
汕头市,广东省,33.22,20200103
揭阳市,广东省,13.28,20200103
广州市,广东省,6.1,20200103
漳州市,福建省,4.19,20200103
深圳市,广东省,4.02,20200103
梅州市,广东省,3.38,20200103
赣州市,江西省,2.66,20200103
佛山市,广东省,1.73,20200103
东莞市,广东省,1.61,20200103
惠州市,广东省,1.6,20200103
黔南布依族苗族自治州,贵州省,1.5,20200103
重庆市,重庆市,1.44,20200103
德阳市,四川省,0.9,20200103
厦门市,福建省,0.89,20200103
常德市,湖南省,0.89,20200103
泉州市,福建省,0.76,20200103
黔东南苗族侗族自治州,贵州省,0.76,20200103
汕尾市,广东省,0.71,20200103
中山市,广东省,0.53,20200103
河源市,广东省,0.53,20200103
毕节市,贵州省,0.51,20200103
南充市,四川省,0.46,20200103
龙岩市,福建省,0.43,20200103
桂林市,广西壮族自治区,0.42,20200103
珠海市,广东省,0.41,20200103
怀化市,湖南省,0.41,20200103
湘西土家族苗族自治州,湖南省,0.38,20200103
黄冈市,湖北省,0.38,20200103
南宁市,广西壮族自治区,0.37,20200103
张家界市,湖南省,0.34,20200103
阜阳市,安徽省,0.32,20200103
抚州市,江西省,0.31,20200103
福州市,福建省,0.31,20200103
江门市,广东省,0.3,20200103
韶关市,广东省,0.29,20200103
泸州市,四川省,0.29,20200103
恩施土家族苗族自治州,湖北省,0.29,20200103
肇庆市,广东省,0.28,20200103
舟山市,浙江省,0.26,20200103
昭通市,云南省,0.26,20200103
武汉市,湖北省,0.26,20200103
清远市,广东省,0.25,20200103
达州市,四川省,0.25,20200103
湛江市,广东省,0.25,20200103
茂名市,广东省,0.25,20200103
南阳市,河南省,0.25,20200103
宜春市,江西省,0.24,20200103
成都市,四川省,0.24,20200103
遵义市,贵州省,0.23,20200103
百色市,广西壮族自治区,0.22,20200103
汕头市,广东省,33.19,20200104
揭阳市,广东省,13.08,20200104
广州市,广东省,5.72,20200104
漳州市,福建省,4.54,20200104
梅州市,广东省,4.47,20200104
深圳市,广东省,3.78,20200104
赣州市,江西省,2.52,20200104
惠州市,广东省,1.68,20200104
重庆市,重庆市,1.46,20200104
黔南布依族苗族自治州,贵州省,1.4,20200104
佛山市,广东省,1.36,20200104
东莞市,广东省,1.31,20200104
厦门市,福建省,1.0,20200104
汕尾市,广东省,0.98,20200104
德阳市,四川省,0.95,20200104
常德市,湖南省,0.79,20200104
黔东南苗族侗族自治州,贵州省,0.68,20200104
河源市,广东省,0.65,20200104
泉州市,福建省,0.58,20200104
中山市,广东省,0.57,20200104
湛江市,广东省,0.52,20200104
黄冈市,湖北省,0.51,20200104
珠海市,广东省,0.42,20200104
张家界市,湖南省,0.42,20200104
怀化市,湖南省,0.4,20200104
龙岩市,福建省,0.39,20200104
毕节市,贵州省,0.37,20200104
湘西土家族苗族自治州,湖南省,0.35,20200104
韶关市,广东省,0.34,20200104
南充市,四川省,0.34,20200104
恩施土家族苗族自治州,湖北省,0.33,20200104
抚州市,江西省,0.33,20200104
阜阳市,安徽省,0.32,20200104
南宁市,广西壮族自治区,0.32,20200104
成都市,四川省,0.31,20200104
宜春市,江西省,0.29,20200104
九江市,江西省,0.29,20200104
江门市,广东省,0.28,20200104
达州市,四川省,0.27,20200104
茂名市,广东省,0.27,20200104
清远市,广东省,0.26,20200104
上饶市,江西省,0.26,20200104
贵阳市,贵州省,0.26,20200104
肇庆市,广东省,0.26,20200104
昭通市,云南省,0.25,20200104
遵义市,贵州省,0.25,20200104
咸宁市,湖北省,0.23,20200104
上海市,上海市,0.23,20200104
南阳市,河南省,0.23,20200104
邵阳市,湖南省,0.22,20200104
汕头市,广东省,35.05,20200105
揭阳市,广东省,11.41,20200105
广州市,广东省,7.28,20200105
深圳市,广东省,4.32,20200105
漳州市,福建省,4.16,20200105
梅州市,广东省,3.37,20200105
赣州市,江西省,2.5,20200105
惠州市,广东省,1.58,20200105
重庆市,重庆市,1.34,20200105
佛山市,广东省,1.3,20200105
东莞市,广东省,1.27,20200105
黔南布依族苗族自治州,贵州省,1.14,20200105
德阳市,四川省,1.01,20200105
厦门市,福建省,0.98,20200105
常德市,湖南省,0.83,20200105
汕尾市,广东省,0.72,20200105
黄冈市,湖北省,0.58,20200105
中山市,广东省,0.56,20200105
泉州市,福建省,0.54,20200105
茂名市,广东省,0.53,20200105
黔东南苗族侗族自治州,贵州省,0.52,20200105
毕节市,贵州省,0.48,20200105
龙岩市,福建省,0.46,20200105
恩施土家族苗族自治州,湖北省,0.45,20200105
河源市,广东省,0.44,20200105
南充市,四川省,0.43,20200105
怀化市,湖南省,0.41,20200105
张家界市,湖南省,0.4,20200105
达州市,四川省,0.39,20200105
珠海市,广东省,0.39,20200105
福州市,福建省,0.37,20200105
南宁市,广西壮族自治区,0.36,20200105
河池市,广西壮族自治区,0.34,20200105
上饶市,江西省,0.34,20200105
江门市,广东省,0.34,20200105
湛江市,广东省,0.32,20200105
武汉市,湖北省,0.31,20200105
湘西土家族苗族自治州,湖南省,0.29,20200105
成都市,四川省,0.29,20200105
韶关市,广东省,0.28,20200105
阜阳市,安徽省,0.27,20200105
遵义市,贵州省,0.26,20200105
肇庆市,广东省,0.26,20200105
抚州市,江西省,0.25,20200105
上海市,上海市,0.24,20200105
驻马店市,河南省,0.23,20200105
桂林市,广西壮族自治区,0.23,20200105
宜春市,江西省,0.22,20200105
吉安市,江西省,0.22,20200105
铜仁市,贵州省,0.22,20200105
汕头市,广东省,33.66,20200106
揭阳市,广东省,11.22,20200106
广州市,广东省,5.6,20200106
漳州市,福建省,4.11,20200106
赣州市,江西省,3.89,20200106
梅州市,广东省,3.64,20200106
深圳市,广东省,2.73,20200106
重庆市,重庆市,1.89,20200106
黔南布依族苗族自治州,贵州省,1.4,20200106
德阳市,四川省,1.29,20200106
惠州市,广东省,1.21,20200106
东莞市,广东省,1.12,20200106
佛山市,广东省,0.98,20200106
常德市,湖南省,0.93,20200106
黔东南苗族侗族自治州,贵州省,0.84,20200106
厦门市,福建省,0.81,20200106
黄冈市,湖北省,0.68,20200106
汕尾市,广东省,0.66,20200106
泉州市,福建省,0.58,20200106
毕节市,贵州省,0.58,20200106
龙岩市,福建省,0.58,20200106
湘西土家族苗族自治州,湖南省,0.5,20200106
张家界市,湖南省,0.47,20200106
怀化市,湖南省,0.45,20200106
南充市,四川省,0.45,20200106
桂林市,广西壮族自治区,0.43,20200106
成都市,四川省,0.43,20200106
河源市,广东省,0.41,20200106
阜阳市,安徽省,0.4,20200106
河池市,广西壮族自治区,0.4,20200106
中山市,广东省,0.39,20200106
宜春市,江西省,0.38,20200106
南宁市,广西壮族自治区,0.37,20200106
九江市,江西省,0.37,20200106
上饶市,江西省,0.36,20200106
恩施土家族苗族自治州,湖北省,0.34,20200106
达州市,四川省,0.33,20200106
抚州市,江西省,0.31,20200106
永州市,湖南省,0.31,20200106
长沙市,湖南省,0.3,20200106
南阳市,河南省,0.29,20200106
江门市,广东省,0.29,20200106
昭通市,云南省,0.29,20200106
福州市,福建省,0.28,20200106
上海市,上海市,0.28,20200106
武汉市,湖北省,0.27,20200106
邵阳市,湖南省,0.27,20200106
韶关市,广东省,0.27,20200106
驻马店市,河南省,0.27,20200106
遵义市,贵州省,0.27,20200106
汕头市,广东省,30.31,20200107
揭阳市,广东省,10.76,20200107
广州市,广东省,5.57,20200107
赣州市,江西省,4.78,20200107
漳州市,福建省,4.0,20200107
梅州市,广东省,3.42,20200107
深圳市,广东省,2.76,20200107
重庆市,重庆市,2.09,20200107
黔南布依族苗族自治州,贵州省,1.89,20200107
德阳市,四川省,1.65,20200107
佛山市,广东省,1.14,20200107
常德市,湖南省,1.06,20200107
黔东南苗族侗族自治州,贵州省,1.05,20200107
东莞市,广东省,1.04,20200107
惠州市,广东省,1.0,20200107
怀化市,湖南省,0.8,20200107
厦门市,福建省,0.78,20200107
黄冈市,湖北省,0.75,20200107
毕节市,贵州省,0.69,20200107
汕尾市,广东省,0.66,20200107
龙岩市,福建省,0.65,20200107
泉州市,福建省,0.61,20200107
南充市,四川省,0.56,20200107
阜阳市,安徽省,0.53,20200107
宜春市,江西省,0.5,20200107
张家界市,湖南省,0.49,20200107
抚州市,江西省,0.48,20200107
中山市,广东省,0.45,20200107
河池市,广西壮族自治区,0.43,20200107
恩施土家族苗族自治州,湖北省,0.42,20200107
上饶市,江西省,0.41,20200107
百色市,广西壮族自治区,0.41,20200107
达州市,四川省,0.4,20200107
昭通市,云南省,0.39,20200107
遵义市,贵州省,0.38,20200107
湘西土家族苗族自治州,湖南省,0.38,20200107
南宁市,广西壮族自治区,0.38,20200107
桂林市,广西壮族自治区,0.38,20200107
成都市,四川省,0.36,20200107
驻马店市,河南省,0.35,20200107
九江市,江西省,0.35,20200107
珠海市,广东省,0.34,20200107
河源市,广东省,0.34,20200107
郴州市,湖南省,0.33,20200107
泸州市,四川省,0.32,20200107
长沙市,湖南省,0.29,20200107
铜仁市,贵州省,0.27,20200107
武汉市,湖北省,0.27,20200107
永州市,湖南省,0.26,20200107
安顺市,贵州省,0.26,20200107
汕头市,广东省,27.74,20200108
揭阳市,广东省,9.33,20200108
广州市,广东省,5.12,20200108
赣州市,江西省,4.55,20200108
漳州市,福建省,3.65,20200108
梅州市,广东省,3.2,20200108
深圳市,广东省,2.66,20200108
重庆市,重庆市,2.59,20200108
黔南布依族苗族自治州,贵州省,2.51,20200108
德阳市,四川省,1.93,20200108
常德市,湖南省,1.51,20200108
黔东南苗族侗族自治州,贵州省,1.49,20200108
佛山市,广东省,1.12,20200108
东莞市,广东省,0.98,20200108
惠州市,广东省,0.93,20200108
怀化市,湖南省,0.85,20200108
南充市,四川省,0.8,20200108
南宁市,广西壮族自治区,0.76,20200108
黄冈市,湖北省,0.76,20200108
厦门市,福建省,0.76,20200108
