city_name,province_name,value,date
聊城市,山东省,19.14,20200101
安阳市,河南省,16.09,20200101
郑州市,河南省,12.87,20200101
邯郸市,河北省,5.68,20200101
菏泽市,山东省,5.19,20200101
新乡市,河南省,4.28,20200101
北京市,北京市,3.46,20200101
鹤壁市,河南省,2.56,20200101
开封市,河南省,1.81,20200101
济宁市,山东省,1.51,20200101
天津市,天津市,1.49,20200101
周口市,河南省,1.07,20200101
济南市,山东省,1.07,20200101
商丘市,河南省,0.99,20200101
苏州市,江苏省,0.87,20200101
青岛市,山东省,0.71,20200101
洛阳市,河南省,0.66,20200101
许昌市,河南省,0.65,20200101
泰安市,山东省,0.64,20200101
南阳市,河南省,0.64,20200101
焦作市,河南省,0.63,20200101
上海市,上海市,0.57,20200101
信阳市,河南省,0.57,20200101
驻马店市,河南省,0.53,20200101
石家庄市,河北省,0.52,20200101
廊坊市,河北省,0.47,20200101
保定市,河北省,0.47,20200101
邢台市,河北省,0.42,20200101
潍坊市,山东省,0.38,20200101
沧州市,河北省,0.38,20200101
西安市,陕西省,0.37,20200101
平顶山市,河南省,0.32,20200101
重庆市,重庆市,0.3,20200101
东营市,山东省,0.3,20200101
德州市,山东省,0.29,20200101
徐州市,江苏省,0.29,20200101
临沂市,山东省,0.29,20200101
杭州市,浙江省,0.27,20200101
扬州市,江苏省,0.27,20200101
南京市,江苏省,0.26,20200101
唐山市,河北省,0.26,20200101
滨州市,山东省,0.26,20200101
衡水市,河北省,0.24,20200101
武汉市,湖北省,0.22,20200101
达州市,四川省,0.21,20200101
成都市,四川省,0.21,20200101
漯河市,河南省,0.21,20200101
嘉兴市,浙江省,0.18,20200101
淄博市,山东省,0.18,20200101
合肥市,安徽省,0.17,20200101
郑州市,河南省,17.01,20200102
安阳市,河南省,11.06,20200102
聊城市,山东省,10.71,20200102
北京市,北京市,4.84,20200102
新乡市,河南省,4.1,20200102
邯郸市,河北省,3.86,20200102
菏泽市,山东省,3.83,20200102
天津市,天津市,2.01,20200102
鹤壁市,河南省,1.94,20200102
开封市,河南省,1.65,20200102
济南市,山东省,1.56,20200102
济宁市,山东省,1.24,20200102
青岛市,山东省,1.21,20200102
商丘市,河南省,1.14,20200102
苏州市,江苏省,1.03,20200102
周口市,河南省,1.03,20200102
南阳市,河南省,0.91,20200102
重庆市,重庆市,0.9,20200102
驻马店市,河南省,0.85,20200102
洛阳市,河南省,0.81,20200102
廊坊市,河北省,0.79,20200102
许昌市,河南省,0.73,20200102
焦作市,河南省,0.73,20200102
西安市,陕西省,0.69,20200102
石家庄市,河北省,0.68,20200102
保定市,河北省,0.68,20200102
上海市,上海市,0.64,20200102
东营市,山东省,0.63,20200102
邢台市,河北省,0.62,20200102
临沂市,山东省,0.61,20200102
信阳市,河南省,0.59,20200102
潍坊市,山东省,0.57,20200102
泰安市,山东省,0.56,20200102
唐山市,河北省,0.55,20200102
德州市,山东省,0.55,20200102
沧州市,河北省,0.53,20200102
平顶山市,河南省,0.51,20200102
武汉市,湖北省,0.44,20200102
漯河市,河南省,0.4,20200102
长治市,山西省,0.35,20200102
徐州市,江苏省,0.34,20200102
南京市,江苏省,0.34,20200102
三门峡市,河南省,0.33,20200102
达州市,四川省,0.3,20200102
杭州市,浙江省,0.3,20200102
滨州市,山东省,0.3,20200102
深圳市,广东省,0.3,20200102
烟台市,山东省,0.28,20200102
淄博市,山东省,0.27,20200102
阜阳市,安徽省,0.27,20200102
郑州市,河南省,16.73,20200103
聊城市,山东省,15.46,20200103
安阳市,河南省,14.27,20200103
邯郸市,河北省,5.45,20200103
菏泽市,山东省,4.63,20200103
新乡市,河南省,4.38,20200103
北京市,北京市,3.36,20200103
鹤壁市,河南省,2.26,20200103
开封市,河南省,1.88,20200103
济宁市,山东省,1.5,20200103
天津市,天津市,1.32,20200103
济南市,山东省,1.16,20200103
商丘市,河南省,0.94,20200103
青岛市,山东省,0.84,20200103
洛阳市,河南省,0.79,20200103
南阳市,河南省,0.78,20200103
苏州市,江苏省,0.75,20200103
焦作市,河南省,0.75,20200103
周口市,河南省,0.66,20200103
许昌市,河南省,0.64,20200103
泰安市,山东省,0.63,20200103
石家庄市,河北省,0.62,20200103
廊坊市,河北省,0.58,20200103
沧州市,河北省,0.55,20200103
保定市,河北省,0.54,20200103
东营市,山东省,0.53,20200103
邢台市,河北省,0.52,20200103
潍坊市,山东省,0.48,20200103
临沂市,山东省,0.47,20200103
驻马店市,河南省,0.47,20200103
信阳市,河南省,0.47,20200103
西安市,陕西省,0.45,20200103
上海市,上海市,0.45,20200103
平顶山市,河南省,0.44,20200103
武汉市,湖北省,0.42,20200103
唐山市,河北省,0.41,20200103
德州市,山东省,0.39,20200103
徐州市,江苏省,0.35,20200103
重庆市,重庆市,0.31,20200103
长治市,山西省,0.3,20200103
漯河市,河南省,0.24,20200103
达州市,四川省,0.23,20200103
太原市,山西省,0.23,20200103
烟台市,山东省,0.22,20200103
滨州市,山东省,0.22,20200103
淄博市,山东省,0.21,20200103
合肥市,安徽省,0.21,20200103
长沙市,湖南省,0.21,20200103
衡水市,河北省,0.2,20200103
晋城市,山西省,0.19,20200103
聊城市,山东省,17.44,20200104
安阳市,河南省,16.04,20200104
郑州市,河南省,14.08,20200104
邯郸市,河北省,5.98,20200104
菏泽市,山东省,5.39,20200104
新乡市,河南省,4.4,20200104
北京市,北京市,3.21,20200104
鹤壁市,河南省,2.34,20200104
开封市,河南省,1.62,20200104
济宁市,山东省,1.59,20200104
天津市,天津市,1.3,20200104
苏州市,江苏省,1.25,20200104
济南市,山东省,1.1,20200104
商丘市,河南省,0.92,20200104
焦作市,河南省,0.78,20200104
周口市,河南省,0.74,20200104
泰安市,山东省,0.71,20200104
上海市,上海市,0.71,20200104
洛阳市,河南省,0.68,20200104
青岛市,山东省,0.59,20200104
保定市,河北省,0.53,20200104
许昌市,河南省,0.51,20200104
石家庄市,河北省,0.49,20200104
廊坊市,河北省,0.46,20200104
南阳市,河南省,0.46,20200104
西安市,陕西省,0.45,20200104
驻马店市,河南省,0.44,20200104
沧州市,河北省,0.44,20200104
邢台市,河北省,0.43,20200104
信阳市,河南省,0.41,20200104
平顶山市,河南省,0.38,20200104
临沂市,山东省,0.37,20200104
德州市,山东省,0.35,20200104
武汉市,湖北省,0.33,20200104
潍坊市,山东省,0.33,20200104
长治市,山西省,0.33,20200104
杭州市,浙江省,0.3,20200104
衡水市,河北省,0.28,20200104
三门峡市,河南省,0.28,20200104
东营市,山东省,0.27,20200104
唐山市,河北省,0.26,20200104
滨州市,山东省,0.26,20200104
烟台市,山东省,0.24,20200104
漯河市,河南省,0.23,20200104
重庆市,重庆市,0.22,20200104
徐州市,江苏省,0.22,20200104
枣庄市,山东省,0.21,20200104
合肥市,安徽省,0.21,20200104
淄博市,山东省,0.2,20200104
成都市,四川省,0.19,20200104
聊城市,山东省,18.66,20200105
郑州市,河南省,16.73,20200105
安阳市,河南省,15.48,20200105
邯郸市,河北省,5.16,20200105
菏泽市,山东省,5.08,20200105
北京市,北京市,4.41,20200105
新乡市,河南省,3.81,20200105
鹤壁市,河南省,2.82,20200105
开封市,河南省,1.74,20200105
天津市,天津市,1.18,20200105
济宁市,山东省,1.16,20200105
济南市,山东省,1.14,20200105
商丘市,河南省,1.0,20200105
上海市,上海市,0.78,20200105
周口市,河南省,0.72,20200105
洛阳市,河南省,0.6,20200105
泰安市,山东省,0.55,20200105
苏州市,江苏省,0.54,20200105
焦作市,河南省,0.53,20200105
许昌市,河南省,0.5,20200105
石家庄市,河北省,0.5,20200105
青岛市,山东省,0.5,20200105
南阳市,河南省,0.45,20200105
廊坊市,河北省,0.44,20200105
信阳市,河南省,0.44,20200105
平顶山市,河南省,0.41,20200105
保定市,河北省,0.4,20200105
邢台市,河北省,0.39,20200105
