city_name,province_name,value,date
郑州市,河南省,33.6,20200101
新乡市,河南省,16.97,20200101
洛阳市,河南省,7.29,20200101
济源市,河南省,7.09,20200101
晋城市,山西省,3.55,20200101
安阳市,河南省,2.2,20200101
开封市,河南省,1.85,20200101
北京市,北京市,1.45,20200101
商丘市,河南省,1.32,20200101
许昌市,河南省,1.16,20200101
平顶山市,河南省,1.06,20200101
周口市,河南省,1.01,20200101
信阳市,河南省,0.86,20200101
三门峡市,河南省,0.85,20200101
鹤壁市,河南省,0.81,20200101
南阳市,河南省,0.78,20200101
西安市,陕西省,0.74,20200101
驻马店市,河南省,0.71,20200101
上海市,上海市,0.68,20200101
长治市,山西省,0.63,20200101
濮阳市,河南省,0.55,20200101
漯河市,河南省,0.52,20200101
武汉市,湖北省,0.51,20200101
菏泽市,山东省,0.44,20200101
运城市,山西省,0.43,20200101
苏州市,江苏省,0.34,20200101
石家庄市,河北省,0.31,20200101
邯郸市,河北省,0.3,20200101
邢台市,河北省,0.29,20200101
杭州市,浙江省,0.29,20200101
临汾市,山西省,0.26,20200101
广州市,广东省,0.25,20200101
晋中市,山西省,0.25,20200101
青岛市,山东省,0.24,20200101
天津市,天津市,0.24,20200101
聊城市,山东省,0.22,20200101
深圳市,广东省,0.21,20200101
南京市,江苏省,0.21,20200101
徐州市,江苏省,0.21,20200101
成都市,四川省,0.2,20200101
济南市,山东省,0.19,20200101
宁波市,浙江省,0.18,20200101
济宁市,山东省,0.18,20200101
无锡市,江苏省,0.18,20200101
合肥市,安徽省,0.17,20200101
沧州市,河北省,0.16,20200101
保定市,河北省,0.16,20200101
重庆市,重庆市,0.15,20200101
榆林市,陕西省,0.15,20200101
阜阳市,安徽省,0.13,20200101
郑州市,河南省,31.01,20200102
新乡市,河南省,12.37,20200102
洛阳市,河南省,6.18,20200102
济源市,河南省,4.14,20200102
安阳市,河南省,3.43,20200102
开封市,河南省,2.4,20200102
晋城市,山西省,2.38,20200102
平顶山市,河南省,1.74,20200102
北京市,北京市,1.69,20200102
许昌市,河南省,1.47,20200102
西安市,陕西省,1.22,20200102
上海市,上海市,1.15,20200102
商丘市,河南省,1.12,20200102
南阳市,河南省,1.06,20200102
周口市,河南省,1.05,20200102
苏州市,江苏省,0.94,20200102
信阳市,河南省,0.94,20200102
鹤壁市,河南省,0.93,20200102
驻马店市,河南省,0.84,20200102
长治市,山西省,0.67,20200102
漯河市,河南省,0.66,20200102
杭州市,浙江省,0.65,20200102
石家庄市,河北省,0.64,20200102
天津市,天津市,0.63,20200102
濮阳市,河南省,0.62,20200102
三门峡市,河南省,0.57,20200102
武汉市,湖北省,0.53,20200102
广州市,广东省,0.5,20200102
运城市,山西省,0.48,20200102
深圳市,广东省,0.47,20200102
邯郸市,河北省,0.44,20200102
南京市,江苏省,0.4,20200102
菏泽市,山东省,0.39,20200102
无锡市,江苏省,0.37,20200102
济南市,山东省,0.35,20200102
聊城市,山东省,0.35,20200102
青岛市,山东省,0.33,20200102
临汾市,山西省,0.32,20200102
榆林市,陕西省,0.31,20200102
重庆市,重庆市,0.27,20200102
成都市,四川省,0.26,20200102
徐州市,江苏省,0.26,20200102
太原市,山西省,0.25,20200102
潍坊市,山东省,0.24,20200102
阜阳市,安徽省,0.23,20200102
临沂市,山东省,0.23,20200102
邢台市,河北省,0.23,20200102
宁波市,浙江省,0.23,20200102
哈尔滨市,黑龙江省,0.23,20200102
襄阳市,湖北省,0.22,20200102
郑州市,河南省,35.75,20200103
新乡市,河南省,13.8,20200103
