city_name,province_name,value,date
郑州市,河南省,32.9,20200101
新乡市,河南省,14.23,20200101
洛阳市,河南省,7.05,20200101
济源市,河南省,6.92,20200101
晋城市,山西省,3.66,20200101
周口市,河南省,2.17,20200101
商丘市,河南省,1.98,20200101
开封市,河南省,1.86,20200101
安阳市,河南省,1.71,20200101
驻马店市,河南省,1.57,20200101
南阳市,河南省,1.44,20200101
许昌市,河南省,1.17,20200101
平顶山市,河南省,1.11,20200101
信阳市,河南省,1.02,20200101
北京市,北京市,0.99,20200101
长治市,山西省,0.95,20200101
三门峡市,河南省,0.76,20200101
濮阳市,河南省,0.75,20200101
鹤壁市,河南省,0.74,20200101
西安市,陕西省,0.74,20200101
漯河市,河南省,0.64,20200101
苏州市,江苏省,0.61,20200101
上海市,上海市,0.56,20200101
运城市,山西省,0.42,20200101
菏泽市,山东省,0.37,20200101
临汾市,山西省,0.33,20200101
邯郸市,河北省,0.31,20200101
榆林市,陕西省,0.29,20200101
武汉市,湖北省,0.28,20200101
徐州市,江苏省,0.26,20200101
太原市,山西省,0.24,20200101
石家庄市,河北省,0.23,20200101
天津市,天津市,0.22,20200101
潍坊市,山东省,0.21,20200101
青岛市,山东省,0.2,20200101
黄冈市,湖北省,0.19,20200101
杭州市,浙江省,0.18,20200101
长沙市,湖南省,0.18,20200101
阜阳市,安徽省,0.18,20200101
亳州市,安徽省,0.17,20200101
邢台市,河北省,0.16,20200101
南京市,江苏省,0.16,20200101
临沂市,山东省,0.15,20200101
广州市,广东省,0.15,20200101
孝感市,湖北省,0.15,20200101
保定市,河北省,0.15,20200101
成都市,四川省,0.15,20200101
六安市,安徽省,0.14,20200101
渭南市,陕西省,0.14,20200101
合肥市,安徽省,0.13,20200101
郑州市,河南省,27.16,20200102
新乡市,河南省,8.51,20200102
洛阳市,河南省,5.33,20200102
济源市,河南省,5.09,20200102
周口市,河南省,3.54,20200102
晋城市,山西省,3.29,20200102
商丘市,河南省,2.8,20200102
驻马店市,河南省,2.63,20200102
南阳市,河南省,2.38,20200102
开封市,河南省,2.16,20200102
安阳市,河南省,2.13,20200102
信阳市,河南省,2.06,20200102
平顶山市,河南省,1.61,20200102
北京市,北京市,1.38,20200102
许昌市,河南省,1.28,20200102
濮阳市,河南省,1.09,20200102
苏州市,江苏省,1.08,20200102
上海市,上海市,0.92,20200102
三门峡市,河南省,0.84,20200102
长治市,山西省,0.83,20200102
漯河市,河南省,0.83,20200102
鹤壁市,河南省,0.69,20200102
西安市,陕西省,0.62,20200102
运城市,山西省,0.5,20200102
榆林市,陕西省,0.49,20200102
菏泽市,山东省,0.43,20200102
徐州市,江苏省,0.35,20200102
