city_name,province_name,value,date
南宁市,广西壮族自治区,19.82,20200101
贵港市,广西壮族自治区,12.24,20200101
茂名市,广东省,6.66,20200101
湛江市,广东省,6.56,20200101
东莞市,广东省,6.04,20200101
北海市,广西壮族自治区,4.84,20200101
广州市,广东省,4.71,20200101
钦州市,广西壮族自治区,4.65,20200101
梧州市,广西壮族自治区,4.64,20200101
深圳市,广东省,4.4,20200101
佛山市,广东省,4.28,20200101
柳州市,广西壮族自治区,2.56,20200101
中山市,广东省,2.14,20200101
桂林市,广西壮族自治区,1.83,20200101
百色市,广西壮族自治区,1.15,20200101
来宾市,广西壮族自治区,1.02,20200101
防城港市,广西壮族自治区,0.9,20200101
河池市,广西壮族自治区,0.89,20200101
江门市,广东省,0.82,20200101
惠州市,广东省,0.81,20200101
崇左市,广西壮族自治区,0.78,20200101
云浮市,广东省,0.56,20200101
珠海市,广东省,0.53,20200101
贺州市,广西壮族自治区,0.5,20200101
肇庆市,广东省,0.43,20200101
阳江市,广东省,0.31,20200101
文山壮族苗族自治州,云南省,0.21,20200101
清远市,广东省,0.2,20200101
长沙市,湖南省,0.2,20200101
昆明市,云南省,0.17,20200101
海口市,海南省,0.16,20200101
汕头市,广东省,0.14,20200101
黔南布依族苗族自治州,贵州省,0.14,20200101
上海市,上海市,0.13,20200101
北京市,北京市,0.12,20200101
黔西南布依族苗族自治州,贵州省,0.11,20200101
河源市,广东省,0.11,20200101
重庆市,重庆市,0.11,20200101
贵阳市,贵州省,0.1,20200101
衡阳市,湖南省,0.1,20200101
赣州市,江西省,0.1,20200101
武汉市,湖北省,0.08,20200101
金华市,浙江省,0.08,20200101
成都市,四川省,0.08,20200101
韶关市,广东省,0.08,20200101
永州市,湖南省,0.08,20200101
泉州市,福建省,0.07,20200101
揭阳市,广东省,0.07,20200101
天津市,天津市,0.07,20200101
儋州市,海南省,0.07,20200101
南宁市,广西壮族自治区,20.6,20200102
东莞市,广东省,10.31,20200102
深圳市,广东省,7.47,20200102
贵港市,广西壮族自治区,6.77,20200102
广州市,广东省,6.23,20200102
佛山市,广东省,5.15,20200102
湛江市,广东省,4.02,20200102
茂名市,广东省,3.67,20200102
桂林市,广西壮族自治区,3.24,20200102
北海市,广西壮族自治区,3.11,20200102
中山市,广东省,3.02,20200102
钦州市,广西壮族自治区,3.0,20200102
柳州市,广西壮族自治区,2.68,20200102
梧州市,广西壮族自治区,2.59,20200102
惠州市,广东省,1.36,20200102
百色市,广西壮族自治区,1.1,20200102
河池市,广西壮族自治区,0.93,20200102
江门市,广东省,0.92,20200102
来宾市,广西壮族自治区,0.89,20200102
崇左市,广西壮族自治区,0.74,20200102
珠海市,广东省,0.67,20200102
肇庆市,广东省,0.62,20200102
防城港市,广西壮族自治区,0.6,20200102
贺州市,广西壮族自治区,0.51,20200102
云浮市,广东省,0.38,20200102
海口市,海南省,0.32,20200102
贵阳市,贵州省,0.3,20200102
长沙市,湖南省,0.28,20200102
清远市,广东省,0.27,20200102
武汉市,湖北省,0.26,20200102
昆明市,云南省,0.25,20200102
重庆市,重庆市,0.21,20200102
上海市,上海市,0.2,20200102
文山壮族苗族自治州,云南省,0.17,20200102
阳江市,广东省,0.17,20200102
泉州市,福建省,0.14,20200102
北京市,北京市,0.13,20200102
成都市,四川省,0.13,20200102
衡阳市,湖南省,0.13,20200102
黔南布依族苗族自治州,贵州省,0.13,20200102
揭阳市,广东省,0.13,20200102
金华市,浙江省,0.12,20200102
邵阳市,湖南省,0.11,20200102
赣州市,江西省,0.11,20200102
株洲市,湖南省,0.11,20200102
梅州市,广东省,0.1,20200102
天津市,天津市,0.1,20200102
永州市,湖南省,0.1,20200102
南昌市,江西省,0.1,20200102
苏州市,江苏省,0.1,20200102
南宁市,广西壮族自治区,21.13,20200103
贵港市,广西壮族自治区,9.52,20200103
东莞市,广东省,7.86,20200103
深圳市,广东省,5.47,20200103
茂名市,广东省,5.4,20200103
湛江市,广东省,5.19,20200103
广州市,广东省,5.17,20200103
佛山市,广东省,4.28,20200103
北海市,广西壮族自治区,4.12,20200103
钦州市,广西壮族自治区,3.85,20200103
梧州市,广西壮族自治区,3.56,20200103
桂林市,广西壮族自治区,3.36,20200103
柳州市,广西壮族自治区,2.5,20200103
中山市,广东省,2.35,20200103
惠州市,广东省,0.99,20200103
百色市,广西壮族自治区,0.97,20200103
来宾市,广西壮族自治区,0.8,20200103
防城港市,广西壮族自治区,0.8,20200103
崇左市,广西壮族自治区,0.73,20200103
江门市,广东省,0.71,20200103
河池市,广西壮族自治区,0.68,20200103
贺州市,广西壮族自治区,0.64,20200103
珠海市,广东省,0.54,20200103
肇庆市,广东省,0.52,20200103
云浮市,广东省,0.46,20200103
长沙市,湖南省,0.27,20200103
上海市,上海市,0.26,20200103
阳江市,广东省,0.23,20200103
清远市,广东省,0.23,20200103
海口市,海南省,0.22,20200103
贵阳市,贵州省,0.21,20200103
昆明市,云南省,0.2,20200103
武汉市,湖北省,0.2,20200103
北京市,北京市,0.18,20200103
重庆市,重庆市,0.17,20200103
永州市,湖南省,0.14,20200103
成都市,四川省,0.14,20200103
天津市,天津市,0.12,20200103
文山壮族苗族自治州,云南省,0.12,20200103
揭阳市,广东省,0.12,20200103
