city_name,province_name,value,date
南宁市,广西壮族自治区,20.49,20200101
贵港市,广西壮族自治区,12.99,20200101
茂名市,广东省,7.2,20200101
湛江市,广东省,7.09,20200101
钦州市,广西壮族自治区,5.31,20200101
北海市,广西壮族自治区,5.15,20200101
东莞市,广东省,5.05,20200101
梧州市,广西壮族自治区,3.97,20200101
佛山市,广东省,3.8,20200101
深圳市,广东省,3.78,20200101
广州市,广东省,3.68,20200101
柳州市,广西壮族自治区,2.96,20200101
中山市,广东省,1.5,20200101
桂林市,广西壮族自治区,1.25,20200101
河池市,广西壮族自治区,1.21,20200101
来宾市,广西壮族自治区,1.06,20200101
百色市,广西壮族自治区,1.0,20200101
防城港市,广西壮族自治区,0.92,20200101
江门市,广东省,0.9,20200101
崇左市,广西壮族自治区,0.83,20200101
云浮市,广东省,0.74,20200101
惠州市,广东省,0.72,20200101
贺州市,广西壮族自治区,0.69,20200101
肇庆市,广东省,0.63,20200101
珠海市,广东省,0.49,20200101
文山壮族苗族自治州,云南省,0.32,20200101
阳江市,广东省,0.28,20200101
昆明市,云南省,0.25,20200101
清远市,广东省,0.24,20200101
重庆市,重庆市,0.22,20200101
黔南布依族苗族自治州,贵州省,0.19,20200101
海口市,海南省,0.19,20200101
贵阳市,贵州省,0.13,20200101
黔西南布依族苗族自治州,贵州省,0.13,20200101
北京市,北京市,0.11,20200101
永州市,湖南省,0.11,20200101
黔东南苗族侗族自治州,贵州省,0.11,20200101
郴州市,湖南省,0.1,20200101
衡阳市,湖南省,0.1,20200101
长沙市,湖南省,0.1,20200101
赣州市,江西省,0.09,20200101
怀化市,湖南省,0.09,20200101
成都市,四川省,0.09,20200101
汕头市,广东省,0.08,20200101
武汉市,湖北省,0.08,20200101
遵义市,贵州省,0.07,20200101
河源市,广东省,0.06,20200101
娄底市,湖南省,0.06,20200101
内江市,四川省,0.06,20200101
邵阳市,湖南省,0.06,20200101
南宁市,广西壮族自治区,23.26,20200102
贵港市,广西壮族自治区,8.91,20200102
东莞市,广东省,5.45,20200102
湛江市,广东省,5.44,20200102
广州市,广东省,4.96,20200102
佛山市,广东省,4.67,20200102
茂名市,广东省,4.52,20200102
深圳市,广东省,4.44,20200102
钦州市,广西壮族自治区,3.44,20200102
北海市,广西壮族自治区,3.33,20200102
梧州市,广西壮族自治区,3.21,20200102
柳州市,广西壮族自治区,2.98,20200102
中山市,广东省,2.05,20200102
百色市,广西壮族自治区,1.74,20200102
桂林市,广西壮族自治区,1.7,20200102
河池市,广西壮族自治区,1.62,20200102
防城港市,广西壮族自治区,1.15,20200102
来宾市,广西壮族自治区,1.07,20200102
崇左市,广西壮族自治区,1.01,20200102
贺州市,广西壮族自治区,0.97,20200102
江门市,广东省,0.95,20200102
惠州市,广东省,0.83,20200102
肇庆市,广东省,0.66,20200102
云浮市,广东省,0.6,20200102
珠海市,广东省,0.45,20200102
长沙市,湖南省,0.36,20200102
重庆市,重庆市,0.36,20200102
文山壮族苗族自治州,云南省,0.36,20200102
阳江市,广东省,0.36,20200102
清远市,广东省,0.3,20200102
黔西南布依族苗族自治州,贵州省,0.27,20200102
昆明市,云南省,0.25,20200102
衡阳市,湖南省,0.23,20200102
海口市,海南省,0.22,20200102
成都市,四川省,0.21,20200102
黔东南苗族侗族自治州,贵州省,0.2,20200102
北京市,北京市,0.18,20200102
黔南布依族苗族自治州,贵州省,0.18,20200102
汕头市,广东省,0.16,20200102
贵阳市,贵州省,0.16,20200102
赣州市,江西省,0.15,20200102
邵阳市,湖南省,0.13,20200102
武汉市,湖北省,0.13,20200102
河源市,广东省,0.13,20200102
永州市,湖南省,0.13,20200102
上海市,上海市,0.11,20200102
驻马店市,河南省,0.11,20200102
红河哈尼族彝族自治州,云南省,0.11,20200102
揭阳市,广东省,0.11,20200102
郴州市,湖南省,0.11,20200102
南宁市,广西壮族自治区,25.35,20200103
贵港市,广西壮族自治区,10.39,20200103
湛江市,广东省,6.75,20200103
茂名市,广东省,5.79,20200103
东莞市,广东省,4.24,20200103
广州市,广东省,4.13,20200103
北海市,广西壮族自治区,3.9,20200103
梧州市,广西壮族自治区,3.79,20200103
钦州市,广西壮族自治区,3.68,20200103
佛山市,广东省,3.65,20200103
柳州市,广西壮族自治区,2.98,20200103
深圳市,广东省,2.88,20200103
桂林市,广西壮族自治区,1.47,20200103
中山市,广东省,1.46,20200103
百色市,广西壮族自治区,1.32,20200103
来宾市,广西壮族自治区,1.3,20200103
河池市,广西壮族自治区,1.24,20200103
防城港市,广西壮族自治区,1.0,20200103
崇左市,广西壮族自治区,0.89,20200103
江门市,广东省,0.82,20200103
贺州市,广西壮族自治区,0.78,20200103
云浮市,广东省,0.72,20200103
肇庆市,广东省,0.61,20200103
惠州市,广东省,0.52,20200103
珠海市,广东省,0.52,20200103
海口市,海南省,0.44,20200103
重庆市,重庆市,0.42,20200103
阳江市,广东省,0.37,20200103
文山壮族苗族自治州,云南省,0.33,20200103
昆明市,云南省,0.3,20200103
成都市,四川省,0.23,20200103
黔东南苗族侗族自治州,贵州省,0.21,20200103
清远市,广东省,0.19,20200103
衡阳市,湖南省,0.19,20200103
永州市,湖南省,0.19,20200103
澳门,澳门,0.19,20200103
赣州市,江西省,0.18,20200103
黔西南布依族苗族自治州,贵州省,0.17,20200103
揭阳市,广东省,0.17,20200103
益阳市,湖南省,0.17,20200103
长沙市,湖南省,0.16,20200103
澄迈县,海南省,0.16,20200103
黔南布依族苗族自治州,贵州省,0.15,20200103
汕头市,广东省,0.15,20200103
邵阳市,湖南省,0.13,20200103
贵阳市,贵州省,0.13,20200103
怀化市,湖南省,0.12,20200103
遵义市,贵州省,0.12,20200103
河源市,广东省,0.1,20200103
广安市,四川省,0.1,20200103
南宁市,广西壮族自治区,22.13,20200104
贵港市,广西壮族自治区,13.55,20200104
茂名市,广东省,7.42,20200104
湛江市,广东省,7.37,20200104
钦州市,广西壮族自治区,5.28,20200104
北海市,广西壮族自治区,4.85,20200104
梧州市,广西壮族自治区,4.21,20200104
广州市,广东省,3.57,20200104
佛山市,广东省,2.88,20200104
东莞市,广东省,2.88,20200104
柳州市,广西壮族自治区,2.75,20200104
深圳市,广东省,2.41,20200104
桂林市,广西壮族自治区,1.43,20200104
百色市,广西壮族自治区,1.28,20200104
河池市,广西壮族自治区,1.14,20200104
中山市,广东省,1.08,20200104
来宾市,广西壮族自治区,0.99,20200104
防城港市,广西壮族自治区,0.95,20200104
崇左市,广西壮族自治区,0.75,20200104
贺州市,广西壮族自治区,0.65,20200104
惠州市,广东省,0.62,20200104
江门市,广东省,0.59,20200104
珠海市,广东省,0.53,20200104
云浮市,广东省,0.5,20200104
肇庆市,广东省,0.41,20200104
文山壮族苗族自治州,云南省,0.36,20200104
阳江市,广东省,0.36,20200104
重庆市,重庆市,0.35,20200104
昆明市,云南省,0.34,20200104
黔东南苗族侗族自治州,贵州省,0.33,20200104
清远市,广东省,0.25,20200104
永州市,湖南省,0.24,20200104
衡阳市,湖南省,0.2,20200104
长沙市,湖南省,0.2,20200104
黔南布依族苗族自治州,贵州省,0.19,20200104
黔西南布依族苗族自治州,贵州省,0.19,20200104
成都市,四川省,0.19,20200104
贵阳市,贵州省,0.18,20200104
怀化市,湖南省,0.18,20200104
澳门,澳门,0.16,20200104
常德市,湖南省,0.13,20200104
邵阳市,湖南省,0.12,20200104
汕头市,广东省,0.11,20200104
揭阳市,广东省,0.11,20200104
遵义市,贵州省,0.1,20200104
北京市,北京市,0.1,20200104
赣州市,江西省,0.1,20200104
武汉市,湖北省,0.09,20200104
海口市,海南省,0.09,20200104
上海市,上海市,0.09,20200104
南宁市,广西壮族自治区,21.31,20200105
贵港市,广西壮族自治区,13.29,20200105
湛江市,广东省,7.32,20200105
茂名市,广东省,7.31,20200105
钦州市,广西壮族自治区,5.54,20200105
北海市,广西壮族自治区,4.94,20200105
柳州市,广西壮族自治区,4.72,20200105
梧州市,广西壮族自治区,4.12,20200105
广州市,广东省,3.35,20200105
东莞市,广东省,3.02,20200105
深圳市,广东省,2.67,20200105
佛山市,广东省,2.43,20200105
桂林市,广西壮族自治区,1.58,20200105
河池市,广西壮族自治区,1.21,20200105
百色市,广西壮族自治区,1.1,20200105
中山市,广东省,1.06,20200105
来宾市,广西壮族自治区,0.92,20200105
防城港市,广西壮族自治区,0.78,20200105
贺州市,广西壮族自治区,0.77,20200105
崇左市,广西壮族自治区,0.69,20200105
云浮市,广东省,0.59,20200105
江门市,广东省,0.55,20200105
惠州市,广东省,0.44,20200105
肇庆市,广东省,0.38,20200105
重庆市,重庆市,0.37,20200105
文山壮族苗族自治州,云南省,0.31,20200105
珠海市,广东省,0.31,20200105
阳江市,广东省,0.29,20200105
昆明市,云南省,0.27,20200105
怀化市,湖南省,0.25,20200105
贵阳市,贵州省,0.21,20200105
衡阳市,湖南省,0.21,20200105
长沙市,湖南省,0.2,20200105
黔东南苗族侗族自治州,贵州省,0.19,20200105
清远市,广东省,0.17,20200105
永州市,湖南省,0.15,20200105
成都市,四川省,0.15,20200105
黔西南布依族苗族自治州,贵州省,0.14,20200105
海口市,海南省,0.14,20200105
黔南布依族苗族自治州,贵州省,0.14,20200105
赣州市,江西省,0.14,20200105
邵阳市,湖南省,0.13,20200105
北京市,北京市,0.12,20200105
广安市,四川省,0.11,20200105
遵义市,贵州省,0.11,20200105
上海市,上海市,0.11,20200105
武汉市,湖北省,0.11,20200105
香港,香港,0.1,20200105
曲靖市,云南省,0.1,20200105
汕头市,广东省,0.09,20200105
南宁市,广西壮族自治区,20.2,20200106
贵港市,广西壮族自治区,13.47,20200106
茂名市,广东省,8.16,20200106
湛江市,广东省,7.21,20200106
钦州市,广西壮族自治区,5.52,20200106
北海市,广西壮族自治区,4.93,20200106
