city_name,province_name,value,date
昆明市,云南省,57.15,20200101
红河哈尼族彝族自治州,云南省,16.1,20200101
楚雄彝族自治州,云南省,5.63,20200101
普洱市,云南省,5.1,20200101
曲靖市,云南省,3.93,20200101
文山壮族苗族自治州,云南省,1.43,20200101
西双版纳傣族自治州,云南省,1.33,20200101
大理白族自治州,云南省,1.3,20200101
昭通市,云南省,0.83,20200101
毕节市,贵州省,0.62,20200101
重庆市,重庆市,0.56,20200101
六盘水市,贵州省,0.31,20200101
成都市,四川省,0.25,20200101
贵阳市,贵州省,0.24,20200101
保山市,云南省,0.24,20200101
丽江市,云南省,0.22,20200101
南宁市,广西壮族自治区,0.19,20200101
德宏傣族景颇族自治州,云南省,0.18,20200101
临沧市,云南省,0.17,20200101
黔西南布依族苗族自治州,贵州省,0.12,20200101
广州市,广东省,0.11,20200101
凉山彝族自治州,四川省,0.1,20200101
百色市,广西壮族自治区,0.1,20200101
长沙市,湖南省,0.09,20200101
安顺市,贵州省,0.09,20200101
上海市,上海市,0.08,20200101
泸州市,四川省,0.08,20200101
北京市,北京市,0.08,20200101
遵义市,贵州省,0.07,20200101
深圳市,广东省,0.07,20200101
郑州市,河南省,0.07,20200101
宜宾市,四川省,0.06,20200101
佛山市,广东省,0.06,20200101
玉林市,广西壮族自治区,0.06,20200101
福州市,福建省,0.06,20200101
武汉市,湖北省,0.06,20200101
黔东南苗族侗族自治州,贵州省,0.05,20200101
攀枝花市,四川省,0.05,20200101
赣州市,江西省,0.05,20200101
荆州市,湖北省,0.05,20200101
怀化市,湖南省,0.05,20200101
南充市,四川省,0.05,20200101
湛江市,广东省,0.05,20200101
海口市,海南省,0.04,20200101
西安市,陕西省,0.04,20200101
厦门市,福建省,0.04,20200101
自贡市,四川省,0.04,20200101
迪庆藏族自治州,云南省,0.04,20200101
乌鲁木齐市,新疆维吾尔自治区,0.04,20200101
怒江傈僳族自治州,云南省,0.04,20200101
昆明市,云南省,50.5,20200102
红河哈尼族彝族自治州,云南省,13.72,20200102
普洱市,云南省,5.71,20200102
楚雄彝族自治州,云南省,4.53,20200102
曲靖市,云南省,4.34,20200102
大理白族自治州,云南省,2.11,20200102
文山壮族苗族自治州,云南省,1.81,20200102
昭通市,云南省,1.73,20200102
西双版纳傣族自治州,云南省,1.69,20200102
