city_name,province_name,value,date
中山市,广东省,44.63,20200101
澳门,澳门,10.38,20200101
广州市,广东省,8.75,20200101
江门市,广东省,5.5,20200101
深圳市,广东省,4.64,20200101
佛山市,广东省,4.0,20200101
东莞市,广东省,2.69,20200101
阳江市,广东省,1.39,20200101
湛江市,广东省,1.37,20200101
茂名市,广东省,1.28,20200101
香港,香港,0.94,20200101
惠州市,广东省,0.73,20200101
肇庆市,广东省,0.67,20200101
北京市,北京市,0.63,20200101
云浮市,广东省,0.46,20200101
清远市,广东省,0.44,20200101
上海市,上海市,0.44,20200101
韶关市,广东省,0.4,20200101
长沙市,湖南省,0.31,20200101
梅州市,广东省,0.28,20200101
南昌市,江西省,0.28,20200101
揭阳市,广东省,0.28,20200101
重庆市,重庆市,0.28,20200101
南宁市,广西壮族自治区,0.26,20200101
汕头市,广东省,0.25,20200101
天津市,天津市,0.24,20200101
汕尾市,广东省,0.23,20200101
河源市,广东省,0.23,20200101
武汉市,湖北省,0.22,20200101
玉林市,广西壮族自治区,0.22,20200101
西安市,陕西省,0.19,20200101
梧州市,广西壮族自治区,0.19,20200101
郴州市,湖南省,0.18,20200101
杭州市,浙江省,0.17,20200101
成都市,四川省,0.17,20200101
南京市,江苏省,0.16,20200101
郑州市,河南省,0.15,20200101
桂林市,广西壮族自治区,0.15,20200101
贵港市,广西壮族自治区,0.15,20200101
衡阳市,湖南省,0.14,20200101
厦门市,福建省,0.14,20200101
海口市,海南省,0.13,20200101
赣州市,江西省,0.13,20200101
贺州市,广西壮族自治区,0.12,20200101
邵阳市,湖南省,0.12,20200101
贵阳市,贵州省,0.11,20200101
潮州市,广东省,0.11,20200101
福州市,福建省,0.11,20200101
泉州市,福建省,0.1,20200101
柳州市,广西壮族自治区,0.09,20200101
中山市,广东省,29.42,20200102
广州市,广东省,12.62,20200102
深圳市,广东省,7.17,20200102
澳门,澳门,6.48,20200102
江门市,广东省,4.65,20200102
佛山市,广东省,4.07,20200102
东莞市,广东省,3.59,20200102
湛江市,广东省,1.84,20200102
阳江市,广东省,1.84,20200102
茂名市,广东省,1.68,20200102
北京市,北京市,1.31,20200102
惠州市,广东省,1.17,20200102
上海市,上海市,0.96,20200102
清远市,广东省,0.8,20200102
香港,香港,0.78,20200102
肇庆市,广东省,0.77,20200102
云浮市,广东省,0.59,20200102
长沙市,湖南省,0.55,20200102
天津市,天津市,0.54,20200102
重庆市,重庆市,0.5,20200102
韶关市,广东省,0.5,20200102
武汉市,湖北省,0.5,20200102
成都市,四川省,0.49,20200102
南昌市,江西省,0.41,20200102
南宁市,广西壮族自治区,0.4,20200102
汕尾市,广东省,0.39,20200102
西安市,陕西省,0.37,20200102
汕头市,广东省,0.36,20200102
杭州市,浙江省,0.36,20200102
南京市,江苏省,0.33,20200102
揭阳市,广东省,0.32,20200102
郑州市,河南省,0.31,20200102
梅州市,广东省,0.3,20200102
桂林市,广西壮族自治区,0.28,20200102
梧州市,广西壮族自治区,0.28,20200102
河源市,广东省,0.27,20200102
衡阳市,湖南省,0.26,20200102
玉林市,广西壮族自治区,0.25,20200102
贵港市,广西壮族自治区,0.25,20200102
贵阳市,贵州省,0.25,20200102
苏州市,江苏省,0.24,20200102
郴州市,湖南省,0.24,20200102
柳州市,广西壮族自治区,0.22,20200102
厦门市,福建省,0.22,20200102
福州市,福建省,0.22,20200102
沈阳市,辽宁省,0.21,20200102
赣州市,江西省,0.21,20200102
哈尔滨市,黑龙江省,0.19,20200102
贺州市,广西壮族自治区,0.19,20200102
大连市,辽宁省,0.19,20200102
中山市,广东省,29.32,20200103
澳门,澳门,17.47,20200103
广州市,广东省,11.61,20200103
深圳市,广东省,6.8,20200103
江门市,广东省,4.37,20200103
佛山市,广东省,3.62,20200103
东莞市,广东省,3.09,20200103
湛江市,广东省,1.2,20200103
阳江市,广东省,1.16,20200103
茂名市,广东省,1.15,20200103
北京市,北京市,1.03,20200103
惠州市,广东省,0.84,20200103
上海市,上海市,0.82,20200103
香港,香港,0.76,20200103
肇庆市,广东省,0.74,20200103
长沙市,湖南省,0.59,20200103
清远市,广东省,0.45,20200103
南昌市,江西省,0.43,20200103
武汉市,湖北省,0.38,20200103
韶关市,广东省,0.36,20200103
云浮市,广东省,0.35,20200103
