city_name,province_name,value,date
通化市,吉林省,28.55,20200101
长春市,吉林省,24.37,20200101
延边朝鲜族自治州,吉林省,10.83,20200101
吉林市,吉林省,5.43,20200101
沈阳市,辽宁省,4.08,20200101
北京市,北京市,2.25,20200101
四平市,吉林省,2.18,20200101
青岛市,山东省,1.51,20200101
大连市,辽宁省,1.35,20200101
辽源市,吉林省,1.35,20200101
上海市,上海市,1.28,20200101
天津市,天津市,0.86,20200101
哈尔滨市,黑龙江省,0.86,20200101
丹东市,辽宁省,0.73,20200101
深圳市,广东省,0.67,20200101
牡丹江市,黑龙江省,0.67,20200101
抚顺市,辽宁省,0.61,20200101
松原市,吉林省,0.57,20200101
白城市,吉林省,0.54,20200101
济南市,山东省,0.35,20200101
潍坊市,山东省,0.35,20200101
铁岭市,辽宁省,0.32,20200101
葫芦岛市,辽宁省,0.32,20200101
南京市,江苏省,0.28,20200101
通辽市,内蒙古自治区,0.28,20200101
秦皇岛市,河北省,0.28,20200101
鞍山市,辽宁省,0.28,20200101
广州市,广东省,0.28,20200101
廊坊市,河北省,0.25,20200101
承德市,河北省,0.22,20200101
保定市,河北省,0.22,20200101
本溪市,辽宁省,0.19,20200101
杭州市,浙江省,0.19,20200101
唐山市,河北省,0.19,20200101
金华市,浙江省,0.19,20200101
成都市,四川省,0.19,20200101
锦州市,辽宁省,0.16,20200101
苏州市,江苏省,0.16,20200101
泰安市,山东省,0.16,20200101
辽阳市,辽宁省,0.16,20200101
合肥市,安徽省,0.16,20200101
威海市,山东省,0.16,20200101
佛山市,广东省,0.16,20200101
呼伦贝尔市,内蒙古自治区,0.16,20200101
营口市,辽宁省,0.16,20200101
东莞市,广东省,0.16,20200101
沧州市,河北省,0.16,20200101
三亚市,海南省,0.12,20200101
阜新市,辽宁省,0.12,20200101
太原市,山西省,0.12,20200101
长春市,吉林省,25.91,20200102
通化市,吉林省,21.09,20200102
延边朝鲜族自治州,吉林省,7.58,20200102
吉林市,吉林省,5.52,20200102
沈阳市,辽宁省,4.37,20200102
北京市,北京市,2.78,20200102
上海市,上海市,2.69,20200102
大连市,辽宁省,2.17,20200102
青岛市,山东省,1.95,20200102
四平市,吉林省,1.78,20200102
哈尔滨市,黑龙江省,1.44,20200102
天津市,天津市,1.41,20200102
辽源市,吉林省,1.22,20200102
白城市,吉林省,0.85,20200102
本溪市,辽宁省,0.83,20200102
潍坊市,山东省,0.75,20200102
松原市,吉林省,0.73,20200102
丹东市,辽宁省,0.66,20200102
临沂市,山东省,0.58,20200102
铁岭市,辽宁省,0.53,20200102
牡丹江市,黑龙江省,0.51,20200102
营口市,辽宁省,0.48,20200102
烟台市,山东省,0.48,20200102
济南市,山东省,0.46,20200102
深圳市,广东省,0.44,20200102
抚顺市,辽宁省,0.44,20200102
苏州市,江苏省,0.39,20200102
日照市,山东省,0.36,20200102
威海市,山东省,0.36,20200102
秦皇岛市,河北省,0.34,20200102
廊坊市,河北省,0.34,20200102
锦州市,辽宁省,0.34,20200102
南京市,江苏省,0.34,20200102
宁波市,浙江省,0.31,20200102
鞍山市,辽宁省,0.26,20200102
淄博市,山东省,0.26,20200102
广州市,广东省,0.24,20200102
辽阳市,辽宁省,0.24,20200102
通辽市,内蒙古自治区,0.24,20200102
盘锦市,辽宁省,0.22,20200102
唐山市,河北省,0.22,20200102
郑州市,河南省,0.22,20200102
海口市,海南省,0.19,20200102
重庆市,重庆市,0.19,20200102
杭州市,浙江省,0.17,20200102
太原市,山西省,0.17,20200102
齐齐哈尔市,黑龙江省,0.17,20200102
成都市,四川省,0.14,20200102
福州市,福建省,0.14,20200102
南通市,江苏省,0.14,20200102
长春市,吉林省,29.11,20200103
通化市,吉林省,21.0,20200103
延边朝鲜族自治州,吉林省,9.67,20200103
吉林市,吉林省,5.82,20200103
沈阳市,辽宁省,3.91,20200103
北京市,北京市,2.08,20200103
上海市,上海市,2.08,20200103
大连市,辽宁省,1.93,20200103
四平市,吉林省,1.81,20200103
辽源市,吉林省,1.7,20200103
哈尔滨市,黑龙江省,1.34,20200103
青岛市,山东省,1.29,20200103
天津市,天津市,1.03,20200103
松原市,吉林省,0.72,20200103
牡丹江市,黑龙江省,0.68,20200103
丹东市,辽宁省,0.62,20200103
抚顺市,辽宁省,0.6,20200103
潍坊市,山东省,0.55,20200103
本溪市,辽宁省,0.53,20200103
济南市,山东省,0.51,20200103
营口市,辽宁省,0.46,20200103
廊坊市,河北省,0.43,20200103
鞍山市,辽宁省,0.39,20200103
秦皇岛市,河北省,0.36,20200103
白城市,吉林省,0.32,20200103
杭州市,浙江省,0.32,20200103
铁岭市,辽宁省,0.32,20200103
锦州市,辽宁省,0.32,20200103
威海市,山东省,0.31,20200103
广州市,广东省,0.29,20200103
淄博市,山东省,0.29,20200103
烟台市,山东省,0.27,20200103
郑州市,河南省,0.27,20200103
鸡西市,黑龙江省,0.25,20200103
临沂市,山东省,0.25,20200103
深圳市,广东省,0.22,20200103
苏州市,江苏省,0.22,20200103
南京市,江苏省,0.2,20200103
衡水市,河北省,0.2,20200103
辽阳市,辽宁省,0.17,20200103
无锡市,江苏省,0.17,20200103
通辽市,内蒙古自治区,0.15,20200103
保定市,河北省,0.15,20200103
佛山市,广东省,0.15,20200103
西安市,陕西省,0.15,20200103
长沙市,湖南省,0.13,20200103
滨州市,山东省,0.13,20200103
日照市,山东省,0.13,20200103
盘锦市,辽宁省,0.13,20200103
海口市,海南省,0.13,20200103
长春市,吉林省,26.35,20200104
通化市,吉林省,21.39,20200104
延边朝鲜族自治州,吉林省,9.64,20200104
吉林市,吉林省,5.69,20200104
沈阳市,辽宁省,4.92,20200104
北京市,北京市,2.26,20200104
大连市,辽宁省,2.03,20200104
上海市,上海市,1.92,20200104
辽源市,吉林省,1.79,20200104
四平市,吉林省,1.76,20200104
青岛市,山东省,1.32,20200104
天津市,天津市,1.25,20200104
哈尔滨市,黑龙江省,1.11,20200104
抚顺市,辽宁省,0.93,20200104
丹东市,辽宁省,0.61,20200104
临沂市,山东省,0.58,20200104
牡丹江市,黑龙江省,0.54,20200104
济南市,山东省,0.54,20200104
本溪市,辽宁省,0.51,20200104
锦州市,辽宁省,0.51,20200104
鞍山市,辽宁省,0.43,20200104
辽阳市,辽宁省,0.42,20200104
松原市,吉林省,0.42,20200104
营口市,辽宁省,0.42,20200104
深圳市,广东省,0.36,20200104
威海市,山东省,0.36,20200104
杭州市,浙江省,0.33,20200104
潍坊市,山东省,0.31,20200104
西安市,陕西省,0.31,20200104
廊坊市,河北省,0.3,20200104
烟台市,山东省,0.28,20200104
铁岭市,辽宁省,0.27,20200104
白城市,吉林省,0.25,20200104
唐山市,河北省,0.25,20200104
长沙市,湖南省,0.25,20200104
日照市,山东省,0.24,20200104
广州市,广东省,0.24,20200104
郑州市,河南省,0.24,20200104
秦皇岛市,河北省,0.22,20200104
保定市,河北省,0.22,20200104
宁波市,浙江省,0.22,20200104
苏州市,江苏省,0.22,20200104
金华市,浙江省,0.22,20200104
绥化市,黑龙江省,0.18,20200104
阿勒泰地区,新疆维吾尔自治区,0.18,20200104
葫芦岛市,辽宁省,0.18,20200104
沧州市,河北省,0.16,20200104
无锡市,江苏省,0.15,20200104
通辽市,内蒙古自治区,0.15,20200104
黔西南布依族苗族自治州,贵州省,0.15,20200104
长春市,吉林省,28.26,20200105
通化市,吉林省,22.06,20200105
延边朝鲜族自治州,吉林省,8.77,20200105
吉林市,吉林省,6.05,20200105
沈阳市,辽宁省,4.49,20200105
北京市,北京市,2.41,20200105
大连市,辽宁省,2.3,20200105
四平市,吉林省,2.06,20200105
青岛市,山东省,1.6,20200105
辽源市,吉林省,1.57,20200105
哈尔滨市,黑龙江省,1.46,20200105
上海市,上海市,1.29,20200105
天津市,天津市,0.98,20200105
丹东市,辽宁省,0.85,20200105
松原市,吉林省,0.66,20200105
济南市,山东省,0.61,20200105
牡丹江市,黑龙江省,0.6,20200105
烟台市,山东省,0.47,20200105
抚顺市,辽宁省,0.45,20200105
本溪市,辽宁省,0.42,20200105
杭州市,浙江省,0.4,20200105
潍坊市,山东省,0.38,20200105
临沂市,山东省,0.35,20200105
鞍山市,辽宁省,0.32,20200105
盘锦市,辽宁省,0.3,20200105
苏州市,江苏省,0.3,20200105
广州市,广东省,0.3,20200105
白城市,吉林省,0.3,20200105
铁岭市,辽宁省,0.29,20200105
威海市,山东省,0.27,20200105
长沙市,湖南省,0.27,20200105
太原市,山西省,0.24,20200105
深圳市,广东省,0.24,20200105
厦门市,福建省,0.22,20200105
营口市,辽宁省,0.21,20200105
唐山市,河北省,0.21,20200105
南京市,江苏省,0.19,20200105
南昌市,江西省,0.17,20200105
曲靖市,云南省,0.17,20200105
秦皇岛市,河北省,0.17,20200105
银川市,宁夏回族自治区,0.16,20200105
日照市,山东省,0.16,20200105
齐齐哈尔市,黑龙江省,0.16,20200105
成都市,四川省,0.16,20200105
沧州市,河北省,0.14,20200105
保定市,河北省,0.14,20200105
