city_name,province_name,value,date
兰州市,甘肃省,48.64,20200101
定西市,甘肃省,8.97,20200101
中卫市,宁夏回族自治区,6.21,20200101
阿拉善盟,内蒙古自治区,3.1,20200101
平凉市,甘肃省,2.76,20200101
武威市,甘肃省,2.72,20200101
银川市,宁夏回族自治区,2.03,20200101
西安市,陕西省,1.93,20200101
天水市,甘肃省,1.38,20200101
临夏回族自治州,甘肃省,1.33,20200101
固原市,宁夏回族自治区,1.23,20200101
吴忠市,宁夏回族自治区,1.04,20200101
庆阳市,甘肃省,0.91,20200101
北京市,北京市,0.9,20200101
榆林市,陕西省,0.77,20200101
西宁市,青海省,0.75,20200101
乌鲁木齐市,新疆维吾尔自治区,0.66,20200101
海西蒙古族藏族自治州,青海省,0.56,20200101
成都市,四川省,0.56,20200101
天津市,天津市,0.55,20200101
酒泉市,甘肃省,0.55,20200101
张掖市,甘肃省,0.51,20200101
金昌市,甘肃省,0.46,20200101
甘南藏族自治州,甘肃省,0.4,20200101
陇南市,甘肃省,0.4,20200101
上海市,上海市,0.38,20200101
鄂尔多斯市,内蒙古自治区,0.33,20200101
石嘴山市,宁夏回族自治区,0.28,20200101
咸阳市,陕西省,0.27,20200101
巴彦淖尔市,内蒙古自治区,0.25,20200101
海东市,青海省,0.24,20200101
郑州市,河南省,0.22,20200101
杭州市,浙江省,0.22,20200101
嘉峪关市,甘肃省,0.2,20200101
宝鸡市,陕西省,0.2,20200101
苏州市,江苏省,0.19,20200101
广州市,广东省,0.19,20200101
石家庄市,河北省,0.19,20200101
昆明市,云南省,0.19,20200101
呼和浩特市,内蒙古自治区,0.17,20200101
南京市,江苏省,0.16,20200101
重庆市,重庆市,0.14,20200101
无锡市,江苏省,0.14,20200101
乌海市,内蒙古自治区,0.13,20200101
武汉市,湖北省,0.12,20200101
南阳市,河南省,0.12,20200101
哈尔滨市,黑龙江省,0.12,20200101
吐鲁番市,新疆维吾尔自治区,0.12,20200101
沈阳市,辽宁省,0.12,20200101
洛阳市,河南省,0.12,20200101
兰州市,甘肃省,46.98,20200102
定西市,甘肃省,5.17,20200102
中卫市,宁夏回族自治区,3.37,20200102
银川市,宁夏回族自治区,2.75,20200102
西安市,陕西省,2.68,20200102
平凉市,甘肃省,2.2,20200102
武威市,甘肃省,1.98,20200102
阿拉善盟,内蒙古自治区,1.79,20200102
天水市,甘肃省,1.68,20200102
临夏回族自治州,甘肃省,1.55,20200102
庆阳市,甘肃省,1.25,20200102
西宁市,青海省,1.2,20200102
北京市,北京市,1.03,20200102
天津市,天津市,0.98,20200102
榆林市,陕西省,0.96,20200102
固原市,宁夏回族自治区,0.92,20200102
吴忠市,宁夏回族自治区,0.83,20200102
成都市,四川省,0.82,20200102
乌鲁木齐市,新疆维吾尔自治区,0.73,20200102
张掖市,甘肃省,0.67,20200102
酒泉市,甘肃省,0.66,20200102
陇南市,甘肃省,0.56,20200102
咸阳市,陕西省,0.5,20200102
鄂尔多斯市,内蒙古自治区,0.49,20200102
金昌市,甘肃省,0.49,20200102
苏州市,江苏省,0.43,20200102
甘南藏族自治州,甘肃省,0.41,20200102
杭州市,浙江省,0.41,20200102
海西蒙古族藏族自治州,青海省,0.41,20200102
武汉市,湖北省,0.38,20200102
上海市,上海市,0.36,20200102
郑州市,河南省,0.35,20200102
石家庄市,河北省,0.35,20200102
青岛市,山东省,0.34,20200102
南阳市,河南省,0.3,20200102
石嘴山市,宁夏回族自治区,0.3,20200102
哈尔滨市,黑龙江省,0.29,20200102
宝鸡市,陕西省,0.28,20200102
深圳市,广东省,0.27,20200102
呼和浩特市,内蒙古自治区,0.27,20200102
重庆市,重庆市,0.25,20200102
海东市,青海省,0.25,20200102
嘉峪关市,甘肃省,0.23,20200102
南京市,江苏省,0.23,20200102
哈密市,新疆维吾尔自治区,0.2,20200102
昌吉回族自治州,新疆维吾尔自治区,0.2,20200102
渭南市,陕西省,0.2,20200102
广州市,广东省,0.19,20200102
喀什地区,新疆维吾尔自治区,0.19,20200102
海口市,海南省,0.19,20200102
兰州市,甘肃省,52.98,20200103
定西市,甘肃省,5.3,20200103
中卫市,宁夏回族自治区,4.08,20200103
阿拉善盟,内蒙古自治区,2.39,20200103
平凉市,甘肃省,2.33,20200103
武威市,甘肃省,2.31,20200103
银川市,宁夏回族自治区,2.27,20200103
西安市,陕西省,2.0,20200103
临夏回族自治州,甘肃省,1.56,20200103
天水市,甘肃省,1.44,20200103
庆阳市,甘肃省,1.36,20200103
西宁市,青海省,0.93,20200103
固原市,宁夏回族自治区,0.92,20200103
榆林市,陕西省,0.87,20200103
吴忠市,宁夏回族自治区,0.86,20200103
天津市,天津市,0.75,20200103
北京市,北京市,0.75,20200103
成都市,四川省,0.56,20200103
乌鲁木齐市,新疆维吾尔自治区,0.56,20200103
石嘴山市,宁夏回族自治区,0.46,20200103
陇南市,甘肃省,0.46,20200103
酒泉市,甘肃省,0.45,20200103
上海市,上海市,0.43,20200103
海西蒙古族藏族自治州,青海省,0.39,20200103
济南市,山东省,0.36,20200103
金昌市,甘肃省,0.33,20200103
张掖市,甘肃省,0.32,20200103
咸阳市,陕西省,0.32,20200103
宝鸡市,陕西省,0.31,20200103
苏州市,江苏省,0.31,20200103
郑州市,河南省,0.3,20200103
鄂尔多斯市,内蒙古自治区,0.28,20200103
昌吉回族自治州,新疆维吾尔自治区,0.27,20200103
杭州市,浙江省,0.24,20200103
海东市,青海省,0.24,20200103
武汉市,湖北省,0.24,20200103
深圳市,广东省,0.23,20200103
石家庄市,河北省,0.22,20200103
南昌市,江西省,0.21,20200103
嘉峪关市,甘肃省,0.2,20200103
南京市,江苏省,0.19,20200103
乌海市,内蒙古自治区,0.18,20200103
广州市,广东省,0.16,20200103
巴彦淖尔市,内蒙古自治区,0.15,20200103
长沙市,湖南省,0.15,20200103
甘南藏族自治州,甘肃省,0.15,20200103
哈尔滨市,黑龙江省,0.15,20200103
喀什地区,新疆维吾尔自治区,0.14,20200103
吕梁市,山西省,0.14,20200103
哈密市,新疆维吾尔自治区,0.13,20200103
兰州市,甘肃省,52.11,20200104
定西市,甘肃省,5.73,20200104
中卫市,宁夏回族自治区,4.21,20200104
平凉市,甘肃省,2.76,20200104
银川市,宁夏回族自治区,2.57,20200104
武威市,甘肃省,2.44,20200104
西安市,陕西省,2.02,20200104
阿拉善盟,内蒙古自治区,1.94,20200104
天水市,甘肃省,1.58,20200104
天津市,天津市,1.14,20200104
临夏回族自治州,甘肃省,1.14,20200104
固原市,宁夏回族自治区,1.14,20200104
吴忠市,宁夏回族自治区,1.08,20200104
庆阳市,甘肃省,1.03,20200104
西宁市,青海省,0.89,20200104
北京市,北京市,0.89,20200104
乌鲁木齐市,新疆维吾尔自治区,0.73,20200104
酒泉市,甘肃省,0.68,20200104
榆林市,陕西省,0.53,20200104
成都市,四川省,0.46,20200104
金昌市,甘肃省,0.42,20200104
咸阳市,陕西省,0.4,20200104
上海市,上海市,0.39,20200104
郑州市,河南省,0.38,20200104
鄂尔多斯市,内蒙古自治区,0.37,20200104
陇南市,甘肃省,0.36,20200104
张掖市,甘肃省,0.35,20200104
武汉市,湖北省,0.34,20200104
苏州市,江苏省,0.31,20200104
重庆市,重庆市,0.27,20200104
济南市,山东省,0.27,20200104
海西蒙古族藏族自治州,青海省,0.26,20200104
甘南藏族自治州,甘肃省,0.25,20200104
嘉峪关市,甘肃省,0.22,20200104
广州市,广东省,0.22,20200104
昌吉回族自治州,新疆维吾尔自治区,0.22,20200104
南昌市,江西省,0.21,20200104
宝鸡市,陕西省,0.2,20200104
石嘴山市,宁夏回族自治区,0.19,20200104
石家庄市,河北省,0.18,20200104
深圳市,广东省,0.18,20200104
长春市,吉林省,0.16,20200104
青岛市,山东省,0.16,20200104
乌海市,内蒙古自治区,0.15,20200104
哈尔滨市,黑龙江省,0.15,20200104
呼和浩特市,内蒙古自治区,0.15,20200104
巴彦淖尔市,内蒙古自治区,0.15,20200104
杭州市,浙江省,0.14,20200104
哈密市,新疆维吾尔自治区,0.14,20200104
厦门市,福建省,0.12,20200104
兰州市,甘肃省,52.64,20200105
定西市,甘肃省,5.89,20200105
中卫市,宁夏回族自治区,4.08,20200105
阿拉善盟,内蒙古自治区,2.88,20200105
武威市,甘肃省,2.38,20200105
西安市,陕西省,2.28,20200105
银川市,宁夏回族自治区,2.0,20200105
平凉市,甘肃省,1.89,20200105
天水市,甘肃省,1.44,20200105
庆阳市,甘肃省,1.42,20200105
吴忠市,宁夏回族自治区,0.94,20200105
临夏回族自治州,甘肃省,0.93,20200105
北京市,北京市,0.84,20200105
天津市,天津市,0.83,20200105
西宁市,青海省,0.83,20200105
乌鲁木齐市,新疆维吾尔自治区,0.77,20200105
固原市,宁夏回族自治区,0.76,20200105
陇南市,甘肃省,0.53,20200105
酒泉市,甘肃省,0.51,20200105
成都市,四川省,0.5,20200105
海西蒙古族藏族自治州,青海省,0.5,20200105
张掖市,甘肃省,0.43,20200105
金昌市,甘肃省,0.43,20200105
上海市,上海市,0.41,20200105
咸阳市,陕西省,0.38,20200105
郑州市,河南省,0.38,20200105
武汉市,湖北省,0.34,20200105
杭州市,浙江省,0.33,20200105
济南市,山东省,0.33,20200105
甘南藏族自治州,甘肃省,0.33,20200105
嘉峪关市,甘肃省,0.32,20200105
重庆市,重庆市,0.31,20200105
南京市,江苏省,0.26,20200105
广州市,广东省,0.24,20200105
哈密市,新疆维吾尔自治区,0.23,20200105
阿克苏地区,新疆维吾尔自治区,0.21,20200105
深圳市,广东省,0.21,20200105
巴彦淖尔市,内蒙古自治区,0.2,20200105
宝鸡市,陕西省,0.2,20200105
哈尔滨市,黑龙江省,0.19,20200105
青岛市,山东省,0.19,20200105
榆林市,陕西省,0.18,20200105
南昌市,江西省,0.14,20200105
保定市,河北省,0.14,20200105
福州市,福建省,0.13,20200105
苏州市,江苏省,0.13,20200105
昌吉回族自治州,新疆维吾尔自治区,0.13,20200105
包头市,内蒙古自治区,0.13,20200105
长春市,吉林省,0.13,20200105
沈阳市,辽宁省,0.13,20200105
兰州市,甘肃省,49.63,20200106
定西市,甘肃省,5.71,20200106
中卫市,宁夏回族自治区,3.89,20200106
武威市,甘肃省,2.76,20200106
阿拉善盟,内蒙古自治区,2.68,20200106
天水市,甘肃省,2.33,20200106
西安市,陕西省,2.19,20200106
银川市,宁夏回族自治区,2.08,20200106
平凉市,甘肃省,1.87,20200106
天津市,天津市,1.12,20200106
庆阳市,甘肃省,1.12,20200106
