city_name,province_name,value,date
长沙市,湖南省,48.77,20200101
岳阳市,湖南省,8.65,20200101
常德市,湖南省,8.21,20200101
娄底市,湖南省,4.83,20200101
株洲市,湖南省,2.26,20200101
广州市,广东省,2.15,20200101
深圳市,广东省,1.71,20200101
湘潭市,湖南省,1.64,20200101
东莞市,广东省,1.55,20200101
怀化市,湖南省,1.4,20200101
佛山市,广东省,0.95,20200101
邵阳市,湖南省,0.83,20200101
衡阳市,湖南省,0.81,20200101
荆州市,湖北省,0.56,20200101
武汉市,湖北省,0.56,20200101
惠州市,广东省,0.5,20200101
沧州市,河北省,0.46,20200101
张家界市,湖南省,0.45,20200101
上海市,上海市,0.41,20200101
郴州市,湖南省,0.39,20200101
中山市,广东省,0.38,20200101
永州市,湖南省,0.35,20200101
湘西土家族苗族自治州,湖南省,0.33,20200101
北京市,北京市,0.3,20200101
重庆市,重庆市,0.29,20200101
济南市,山东省,0.28,20200101
天津市,天津市,0.28,20200101
宁波市,浙江省,0.27,20200101
清远市,广东省,0.23,20200101
珠海市,广东省,0.21,20200101
保定市,河北省,0.21,20200101
金华市,浙江省,0.19,20200101
东营市,山东省,0.19,20200101
宜春市,江西省,0.18,20200101
桂林市,广西壮族自治区,0.17,20200101
苏州市,江苏省,0.17,20200101
杭州市,浙江省,0.16,20200101
江门市,广东省,0.16,20200101
廊坊市,河北省,0.15,20200101
嘉兴市,浙江省,0.15,20200101
襄阳市,湖北省,0.15,20200101
淄博市,山东省,0.14,20200101
南宁市,广西壮族自治区,0.14,20200101
滨州市,山东省,0.13,20200101
南昌市,江西省,0.13,20200101
温州市,浙江省,0.13,20200101
绍兴市,浙江省,0.12,20200101
宜昌市,湖北省,0.12,20200101
南阳市,河南省,0.12,20200101
肇庆市,广东省,0.12,20200101
长沙市,湖南省,45.65,20200102
岳阳市,湖南省,6.15,20200102
常德市,湖南省,5.73,20200102
广州市,广东省,3.25,20200102
娄底市,湖南省,3.03,20200102
东莞市,广东省,2.54,20200102
深圳市,广东省,2.49,20200102
株洲市,湖南省,2.37,20200102
湘潭市,湖南省,1.56,20200102
佛山市,广东省,1.28,20200102
怀化市,湖南省,1.28,20200102
衡阳市,湖南省,1.12,20200102
邵阳市,湖南省,0.94,20200102
武汉市,湖北省,0.75,20200102
中山市,广东省,0.72,20200102
上海市,上海市,0.69,20200102
