city_name,province_name,value,date
长沙市,湖南省,51.99,20200101
岳阳市,湖南省,10.53,20200101
常德市,湖南省,9.89,20200101
娄底市,湖南省,5.24,20200101
株洲市,湖南省,2.42,20200101
湘潭市,湖南省,1.96,20200101
怀化市,湖南省,1.58,20200101
衡阳市,湖南省,1.2,20200101
广州市,广东省,1.13,20200101
深圳市,广东省,0.97,20200101
邵阳市,湖南省,0.93,20200101
荆州市,湖北省,0.74,20200101
东莞市,广东省,0.67,20200101
张家界市,湖南省,0.48,20200101
佛山市,广东省,0.48,20200101
永州市,湖南省,0.45,20200101
湘西土家族苗族自治州,湖南省,0.43,20200101
武汉市,湖北省,0.41,20200101
郴州市,湖南省,0.41,20200101
重庆市,重庆市,0.36,20200101
中山市,广东省,0.23,20200101
上海市,上海市,0.21,20200101
宜春市,江西省,0.2,20200101
咸宁市,湖北省,0.19,20200101
桂林市,广西壮族自治区,0.18,20200101
惠州市,广东省,0.18,20200101
清远市,广东省,0.15,20200101
三亚市,海南省,0.14,20200101
贵阳市,贵州省,0.14,20200101
北京市,北京市,0.14,20200101
萍乡市,江西省,0.14,20200101
韶关市,广东省,0.13,20200101
南阳市,河南省,0.12,20200101
杭州市,浙江省,0.12,20200101
南宁市,广西壮族自治区,0.11,20200101
南昌市,江西省,0.11,20200101
宜昌市,湖北省,0.1,20200101
铜仁市,贵州省,0.1,20200101
江门市,广东省,0.08,20200101
孝感市,湖北省,0.08,20200101
珠海市,广东省,0.08,20200101
金华市,浙江省,0.08,20200101
黄冈市,湖北省,0.08,20200101
荆门市,湖北省,0.08,20200101
宁波市,浙江省,0.08,20200101
阳江市,广东省,0.08,20200101
柳州市,广西壮族自治区,0.07,20200101
肇庆市,广东省,0.07,20200101
潜江市,湖北省,0.06,20200101
昆明市,云南省,0.06,20200101
长沙市,湖南省,53.0,20200102
常德市,湖南省,7.27,20200102
岳阳市,湖南省,7.1,20200102
娄底市,湖南省,3.89,20200102
株洲市,湖南省,2.35,20200102
