city_name,province_name,value,date
苏州市,江苏省,11.5,20200101
泰州市,江苏省,11.07,20200101
南通市,江苏省,10.71,20200101
上海市,上海市,10.39,20200101
无锡市,江苏省,7.2,20200101
南京市,江苏省,7.05,20200101
连云港市,江苏省,6.72,20200101
淮安市,江苏省,4.78,20200101
扬州市,江苏省,3.28,20200101
常州市,江苏省,2.76,20200101
宿迁市,江苏省,1.93,20200101
徐州市,江苏省,1.77,20200101
镇江市,江苏省,1.26,20200101
临沂市,山东省,1.12,20200101
杭州市,浙江省,0.97,20200101
潍坊市,山东省,0.9,20200101
青岛市,山东省,0.86,20200101
北京市,北京市,0.8,20200101
嘉兴市,浙江省,0.69,20200101
宁波市,浙江省,0.51,20200101
合肥市,安徽省,0.43,20200101
天津市,天津市,0.42,20200101
滁州市,安徽省,0.4,20200101
济南市,山东省,0.34,20200101
湖州市,浙江省,0.33,20200101
日照市,山东省,0.32,20200101
郑州市,河南省,0.29,20200101
济宁市,山东省,0.28,20200101
台州市,浙江省,0.28,20200101
宿州市,安徽省,0.27,20200101
金华市,浙江省,0.26,20200101
烟台市,山东省,0.25,20200101
沧州市,河北省,0.23,20200101
商丘市,河南省,0.23,20200101
绍兴市,浙江省,0.22,20200101
淄博市,山东省,0.22,20200101
滨州市,山东省,0.22,20200101
温州市,浙江省,0.2,20200101
西安市,陕西省,0.19,20200101
石家庄市,河北省,0.18,20200101
菏泽市,山东省,0.18,20200101
深圳市,广东省,0.17,20200101
重庆市,重庆市,0.17,20200101
东营市,山东省,0.16,20200101
蚌埠市,安徽省,0.16,20200101
武汉市,湖北省,0.16,20200101
枣庄市,山东省,0.15,20200101
泰安市,山东省,0.14,20200101
芜湖市,安徽省,0.14,20200101
广州市,广东省,0.14,20200101
苏州市,江苏省,13.51,20200102
上海市,上海市,11.43,20200102
南京市,江苏省,8.66,20200102
南通市,江苏省,7.29,20200102
无锡市,江苏省,6.69,20200102
泰州市,江苏省,6.32,20200102
连云港市,江苏省,5.07,20200102
淮安市,江苏省,3.97,20200102
常州市,江苏省,3.11,20200102
扬州市,江苏省,2.84,20200102
徐州市,江苏省,2.1,20200102
宿迁市,江苏省,1.85,20200102
镇江市,江苏省,1.54,20200102
临沂市,山东省,1.21,20200102
杭州市,浙江省,1.09,20200102
北京市,北京市,0.98,20200102
嘉兴市,浙江省,0.98,20200102
青岛市,山东省,0.91,20200102
潍坊市,山东省,0.71,20200102
宁波市,浙江省,0.63,20200102
菏泽市,山东省,0.55,20200102
天津市,天津市,0.49,20200102
济南市,山东省,0.49,20200102
滁州市,安徽省,0.46,20200102
合肥市,安徽省,0.46,20200102
郑州市,河南省,0.45,20200102
湖州市,浙江省,0.45,20200102
日照市,山东省,0.42,20200102
商丘市,河南省,0.39,20200102
台州市,浙江省,0.38,20200102
宿州市,安徽省,0.33,20200102
西安市,陕西省,0.33,20200102
武汉市,湖北省,0.33,20200102
金华市,浙江省,0.33,20200102
济宁市,山东省,0.33,20200102
绍兴市,浙江省,0.32,20200102
温州市,浙江省,0.31,20200102
沈阳市,辽宁省,0.3,20200102
芜湖市,安徽省,0.29,20200102
淄博市,山东省,0.28,20200102
烟台市,山东省,0.27,20200102
东营市,山东省,0.26,20200102
石家庄市,河北省,0.24,20200102
聊城市,山东省,0.24,20200102
成都市,四川省,0.24,20200102
滨州市,山东省,0.22,20200102
深圳市,广东省,0.21,20200102
德州市,山东省,0.21,20200102
广州市,广东省,0.2,20200102
沧州市,河北省,0.2,20200102
苏州市,江苏省,11.85,20200103
上海市,上海市,11.53,20200103
泰州市,江苏省,9.1,20200103
南京市,江苏省,8.99,20200103
南通市,江苏省,8.72,20200103
无锡市,江苏省,6.83,20200103
连云港市,江苏省,5.48,20200103
淮安市,江苏省,4.04,20200103
扬州市,江苏省,2.97,20200103
常州市,江苏省,2.91,20200103
徐州市,江苏省,2.03,20200103
宿迁市,江苏省,1.58,20200103
镇江市,江苏省,1.33,20200103
临沂市,山东省,1.28,20200103
北京市,北京市,0.99,20200103
青岛市,山东省,0.9,20200103
嘉兴市,浙江省,0.85,20200103
杭州市,浙江省,0.85,20200103
潍坊市,山东省,0.78,20200103
宁波市,浙江省,0.67,20200103
天津市,天津市,0.58,20200103
济南市,山东省,0.54,20200103
湖州市,浙江省,0.46,20200103
合肥市,安徽省,0.4,20200103
台州市,浙江省,0.39,20200103
日照市,山东省,0.38,20200103
