city_name,province_name,value,date
泰州市,江苏省,12.13,20200101
苏州市,江苏省,11.58,20200101
上海市,上海市,10.41,20200101
南通市,江苏省,10.34,20200101
南京市,江苏省,7.83,20200101
无锡市,江苏省,6.94,20200101
连云港市,江苏省,6.69,20200101
淮安市,江苏省,5.16,20200101
扬州市,江苏省,2.89,20200101
常州市,江苏省,2.82,20200101
徐州市,江苏省,1.66,20200101
宿迁市,江苏省,1.64,20200101
镇江市,江苏省,1.11,20200101
临沂市,山东省,1.04,20200101
杭州市,浙江省,0.93,20200101
北京市,北京市,0.74,20200101
嘉兴市,浙江省,0.73,20200101
青岛市,山东省,0.55,20200101
宁波市,浙江省,0.5,20200101
潍坊市,山东省,0.47,20200101
合肥市,安徽省,0.45,20200101
日照市,山东省,0.45,20200101
济南市,山东省,0.37,20200101
湖州市,浙江省,0.37,20200101
滁州市,安徽省,0.34,20200101
郑州市,河南省,0.32,20200101
台州市,浙江省,0.29,20200101
天津市,天津市,0.28,20200101
绍兴市,浙江省,0.26,20200101
温州市,浙江省,0.25,20200101
重庆市,重庆市,0.24,20200101
烟台市,山东省,0.24,20200101
深圳市,广东省,0.22,20200101
芜湖市,安徽省,0.22,20200101
商丘市,河南省,0.21,20200101
宿州市,安徽省,0.2,20200101
金华市,浙江省,0.2,20200101
阜阳市,安徽省,0.19,20200101
晋中市,山西省,0.19,20200101
淄博市,山东省,0.17,20200101
济宁市,山东省,0.17,20200101
西安市,陕西省,0.17,20200101
武汉市,湖北省,0.16,20200101
菏泽市,山东省,0.15,20200101
沧州市,河北省,0.14,20200101
马鞍山市,安徽省,0.14,20200101
蚌埠市,安徽省,0.14,20200101
新乡市,河南省,0.13,20200101
六安市,安徽省,0.13,20200101
长沙市,湖南省,0.13,20200101
苏州市,江苏省,12.09,20200102
上海市,上海市,12.02,20200102
南京市,江苏省,8.55,20200102
南通市,江苏省,8.51,20200102
无锡市,江苏省,7.07,20200102
泰州市,江苏省,6.96,20200102
连云港市,江苏省,4.26,20200102
淮安市,江苏省,3.54,20200102
常州市,江苏省,3.0,20200102
扬州市,江苏省,2.95,20200102
徐州市,江苏省,1.96,20200102
宿迁市,江苏省,1.78,20200102
镇江市,江苏省,1.56,20200102
杭州市,浙江省,1.17,20200102
北京市,北京市,1.04,20200102
嘉兴市,浙江省,0.96,20200102
临沂市,山东省,0.95,20200102
宁波市,浙江省,0.71,20200102
合肥市,安徽省,0.6,20200102
青岛市,山东省,0.55,20200102
湖州市,浙江省,0.48,20200102
天津市,天津市,0.43,20200102
郑州市,河南省,0.43,20200102
滁州市,安徽省,0.43,20200102
金华市,浙江省,0.42,20200102
潍坊市,山东省,0.42,20200102
芜湖市,安徽省,0.4,20200102
温州市,浙江省,0.36,20200102
台州市,浙江省,0.35,20200102
济南市,山东省,0.32,20200102
绍兴市,浙江省,0.32,20200102
武汉市,湖北省,0.31,20200102
广州市,广东省,0.3,20200102
重庆市,重庆市,0.28,20200102
阜阳市,安徽省,0.28,20200102
成都市,四川省,0.27,20200102
日照市,山东省,0.27,20200102
济宁市,山东省,0.25,20200102
商丘市,河南省,0.25,20200102
菏泽市,山东省,0.25,20200102
枣庄市,山东省,0.24,20200102
蚌埠市,安徽省,0.24,20200102
淄博市,山东省,0.23,20200102
深圳市,广东省,0.21,20200102
宿州市,安徽省,0.21,20200102
烟台市,山东省,0.21,20200102
宣城市,安徽省,0.2,20200102
长沙市,湖南省,0.2,20200102
西安市,陕西省,0.2,20200102
马鞍山市,安徽省,0.19,20200102
苏州市,江苏省,10.77,20200103
上海市,上海市,10.03,20200103
泰州市,江苏省,9.64,20200103
南通市,江苏省,9.6,20200103
南京市,江苏省,8.88,20200103
连云港市,江苏省,6.55,20200103
无锡市,江苏省,6.2,20200103
淮安市,江苏省,4.47,20200103
扬州市,江苏省,3.37,20200103
常州市,江苏省,2.94,20200103
徐州市,江苏省,2.21,20200103
宿迁市,江苏省,1.82,20200103
镇江市,江苏省,1.41,20200103
临沂市,山东省,1.07,20200103
杭州市,浙江省,1.0,20200103
北京市,北京市,0.93,20200103
嘉兴市,浙江省,0.82,20200103
青岛市,山东省,0.61,20200103
潍坊市,山东省,0.58,20200103
宁波市,浙江省,0.55,20200103
合肥市,安徽省,0.48,20200103
滁州市,安徽省,0.46,20200103
湖州市,浙江省,0.43,20200103
绍兴市,浙江省,0.34,20200103
天津市,天津市,0.34,20200103
台州市,浙江省,0.33,20200103
郑州市,河南省,0.3,20200103
日照市,山东省,0.3,20200103
重庆市,重庆市,0.3,20200103
芜湖市,安徽省,0.28,20200103
武汉市,湖北省,0.27,20200103
济南市,山东省,0.27,20200103
金华市,浙江省,0.27,20200103
商丘市,河南省,0.25,20200103
宿州市,安徽省,0.24,20200103
温州市,浙江省,0.23,20200103
