city_name,province_name,value,date
银川市,宁夏回族自治区,63.19,20200101
乌海市,内蒙古自治区,5.96,20200101
鄂尔多斯市,内蒙古自治区,5.68,20200101
吴忠市,宁夏回族自治区,4.25,20200101
阿拉善盟,内蒙古自治区,4.1,20200101
固原市,宁夏回族自治区,2.52,20200101
中卫市,宁夏回族自治区,2.28,20200101
巴彦淖尔市,内蒙古自治区,1.16,20200101
榆林市,陕西省,1.08,20200101
西安市,陕西省,0.66,20200101
兰州市,甘肃省,0.42,20200101
天津市,天津市,0.41,20200101
北京市,北京市,0.41,20200101
平凉市,甘肃省,0.41,20200101
白银市,甘肃省,0.37,20200101
包头市,内蒙古自治区,0.32,20200101
延安市,陕西省,0.31,20200101
上海市,上海市,0.19,20200101
张家口市,河北省,0.18,20200101
石家庄市,河北省,0.15,20200101
太原市,山西省,0.15,20200101
吕梁市,山西省,0.15,20200101
重庆市,重庆市,0.14,20200101
乌鲁木齐市,新疆维吾尔自治区,0.14,20200101
呼和浩特市,内蒙古自治区,0.14,20200101
哈尔滨市,黑龙江省,0.14,20200101
咸阳市,陕西省,0.12,20200101
西宁市,青海省,0.12,20200101
唐山市,河北省,0.11,20200101
庆阳市,甘肃省,0.11,20200101
天水市,甘肃省,0.11,20200101
青岛市,山东省,0.11,20200101
郑州市,河南省,0.11,20200101
济南市,山东省,0.11,20200101
杭州市,浙江省,0.1,20200101
武汉市,湖北省,0.1,20200101
大连市,辽宁省,0.1,20200101
广州市,广东省,0.1,20200101
成都市,四川省,0.09,20200101
乌兰察布市,内蒙古自治区,0.09,20200101
大同市,山西省,0.09,20200101
临汾市,山西省,0.09,20200101
安阳市,河南省,0.09,20200101
晋中市,山西省,0.07,20200101
三亚市,海南省,0.07,20200101
武威市,甘肃省,0.07,20200101
菏泽市,山东省,0.07,20200101
定西市,甘肃省,0.07,20200101
深圳市,广东省,0.07,20200101
济宁市,山东省,0.06,20200101
银川市,宁夏回族自治区,58.85,20200102
吴忠市,宁夏回族自治区,5.09,20200102
鄂尔多斯市,内蒙古自治区,3.96,20200102
乌海市,内蒙古自治区,3.22,20200102
中卫市,宁夏回族自治区,2.95,20200102
固原市,宁夏回族自治区,2.84,20200102
阿拉善盟,内蒙古自治区,2.49,20200102
巴彦淖尔市,内蒙古自治区,1.23,20200102
榆林市,陕西省,1.22,20200102
北京市,北京市,0.88,20200102
西安市,陕西省,0.76,20200102
天津市,天津市,0.76,20200102
平凉市,甘肃省,0.58,20200102
包头市,内蒙古自治区,0.57,20200102
白银市,甘肃省,0.53,20200102
成都市,四川省,0.52,20200102
兰州市,甘肃省,0.49,20200102
张家口市,河北省,0.47,20200102
咸阳市,陕西省,0.38,20200102
庆阳市,甘肃省,0.34,20200102
武汉市,湖北省,0.34,20200102
吕梁市,山西省,0.33,20200102
唐山市,河北省,0.33,20200102
郑州市,河南省,0.33,20200102
太原市,山西省,0.28,20200102
济南市,山东省,0.28,20200102
沈阳市,辽宁省,0.26,20200102
大连市,辽宁省,0.26,20200102
上海市,上海市,0.25,20200102
重庆市,重庆市,0.25,20200102
秦皇岛市,河北省,0.23,20200102
石家庄市,河北省,0.23,20200102
哈尔滨市,黑龙江省,0.23,20200102
安阳市,河南省,0.22,20200102
延安市,陕西省,0.2,20200102
廊坊市,河北省,0.2,20200102
常州市,江苏省,0.2,20200102
青岛市,山东省,0.2,20200102
潍坊市,山东省,0.19,20200102
武威市,甘肃省,0.19,20200102
阜阳市,安徽省,0.19,20200102
天水市,甘肃省,0.17,20200102
呼和浩特市,内蒙古自治区,0.17,20200102
临汾市,山西省,0.15,20200102
晋中市,山西省,0.15,20200102
邯郸市,河北省,0.15,20200102
德州市,山东省,0.14,20200102
南京市,江苏省,0.14,20200102
西宁市,青海省,0.12,20200102
大同市,山西省,0.11,20200102
银川市,宁夏回族自治区,66.14,20200103
鄂尔多斯市,内蒙古自治区,5.0,20200103
乌海市,内蒙古自治区,4.54,20200103
吴忠市,宁夏回族自治区,3.71,20200103
阿拉善盟,内蒙古自治区,3.21,20200103
中卫市,宁夏回族自治区,2.66,20200103
固原市,宁夏回族自治区,2.01,20200103
巴彦淖尔市,内蒙古自治区,0.79,20200103
榆林市,陕西省,0.75,20200103
西安市,陕西省,0.65,20200103
北京市,北京市,0.57,20200103
兰州市,甘肃省,0.47,20200103
天津市,天津市,0.46,20200103
包头市,内蒙古自治区,0.32,20200103
成都市,四川省,0.25,20200103
平凉市,甘肃省,0.24,20200103
咸阳市,陕西省,0.22,20200103
庆阳市,甘肃省,0.22,20200103
重庆市,重庆市,0.21,20200103
上海市,上海市,0.2,20200103
张家口市,河北省,0.18,20200103
济南市,山东省,0.17,20200103
石家庄市,河北省,0.17,20200103
唐山市,河北省,0.17,20200103
哈尔滨市,黑龙江省,0.16,20200103
吕梁市,山西省,0.16,20200103
郑州市,河南省,0.16,20200103
白银市,甘肃省,0.15,20200103
延安市,陕西省,0.15,20200103
西宁市,青海省,0.13,20200103
运城市,山西省,0.13,20200103
晋中市,山西省,0.12,20200103
武汉市,湖北省,0.12,20200103
宝鸡市,陕西省,0.12,20200103
沧州市,河北省,0.11,20200103
呼和浩特市,内蒙古自治区,0.11,20200103
南京市,江苏省,0.11,20200103
保定市,河北省,0.1,20200103
定西市,甘肃省,0.1,20200103
武威市,甘肃省,0.09,20200103
合肥市,安徽省,0.09,20200103
太原市,山西省,0.09,20200103
临汾市,山西省,0.08,20200103
深圳市,广东省,0.08,20200103
安阳市,河南省,0.08,20200103
南阳市,河南省,0.08,20200103
朔州市,山西省,0.08,20200103
乌兰察布市,内蒙古自治区,0.08,20200103
绵阳市,四川省,0.08,20200103
廊坊市,河北省,0.08,20200103
银川市,宁夏回族自治区,64.86,20200104
乌海市,内蒙古自治区,5.13,20200104
鄂尔多斯市,内蒙古自治区,4.99,20200104
吴忠市,宁夏回族自治区,4.15,20200104
阿拉善盟,内蒙古自治区,3.44,20200104
固原市,宁夏回族自治区,2.07,20200104
中卫市,宁夏回族自治区,1.88,20200104
巴彦淖尔市,内蒙古自治区,1.13,20200104
西安市,陕西省,0.92,20200104
榆林市,陕西省,0.7,20200104
北京市,北京市,0.47,20200104
郑州市,河南省,0.37,20200104
兰州市,甘肃省,0.35,20200104
天津市,天津市,0.34,20200104
白银市,甘肃省,0.33,20200104
平凉市,甘肃省,0.32,20200104
包头市,内蒙古自治区,0.29,20200104
成都市,四川省,0.28,20200104
上海市,上海市,0.27,20200104
庆阳市,甘肃省,0.25,20200104
张家口市,河北省,0.23,20200104
重庆市,重庆市,0.22,20200104
呼和浩特市,内蒙古自治区,0.21,20200104
绵阳市,四川省,0.2,20200104
武汉市,湖北省,0.19,20200104
济南市,山东省,0.17,20200104
咸阳市,陕西省,0.17,20200104
唐山市,河北省,0.16,20200104
延安市,陕西省,0.14,20200104
广州市,广东省,0.13,20200104
大同市,山西省,0.13,20200104
石家庄市,河北省,0.13,20200104
吕梁市,山西省,0.13,20200104
忻州市,山西省,0.12,20200104
哈尔滨市,黑龙江省,0.12,20200104
青岛市,山东省,0.12,20200104
乌鲁木齐市,新疆维吾尔自治区,0.12,20200104
长春市,吉林省,0.11,20200104
常州市,江苏省,0.11,20200104
杭州市,浙江省,0.09,20200104
南昌市,江西省,0.09,20200104
太原市,山西省,0.09,20200104
乌兰察布市,内蒙古自治区,0.09,20200104
长沙市,湖南省,0.09,20200104
南阳市,河南省,0.08,20200104
沈阳市,辽宁省,0.08,20200104
洛阳市,河南省,0.08,20200104
海西蒙古族藏族自治州,青海省,0.07,20200104
南京市,江苏省,0.07,20200104
淄博市,山东省,0.07,20200104
银川市,宁夏回族自治区,70.39,20200105
乌海市,内蒙古自治区,4.34,20200105
吴忠市,宁夏回族自治区,4.31,20200105
鄂尔多斯市,内蒙古自治区,3.27,20200105
阿拉善盟,内蒙古自治区,2.39,20200105
中卫市,宁夏回族自治区,2.14,20200105
固原市,宁夏回族自治区,1.64,20200105
巴彦淖尔市,内蒙古自治区,0.9,20200105
西安市,陕西省,0.88,20200105
兰州市,甘肃省,0.6,20200105
北京市,北京市,0.54,20200105
济南市,山东省,0.36,20200105
郑州市,河南省,0.27,20200105
榆林市,陕西省,0.26,20200105
成都市,四川省,0.25,20200105
天津市,天津市,0.25,20200105
太原市,山西省,0.22,20200105
宝鸡市,陕西省,0.2,20200105
包头市,内蒙古自治区,0.2,20200105
青岛市,山东省,0.19,20200105
西宁市,青海省,0.18,20200105
呼和浩特市,内蒙古自治区,0.17,20200105
咸阳市,陕西省,0.16,20200105
重庆市,重庆市,0.16,20200105
绵阳市,四川省,0.16,20200105
白银市,甘肃省,0.15,20200105
平凉市,甘肃省,0.12,20200105
苏州市,江苏省,0.11,20200105
庆阳市,甘肃省,0.11,20200105
上海市,上海市,0.11,20200105
武汉市,湖北省,0.1,20200105
南阳市,河南省,0.09,20200105
唐山市,河北省,0.09,20200105
南京市,江苏省,0.09,20200105
石家庄市,河北省,0.09,20200105
杭州市,浙江省,0.09,20200105
延安市,陕西省,0.08,20200105
