city_name,province_name,value,date
银川市,宁夏回族自治区,64.17,20200101
鄂尔多斯市,内蒙古自治区,6.0,20200101
乌海市,内蒙古自治区,5.87,20200101
吴忠市,宁夏回族自治区,4.04,20200101
阿拉善盟,内蒙古自治区,3.73,20200101
固原市,宁夏回族自治区,2.74,20200101
中卫市,宁夏回族自治区,2.32,20200101
榆林市,陕西省,1.14,20200101
巴彦淖尔市,内蒙古自治区,0.86,20200101
西安市,陕西省,0.6,20200101
平凉市,甘肃省,0.5,20200101
北京市,北京市,0.47,20200101
庆阳市,甘肃省,0.37,20200101
兰州市,甘肃省,0.32,20200101
白银市,甘肃省,0.3,20200101
包头市,内蒙古自治区,0.28,20200101
唐山市,河北省,0.2,20200101
延安市,陕西省,0.2,20200101
石家庄市,河北省,0.2,20200101
呼和浩特市,内蒙古自治区,0.2,20200101
天津市,天津市,0.14,20200101
定西市,甘肃省,0.13,20200101
郑州市,河南省,0.13,20200101
商丘市,河南省,0.13,20200101
邯郸市,河北省,0.11,20200101
成都市,四川省,0.11,20200101
南阳市,河南省,0.11,20200101
杭州市,浙江省,0.1,20200101
上海市,上海市,0.1,20200101
苏州市,江苏省,0.09,20200101
天水市,甘肃省,0.09,20200101
长春市,吉林省,0.09,20200101
咸阳市,陕西省,0.09,20200101
陇南市,甘肃省,0.09,20200101
沈阳市,辽宁省,0.09,20200101
重庆市,重庆市,0.09,20200101
临夏回族自治州,甘肃省,0.07,20200101
深圳市,广东省,0.07,20200101
武威市,甘肃省,0.07,20200101
阜阳市,安徽省,0.07,20200101
金昌市,甘肃省,0.07,20200101
张掖市,甘肃省,0.06,20200101
淄博市,山东省,0.06,20200101
太原市,山西省,0.06,20200101
驻马店市,河南省,0.06,20200101
保定市,河北省,0.06,20200101
邢台市,河北省,0.06,20200101
渭南市,陕西省,0.06,20200101
沧州市,河北省,0.06,20200101
洛阳市,河南省,0.05,20200101
银川市,宁夏回族自治区,57.51,20200102
乌海市,内蒙古自治区,4.82,20200102
鄂尔多斯市,内蒙古自治区,4.46,20200102
吴忠市,宁夏回族自治区,4.43,20200102
固原市,宁夏回族自治区,3.78,20200102
阿拉善盟,内蒙古自治区,3.57,20200102
中卫市,宁夏回族自治区,2.73,20200102
巴彦淖尔市,内蒙古自治区,1.18,20200102
榆林市,陕西省,1.1,20200102
西安市,陕西省,1.03,20200102
兰州市,甘肃省,0.79,20200102
平凉市,甘肃省,0.77,20200102
北京市,北京市,0.76,20200102
唐山市,河北省,0.46,20200102
延安市,陕西省,0.45,20200102
庆阳市,甘肃省,0.45,20200102
包头市,内蒙古自治区,0.42,20200102
郑州市,河南省,0.4,20200102
白银市,甘肃省,0.4,20200102
临汾市,山西省,0.3,20200102
呼和浩特市,内蒙古自治区,0.3,20200102
南阳市,河南省,0.27,20200102
咸阳市,陕西省,0.24,20200102
武威市,甘肃省,0.24,20200102
驻马店市,河南省,0.24,20200102
天津市,天津市,0.21,20200102
酒泉市,甘肃省,0.19,20200102
菏泽市,山东省,0.17,20200102
商丘市,河南省,0.17,20200102
周口市,河南省,0.16,20200102
天水市,甘肃省,0.16,20200102
西宁市,青海省,0.16,20200102
石家庄市,河北省,0.16,20200102
渭南市,陕西省,0.14,20200102
杭州市,浙江省,0.14,20200102
沧州市,河北省,0.14,20200102
南京市,江苏省,0.14,20200102
定西市,甘肃省,0.14,20200102
上海市,上海市,0.14,20200102
宝鸡市,陕西省,0.12,20200102
太原市,山西省,0.12,20200102
新乡市,河南省,0.12,20200102
成都市,四川省,0.11,20200102
乌鲁木齐市,新疆维吾尔自治区,0.11,20200102
保定市,河北省,0.11,20200102
邯郸市,河北省,0.11,20200102
晋中市,山西省,0.11,20200102
廊坊市,河北省,0.11,20200102
厦门市,福建省,0.09,20200102
乌兰察布市,内蒙古自治区,0.09,20200102
银川市,宁夏回族自治区,66.06,20200103
吴忠市,宁夏回族自治区,4.1,20200103
乌海市,内蒙古自治区,4.03,20200103
鄂尔多斯市,内蒙古自治区,3.63,20200103
阿拉善盟,内蒙古自治区,3.35,20200103
中卫市,宁夏回族自治区,2.59,20200103
固原市,宁夏回族自治区,2.14,20200103
巴彦淖尔市,内蒙古自治区,1.07,20200103
榆林市,陕西省,0.89,20200103
西安市,陕西省,0.85,20200103
北京市,北京市,0.6,20200103
兰州市,甘肃省,0.6,20200103
延安市,陕西省,0.58,20200103
白银市,甘肃省,0.53,20200103
平凉市,甘肃省,0.5,20200103
庆阳市,甘肃省,0.31,20200103
郑州市,河南省,0.3,20200103
呼和浩特市,内蒙古自治区,0.23,20200103
咸阳市,陕西省,0.22,20200103
包头市,内蒙古自治区,0.2,20200103
唐山市,河北省,0.19,20200103
石家庄市,河北省,0.17,20200103
武威市,甘肃省,0.16,20200103
定西市,甘肃省,0.16,20200103
上海市,上海市,0.15,20200103
宝鸡市,陕西省,0.15,20200103
天津市,天津市,0.13,20200103
临汾市,山西省,0.13,20200103
驻马店市,河南省,0.12,20200103
南阳市,河南省,0.12,20200103
成都市,四川省,0.12,20200103
太原市,山西省,0.11,20200103
济宁市,山东省,0.1,20200103
西宁市,青海省,0.1,20200103
重庆市,重庆市,0.09,20200103
昆明市,云南省,0.09,20200103
张掖市,甘肃省,0.08,20200103
广州市,广东省,0.08,20200103
扬州市,江苏省,0.08,20200103
周口市,河南省,0.08,20200103
厦门市,福建省,0.08,20200103
金昌市,甘肃省,0.08,20200103
渭南市,陕西省,0.08,20200103
杭州市,浙江省,0.08,20200103
大同市,山西省,0.08,20200103
天水市,甘肃省,0.07,20200103
新乡市,河南省,0.07,20200103
保定市,河北省,0.07,20200103
苏州市,江苏省,0.06,20200103
平顶山市,河南省,0.06,20200103
银川市,宁夏回族自治区,64.01,20200104
乌海市,内蒙古自治区,5.62,20200104
鄂尔多斯市,内蒙古自治区,4.4,20200104
吴忠市,宁夏回族自治区,3.73,20200104
阿拉善盟,内蒙古自治区,3.62,20200104
固原市,宁夏回族自治区,2.39,20200104
中卫市,宁夏回族自治区,2.27,20200104
巴彦淖尔市,内蒙古自治区,1.21,20200104
榆林市,陕西省,1.02,20200104
平凉市,甘肃省,0.6,20200104
兰州市,甘肃省,0.55,20200104
北京市,北京市,0.49,20200104
西安市,陕西省,0.48,20200104
上海市,上海市,0.43,20200104
延安市,陕西省,0.39,20200104
庆阳市,甘肃省,0.37,20200104
白银市,甘肃省,0.23,20200104
包头市,内蒙古自治区,0.18,20200104
重庆市,重庆市,0.18,20200104
天水市,甘肃省,0.17,20200104
唐山市,河北省,0.16,20200104
西宁市,青海省,0.16,20200104
天津市,天津市,0.15,20200104
驻马店市,河南省,0.15,20200104
宝鸡市,陕西省,0.15,20200104
南京市,江苏省,0.14,20200104
郑州市,河南省,0.14,20200104
张掖市,甘肃省,0.13,20200104
杭州市,浙江省,0.13,20200104
石家庄市,河北省,0.13,20200104
咸阳市,陕西省,0.13,20200104
乌兰察布市,内蒙古自治区,0.12,20200104
武威市,甘肃省,0.12,20200104
成都市,四川省,0.12,20200104
呼和浩特市,内蒙古自治区,0.12,20200104
新乡市,河南省,0.12,20200104
南阳市,河南省,0.11,20200104
太原市,山西省,0.1,20200104
酒泉市,甘肃省,0.1,20200104
临汾市,山西省,0.1,20200104
昆明市,云南省,0.09,20200104
张家口市,河北省,0.09,20200104
保定市,河北省,0.08,20200104
焦作市,河南省,0.08,20200104
安阳市,河南省,0.08,20200104
沧州市,河北省,0.08,20200104
嘉峪关市,甘肃省,0.08,20200104
周口市,河南省,0.08,20200104
福州市,福建省,0.08,20200104
武汉市,湖北省,0.08,20200104
银川市,宁夏回族自治区,69.97,20200105
乌海市,内蒙古自治区,4.55,20200105
吴忠市,宁夏回族自治区,4.26,20200105
鄂尔多斯市,内蒙古自治区,3.34,20200105
阿拉善盟,内蒙古自治区,2.26,20200105
中卫市,宁夏回族自治区,2.24,20200105
固原市,宁夏回族自治区,2.05,20200105
巴彦淖尔市,内蒙古自治区,0.8,20200105
北京市,北京市,0.79,20200105
西安市,陕西省,0.54,20200105
榆林市,陕西省,0.5,20200105
兰州市,甘肃省,0.48,20200105
庆阳市,甘肃省,0.25,20200105
上海市,上海市,0.23,20200105
平凉市,甘肃省,0.22,20200105
苏州市,江苏省,0.2,20200105
郑州市,河南省,0.18,20200105
咸阳市,陕西省,0.17,20200105
天水市,甘肃省,0.17,20200105
重庆市,重庆市,0.17,20200105
包头市,内蒙古自治区,0.17,20200105
杭州市,浙江省,0.15,20200105
武威市,甘肃省,0.15,20200105
成都市,四川省,0.14,20200105
白银市,甘肃省,0.14,20200105
呼和浩特市,内蒙古自治区,0.13,20200105
唐山市,河北省,0.13,20200105
三亚市,海南省,0.12,20200105
天津市,天津市,0.12,20200105
石家庄市,河北省,0.11,20200105
安阳市,河南省,0.1,20200105
延安市,陕西省,0.1,20200105
长春市,吉林省,0.1,20200105
南京市,江苏省,0.1,20200105
汉中市,陕西省,0.09,20200105
邯郸市,河北省,0.09,20200105
福州市,福建省,0.08,20200105
合肥市,安徽省,0.08,20200105
济南市,山东省,0.08,20200105
徐州市,江苏省,0.08,20200105
商丘市,河南省,0.08,20200105
驻马店市,河南省,0.07,20200105
西宁市,青海省,0.07,20200105
海东市,青海省,0.07,20200105
陇南市,甘肃省,0.07,20200105
定西市,甘肃省,0.07,20200105
乌鲁木齐市,新疆维吾尔自治区,0.07,20200105
南昌市,江西省,0.07,20200105
菏泽市,山东省,0.07,20200105
周口市,河南省,0.06,20200105
银川市,宁夏回族自治区,61.61,20200106
乌海市,内蒙古自治区,5.48,20200106
吴忠市,宁夏回族自治区,4.7,20200106
鄂尔多斯市,内蒙古自治区,4.11,20200106
阿拉善盟,内蒙古自治区,3.84,20200106
中卫市,宁夏回族自治区,2.68,20200106
固原市,宁夏回族自治区,2.2,20200106
巴彦淖尔市,内蒙古自治区,1.15,20200106
榆林市,陕西省,0.8,20200106
兰州市,甘肃省,0.72,20200106
北京市,北京市,0.68,20200106
西安市,陕西省,0.55,20200106
庆阳市,甘肃省,0.48,20200106
平凉市,甘肃省,0.43,20200106
包头市,内蒙古自治区,0.38,20200106
呼和浩特市,内蒙古自治区,0.29,20200106
重庆市,重庆市,0.22,20200106
上海市,上海市,0.22,20200106
咸阳市,陕西省,0.21,20200106
南京市,江苏省,0.2,20200106
郑州市,河南省,0.2,20200106
驻马店市,河南省,0.19,20200106
石家庄市,河北省,0.19,20200106
唐山市,河北省,0.18,20200106
武威市,甘肃省,0.17,20200106
延安市,陕西省,0.16,20200106
白银市,甘肃省,0.16,20200106
天津市,天津市,0.16,20200106
西宁市,青海省,0.15,20200106
张家口市,河北省,0.15,20200106
宝鸡市,陕西省,0.14,20200106
成都市,四川省,0.14,20200106
天水市,甘肃省,0.13,20200106
沧州市,河北省,0.13,20200106
徐州市,江苏省,0.12,20200106
乌兰察布市,内蒙古自治区,0.12,20200106
太原市,山西省,0.12,20200106
福州市,福建省,0.12,20200106
合肥市,安徽省,0.11,20200106
酒泉市,甘肃省,0.11,20200106
杭州市,浙江省,0.11,20200106
商丘市,河南省,0.11,20200106
晋中市,山西省,0.11,20200106
深圳市,广东省,0.11,20200106
汉中市,陕西省,0.1,20200106
温州市,浙江省,0.1,20200106
安阳市,河南省,0.1,20200106
嘉峪关市,甘肃省,0.09,20200106
南昌市,江西省,0.09,20200106
定西市,甘肃省,0.09,20200106
银川市,宁夏回族自治区,58.47,20200107
乌海市,内蒙古自治区,6.07,20200107
阿拉善盟,内蒙古自治区,4.95,20200107
吴忠市,宁夏回族自治区,4.34,20200107
鄂尔多斯市,内蒙古自治区,4.23,20200107
固原市,宁夏回族自治区,2.91,20200107
中卫市,宁夏回族自治区,2.52,20200107
巴彦淖尔市,内蒙古自治区,1.07,20200107
榆林市,陕西省,0.83,20200107
西安市,陕西省,0.7,20200107
北京市,北京市,0.7,20200107
平凉市,甘肃省,0.55,20200107
兰州市,甘肃省,0.54,20200107
白银市,甘肃省,0.4,20200107
南京市,江苏省,0.37,20200107
庆阳市,甘肃省,0.31,20200107
重庆市,重庆市,0.28,20200107
西宁市,青海省,0.26,20200107
咸阳市,陕西省,0.25,20200107
天津市,天津市,0.23,20200107
包头市,内蒙古自治区,0.22,20200107
成都市,四川省,0.21,20200107
石家庄市,河北省,0.2,20200107
宝鸡市,陕西省,0.2,20200107
武威市,甘肃省,0.18,20200107
太原市,山西省,0.18,20200107
上海市,上海市,0.17,20200107
郑州市,河南省,0.17,20200107
呼和浩特市,内蒙古自治区,0.16,20200107
保定市,河北省,0.16,20200107
延安市,陕西省,0.15,20200107
驻马店市,河南省,0.15,20200107
乌兰察布市,内蒙古自治区,0.15,20200107
唐山市,河北省,0.14,20200107
苏州市,江苏省,0.14,20200107
天水市,甘肃省,0.14,20200107
南阳市,河南省,0.14,20200107
济宁市,山东省,0.13,20200107
