city_name,province_name,value,date
宁德市,福建省,16.59,20200101
泉州市,福建省,11.82,20200101
莆田市,福建省,11.58,20200101
南平市,福建省,8.52,20200101
厦门市,福建省,7.79,20200101
三明市,福建省,7.46,20200101
漳州市,福建省,3.64,20200101
龙岩市,福建省,2.53,20200101
上海市,上海市,2.0,20200101
温州市,浙江省,1.85,20200101
北京市,北京市,1.11,20200101
深圳市,广东省,1.09,20200101
广州市,广东省,1.04,20200101
杭州市,浙江省,0.77,20200101
南昌市,江西省,0.67,20200101
武汉市,湖北省,0.58,20200101
重庆市,重庆市,0.56,20200101
长沙市,湖南省,0.53,20200101
苏州市,江苏省,0.52,20200101
金华市,浙江省,0.46,20200101
佛山市,广东省,0.46,20200101
赣州市,江西省,0.44,20200101
东莞市,广东省,0.42,20200101
成都市,四川省,0.42,20200101
宁波市,浙江省,0.4,20200101
西安市,陕西省,0.38,20200101
台州市,浙江省,0.36,20200101
上饶市,江西省,0.36,20200101
南京市,江苏省,0.34,20200101
抚州市,江西省,0.3,20200101
天津市,天津市,0.29,20200101
无锡市,江苏省,0.28,20200101
郑州市,河南省,0.28,20200101
达州市,四川省,0.27,20200101
贵阳市,贵州省,0.27,20200101
九江市,江西省,0.25,20200101
合肥市,安徽省,0.23,20200101
昆明市,云南省,0.23,20200101
香港,香港,0.21,20200101
青岛市,山东省,0.21,20200101
惠州市,广东省,0.2,20200101
南宁市,广西壮族自治区,0.2,20200101
绍兴市,浙江省,0.2,20200101
汕头市,广东省,0.2,20200101
舟山市,浙江省,0.19,20200101
嘉兴市,浙江省,0.18,20200101
哈尔滨市,黑龙江省,0.17,20200101
宜春市,江西省,0.17,20200101
南通市,江苏省,0.16,20200101
济南市,山东省,0.16,20200101
宁德市,福建省,12.6,20200102
泉州市,福建省,10.89,20200102
南平市,福建省,8.88,20200102
厦门市,福建省,7.97,20200102
莆田市,福建省,7.76,20200102
三明市,福建省,6.55,20200102
漳州市,福建省,3.69,20200102
龙岩市,福建省,2.58,20200102
上海市,上海市,2.24,20200102
北京市,北京市,1.74,20200102
深圳市,广东省,1.5,20200102
广州市,广东省,1.35,20200102
温州市,浙江省,1.31,20200102
杭州市,浙江省,1.02,20200102
南昌市,江西省,0.87,20200102
重庆市,重庆市,0.77,20200102
武汉市,湖北省,0.75,20200102
南京市,江苏省,0.75,20200102
苏州市,江苏省,0.73,20200102
成都市,四川省,0.67,20200102
西安市,陕西省,0.63,20200102
长沙市,湖南省,0.62,20200102
赣州市,江西省,0.56,20200102
东莞市,广东省,0.54,20200102
郑州市,河南省,0.52,20200102
台州市,浙江省,0.51,20200102
宁波市,浙江省,0.49,20200102
佛山市,广东省,0.47,20200102
金华市,浙江省,0.46,20200102
抚州市,江西省,0.44,20200102
无锡市,江苏省,0.44,20200102
达州市,四川省,0.42,20200102
天津市,天津市,0.41,20200102
上饶市,江西省,0.37,20200102
贵阳市,贵州省,0.36,20200102
合肥市,安徽省,0.33,20200102
九江市,江西省,0.31,20200102
南宁市,广西壮族自治区,0.3,20200102
昆明市,云南省,0.27,20200102
汕头市,广东省,0.27,20200102
嘉兴市,浙江省,0.21,20200102
哈尔滨市,黑龙江省,0.21,20200102
惠州市,广东省,0.2,20200102
黄冈市,湖北省,0.2,20200102
宜春市,江西省,0.2,20200102
随州市,湖北省,0.19,20200102
南通市,江苏省,0.19,20200102
香港,香港,0.18,20200102
南阳市,河南省,0.18,20200102
吉安市,江西省,0.18,20200102
宁德市,福建省,15.24,20200103
泉州市,福建省,11.12,20200103
南平市,福建省,10.03,20200103
厦门市,福建省,9.05,20200103
莆田市,福建省,8.6,20200103
三明市,福建省,6.85,20200103
漳州市,福建省,4.11,20200103
龙岩市,福建省,2.63,20200103
上海市,上海市,2.15,20200103
北京市,北京市,1.51,20200103
温州市,浙江省,1.28,20200103
广州市,广东省,1.13,20200103
深圳市,广东省,1.1,20200103
南昌市,江西省,0.99,20200103
杭州市,浙江省,0.94,20200103
武汉市,湖北省,0.69,20200103
达州市,四川省,0.61,20200103
南京市,江苏省,0.56,20200103
重庆市,重庆市,0.54,20200103
成都市,四川省,0.52,20200103
苏州市,江苏省,0.5,20200103
长沙市,湖南省,0.5,20200103
台州市,浙江省,0.47,20200103
宁波市,浙江省,0.47,20200103
赣州市,江西省,0.44,20200103
金华市,浙江省,0.43,20200103
天津市,天津市,0.41,20200103
西安市,陕西省,0.38,20200103
抚州市,江西省,0.38,20200103
郑州市,河南省,0.38,20200103
东莞市,广东省,0.35,20200103
上饶市,江西省,0.34,20200103
合肥市,安徽省,0.33,20200103
无锡市,江苏省,0.33,20200103
昆明市,云南省,0.3,20200103
佛山市,广东省,0.28,20200103
贵阳市,贵州省,0.26,20200103
九江市,江西省,0.25,20200103
嘉兴市,浙江省,0.24,20200103
南宁市,广西壮族自治区,0.24,20200103
宜春市,江西省,0.22,20200103
哈尔滨市,黑龙江省,0.21,20200103
青岛市,山东省,0.2,20200103
汕头市,广东省,0.2,20200103
济南市,山东省,0.2,20200103
惠州市,广东省,0.18,20200103
绍兴市,浙江省,0.18,20200103
吉安市,江西省,0.17,20200103
徐州市,江苏省,0.17,20200103
舟山市,浙江省,0.15,20200103
宁德市,福建省,15.78,20200104
泉州市,福建省,11.67,20200104
莆田市,福建省,9.7,20200104
南平市,福建省,9.12,20200104
厦门市,福建省,8.13,20200104
三明市,福建省,6.63,20200104
漳州市,福建省,3.43,20200104
龙岩市,福建省,2.33,20200104
上海市,上海市,1.91,20200104
北京市,北京市,1.48,20200104
温州市,浙江省,1.29,20200104
深圳市,广东省,1.18,20200104
广州市,广东省,1.06,20200104
杭州市,浙江省,0.9,20200104
南昌市,江西省,0.8,20200104
重庆市,重庆市,0.76,20200104
武汉市,湖北省,0.66,20200104
苏州市,江苏省,0.55,20200104
西安市,陕西省,0.54,20200104
成都市,四川省,0.53,20200104
台州市,浙江省,0.53,20200104
长沙市,湖南省,0.52,20200104
郑州市,河南省,0.51,20200104
南京市,江苏省,0.45,20200104
宁波市,浙江省,0.43,20200104
金华市,浙江省,0.42,20200104
东莞市,广东省,0.4,20200104
天津市,天津市,0.38,20200104
上饶市,江西省,0.35,20200104
赣州市,江西省,0.34,20200104
抚州市,江西省,0.33,20200104
佛山市,广东省,0.33,20200104
昆明市,云南省,0.3,20200104
贵阳市,贵州省,0.3,20200104
无锡市,江苏省,0.29,20200104
绍兴市,浙江省,0.28,20200104
九江市,江西省,0.28,20200104
合肥市,安徽省,0.26,20200104
达州市,四川省,0.24,20200104
济南市,山东省,0.24,20200104
汕头市,广东省,0.24,20200104
嘉兴市,浙江省,0.24,20200104
南宁市,广西壮族自治区,0.24,20200104
哈尔滨市,黑龙江省,0.23,20200104
青岛市,山东省,0.23,20200104
宜春市,江西省,0.22,20200104
南阳市,河南省,0.2,20200104
南通市,江苏省,0.19,20200104
徐州市,江苏省,0.18,20200104
舟山市,浙江省,0.18,20200104
宁德市,福建省,13.99,20200105
泉州市,福建省,12.75,20200105
莆田市,福建省,11.85,20200105
厦门市,福建省,9.32,20200105
南平市,福建省,8.94,20200105
三明市,福建省,6.75,20200105
漳州市,福建省,3.67,20200105
龙岩市,福建省,2.71,20200105
上海市,上海市,2.15,20200105
北京市,北京市,1.37,20200105
温州市,浙江省,1.15,20200105
广州市,广东省,1.11,20200105
深圳市,广东省,1.04,20200105
杭州市,浙江省,0.93,20200105
南昌市,江西省,0.73,20200105
南京市,江苏省,0.64,20200105
武汉市,湖北省,0.54,20200105
长沙市,湖南省,0.54,20200105
重庆市,重庆市,0.54,20200105
成都市,四川省,0.54,20200105
赣州市,江西省,0.48,20200105
苏州市,江苏省,0.48,20200105
台州市,浙江省,0.48,20200105
宁波市,浙江省,0.45,20200105
西安市,陕西省,0.44,20200105
金华市,浙江省,0.39,20200105
东莞市,广东省,0.35,20200105
上饶市,江西省,0.35,20200105
郑州市,河南省,0.33,20200105
天津市,天津市,0.31,20200105
汕头市,广东省,0.31,20200105
贵阳市,贵州省,0.29,20200105
抚州市,江西省,0.28,20200105
合肥市,安徽省,0.27,20200105
佛山市,广东省,0.26,20200105
昆明市,云南省,0.26,20200105
无锡市,江苏省,0.25,20200105
青岛市,山东省,0.23,20200105
济南市,山东省,0.23,20200105
嘉兴市,浙江省,0.23,20200105
宜春市,江西省,0.22,20200105
九江市,江西省,0.21,20200105
南宁市,广西壮族自治区,0.2,20200105
惠州市,广东省,0.18,20200105
舟山市,浙江省,0.17,20200105
绍兴市,浙江省,0.17,20200105
南阳市,河南省,0.17,20200105
太原市,山西省,0.17,20200105
桂林市,广西壮族自治区,0.16,20200105
香港,香港,0.16,20200105
宁德市,福建省,13.61,20200106
泉州市,福建省,12.71,20200106
莆田市,福建省,10.3,20200106
厦门市,福建省,8.54,20200106
南平市,福建省,7.56,20200106
三明市,福建省,5.92,20200106
漳州市,福建省,3.98,20200106
龙岩市,福建省,2.5,20200106
上海市,上海市,2.49,20200106
北京市,北京市,1.66,20200106
广州市,广东省,1.38,20200106
温州市,浙江省,1.36,20200106
深圳市,广东省,1.2,20200106
杭州市,浙江省,1.01,20200106
南昌市,江西省,0.83,20200106
武汉市,湖北省,0.72,20200106
南京市,江苏省,0.69,20200106
重庆市,重庆市,0.65,20200106
赣州市,江西省,0.65,20200106
宁波市,浙江省,0.59,20200106
成都市,四川省,0.55,20200106
苏州市,江苏省,0.55,20200106
长沙市,湖南省,0.52,20200106
西安市,陕西省,0.5,20200106
台州市,浙江省,0.44,20200106
东莞市,广东省,0.39,20200106
金华市,浙江省,0.39,20200106
郑州市,河南省,0.38,20200106
佛山市,广东省,0.37,20200106
南阳市,河南省,0.36,20200106
上饶市,江西省,0.36,20200106
天津市,天津市,0.36,20200106
合肥市,安徽省,0.32,20200106
昆明市,云南省,0.31,20200106
青岛市,山东省,0.3,20200106
贵阳市,贵州省,0.28,20200106
无锡市,江苏省,0.28,20200106
抚州市,江西省,0.24,20200106
南宁市,广西壮族自治区,0.24,20200106
绍兴市,浙江省,0.22,20200106
汕头市,广东省,0.2,20200106
九江市,江西省,0.2,20200106
济南市,山东省,0.2,20200106
黄冈市,湖北省,0.19,20200106
惠州市,广东省,0.19,20200106
宜春市,江西省,0.18,20200106
达州市,四川省,0.18,20200106
兰州市,甘肃省,0.18,20200106
嘉兴市,浙江省,0.18,20200106
香港,香港,0.17,20200106
宁德市,福建省,13.16,20200107
泉州市,福建省,12.12,20200107
莆田市,福建省,9.09,20200107
厦门市,福建省,8.86,20200107
南平市,福建省,7.31,20200107
三明市,福建省,6.14,20200107
漳州市,福建省,4.57,20200107
龙岩市,福建省,2.75,20200107
上海市,上海市,2.28,20200107
北京市,北京市,1.63,20200107
广州市,广东省,1.38,20200107
深圳市,广东省,1.24,20200107
温州市,浙江省,1.08,20200107
杭州市,浙江省,0.98,20200107
南昌市,江西省,0.93,20200107
武汉市,湖北省,0.84,20200107
重庆市,重庆市,0.74,20200107
成都市,四川省,0.71,20200107
南京市,江苏省,0.62,20200107
长沙市,湖南省,0.56,20200107
郑州市,河南省,0.54,20200107
苏州市,江苏省,0.51,20200107
西安市,陕西省,0.51,20200107
宁波市,浙江省,0.47,20200107
金华市,浙江省,0.4,20200107
天津市,天津市,0.39,20200107
东莞市,广东省,0.39,20200107
上饶市,江西省,0.38,20200107
合肥市,安徽省,0.37,20200107
台州市,浙江省,0.36,20200107
赣州市,江西省,0.35,20200107
南宁市,广西壮族自治区,0.34,20200107
贵阳市,贵州省,0.34,20200107
青岛市,山东省,0.32,20200107
佛山市,广东省,0.32,20200107
抚州市,江西省,0.3,20200107
无锡市,江苏省,0.29,20200107
昆明市,云南省,0.28,20200107
嘉兴市,浙江省,0.27,20200107
绍兴市,浙江省,0.25,20200107
济南市,山东省,0.25,20200107
九江市,江西省,0.25,20200107
香港,香港,0.24,20200107
黄冈市,湖北省,0.24,20200107
汕头市,广东省,0.23,20200107
哈尔滨市,黑龙江省,0.23,20200107
惠州市,广东省,0.22,20200107
沈阳市,辽宁省,0.21,20200107
南通市,江苏省,0.19,20200107
石家庄市,河北省,0.19,20200107
宁德市,福建省,12.74,20200108
泉州市,福建省,12.24,20200108
厦门市,福建省,8.43,20200108
莆田市,福建省,8.35,20200108
南平市,福建省,7.53,20200108
三明市,福建省,6.13,20200108
漳州市,福建省,5.0,20200108
龙岩市,福建省,2.57,20200108
上海市,上海市,2.43,20200108
北京市,北京市,1.8,20200108
广州市,广东省,1.39,20200108
深圳市,广东省,1.27,20200108
温州市,浙江省,1.11,20200108
杭州市,浙江省,1.03,20200108
武汉市,湖北省,0.96,20200108
南昌市,江西省,0.92,20200108
南京市,江苏省,0.76,20200108
重庆市,重庆市,0.74,20200108
成都市,四川省,0.67,20200108
长沙市,湖南省,0.65,20200108
郑州市,河南省,0.54,20200108
西安市,陕西省,0.54,20200108
苏州市,江苏省,0.54,20200108
宁波市,浙江省,0.5,20200108
赣州市,江西省,0.49,20200108
天津市,天津市,0.48,20200108
昆明市,云南省,0.47,20200108
金华市,浙江省,0.42,20200108
贵阳市,贵州省,0.42,20200108
东莞市,广东省,0.41,20200108
台州市,浙江省,0.38,20200108
合肥市,安徽省,0.34,20200108
上饶市,江西省,0.34,20200108
佛山市,广东省,0.34,20200108
南宁市,广西壮族自治区,0.31,20200108
无锡市,江苏省,0.31,20200108
青岛市,山东省,0.29,20200108
黄冈市,湖北省,0.28,20200108
济南市,山东省,0.28,20200108
嘉兴市,浙江省,0.27,20200108
惠州市,广东省,0.26,20200108
大连市,辽宁省,0.23,20200108
达州市,四川省,0.22,20200108
徐州市,江苏省,0.21,20200108
沈阳市,辽宁省,0.21,20200108
兰州市,甘肃省,0.21,20200108
九江市,江西省,0.21,20200108
哈尔滨市,黑龙江省,0.2,20200108
汕头市,广东省,0.2,20200108
绍兴市,浙江省,0.2,20200108
宁德市,福建省,12.69,20200109
泉州市,福建省,12.04,20200109
厦门市,福建省,8.52,20200109
莆田市,福建省,7.81,20200109
南平市,福建省,7.51,20200109
三明市,福建省,6.35,20200109
漳州市,福建省,4.61,20200109
上海市,上海市,2.52,20200109
龙岩市,福建省,2.44,20200109
北京市,北京市,1.87,20200109
广州市,广东省,1.52,20200109
深圳市,广东省,1.24,20200109
温州市,浙江省,1.2,20200109
杭州市,浙江省,0.97,20200109
南昌市,江西省,0.92,20200109
武汉市,湖北省,0.83,20200109
南京市,江苏省,0.73,20200109
重庆市,重庆市,0.71,20200109
成都市,四川省,0.69,20200109
苏州市,江苏省,0.59,20200109
郑州市,河南省,0.57,20200109
西安市,陕西省,0.54,20200109
长沙市,湖南省,0.52,20200109
昆明市,云南省,0.47,20200109
贵阳市,贵州省,0.47,20200109
宁波市,浙江省,0.46,20200109
东莞市,广东省,0.45,20200109
金华市,浙江省,0.45,20200109
天津市,天津市,0.44,20200109
佛山市,广东省,0.41,20200109
南宁市,广西壮族自治区,0.41,20200109
台州市,浙江省,0.39,20200109
赣州市,江西省,0.39,20200109
黄冈市,湖北省,0.35,20200109
合肥市,安徽省,0.33,20200109
上饶市,江西省,0.31,20200109
抚州市,江西省,0.28,20200109
沈阳市,辽宁省,0.24,20200109
香港,香港,0.24,20200109
绍兴市,浙江省,0.23,20200109
哈尔滨市,黑龙江省,0.22,20200109
珠海市,广东省,0.22,20200109
无锡市,江苏省,0.21,20200109
青岛市,山东省,0.21,20200109
九江市,江西省,0.2,20200109
济南市,山东省,0.2,20200109
