city_name,province_name,value,date
宁德市,福建省,16.41,20200101
泉州市,福建省,9.88,20200101
南平市,福建省,9.6,20200101
莆田市,福建省,8.94,20200101
三明市,福建省,6.72,20200101
厦门市,福建省,6.0,20200101
漳州市,福建省,3.03,20200101
龙岩市,福建省,2.41,20200101
重庆市,重庆市,1.73,20200101
达州市,四川省,1.67,20200101
上海市,上海市,1.43,20200101
温州市,浙江省,1.21,20200101
广州市,广东省,0.94,20200101
深圳市,广东省,0.87,20200101
北京市,北京市,0.86,20200101
上饶市,江西省,0.75,20200101
南昌市,江西省,0.61,20200101
杭州市,浙江省,0.59,20200101
成都市,四川省,0.55,20200101
抚州市,江西省,0.54,20200101
贵阳市,贵州省,0.53,20200101
毕节市,贵州省,0.46,20200101
武汉市,湖北省,0.46,20200101
广安市,四川省,0.46,20200101
昆明市,云南省,0.44,20200101
长沙市,湖南省,0.44,20200101
台州市,浙江省,0.43,20200101
赣州市,江西省,0.43,20200101
香港,香港,0.41,20200101
遵义市,贵州省,0.41,20200101
西安市,陕西省,0.4,20200101
东莞市,广东省,0.38,20200101
南京市,江苏省,0.36,20200101
宁波市,浙江省,0.33,20200101
黄冈市,湖北省,0.33,20200101
苏州市,江苏省,0.32,20200101
九江市,江西省,0.3,20200101
恩施土家族苗族自治州,湖北省,0.29,20200101
宜春市,江西省,0.27,20200101
金华市,浙江省,0.27,20200101
绍兴市,浙江省,0.27,20200101
南阳市,河南省,0.26,20200101
荆州市,湖北省,0.25,20200101
佛山市,广东省,0.24,20200101
汕头市,广东省,0.24,20200101
鹰潭市,江西省,0.24,20200101
驻马店市,河南省,0.23,20200101
舟山市,浙江省,0.23,20200101
绵阳市,四川省,0.22,20200101
郴州市,湖南省,0.22,20200101
宁德市,福建省,12.43,20200102
泉州市,福建省,9.1,20200102
南平市,福建省,8.32,20200102
莆田市,福建省,6.58,20200102
厦门市,福建省,6.48,20200102
三明市,福建省,5.69,20200102
漳州市,福建省,3.76,20200102
龙岩市,福建省,2.57,20200102
重庆市,重庆市,2.33,20200102
达州市,四川省,2.12,20200102
上海市,上海市,1.73,20200102
温州市,浙江省,1.3,20200102
广州市,广东省,1.12,20200102
北京市,北京市,1.1,20200102
深圳市,广东省,0.97,20200102
杭州市,浙江省,0.71,20200102
贵阳市,贵州省,0.7,20200102
遵义市,贵州省,0.69,20200102
毕节市,贵州省,0.69,20200102
上饶市,江西省,0.68,20200102
广安市,四川省,0.64,20200102
成都市,四川省,0.59,20200102
南昌市,江西省,0.55,20200102
抚州市,江西省,0.55,20200102
武汉市,湖北省,0.51,20200102
南京市,江苏省,0.49,20200102
赣州市,江西省,0.47,20200102
长沙市,湖南省,0.47,20200102
黄冈市,湖北省,0.43,20200102
南阳市,河南省,0.41,20200102
宜春市,江西省,0.41,20200102
苏州市,江苏省,0.41,20200102
台州市,浙江省,0.39,20200102
宁波市,浙江省,0.39,20200102
荆州市,湖北省,0.38,20200102
黔东南苗族侗族自治州,贵州省,0.37,20200102
西安市,陕西省,0.36,20200102
东莞市,广东省,0.33,20200102
绵阳市,四川省,0.33,20200102
金华市,浙江省,0.33,20200102
南充市,四川省,0.33,20200102
佛山市,广东省,0.31,20200102
九江市,江西省,0.31,20200102
黔南布依族苗族自治州,贵州省,0.31,20200102
昆明市,云南省,0.31,20200102
曲靖市,云南省,0.31,20200102
铜仁市,贵州省,0.31,20200102
吉安市,江西省,0.29,20200102
昭通市,云南省,0.29,20200102
鹰潭市,江西省,0.28,20200102
宁德市,福建省,13.28,20200103
泉州市,福建省,10.2,20200103
莆田市,福建省,9.6,20200103
南平市,福建省,8.97,20200103
厦门市,福建省,8.01,20200103
三明市,福建省,6.66,20200103
漳州市,福建省,3.92,20200103
龙岩市,福建省,2.53,20200103
重庆市,重庆市,1.82,20200103
上海市,上海市,1.59,20200103
达州市,四川省,1.5,20200103
温州市,浙江省,0.98,20200103
北京市,北京市,0.95,20200103
广州市,广东省,0.93,20200103
深圳市,广东省,0.87,20200103
杭州市,浙江省,0.76,20200103
成都市,四川省,0.67,20200103
上饶市,江西省,0.61,20200103
南昌市,江西省,0.6,20200103
长沙市,湖南省,0.51,20200103
武汉市,湖北省,0.49,20200103
广安市,四川省,0.48,20200103
遵义市,贵州省,0.47,20200103
贵阳市,贵州省,0.47,20200103
昆明市,云南省,0.44,20200103
赣州市,江西省,0.44,20200103
抚州市,江西省,0.41,20200103
