city_name,province_name,value,date
杭州市,浙江省,37.3,20200101
宁波市,浙江省,11.83,20200101
金华市,浙江省,7.34,20200101
上海市,上海市,4.39,20200101
嘉兴市,浙江省,4.02,20200101
台州市,浙江省,2.11,20200101
苏州市,江苏省,1.57,20200101
温州市,浙江省,1.51,20200101
湖州市,浙江省,1.46,20200101
阜阳市,安徽省,1.15,20200101
重庆市,重庆市,0.84,20200101
衢州市,浙江省,0.77,20200101
六盘水市,贵州省,0.72,20200101
上饶市,江西省,0.68,20200101
毕节市,贵州省,0.61,20200101
周口市,河南省,0.58,20200101
黔东南苗族侗族自治州,贵州省,0.53,20200101
舟山市,浙江省,0.53,20200101
无锡市,江苏省,0.51,20200101
丽水市,浙江省,0.49,20200101
南京市,江苏省,0.44,20200101
黔南布依族苗族自治州,贵州省,0.4,20200101
怀化市,湖南省,0.4,20200101
信阳市,河南省,0.38,20200101
昭通市,云南省,0.38,20200101
亳州市,安徽省,0.37,20200101
南阳市,河南省,0.37,20200101
南通市,江苏省,0.34,20200101
黔西南布依族苗族自治州,贵州省,0.34,20200101
合肥市,安徽省,0.32,20200101
曲靖市,云南省,0.31,20200101
景德镇市,江西省,0.31,20200101
安顺市,贵州省,0.31,20200101
遵义市,贵州省,0.31,20200101
贵阳市,贵州省,0.31,20200101
宿州市,安徽省,0.31,20200101
商丘市,河南省,0.29,20200101
北京市,北京市,0.28,20200101
驻马店市,河南省,0.28,20200101
安庆市,安徽省,0.26,20200101
武汉市,湖北省,0.25,20200101
常州市,江苏省,0.23,20200101
铜仁市,贵州省,0.23,20200101
宣城市,安徽省,0.23,20200101
滁州市,安徽省,0.22,20200101
广州市,广东省,0.22,20200101
九江市,江西省,0.21,20200101
昆明市,云南省,0.21,20200101
湘西土家族苗族自治州,湖南省,0.2,20200101
南昌市,江西省,0.2,20200101
杭州市,浙江省,23.12,20200102
宁波市,浙江省,8.75,20200102
上海市,上海市,5.82,20200102
金华市,浙江省,5.72,20200102
嘉兴市,浙江省,2.96,20200102
台州市,浙江省,2.13,20200102
温州市,浙江省,1.98,20200102
湖州市,浙江省,1.74,20200102
阜阳市,安徽省,1.72,20200102
苏州市,江苏省,1.69,20200102
六盘水市,贵州省,1.57,20200102
重庆市,重庆市,1.57,20200102
毕节市,贵州省,1.28,20200102
上饶市,江西省,1.25,20200102
黔东南苗族侗族自治州,贵州省,1.06,20200102
周口市,河南省,0.91,20200102
衢州市,浙江省,0.91,20200102
黔南布依族苗族自治州,贵州省,0.76,20200102
信阳市,河南省,0.69,20200102
安顺市,贵州省,0.69,20200102
无锡市,江苏省,0.69,20200102
黔西南布依族苗族自治州,贵州省,0.67,20200102
遵义市,贵州省,0.63,20200102
丽水市,浙江省,0.62,20200102
亳州市,安徽省,0.61,20200102
景德镇市,江西省,0.59,20200102
