city_name,province_name,value,date
成都市,四川省,37.14,20200101
德阳市,四川省,15.89,20200101
广元市,四川省,6.91,20200101
遂宁市,四川省,5.87,20200101
南充市,四川省,4.23,20200101
重庆市,重庆市,2.75,20200101
阿坝藏族羌族自治州,四川省,1.51,20200101
眉山市,四川省,1.1,20200101
北京市,北京市,0.91,20200101
上海市,上海市,0.91,20200101
西安市,陕西省,0.85,20200101
乐山市,四川省,0.84,20200101
巴中市,四川省,0.7,20200101
苏州市,江苏省,0.7,20200101
广安市,四川省,0.69,20200101
资阳市,四川省,0.65,20200101
内江市,四川省,0.62,20200101
凉山彝族自治州,四川省,0.6,20200101
宁波市,浙江省,0.58,20200101
达州市,四川省,0.57,20200101
深圳市,广东省,0.55,20200101
宜宾市,四川省,0.52,20200101
陇南市,甘肃省,0.5,20200101
无锡市,江苏省,0.48,20200101
雅安市,四川省,0.46,20200101
杭州市,浙江省,0.45,20200101
泸州市,四川省,0.41,20200101
拉萨市,西藏自治区,0.35,20200101
广州市,广东省,0.35,20200101
自贡市,四川省,0.34,20200101
汉中市,陕西省,0.32,20200101
东莞市,广东省,0.32,20200101
天津市,天津市,0.32,20200101
福州市,福建省,0.31,20200101
绍兴市,浙江省,0.27,20200101
乌鲁木齐市,新疆维吾尔自治区,0.27,20200101
甘孜藏族自治州,四川省,0.25,20200101
廊坊市,河北省,0.22,20200101
佛山市,广东省,0.22,20200101
嘉兴市,浙江省,0.19,20200101
温州市,浙江省,0.17,20200101
长沙市,湖南省,0.17,20200101
遵义市,贵州省,0.15,20200101
泉州市,福建省,0.15,20200101
攀枝花市,四川省,0.15,20200101
厦门市,福建省,0.15,20200101
咸阳市,陕西省,0.14,20200101
郑州市,河南省,0.14,20200101
兰州市,甘肃省,0.14,20200101
昆明市,云南省,0.14,20200101
成都市,四川省,35.65,20200102
德阳市,四川省,9.14,20200102
广元市,四川省,5.22,20200102
遂宁市,四川省,4.46,20200102
重庆市,重庆市,3.36,20200102
南充市,四川省,2.9,20200102
北京市,北京市,1.59,20200102
上海市,上海市,1.52,20200102
阿坝藏族羌族自治州,四川省,1.39,20200102
眉山市,四川省,1.19,20200102
宁波市,浙江省,1.16,20200102
西安市,陕西省,1.12,20200102
苏州市,江苏省,1.06,20200102
无锡市,江苏省,0.9,20200102
乐山市,四川省,0.84,20200102
达州市,四川省,0.81,20200102
广安市,四川省,0.78,20200102
凉山彝族自治州,四川省,0.75,20200102
巴中市,四川省,0.74,20200102
宜宾市,四川省,0.64,20200102
深圳市,广东省,0.61,20200102
杭州市,浙江省,0.6,20200102
广州市,广东省,0.59,20200102
资阳市,四川省,0.57,20200102
内江市,四川省,0.55,20200102
拉萨市,西藏自治区,0.54,20200102
福州市,福建省,0.54,20200102
陇南市,甘肃省,0.53,20200102
雅安市,四川省,0.53,20200102
绍兴市,浙江省,0.53,20200102
东莞市,广东省,0.5,20200102
泸州市,四川省,0.5,20200102
乌鲁木齐市,新疆维吾尔自治区,0.46,20200102
甘孜藏族自治州,四川省,0.44,20200102
天津市,天津市,0.44,20200102
佛山市,广东省,0.41,20200102
昆明市,云南省,0.41,20200102
嘉兴市,浙江省,0.36,20200102
攀枝花市,四川省,0.33,20200102
汉中市,陕西省,0.33,20200102
温州市,浙江省,0.31,20200102
咸阳市,陕西省,0.31,20200102
廊坊市,河北省,0.31,20200102
自贡市,四川省,0.31,20200102
湖州市,浙江省,0.3,20200102
贵阳市,贵州省,0.29,20200102
南京市,江苏省,0.28,20200102
郑州市,河南省,0.28,20200102
武汉市,湖北省,0.27,20200102
常州市,江苏省,0.24,20200102
成都市,四川省,41.96,20200103
德阳市,四川省,11.02,20200103
广元市,四川省,6.37,20200103
遂宁市,四川省,4.73,20200103
南充市,四川省,3.16,20200103
重庆市,重庆市,2.79,20200103
阿坝藏族羌族自治州,四川省,1.36,20200103
上海市,上海市,1.16,20200103
眉山市,四川省,1.14,20200103
北京市,北京市,1.05,20200103
乐山市,四川省,0.98,20200103
西安市,陕西省,0.92,20200103
宁波市,浙江省,0.82,20200103
广安市,四川省,0.78,20200103
巴中市,四川省,0.76,20200103
达州市,四川省,0.7,20200103
苏州市,江苏省,0.69,20200103
宜宾市,四川省,0.63,20200103
资阳市,四川省,0.62,20200103
内江市,四川省,0.61,20200103
深圳市,广东省,0.56,20200103
陇南市,甘肃省,0.56,20200103
凉山彝族自治州,四川省,0.54,20200103
无锡市,江苏省,0.53,20200103
雅安市,四川省,0.49,20200103
广州市,广东省,0.47,20200103
自贡市,四川省,0.43,20200103
泸州市,四川省,0.43,20200103
天津市,天津市,0.37,20200103
杭州市,浙江省,0.35,20200103
福州市,福建省,0.32,20200103
拉萨市,西藏自治区,0.31,20200103
佛山市,广东省,0.28,20200103
攀枝花市,四川省,0.28,20200103
乌鲁木齐市,新疆维吾尔自治区,0.28,20200103
汉中市,陕西省,0.28,20200103
绍兴市,浙江省,0.27,20200103
东莞市,广东省,0.27,20200103
甘孜藏族自治州,四川省,0.25,20200103
嘉兴市,浙江省,0.22,20200103
昆明市,云南省,0.21,20200103
廊坊市,河北省,0.21,20200103
咸阳市,陕西省,0.19,20200103
温州市,浙江省,0.18,20200103
南京市,江苏省,0.18,20200103
泉州市,福建省,0.17,20200103
贵阳市,贵州省,0.17,20200103
济南市,山东省,0.17,20200103
兰州市,甘肃省,0.17,20200103
太原市,山西省,0.16,20200103
成都市,四川省,38.68,20200104
德阳市,四川省,12.89,20200104
广元市,四川省,5.42,20200104
遂宁市,四川省,5.32,20200104
南充市,四川省,3.92,20200104
重庆市,重庆市,2.59,20200104
阿坝藏族羌族自治州,四川省,1.42,20200104
北京市,北京市,1.35,20200104
上海市,上海市,1.08,20200104
眉山市,四川省,1.05,20200104
乐山市,四川省,0.95,20200104
西安市,陕西省,0.94,20200104
苏州市,江苏省,0.77,20200104
宁波市,浙江省,0.77,20200104
巴中市,四川省,0.7,20200104
达州市,四川省,0.67,20200104
无锡市,江苏省,0.6,20200104
深圳市,广东省,0.59,20200104
广安市,四川省,0.53,20200104
