city_name,province_name,value,date
成都市,四川省,38.44,20200101
德阳市,四川省,15.63,20200101
广元市,四川省,8.37,20200101
遂宁市,四川省,7.12,20200101
南充市,四川省,4.29,20200101
重庆市,重庆市,3.17,20200101
阿坝藏族羌族自治州,四川省,1.69,20200101
乐山市,四川省,1.31,20200101
达州市,四川省,1.2,20200101
巴中市,四川省,1.17,20200101
眉山市,四川省,1.15,20200101
宜宾市,四川省,0.94,20200101
广安市,四川省,0.91,20200101
凉山彝族自治州,四川省,0.78,20200101
雅安市,四川省,0.77,20200101
资阳市,四川省,0.73,20200101
内江市,四川省,0.68,20200101
自贡市,四川省,0.61,20200101
西安市,陕西省,0.6,20200101
陇南市,甘肃省,0.58,20200101
北京市,北京市,0.58,20200101
泸州市,四川省,0.52,20200101
汉中市,陕西省,0.36,20200101
深圳市,广东省,0.32,20200101
上海市,上海市,0.29,20200101
甘孜藏族自治州,四川省,0.21,20200101
贵阳市,贵州省,0.19,20200101
昆明市,云南省,0.19,20200101
十堰市,湖北省,0.14,20200101
郑州市,河南省,0.14,20200101
咸阳市,陕西省,0.13,20200101
武汉市,湖北省,0.13,20200101
攀枝花市,四川省,0.12,20200101
遵义市,贵州省,0.12,20200101
兰州市,甘肃省,0.12,20200101
长沙市,湖南省,0.12,20200101
昭通市,云南省,0.11,20200101
西宁市,青海省,0.11,20200101
苏州市,江苏省,0.11,20200101
广州市,广东省,0.1,20200101
渭南市,陕西省,0.1,20200101
安康市,陕西省,0.1,20200101
石家庄市,河北省,0.09,20200101
洛阳市,河南省,0.09,20200101
东莞市,广东省,0.08,20200101
新乡市,河南省,0.08,20200101
杭州市,浙江省,0.07,20200101
毕节市,贵州省,0.07,20200101
拉萨市,西藏自治区,0.07,20200101
保定市,河北省,0.07,20200101
成都市,四川省,39.11,20200102
德阳市,四川省,10.05,20200102
广元市,四川省,7.39,20200102
遂宁市,四川省,4.98,20200102
重庆市,重庆市,4.15,20200102
南充市,四川省,3.28,20200102
阿坝藏族羌族自治州,四川省,1.42,20200102
眉山市,四川省,1.35,20200102
乐山市,四川省,1.25,20200102
凉山彝族自治州,四川省,1.18,20200102
宜宾市,四川省,1.09,20200102
西安市,陕西省,0.99,20200102
达州市,四川省,0.98,20200102
北京市,北京市,0.95,20200102
巴中市,四川省,0.91,20200102
广安市,四川省,0.88,20200102
泸州市,四川省,0.83,20200102
雅安市,四川省,0.82,20200102
内江市,四川省,0.78,20200102
资阳市,四川省,0.71,20200102
自贡市,四川省,0.61,20200102
陇南市,甘肃省,0.58,20200102
上海市,上海市,0.47,20200102
汉中市,陕西省,0.47,20200102
甘孜藏族自治州,四川省,0.39,20200102
昆明市,云南省,0.38,20200102
贵阳市,贵州省,0.33,20200102
广州市,广东省,0.33,20200102
苏州市,江苏省,0.31,20200102
深圳市,广东省,0.31,20200102
攀枝花市,四川省,0.31,20200102
郑州市,河南省,0.3,20200102
乌鲁木齐市,新疆维吾尔自治区,0.26,20200102
杭州市,浙江省,0.23,20200102
兰州市,甘肃省,0.21,20200102
太原市,山西省,0.19,20200102
遵义市,贵州省,0.19,20200102
咸阳市,陕西省,0.19,20200102
武汉市,湖北省,0.17,20200102
石家庄市,河北省,0.16,20200102
合肥市,安徽省,0.15,20200102
西宁市,青海省,0.15,20200102
宝鸡市,陕西省,0.14,20200102
无锡市,江苏省,0.13,20200102
厦门市,福建省,0.13,20200102
保定市,河北省,0.13,20200102
昭通市,云南省,0.13,20200102
徐州市,江苏省,0.12,20200102
南京市,江苏省,0.12,20200102
天津市,天津市,0.12,20200102
成都市,四川省,39.42,20200103
德阳市,四川省,12.99,20200103
广元市,四川省,6.99,20200103
遂宁市,四川省,5.71,20200103
重庆市,重庆市,3.98,20200103
南充市,四川省,3.83,20200103
阿坝藏族羌族自治州,四川省,1.57,20200103
乐山市,四川省,1.27,20200103
眉山市,四川省,1.19,20200103
宜宾市,四川省,1.02,20200103
凉山彝族自治州,四川省,0.99,20200103
西安市,陕西省,0.91,20200103
内江市,四川省,0.89,20200103
广安市,四川省,0.86,20200103
资阳市,四川省,0.85,20200103
巴中市,四川省,0.84,20200103
达州市,四川省,0.8,20200103
泸州市,四川省,0.76,20200103
北京市,北京市,0.76,20200103
雅安市,四川省,0.75,20200103
自贡市,四川省,0.49,20200103
