city_name,province_name,value,date
济南市,山东省,15.61,20200101
濮阳市,河南省,13.82,20200101
德州市,山东省,9.76,20200101
邢台市,河北省,8.55,20200101
邯郸市,河北省,8.22,20200101
北京市,北京市,4.23,20200101
泰安市,山东省,2.85,20200101
菏泽市,山东省,2.67,20200101
青岛市,山东省,2.38,20200101
潍坊市,山东省,2.33,20200101
济宁市,山东省,2.28,20200101
天津市,天津市,1.92,20200101
滨州市,山东省,1.43,20200101
淄博市,山东省,1.33,20200101
石家庄市,河北省,1.18,20200101
临沂市,山东省,1.09,20200101
烟台市,山东省,1.06,20200101
沧州市,河北省,0.99,20200101
东营市,山东省,0.87,20200101
郑州市,河南省,0.69,20200101
安阳市,河南省,0.67,20200101
保定市,河北省,0.56,20200101
威海市,山东省,0.55,20200101
日照市,山东省,0.52,20200101
廊坊市,河北省,0.52,20200101
衡水市,河北省,0.48,20200101
上海市,上海市,0.4,20200101
苏州市,江苏省,0.4,20200101
长治市,山西省,0.38,20200101
徐州市,江苏省,0.36,20200101
枣庄市,山东省,0.33,20200101
唐山市,河北省,0.33,20200101
新乡市,河南省,0.32,20200101
西安市,陕西省,0.31,20200101
吕梁市,山西省,0.27,20200101
阜阳市,安徽省,0.24,20200101
无锡市,江苏省,0.23,20200101
商丘市,河南省,0.22,20200101
忻州市,山西省,0.22,20200101
南京市,江苏省,0.21,20200101
武汉市,湖北省,0.21,20200101
晋中市,山西省,0.2,20200101
深圳市,广东省,0.2,20200101
杭州市,浙江省,0.18,20200101
太原市,山西省,0.17,20200101
哈尔滨市,黑龙江省,0.17,20200101
洛阳市,河南省,0.17,20200101
阳泉市,山西省,0.16,20200101
沈阳市,辽宁省,0.16,20200101
成都市,四川省,0.14,20200101
济南市,山东省,18.0,20200102
濮阳市,河南省,7.31,20200102
德州市,山东省,6.59,20200102
北京市,北京市,6.02,20200102
邢台市,河北省,4.33,20200102
邯郸市,河北省,4.11,20200102
青岛市,山东省,3.85,20200102
潍坊市,山东省,2.81,20200102
天津市,天津市,2.61,20200102
济宁市,山东省,2.59,20200102
泰安市,山东省,2.59,20200102
菏泽市,山东省,2.56,20200102
临沂市,山东省,1.69,20200102
石家庄市,河北省,1.63,20200102
滨州市,山东省,1.59,20200102
淄博市,山东省,1.53,20200102
烟台市,山东省,1.4,20200102
东营市,山东省,1.15,20200102
威海市,山东省,1.05,20200102
沧州市,河北省,1.03,20200102
廊坊市,河北省,0.87,20200102
保定市,河北省,0.86,20200102
郑州市,河南省,0.83,20200102
上海市,上海市,0.78,20200102
日照市,山东省,0.76,20200102
衡水市,河北省,0.73,20200102
安阳市,河南省,0.68,20200102
徐州市,江苏省,0.55,20200102
苏州市,江苏省,0.54,20200102
枣庄市,山东省,0.51,20200102
西安市,陕西省,0.49,20200102
南京市,江苏省,0.46,20200102
唐山市,河北省,0.42,20200102
无锡市,江苏省,0.41,20200102
新乡市,河南省,0.41,20200102
哈尔滨市,黑龙江省,0.39,20200102
长治市,山西省,0.39,20200102
杭州市,浙江省,0.37,20200102
深圳市,广东省,0.35,20200102
武汉市,湖北省,0.33,20200102
焦作市,河南省,0.29,20200102
沈阳市,辽宁省,0.29,20200102
商丘市,河南省,0.29,20200102
广州市,广东省,0.26,20200102
成都市,四川省,0.25,20200102
洛阳市,河南省,0.25,20200102
太原市,山西省,0.24,20200102
合肥市,安徽省,0.24,20200102
阜阳市,安徽省,0.23,20200102
吕梁市,山西省,0.23,20200102
济南市,山东省,19.81,20200103
濮阳市,河南省,9.98,20200103
德州市,山东省,7.55,20200103
邢台市,河北省,6.15,20200103
邯郸市,河北省,5.65,20200103
北京市,北京市,5.47,20200103
青岛市,山东省,3.39,20200103
菏泽市,山东省,2.84,20200103
济宁市,山东省,2.71,20200103
泰安市,山东省,2.5,20200103
潍坊市,山东省,2.3,20200103
天津市,天津市,2.12,20200103
淄博市,山东省,1.47,20200103
滨州市,山东省,1.41,20200103
石家庄市,河北省,1.35,20200103
临沂市,山东省,1.28,20200103
烟台市,山东省,1.24,20200103
沧州市,河北省,0.88,20200103
东营市,山东省,0.85,20200103
日照市,山东省,0.83,20200103
郑州市,河南省,0.81,20200103
保定市,河北省,0.68,20200103
廊坊市,河北省,0.65,20200103
威海市,山东省,0.65,20200103
衡水市,河北省,0.64,20200103
安阳市,河南省,0.61,20200103
枣庄市,山东省,0.6,20200103
上海市,上海市,0.53,20200103
徐州市,江苏省,0.46,20200103
长治市,山西省,0.45,20200103
苏州市,江苏省,0.45,20200103
新乡市,河南省,0.4,20200103
西安市,陕西省,0.39,20200103
南京市,江苏省,0.29,20200103
无锡市,江苏省,0.29,20200103
商丘市,河南省,0.25,20200103
成都市,四川省,0.24,20200103
唐山市,河北省,0.24,20200103
哈尔滨市,黑龙江省,0.24,20200103
晋中市,山西省,0.23,20200103
焦作市,河南省,0.23,20200103
武汉市,湖北省,0.23,20200103
深圳市,广东省,0.23,20200103
沈阳市,辽宁省,0.23,20200103
太原市,山西省,0.21,20200103
榆林市,陕西省,0.21,20200103
杭州市,浙江省,0.2,20200103
吕梁市,山西省,0.19,20200103
张家口市,河北省,0.19,20200103
洛阳市,河南省,0.17,20200103
济南市,山东省,18.51,20200104
濮阳市,河南省,10.83,20200104
德州市,山东省,8.26,20200104
邢台市,河北省,7.01,20200104
邯郸市,河北省,6.88,20200104
北京市,北京市,4.33,20200104
青岛市,山东省,3.63,20200104
泰安市,山东省,2.8,20200104
菏泽市,山东省,2.75,20200104
济宁市,山东省,2.63,20200104
潍坊市,山东省,2.21,20200104
天津市,天津市,2.02,20200104
滨州市,山东省,1.79,20200104
临沂市,山东省,1.36,20200104
烟台市,山东省,1.33,20200104
淄博市,山东省,1.31,20200104
石家庄市,河北省,1.19,20200104
沧州市,河北省,0.91,20200104
东营市,山东省,0.83,20200104
安阳市,河南省,0.76,20200104
日照市,山东省,0.74,20200104
