city_name,province_name,value,date
佛山市,广东省,34.32,20200101
广州市,广东省,18.74,20200101
云浮市,广东省,9.71,20200101
清远市,广东省,3.25,20200101
东莞市,广东省,3.19,20200101
梧州市,广西壮族自治区,3.09,20200101
中山市,广东省,2.83,20200101
深圳市,广东省,2.76,20200101
江门市,广东省,2.53,20200101
贺州市,广西壮族自治区,1.62,20200101
珠海市,广东省,1.04,20200101
惠州市,广东省,0.83,20200101
茂名市,广东省,0.81,20200101
贵港市,广西壮族自治区,0.78,20200101
阳江市,广东省,0.78,20200101
湛江市,广东省,0.69,20200101
重庆市,重庆市,0.57,20200101
桂林市,广西壮族自治区,0.5,20200101
韶关市,广东省,0.47,20200101
南宁市,广西壮族自治区,0.44,20200101
铜仁市,贵州省,0.42,20200101
莆田市,福建省,0.39,20200101
香港,香港,0.37,20200101
百色市,广西壮族自治区,0.34,20200101
永州市,湖南省,0.32,20200101
玉林市,广西壮族自治区,0.32,20200101
澳门,澳门,0.28,20200101
文山壮族苗族自治州,云南省,0.28,20200101
郴州市,湖南省,0.27,20200101
钦州市,广西壮族自治区,0.25,20200101
衡阳市,湖南省,0.24,20200101
揭阳市,广东省,0.23,20200101
南充市,四川省,0.2,20200101
南阳市,河南省,0.2,20200101
河池市,广西壮族自治区,0.18,20200101
柳州市,广西壮族自治区,0.18,20200101
长沙市,湖南省,0.18,20200101
黔东南苗族侗族自治州,贵州省,0.18,20200101
梅州市,广东省,0.18,20200101
河源市,广东省,0.17,20200101
遵义市,贵州省,0.16,20200101
汕头市,广东省,0.15,20200101
汕尾市,广东省,0.14,20200101
贵阳市,贵州省,0.12,20200101
北京市,北京市,0.12,20200101
来宾市,广西壮族自治区,0.12,20200101
怀化市,湖南省,0.12,20200101
邵阳市,湖南省,0.12,20200101
成都市,四川省,0.12,20200101
武汉市,湖北省,0.11,20200101
佛山市,广东省,28.31,20200102
广州市,广东省,19.81,20200102
云浮市,广东省,6.26,20200102
东莞市,广东省,3.83,20200102
中山市,广东省,3.33,20200102
深圳市,广东省,3.33,20200102
江门市,广东省,2.46,20200102
清远市,广东省,2.35,20200102
梧州市,广西壮族自治区,1.96,20200102
铜仁市,贵州省,1.27,20200102
茂名市,广东省,1.21,20200102
贺州市,广西壮族自治区,1.05,20200102
惠州市,广东省,1.02,20200102
重庆市,重庆市,1.0,20200102
珠海市,广东省,0.97,20200102
莆田市,福建省,0.86,20200102
湛江市,广东省,0.85,20200102
贵港市,广西壮族自治区,0.77,20200102
阳江市,广东省,0.68,20200102
桂林市,广西壮族自治区,0.64,20200102
南宁市,广西壮族自治区,0.63,20200102
百色市,广西壮族自治区,0.61,20200102
南充市,四川省,0.6,20200102
韶关市,广东省,0.58,20200102
文山壮族苗族自治州,云南省,0.52,20200102
南阳市,河南省,0.5,20200102
玉林市,广西壮族自治区,0.48,20200102
永州市,湖南省,0.45,20200102
衡阳市,湖南省,0.4,20200102
香港,香港,0.39,20200102
柳州市,广西壮族自治区,0.39,20200102
揭阳市,广东省,0.36,20200102
钦州市,广西壮族自治区,0.34,20200102
遵义市,贵州省,0.3,20200102
郴州市,湖南省,0.3,20200102
澳门,澳门,0.29,20200102
梅州市,广东省,0.29,20200102
河池市,广西壮族自治区,0.27,20200102
河源市,广东省,0.27,20200102
汕头市,广东省,0.25,20200102
长沙市,湖南省,0.25,20200102
邵阳市,湖南省,0.23,20200102
黔东南苗族侗族自治州,贵州省,0.23,20200102
福州市,福建省,0.2,20200102
岳阳市,湖南省,0.2,20200102
荆州市,湖北省,0.2,20200102
怀化市,湖南省,0.2,20200102
汕尾市,广东省,0.19,20200102
益阳市,湖南省,0.19,20200102
常德市,湖南省,0.18,20200102
佛山市,广东省,27.78,20200103
广州市,广东省,20.7,20200103
云浮市,广东省,8.12,20200103
深圳市,广东省,3.19,20200103
东莞市,广东省,3.06,20200103
中山市,广东省,2.91,20200103
清远市,广东省,2.77,20200103
江门市,广东省,2.44,20200103
梧州市,广西壮族自治区,2.23,20200103
贺州市,广西壮族自治区,1.41,20200103
茂名市,广东省,1.36,20200103
惠州市,广东省,1.23,20200103
珠海市,广东省,1.21,20200103
铜仁市,贵州省,0.96,20200103
莆田市,福建省,0.85,20200103
重庆市,重庆市,0.83,20200103
湛江市,广东省,0.83,20200103
阳江市,广东省,0.78,20200103
贵港市,广西壮族自治区,0.72,20200103
韶关市,广东省,0.57,20200103
南宁市,广西壮族自治区,0.54,20200103
永州市,湖南省,0.5,20200103
桂林市,广西壮族自治区,0.45,20200103
南充市,四川省,0.44,20200103
南阳市,河南省,0.43,20200103
衡阳市,湖南省,0.39,20200103
百色市,广西壮族自治区,0.39,20200103
玉林市,广西壮族自治区,0.39,20200103
澳门,澳门,0.39,20200103
揭阳市,广东省,0.39,20200103
梅州市,广东省,0.34,20200103
柳州市,广西壮族自治区,0.34,20200103
郴州市,湖南省,0.33,20200103
文山壮族苗族自治州,云南省,0.33,20200103
钦州市,广西壮族自治区,0.3,20200103
河源市,广东省,0.3,20200103
香港,香港,0.26,20200103
黔东南苗族侗族自治州,贵州省,0.25,20200103
汕头市,广东省,0.25,20200103
邵阳市,湖南省,0.25,20200103
遵义市,贵州省,0.25,20200103
长沙市,湖南省,0.24,20200103
荆州市,湖北省,0.21,20200103
益阳市,湖南省,0.21,20200103
贵阳市,贵州省,0.21,20200103
河池市,广西壮族自治区,0.2,20200103
