city_name,province_name,value,date
成都市,四川省,24.26,20200101
内江市,四川省,21.89,20200101
宜宾市,四川省,14.57,20200101
泸州市,四川省,8.97,20200101
乐山市,四川省,7.13,20200101
重庆市,重庆市,6.76,20200101
眉山市,四川省,2.05,20200101
德阳市,四川省,1.06,20200101
昭通市,云南省,1.02,20200101
资阳市,四川省,0.93,20200101
绵阳市,四川省,0.78,20200101
南充市,四川省,0.7,20200101
凉山彝族自治州,四川省,0.58,20200101
昆明市,云南省,0.53,20200101
达州市,四川省,0.49,20200101
遂宁市,四川省,0.49,20200101
雅安市,四川省,0.45,20200101
遵义市,贵州省,0.45,20200101
广安市,四川省,0.34,20200101
毕节市,贵州省,0.31,20200101
广元市,四川省,0.23,20200101
巴中市,四川省,0.22,20200101
阿坝藏族羌族自治州,四川省,0.22,20200101
西安市,陕西省,0.18,20200101
贵阳市,贵州省,0.18,20200101
深圳市,广东省,0.18,20200101
攀枝花市,四川省,0.17,20200101
汉中市,陕西省,0.16,20200101
广州市,广东省,0.16,20200101
六盘水市,贵州省,0.14,20200101
黔南布依族苗族自治州,贵州省,0.12,20200101
曲靖市,云南省,0.12,20200101
上海市,上海市,0.12,20200101
北京市,北京市,0.11,20200101
佛山市,广东省,0.1,20200101
丽江市,云南省,0.1,20200101
三亚市,海南省,0.09,20200101
十堰市,湖北省,0.08,20200101
西双版纳傣族自治州,云南省,0.07,20200101
乌鲁木齐市,新疆维吾尔自治区,0.07,20200101
江门市,广东省,0.06,20200101
大理白族自治州,云南省,0.06,20200101
红河哈尼族彝族自治州,云南省,0.06,20200101
杭州市,浙江省,0.06,20200101
厦门市,福建省,0.05,20200101
长沙市,湖南省,0.05,20200101
文山壮族苗族自治州,云南省,0.05,20200101
东莞市,广东省,0.05,20200101
河池市,广西壮族自治区,0.05,20200101
安顺市,贵州省,0.05,20200101
成都市,四川省,31.58,20200102
内江市,四川省,13.16,20200102
宜宾市,四川省,12.16,20200102
重庆市,重庆市,7.41,20200102
泸州市,四川省,7.04,20200102
乐山市,四川省,4.98,20200102
眉山市,四川省,3.08,20200102
昭通市,云南省,1.3,20200102
资阳市,四川省,1.18,20200102
德阳市,四川省,1.13,20200102
凉山彝族自治州,四川省,0.99,20200102
南充市,四川省,0.94,20200102
绵阳市,四川省,0.85,20200102
遂宁市,四川省,0.85,20200102
昆明市,云南省,0.68,20200102
遵义市,贵州省,0.67,20200102
雅安市,四川省,0.6,20200102
达州市,四川省,0.57,20200102
广安市,四川省,0.41,20200102
毕节市,贵州省,0.35,20200102
广元市,四川省,0.35,20200102
阿坝藏族羌族自治州,四川省,0.33,20200102
贵阳市,贵州省,0.3,20200102
中山市,广东省,0.27,20200102
攀枝花市,四川省,0.26,20200102
佛山市,广东省,0.26,20200102
广州市,广东省,0.26,20200102
西安市,陕西省,0.25,20200102
北京市,北京市,0.25,20200102
巴中市,四川省,0.24,20200102
黔南布依族苗族自治州,贵州省,0.21,20200102
甘孜藏族自治州,四川省,0.2,20200102
三亚市,海南省,0.18,20200102
丽江市,云南省,0.16,20200102
杭州市,浙江省,0.15,20200102
汉中市,陕西省,0.15,20200102
东莞市,广东省,0.14,20200102
红河哈尼族彝族自治州,云南省,0.13,20200102
南京市,江苏省,0.13,20200102
