city_name,province_name,value,date
宁波市,浙江省,34.0,20200101
上海市,上海市,20.83,20200101
杭州市,浙江省,7.19,20200101
台州市,浙江省,3.48,20200101
苏州市,江苏省,2.53,20200101
绍兴市,浙江省,2.5,20200101
嘉兴市,浙江省,2.23,20200101
金华市,浙江省,1.39,20200101
温州市,浙江省,1.3,20200101
南通市,江苏省,1.1,20200101
泉州市,福建省,1.07,20200101
福州市,福建省,0.95,20200101
南京市,江苏省,0.94,20200101
青岛市,山东省,0.81,20200101
北京市,北京市,0.76,20200101
厦门市,福建省,0.76,20200101
无锡市,江苏省,0.76,20200101
大连市,辽宁省,0.73,20200101
阜阳市,安徽省,0.65,20200101
湖州市,浙江省,0.63,20200101
宁德市,福建省,0.57,20200101
天津市,天津市,0.56,20200101
武汉市,湖北省,0.44,20200101
徐州市,江苏省,0.4,20200101
广州市,广东省,0.39,20200101
泰州市,江苏省,0.38,20200101
郑州市,河南省,0.35,20200101
镇江市,江苏省,0.34,20200101
重庆市,重庆市,0.32,20200101
衢州市,浙江省,0.28,20200101
漳州市,福建省,0.28,20200101
合肥市,安徽省,0.27,20200101
临沂市,山东省,0.27,20200101
烟台市,山东省,0.26,20200101
商丘市,河南省,0.26,20200101
常州市,江苏省,0.25,20200101
深圳市,广东省,0.24,20200101
盐城市,江苏省,0.24,20200101
丽水市,浙江省,0.23,20200101
上饶市,江西省,0.21,20200101
亳州市,安徽省,0.21,20200101
芜湖市,安徽省,0.21,20200101
西安市,陕西省,0.2,20200101
长沙市,湖南省,0.19,20200101
南昌市,江西省,0.18,20200101
唐山市,河北省,0.18,20200101
连云港市,江苏省,0.17,20200101
莆田市,福建省,0.16,20200101
周口市,河南省,0.16,20200101
扬州市,江苏省,0.16,20200101
宁波市,浙江省,24.16,20200102
上海市,上海市,19.87,20200102
杭州市,浙江省,8.75,20200102
台州市,浙江省,2.74,20200102
苏州市,江苏省,2.56,20200102
绍兴市,浙江省,2.15,20200102
温州市,浙江省,1.89,20200102
金华市,浙江省,1.49,20200102
北京市,北京市,1.36,20200102
南通市,江苏省,1.34,20200102
嘉兴市,浙江省,1.31,20200102
福州市,福建省,1.26,20200102
南京市,江苏省,1.11,20200102
无锡市,江苏省,1.1,20200102
阜阳市,安徽省,0.99,20200102
大连市,辽宁省,0.97,20200102
湖州市,浙江省,0.97,20200102
青岛市,山东省,0.9,20200102
泉州市,福建省,0.82,20200102
厦门市,福建省,0.71,20200102
广州市,广东省,0.7,20200102
连云港市,江苏省,0.64,20200102
武汉市,湖北省,0.64,20200102
徐州市,江苏省,0.62,20200102
烟台市,山东省,0.6,20200102
泰州市,江苏省,0.53,20200102
郑州市,河南省,0.52,20200102
南昌市,江西省,0.52,20200102
宁德市,福建省,0.52,20200102
漳州市,福建省,0.48,20200102
常州市,江苏省,0.47,20200102
深圳市,广东省,0.46,20200102
镇江市,江苏省,0.43,20200102
合肥市,安徽省,0.42,20200102
天津市,天津市,0.4,20200102
商丘市,河南省,0.38,20200102
衢州市,浙江省,0.38,20200102
威海市,山东省,0.38,20200102
菏泽市,山东省,0.37,20200102
盐城市,江苏省,0.37,20200102
佛山市,广东省,0.36,20200102
日照市,山东省,0.33,20200102
扬州市,江苏省,0.32,20200102
长沙市,湖南省,0.31,20200102
沈阳市,辽宁省,0.31,20200102
临沂市,山东省,0.31,20200102
芜湖市,安徽省,0.3,20200102
唐山市,河北省,0.3,20200102
重庆市,重庆市,0.28,20200102
上饶市,江西省,0.22,20200102
宁波市,浙江省,24.18,20200103
上海市,上海市,22.52,20200103
杭州市,浙江省,9.11,20200103
苏州市,江苏省,3.7,20200103
台州市,浙江省,2.9,20200103
绍兴市,浙江省,1.95,20200103
温州市,浙江省,1.86,20200103
嘉兴市,浙江省,1.7,20200103
泉州市,福建省,1.33,20200103
金华市,浙江省,1.31,20200103
南通市,江苏省,1.21,20200103
湖州市,浙江省,1.01,20200103
青岛市,山东省,1.01,20200103
无锡市,江苏省,0.99,20200103
南京市,江苏省,0.97,20200103
北京市,北京市,0.92,20200103
福州市,福建省,0.85,20200103
泰州市,江苏省,0.85,20200103
宁德市,福建省,0.85,20200103
厦门市,福建省,0.77,20200103
天津市,天津市,0.76,20200103
阜阳市,安徽省,0.71,20200103
大连市,辽宁省,0.68,20200103
武汉市,湖北省,0.59,20200103
广州市,广东省,0.59,20200103
郑州市,河南省,0.56,20200103
徐州市,江苏省,0.56,20200103
南昌市,江西省,0.47,20200103
漳州市,福建省,0.47,20200103
常州市,江苏省,0.45,20200103
扬州市,江苏省,0.44,20200103
上饶市,江西省,0.42,20200103
衢州市,浙江省,0.36,20200103
镇江市,江苏省,0.35,20200103
威海市,山东省,0.33,20200103
潮州市,广东省,0.32,20200103
连云港市,江苏省,0.32,20200103
烟台市,山东省,0.32,20200103
沈阳市,辽宁省,0.3,20200103
深圳市,广东省,0.3,20200103
合肥市,安徽省,0.3,20200103
哈尔滨市,黑龙江省,0.27,20200103
日照市,山东省,0.27,20200103
菏泽市,山东省,0.26,20200103
济南市,山东省,0.23,20200103
商丘市,河南省,0.2,20200103
新乡市,河南省,0.19,20200103
重庆市,重庆市,0.18,20200103
临沂市,山东省,0.18,20200103
芜湖市,安徽省,0.17,20200103
宁波市,浙江省,27.13,20200104
上海市,上海市,23.43,20200104
杭州市,浙江省,8.83,20200104
苏州市,江苏省,3.51,20200104
台州市,浙江省,2.69,20200104
绍兴市,浙江省,2.24,20200104
嘉兴市,浙江省,2.17,20200104
温州市,浙江省,1.73,20200104
南通市,江苏省,1.41,20200104
金华市,浙江省,1.27,20200104
福州市,福建省,1.1,20200104
青岛市,山东省,0.97,20200104
无锡市,江苏省,0.95,20200104
厦门市,福建省,0.94,20200104
北京市,北京市,0.87,20200104
泉州市,福建省,0.84,20200104
南京市,江苏省,0.79,20200104
湖州市,浙江省,0.73,20200104
徐州市,江苏省,0.66,20200104
泰州市,江苏省,0.64,20200104
大连市,辽宁省,0.6,20200104
阜阳市,安徽省,0.55,20200104
深圳市,广东省,0.52,20200104
广州市,广东省,0.52,20200104
南昌市,江西省,0.46,20200104
连云港市,江苏省,0.43,20200104
天津市,天津市,0.42,20200104
宁德市,福建省,0.42,20200104
盐城市,江苏省,0.38,20200104
武汉市,湖北省,0.37,20200104
郑州市,河南省,0.36,20200104
常州市,江苏省,0.36,20200104
威海市,山东省,0.29,20200104
烟台市,山东省,0.29,20200104
重庆市,重庆市,0.29,20200104
衢州市,浙江省,0.27,20200104
扬州市,江苏省,0.23,20200104
商丘市,河南省,0.23,20200104
达州市,四川省,0.22,20200104
漳州市,福建省,0.22,20200104
合肥市,安徽省,0.22,20200104
沈阳市,辽宁省,0.21,20200104
丽水市,浙江省,0.19,20200104
镇江市,江苏省,0.18,20200104
宿州市,安徽省,0.18,20200104
成都市,四川省,0.17,20200104
唐山市,河北省,0.17,20200104
宣城市,安徽省,0.17,20200104
济南市,山东省,0.17,20200104
芜湖市,安徽省,0.17,20200104
宁波市,浙江省,30.92,20200105
上海市,上海市,19.98,20200105
杭州市,浙江省,9.34,20200105
台州市,浙江省,3.53,20200105
绍兴市,浙江省,2.51,20200105
苏州市,江苏省,2.0,20200105
嘉兴市,浙江省,1.78,20200105
金华市,浙江省,1.7,20200105
温州市,浙江省,1.59,20200105
泉州市,福建省,1.29,20200105
南通市,江苏省,1.2,20200105
福州市,福建省,1.1,20200105
湖州市,浙江省,0.92,20200105
厦门市,福建省,0.9,20200105
南京市,江苏省,0.88,20200105
北京市,北京市,0.83,20200105
青岛市,山东省,0.79,20200105
天津市,天津市,0.69,20200105
阜阳市,安徽省,0.69,20200105
无锡市,江苏省,0.64,20200105
武汉市,湖北省,0.56,20200105
宁德市,福建省,0.55,20200105
大连市,辽宁省,0.54,20200105
泰州市,江苏省,0.5,20200105
广州市,广东省,0.46,20200105
徐州市,江苏省,0.46,20200105
常州市,江苏省,0.43,20200105
深圳市,广东省,0.4,20200105
南昌市,江西省,0.36,20200105
重庆市,重庆市,0.36,20200105
合肥市,安徽省,0.3,20200105
扬州市,江苏省,0.29,20200105
烟台市,山东省,0.29,20200105
郑州市,河南省,0.28,20200105
连云港市,江苏省,0.28,20200105
盐城市,江苏省,0.27,20200105
芜湖市,安徽省,0.24,20200105
衢州市,浙江省,0.22,20200105
丽水市,浙江省,0.21,20200105
西安市,陕西省,0.21,20200105
威海市,山东省,0.2,20200105
镇江市,江苏省,0.2,20200105
济南市,山东省,0.19,20200105
唐山市,河北省,0.19,20200105
上饶市,江西省,0.18,20200105
商丘市,河南省,0.18,20200105
周口市,河南省,0.18,20200105
长沙市,湖南省,0.18,20200105
昆明市,云南省,0.18,20200105
临沂市,山东省,0.18,20200105
宁波市,浙江省,28.38,20200106
上海市,上海市,22.78,20200106
杭州市,浙江省,10.62,20200106
台州市,浙江省,3.03,20200106
绍兴市,浙江省,2.4,20200106
苏州市,江苏省,2.03,20200106
嘉兴市,浙江省,1.89,20200106
温州市,浙江省,1.7,20200106
金华市,浙江省,1.59,20200106
福州市,福建省,1.14,20200106
湖州市,浙江省,1.04,20200106
南通市,江苏省,1.03,20200106
泉州市,福建省,1.03,20200106
北京市,北京市,0.99,20200106
厦门市,福建省,0.88,20200106
南京市,江苏省,0.87,20200106
青岛市,山东省,0.75,20200106
阜阳市,安徽省,0.68,20200106
无锡市,江苏省,0.65,20200106
武汉市,湖北省,0.54,20200106
广州市,广东省,0.53,20200106
天津市,天津市,0.49,20200106
常州市,江苏省,0.47,20200106
重庆市,重庆市,0.43,20200106
泰州市,江苏省,0.43,20200106
徐州市,江苏省,0.38,20200106
济南市,山东省,0.37,20200106
大连市,辽宁省,0.35,20200106
宁德市,福建省,0.33,20200106
漳州市,福建省,0.3,20200106
南昌市,江西省,0.3,20200106
西安市,陕西省,0.29,20200106
烟台市,山东省,0.28,20200106
芜湖市,安徽省,0.28,20200106
衢州市,浙江省,0.27,20200106
镇江市,江苏省,0.27,20200106
郑州市,河南省,0.26,20200106
扬州市,江苏省,0.24,20200106
丽水市,浙江省,0.24,20200106
深圳市,广东省,0.22,20200106
合肥市,安徽省,0.2,20200106
唐山市,河北省,0.19,20200106
上饶市,江西省,0.19,20200106
临沂市,山东省,0.18,20200106
哈尔滨市,黑龙江省,0.17,20200106
济宁市,山东省,0.17,20200106
盐城市,江苏省,0.17,20200106
商丘市,河南省,0.16,20200106
连云港市,江苏省,0.16,20200106
长沙市,湖南省,0.16,20200106
宁波市,浙江省,25.93,20200107
上海市,上海市,21.64,20200107
杭州市,浙江省,9.78,20200107
台州市,浙江省,2.74,20200107
绍兴市,浙江省,2.53,20200107
苏州市,江苏省,2.38,20200107
金华市,浙江省,2.02,20200107
嘉兴市,浙江省,1.96,20200107
温州市,浙江省,1.76,20200107
泉州市,福建省,1.58,20200107
南通市,江苏省,1.1,20200107
北京市,北京市,1.1,20200107
福州市,福建省,1.0,20200107
南京市,江苏省,1.0,20200107
无锡市,江苏省,0.9,20200107
阜阳市,安徽省,0.83,20200107
青岛市,山东省,0.78,20200107
武汉市,湖北省,0.75,20200107
天津市,天津市,0.71,20200107
