city_name,province_name,value,date
宁波市,浙江省,31.45,20200101
上海市,上海市,18.15,20200101
杭州市,浙江省,7.13,20200101
台州市,浙江省,3.09,20200101
阜阳市,安徽省,2.59,20200101
苏州市,江苏省,2.56,20200101
绍兴市,浙江省,2.13,20200101
南通市,江苏省,1.9,20200101
温州市,浙江省,1.86,20200101
嘉兴市,浙江省,1.84,20200101
金华市,浙江省,1.25,20200101
无锡市,江苏省,0.82,20200101
南京市,江苏省,0.79,20200101
商丘市,河南省,0.78,20200101
大连市,辽宁省,0.69,20200101
福州市,福建省,0.65,20200101
泉州市,福建省,0.65,20200101
湖州市,浙江省,0.62,20200101
青岛市,山东省,0.56,20200101
厦门市,福建省,0.55,20200101
宁德市,福建省,0.52,20200101
泰州市,江苏省,0.47,20200101
驻马店市,河南省,0.41,20200101
连云港市,江苏省,0.41,20200101
威海市,山东省,0.41,20200101
北京市,北京市,0.39,20200101
衢州市,浙江省,0.36,20200101
南阳市,河南省,0.33,20200101
宿州市,安徽省,0.33,20200101
楚雄彝族自治州,云南省,0.33,20200101
常州市,江苏省,0.33,20200101
广州市,广东省,0.33,20200101
盐城市,江苏省,0.31,20200101
周口市,河南省,0.3,20200101
漳州市,福建省,0.3,20200101
安庆市,安徽省,0.29,20200101
贵阳市,贵州省,0.28,20200101
镇江市,江苏省,0.27,20200101
扬州市,江苏省,0.27,20200101
重庆市,重庆市,0.27,20200101
洛阳市,河南省,0.27,20200101
亳州市,安徽省,0.26,20200101
天津市,天津市,0.24,20200101
郑州市,河南省,0.24,20200101
烟台市,山东省,0.23,20200101
徐州市,江苏省,0.21,20200101
济宁市,山东省,0.21,20200101
合肥市,安徽省,0.21,20200101
深圳市,广东省,0.2,20200101
昆明市,云南省,0.2,20200101
宁波市,浙江省,23.3,20200102
上海市,上海市,13.58,20200102
杭州市,浙江省,7.12,20200102
台州市,浙江省,4.53,20200102
阜阳市,安徽省,4.07,20200102
绍兴市,浙江省,2.02,20200102
苏州市,江苏省,1.89,20200102
南通市,江苏省,1.81,20200102
温州市,浙江省,1.81,20200102
金华市,浙江省,1.71,20200102
嘉兴市,浙江省,1.61,20200102
商丘市,河南省,1.45,20200102
南京市,江苏省,0.89,20200102
无锡市,江苏省,0.74,20200102
周口市,河南省,0.72,20200102
北京市,北京市,0.71,20200102
驻马店市,河南省,0.68,20200102
泉州市,福建省,0.66,20200102
宿州市,安徽省,0.62,20200102
徐州市,江苏省,0.61,20200102
福州市,福建省,0.61,20200102
亳州市,安徽省,0.6,20200102
连云港市,江苏省,0.55,20200102
湖州市,浙江省,0.54,20200102
重庆市,重庆市,0.53,20200102
南阳市,河南省,0.53,20200102
大连市,辽宁省,0.53,20200102
厦门市,福建省,0.52,20200102
深圳市,广东省,0.51,20200102
安庆市,安徽省,0.44,20200102
怀化市,湖南省,0.44,20200102
菏泽市,山东省,0.41,20200102
常州市,江苏省,0.41,20200102
泰州市,江苏省,0.4,20200102
新乡市,河南省,0.4,20200102
宁德市,福建省,0.4,20200102
扬州市,江苏省,0.4,20200102
信阳市,河南省,0.39,20200102
上饶市,江西省,0.38,20200102
青岛市,山东省,0.38,20200102
烟台市,山东省,0.38,20200102
合肥市,安徽省,0.37,20200102
济宁市,山东省,0.36,20200102
洛阳市,河南省,0.34,20200102
威海市,山东省,0.33,20200102
盐城市,江苏省,0.33,20200102
郑州市,河南省,0.33,20200102
丽水市,浙江省,0.32,20200102
漳州市,福建省,0.31,20200102
开封市,河南省,0.3,20200102
宁波市,浙江省,28.22,20200103
上海市,上海市,17.26,20200103
杭州市,浙江省,8.68,20200103
阜阳市,安徽省,3.6,20200103
台州市,浙江省,3.06,20200103
绍兴市,浙江省,2.35,20200103
嘉兴市,浙江省,2.27,20200103
温州市,浙江省,1.69,20200103
金华市,浙江省,1.69,20200103
苏州市,江苏省,1.69,20200103
商丘市,河南省,1.25,20200103
南通市,江苏省,1.15,20200103
湖州市,浙江省,0.93,20200103
南京市,江苏省,0.79,20200103
驻马店市,河南省,0.75,20200103
无锡市,江苏省,0.65,20200103
北京市,北京市,0.62,20200103
厦门市,福建省,0.61,20200103
福州市,福建省,0.56,20200103
青岛市,山东省,0.52,20200103
泉州市,福建省,0.51,20200103
南阳市,河南省,0.51,20200103
宁德市,福建省,0.48,20200103
亳州市,安徽省,0.47,20200103
衢州市,浙江省,0.44,20200103
泰州市,江苏省,0.38,20200103
安庆市,安徽省,0.37,20200103
大连市,辽宁省,0.35,20200103
周口市,河南省,0.35,20200103
烟台市,山东省,0.34,20200103
怀化市,湖南省,0.32,20200103
扬州市,江苏省,0.3,20200103
重庆市,重庆市,0.29,20200103
宿州市,安徽省,0.28,20200103
徐州市,江苏省,0.27,20200103
丽水市,浙江省,0.27,20200103
合肥市,安徽省,0.27,20200103
武汉市,湖北省,0.27,20200103
洛阳市,河南省,0.27,20200103
天津市,天津市,0.26,20200103
长沙市,湖南省,0.25,20200103
深圳市,广东省,0.25,20200103
临沂市,山东省,0.24,20200103
盐城市,江苏省,0.24,20200103
黄山市,安徽省,0.23,20200103
济宁市,山东省,0.22,20200103
九江市,江西省,0.22,20200103
菏泽市,山东省,0.22,20200103
西安市,陕西省,0.22,20200103
郑州市,河南省,0.21,20200103
宁波市,浙江省,29.34,20200104
上海市,上海市,15.5,20200104
杭州市,浙江省,7.53,20200104
阜阳市,安徽省,3.4,20200104
台州市,浙江省,2.65,20200104
温州市,浙江省,2.03,20200104
绍兴市,浙江省,2.01,20200104
嘉兴市,浙江省,1.9,20200104
金华市,浙江省,1.79,20200104
苏州市,江苏省,1.69,20200104
南通市,江苏省,1.25,20200104
商丘市,河南省,0.93,20200104
湖州市,浙江省,0.87,20200104
驻马店市,河南省,0.74,20200104
北京市,北京市,0.69,20200104
衢州市,浙江省,0.67,20200104
无锡市,江苏省,0.62,20200104
福州市,福建省,0.6,20200104
泉州市,福建省,0.6,20200104
厦门市,福建省,0.59,20200104
南京市,江苏省,0.57,20200104
怀化市,湖南省,0.53,20200104
周口市,河南省,0.48,20200104
安庆市,安徽省,0.48,20200104
大连市,辽宁省,0.47,20200104
亳州市,安徽省,0.45,20200104
泰州市,江苏省,0.44,20200104
重庆市,重庆市,0.42,20200104
连云港市,江苏省,0.41,20200104
新乡市,河南省,0.41,20200104
青岛市,山东省,0.39,20200104
上饶市,江西省,0.32,20200104
济宁市,山东省,0.32,20200104
镇江市,江苏省,0.32,20200104
常州市,江苏省,0.31,20200104
广州市,广东省,0.3,20200104
天津市,天津市,0.3,20200104
丽水市,浙江省,0.3,20200104
扬州市,江苏省,0.29,20200104
武汉市,湖北省,0.29,20200104
洛阳市,河南省,0.28,20200104
宁德市,福建省,0.28,20200104
盐城市,江苏省,0.27,20200104
南阳市,河南省,0.27,20200104
长沙市,湖南省,0.27,20200104
徐州市,江苏省,0.27,20200104
漳州市,福建省,0.27,20200104
威海市,山东省,0.26,20200104
南昌市,江西省,0.25,20200104
宿州市,安徽省,0.25,20200104
宁波市,浙江省,26.12,20200105
上海市,上海市,19.33,20200105
杭州市,浙江省,8.68,20200105
阜阳市,安徽省,3.5,20200105
苏州市,江苏省,2.55,20200105
台州市,浙江省,2.33,20200105
温州市,浙江省,1.8,20200105
嘉兴市,浙江省,1.76,20200105
绍兴市,浙江省,1.67,20200105
金华市,浙江省,1.29,20200105
南通市,江苏省,1.16,20200105
商丘市,河南省,1.07,20200105
泉州市,福建省,0.94,20200105
南京市,江苏省,0.85,20200105
福州市,福建省,0.68,20200105
北京市,北京市,0.67,20200105
驻马店市,河南省,0.64,20200105
湖州市,浙江省,0.62,20200105
无锡市,江苏省,0.6,20200105
厦门市,福建省,0.6,20200105
泰州市,江苏省,0.59,20200105
周口市,河南省,0.48,20200105
南阳市,河南省,0.45,20200105
青岛市,山东省,0.45,20200105
合肥市,安徽省,0.44,20200105
亳州市,安徽省,0.44,20200105
广州市,广东省,0.4,20200105
大连市,辽宁省,0.38,20200105
衢州市,浙江省,0.38,20200105
徐州市,江苏省,0.35,20200105
菏泽市,山东省,0.34,20200105
上饶市,江西省,0.32,20200105
宿州市,安徽省,0.32,20200105
重庆市,重庆市,0.32,20200105
安庆市,安徽省,0.31,20200105
长沙市,湖南省,0.3,20200105
信阳市,河南省,0.29,20200105
洛阳市,河南省,0.28,20200105
郑州市,河南省,0.27,20200105
宁德市,福建省,0.27,20200105
常州市,江苏省,0.27,20200105
扬州市,江苏省,0.26,20200105
镇江市,江苏省,0.25,20200105
怀化市,湖南省,0.25,20200105
盐城市,江苏省,0.25,20200105
芜湖市,安徽省,0.25,20200105
威海市,山东省,0.25,20200105
新乡市,河南省,0.24,20200105
天津市,天津市,0.23,20200105
蚌埠市,安徽省,0.23,20200105
宁波市,浙江省,25.76,20200106
上海市,上海市,17.09,20200106
杭州市,浙江省,7.77,20200106
阜阳市,安徽省,4.44,20200106
台州市,浙江省,2.65,20200106
绍兴市,浙江省,1.97,20200106
温州市,浙江省,1.88,20200106
苏州市,江苏省,1.84,20200106
金华市,浙江省,1.69,20200106
嘉兴市,浙江省,1.45,20200106
南通市,江苏省,1.23,20200106
商丘市,河南省,1.17,20200106
驻马店市,河南省,0.84,20200106
北京市,北京市,0.72,20200106
湖州市,浙江省,0.71,20200106
南京市,江苏省,0.71,20200106
衢州市,浙江省,0.67,20200106
泉州市,福建省,0.67,20200106
厦门市,福建省,0.64,20200106
福州市,福建省,0.62,20200106
安庆市,安徽省,0.59,20200106
青岛市,山东省,0.57,20200106
周口市,河南省,0.55,20200106
无锡市,江苏省,0.54,20200106
亳州市,安徽省,0.54,20200106
南阳市,河南省,0.47,20200106
泰州市,江苏省,0.47,20200106
广州市,广东省,0.41,20200106
怀化市,湖南省,0.39,20200106
宁德市,福建省,0.36,20200106
重庆市,重庆市,0.36,20200106
大连市,辽宁省,0.34,20200106
郑州市,河南省,0.34,20200106
临沂市,山东省,0.33,20200106
合肥市,安徽省,0.33,20200106
九江市,江西省,0.33,20200106
信阳市,河南省,0.32,20200106
宿州市,安徽省,0.31,20200106
天津市,天津市,0.3,20200106
芜湖市,安徽省,0.3,20200106
长沙市,湖南省,0.3,20200106
菏泽市,山东省,0.29,20200106
洛阳市,河南省,0.28,20200106
咸宁市,湖北省,0.28,20200106
成都市,四川省,0.28,20200106
六安市,安徽省,0.27,20200106
新乡市,河南省,0.27,20200106
扬州市,江苏省,0.26,20200106
徐州市,江苏省,0.26,20200106
丽水市,浙江省,0.26,20200106
宁波市,浙江省,23.37,20200107
上海市,上海市,15.51,20200107
杭州市,浙江省,8.51,20200107
阜阳市,安徽省,4.91,20200107
台州市,浙江省,3.23,20200107
金华市,浙江省,2.65,20200107
温州市,浙江省,2.29,20200107
绍兴市,浙江省,2.17,20200107
嘉兴市,浙江省,1.7,20200107
