city_name,province_name,value,date
合肥市,安徽省,17.5,20200101
马鞍山市,安徽省,16.37,20200101
宣城市,安徽省,10.4,20200101
南京市,江苏省,8.37,20200101
铜陵市,安徽省,5.36,20200101
上海市,上海市,5.15,20200101
池州市,安徽省,2.6,20200101
苏州市,江苏省,2.2,20200101
安庆市,安徽省,1.97,20200101
杭州市,浙江省,1.91,20200101
滁州市,安徽省,1.55,20200101
六安市,安徽省,1.4,20200101
无锡市,江苏省,1.27,20200101
黄山市,安徽省,1.21,20200101
常州市,江苏省,1.05,20200101
阜阳市,安徽省,1.03,20200101
宿州市,安徽省,0.9,20200101
蚌埠市,安徽省,0.87,20200101
北京市,北京市,0.8,20200101
淮南市,安徽省,0.72,20200101
宁波市,浙江省,0.69,20200101
湖州市,浙江省,0.6,20200101
镇江市,江苏省,0.59,20200101
亳州市,安徽省,0.55,20200101
九江市,江西省,0.53,20200101
扬州市,江苏省,0.49,20200101
嘉兴市,浙江省,0.45,20200101
金华市,浙江省,0.4,20200101
南通市,江苏省,0.38,20200101
武汉市,湖北省,0.33,20200101
淮安市,江苏省,0.33,20200101
绍兴市,浙江省,0.32,20200101
泰州市,江苏省,0.3,20200101
淮北市,安徽省,0.29,20200101
徐州市,江苏省,0.28,20200101
重庆市,重庆市,0.26,20200101
温州市,浙江省,0.26,20200101
郑州市,河南省,0.24,20200101
台州市,浙江省,0.23,20200101
商丘市,河南省,0.22,20200101
宿迁市,江苏省,0.22,20200101
盐城市,江苏省,0.21,20200101
南昌市,江西省,0.2,20200101
深圳市,广东省,0.19,20200101
信阳市,河南省,0.18,20200101
开封市,河南省,0.17,20200101
天津市,天津市,0.17,20200101
洛阳市,河南省,0.17,20200101
南阳市,河南省,0.16,20200101
成都市,四川省,0.16,20200101
合肥市,安徽省,16.15,20200102
马鞍山市,安徽省,8.45,20200102
南京市,江苏省,7.08,20200102
宣城市,安徽省,6.89,20200102
上海市,上海市,6.79,20200102
铜陵市,安徽省,3.57,20200102
苏州市,江苏省,2.76,20200102
安庆市,安徽省,2.52,20200102
池州市,安徽省,2.19,20200102
杭州市,浙江省,2.07,20200102
滁州市,安徽省,1.8,20200102
六安市,安徽省,1.76,20200102
阜阳市,安徽省,1.72,20200102
无锡市,江苏省,1.5,20200102
淮南市,安徽省,1.36,20200102
蚌埠市,安徽省,1.36,20200102
北京市,北京市,1.36,20200102
黄山市,安徽省,1.35,20200102
宿州市,安徽省,1.25,20200102
常州市,江苏省,1.15,20200102
亳州市,安徽省,1.09,20200102
宁波市,浙江省,1.0,20200102
镇江市,江苏省,0.92,20200102
嘉兴市,浙江省,0.77,20200102
湖州市,浙江省,0.62,20200102
淮北市,安徽省,0.59,20200102
南通市,江苏省,0.59,20200102
扬州市,江苏省,0.54,20200102
九江市,江西省,0.54,20200102
金华市,浙江省,0.53,20200102
重庆市,重庆市,0.52,20200102
武汉市,湖北省,0.51,20200102
绍兴市,浙江省,0.49,20200102
徐州市,江苏省,0.44,20200102
盐城市,江苏省,0.43,20200102
西安市,陕西省,0.42,20200102
温州市,浙江省,0.38,20200102
台州市,浙江省,0.36,20200102
泰州市,江苏省,0.36,20200102
淮安市,江苏省,0.35,20200102
广州市,广东省,0.34,20200102
郑州市,河南省,0.32,20200102
开封市,河南省,0.32,20200102
周口市,河南省,0.31,20200102
成都市,四川省,0.31,20200102
商丘市,河南省,0.3,20200102
南昌市,江西省,0.29,20200102
厦门市,福建省,0.26,20200102
洛阳市,河南省,0.25,20200102
天津市,天津市,0.25,20200102
合肥市,安徽省,17.24,20200103
马鞍山市,安徽省,14.07,20200103
宣城市,安徽省,8.22,20200103
南京市,江苏省,7.2,20200103
上海市,上海市,5.61,20200103
铜陵市,安徽省,4.46,20200103
安庆市,安徽省,2.55,20200103
苏州市,江苏省,2.24,20200103
池州市,安徽省,2.16,20200103
杭州市,浙江省,1.96,20200103
六安市,安徽省,1.69,20200103
滁州市,安徽省,1.67,20200103
阜阳市,安徽省,1.59,20200103
黄山市,安徽省,1.44,20200103
蚌埠市,安徽省,1.25,20200103
无锡市,江苏省,1.15,20200103
宿州市,安徽省,1.13,20200103
常州市,江苏省,1.08,20200103
淮南市,安徽省,1.07,20200103
北京市,北京市,1.03,20200103
亳州市,安徽省,0.93,20200103
镇江市,江苏省,0.79,20200103
湖州市,浙江省,0.73,20200103
宁波市,浙江省,0.72,20200103
嘉兴市,浙江省,0.62,20200103
淮北市,安徽省,0.53,20200103
武汉市,湖北省,0.51,20200103
徐州市,江苏省,0.46,20200103
扬州市,江苏省,0.42,20200103
南通市,江苏省,0.41,20200103
重庆市,重庆市,0.36,20200103
金华市,浙江省,0.35,20200103
九江市,江西省,0.34,20200103
广州市,广东省,0.32,20200103
台州市,浙江省,0.32,20200103
南昌市,江西省,0.31,20200103
开封市,河南省,0.3,20200103
绍兴市,浙江省,0.29,20200103
泰州市,江苏省,0.26,20200103
天津市,天津市,0.26,20200103
周口市,河南省,0.24,20200103
厦门市,福建省,0.24,20200103
淮安市,江苏省,0.24,20200103
温州市,浙江省,0.23,20200103
信阳市,河南省,0.22,20200103
郑州市,河南省,0.22,20200103
宿迁市,江苏省,0.21,20200103
菏泽市,山东省,0.21,20200103
深圳市,广东省,0.2,20200103
邯郸市,河北省,0.19,20200103
合肥市,安徽省,16.66,20200104
马鞍山市,安徽省,13.73,20200104
宣城市,安徽省,9.24,20200104
南京市,江苏省,7.73,20200104
上海市,上海市,5.06,20200104
铜陵市,安徽省,4.44,20200104
安庆市,安徽省,2.66,20200104
池州市,安徽省,2.63,20200104
杭州市,浙江省,1.93,20200104
滁州市,安徽省,1.88,20200104
苏州市,江苏省,1.86,20200104
阜阳市,安徽省,1.74,20200104
六安市,安徽省,1.67,20200104
黄山市,安徽省,1.45,20200104
宿州市,安徽省,1.37,20200104
蚌埠市,安徽省,1.34,20200104
亳州市,安徽省,1.15,20200104
无锡市,江苏省,1.11,20200104
常州市,江苏省,0.99,20200104
淮南市,安徽省,0.98,20200104
北京市,北京市,0.88,20200104
镇江市,江苏省,0.88,20200104
湖州市,浙江省,0.74,20200104
宁波市,浙江省,0.62,20200104
嘉兴市,浙江省,0.55,20200104
淮北市,安徽省,0.54,20200104
扬州市,江苏省,0.52,20200104
徐州市,江苏省,0.4,20200104
九江市,江西省,0.38,20200104
金华市,浙江省,0.37,20200104
南通市,江苏省,0.36,20200104
武汉市,湖北省,0.34,20200104
重庆市,重庆市,0.33,20200104
郑州市,河南省,0.3,20200104
泰州市,江苏省,0.3,20200104
广州市,广东省,0.29,20200104
南昌市,江西省,0.26,20200104
温州市,浙江省,0.25,20200104
成都市,四川省,0.25,20200104
绍兴市,浙江省,0.24,20200104
厦门市,福建省,0.24,20200104
盐城市,江苏省,0.24,20200104
周口市,河南省,0.22,20200104
天津市,天津市,0.21,20200104
台州市,浙江省,0.21,20200104
西安市,陕西省,0.2,20200104
邯郸市,河北省,0.2,20200104
深圳市,广东省,0.2,20200104
淮安市,江苏省,0.2,20200104
宿迁市,江苏省,0.18,20200104
合肥市,安徽省,17.24,20200105
马鞍山市,安徽省,12.24,20200105
宣城市,安徽省,8.65,20200105
南京市,江苏省,8.55,20200105
上海市,上海市,6.47,20200105
铜陵市,安徽省,4.38,20200105
安庆市,安徽省,2.77,20200105
池州市,安徽省,2.51,20200105
杭州市,浙江省,2.19,20200105
阜阳市,安徽省,2.07,20200105
六安市,安徽省,1.96,20200105
苏州市,江苏省,1.94,20200105
滁州市,安徽省,1.73,20200105
宿州市,安徽省,1.36,20200105
蚌埠市,安徽省,1.31,20200105
亳州市,安徽省,1.26,20200105
无锡市,江苏省,1.21,20200105
黄山市,安徽省,1.1,20200105
常州市,江苏省,1.1,20200105
淮南市,安徽省,1.09,20200105
宁波市,浙江省,0.95,20200105
北京市,北京市,0.87,20200105
镇江市,江苏省,0.71,20200105
淮北市,安徽省,0.64,20200105
嘉兴市,浙江省,0.62,20200105
湖州市,浙江省,0.51,20200105
扬州市,江苏省,0.41,20200105
武汉市,湖北省,0.4,20200105
南通市,江苏省,0.35,20200105
金华市,浙江省,0.3,20200105
徐州市,江苏省,0.3,20200105
泰州市,江苏省,0.3,20200105
天津市,天津市,0.27,20200105
温州市,浙江省,0.27,20200105
重庆市,重庆市,0.27,20200105
绍兴市,浙江省,0.25,20200105
台州市,浙江省,0.25,20200105
九江市,江西省,0.25,20200105
郑州市,河南省,0.25,20200105
南昌市,江西省,0.23,20200105
邯郸市,河北省,0.22,20200105
广州市,广东省,0.21,20200105
淮安市,江苏省,0.2,20200105
深圳市,广东省,0.2,20200105
商丘市,河南省,0.19,20200105
长沙市,湖南省,0.17,20200105
宿迁市,江苏省,0.16,20200105
盐城市,江苏省,0.16,20200105
周口市,河南省,0.16,20200105
南阳市,河南省,0.15,20200105
合肥市,安徽省,15.57,20200106
马鞍山市,安徽省,13.27,20200106
宣城市,安徽省,8.39,20200106
南京市,江苏省,7.77,20200106
上海市,上海市,5.01,20200106
铜陵市,安徽省,4.3,20200106
安庆市,安徽省,3.29,20200106
阜阳市,安徽省,2.57,20200106
六安市,安徽省,2.34,20200106
池州市,安徽省,2.32,20200106
滁州市,安徽省,2.22,20200106
宿州市,安徽省,1.89,20200106
蚌埠市,安徽省,1.67,20200106
杭州市,浙江省,1.67,20200106
苏州市,江苏省,1.55,20200106
亳州市,安徽省,1.5,20200106
淮南市,安徽省,1.38,20200106
黄山市,安徽省,1.23,20200106
无锡市,江苏省,0.99,20200106
常州市,江苏省,0.82,20200106
北京市,北京市,0.82,20200106
淮北市,安徽省,0.74,20200106
宁波市,浙江省,0.68,20200106
湖州市,浙江省,0.59,20200106
镇江市,江苏省,0.56,20200106
嘉兴市,浙江省,0.44,20200106
郑州市,河南省,0.42,20200106
武汉市,湖北省,0.41,20200106
徐州市,江苏省,0.39,20200106
扬州市,江苏省,0.39,20200106
金华市,浙江省,0.38,20200106
温州市,浙江省,0.33,20200106
南通市,江苏省,0.32,20200106
九江市,江西省,0.32,20200106
泰州市,江苏省,0.32,20200106
重庆市,重庆市,0.31,20200106
周口市,河南省,0.29,20200106
绍兴市,浙江省,0.28,20200106
深圳市,广东省,0.25,20200106
台州市,浙江省,0.25,20200106
南昌市,江西省,0.24,20200106
邯郸市,河北省,0.24,20200106
商丘市,河南省,0.22,20200106
广州市,广东省,0.22,20200106
天津市,天津市,0.2,20200106
长沙市,湖南省,0.19,20200106
成都市,四川省,0.19,20200106
黄冈市,湖北省,0.18,20200106
盐城市,江苏省,0.18,20200106
南阳市,河南省,0.18,20200106
合肥市,安徽省,15.35,20200107
马鞍山市,安徽省,12.29,20200107
宣城市,安徽省,7.9,20200107
南京市,江苏省,6.92,20200107
上海市,上海市,5.14,20200107
铜陵市,安徽省,4.11,20200107
安庆市,安徽省,3.62,20200107
阜阳市,安徽省,3.05,20200107
六安市,安徽省,2.55,20200107
滁州市,安徽省,2.28,20200107
宿州市,安徽省,2.2,20200107
池州市,安徽省,2.19,20200107
亳州市,安徽省,1.9,20200107
苏州市,江苏省,1.71,20200107
蚌埠市,安徽省,1.71,20200107
杭州市,浙江省,1.5,20200107
黄山市,安徽省,1.33,20200107
淮南市,安徽省,1.19,20200107
淮北市,安徽省,1.0,20200107
无锡市,江苏省,0.96,20200107
北京市,北京市,0.94,20200107
常州市,江苏省,0.92,20200107
宁波市,浙江省,0.7,20200107
镇江市,江苏省,0.59,20200107
湖州市,浙江省,0.56,20200107
嘉兴市,浙江省,0.45,20200107
武汉市,湖北省,0.44,20200107
扬州市,江苏省,0.42,20200107
温州市,浙江省,0.41,20200107
九江市,江西省,0.39,20200107
南通市,江苏省,0.36,20200107
徐州市,江苏省,0.36,20200107
台州市,浙江省,0.34,20200107
绍兴市,浙江省,0.34,20200107
泰州市,江苏省,0.3,20200107
金华市,浙江省,0.3,20200107
重庆市,重庆市,0.27,20200107
深圳市,广东省,0.25,20200107
南昌市,江西省,0.24,20200107
广州市,广东省,0.24,20200107
盐城市,江苏省,0.23,20200107
成都市,四川省,0.21,20200107
郑州市,河南省,0.21,20200107
西安市,陕西省,0.2,20200107
南阳市,河南省,0.2,20200107
周口市,河南省,0.2,20200107
宿迁市,江苏省,0.2,20200107
天津市,天津市,0.19,20200107
长沙市,湖南省,0.19,20200107
哈尔滨市,黑龙江省,0.19,20200107
合肥市,安徽省,16.75,20200108
马鞍山市,安徽省,11.16,20200108
宣城市,安徽省,7.56,20200108
南京市,江苏省,6.96,20200108
上海市,上海市,5.08,20200108
铜陵市,安徽省,4.01,20200108
安庆市,安徽省,3.76,20200108
阜阳市,安徽省,3.33,20200108
六安市,安徽省,2.55,20200108
滁州市,安徽省,2.49,20200108
池州市,安徽省,2.41,20200108
宿州市,安徽省,2.33,20200108
亳州市,安徽省,1.91,20200108
蚌埠市,安徽省,1.87,20200108
苏州市,江苏省,1.79,20200108
杭州市,浙江省,1.44,20200108
淮南市,安徽省,1.38,20200108
黄山市,安徽省,1.33,20200108
淮北市,安徽省,1.08,20200108
无锡市,江苏省,0.99,20200108
北京市,北京市,0.92,20200108
常州市,江苏省,0.88,20200108
镇江市,江苏省,0.66,20200108
宁波市,浙江省,0.57,20200108
武汉市,湖北省,0.46,20200108
徐州市,江苏省,0.45,20200108
嘉兴市,浙江省,0.44,20200108
湖州市,浙江省,0.42,20200108
扬州市,江苏省,0.4,20200108
金华市,浙江省,0.35,20200108
南通市,江苏省,0.34,20200108
温州市,浙江省,0.32,20200108
重庆市,重庆市,0.31,20200108
九江市,江西省,0.31,20200108
台州市,浙江省,0.29,20200108
广州市,广东省,0.27,20200108
泰州市,江苏省,0.26,20200108
绍兴市,浙江省,0.26,20200108
宿迁市,江苏省,0.24,20200108
郑州市,河南省,0.24,20200108
西安市,陕西省,0.23,20200108
周口市,河南省,0.23,20200108
南昌市,江西省,0.23,20200108
成都市,四川省,0.21,20200108
天津市,天津市,0.21,20200108
深圳市,广东省,0.21,20200108
商丘市,河南省,0.2,20200108
盐城市,江苏省,0.19,20200108
淮安市,江苏省,0.18,20200108
信阳市,河南省,0.17,20200108
合肥市,安徽省,16.79,20200109
马鞍山市,安徽省,11.15,20200109
宣城市,安徽省,7.33,20200109
南京市,江苏省,5.87,20200109
上海市,上海市,4.64,20200109
安庆市,安徽省,4.23,20200109
铜陵市,安徽省,3.84,20200109
阜阳市,安徽省,3.66,20200109
六安市,安徽省,2.89,20200109
滁州市,安徽省,2.75,20200109
宿州市,安徽省,2.69,20200109
亳州市,安徽省,2.31,20200109
池州市,安徽省,2.27,20200109
蚌埠市,安徽省,1.71,20200109
苏州市,江苏省,1.7,20200109
杭州市,浙江省,1.6,20200109
淮南市,安徽省,1.57,20200109
黄山市,安徽省,1.32,20200109
淮北市,安徽省,1.08,20200109
北京市,北京市,1.01,20200109
无锡市,江苏省,0.98,20200109
常州市,江苏省,0.82,20200109
宁波市,浙江省,0.5,20200109
湖州市,浙江省,0.49,20200109
镇江市,江苏省,0.45,20200109
徐州市,江苏省,0.42,20200109
金华市,浙江省,0.36,20200109
嘉兴市,浙江省,0.35,20200109
武汉市,湖北省,0.35,20200109
南通市,江苏省,0.35,20200109
扬州市,江苏省,0.35,20200109
九江市,江西省,0.32,20200109
重庆市,重庆市,0.31,20200109
温州市,浙江省,0.28,20200109
台州市,浙江省,0.27,20200109
周口市,河南省,0.26,20200109
绍兴市,浙江省,0.26,20200109
盐城市,江苏省,0.26,20200109
南昌市,江西省,0.24,20200109
泰州市,江苏省,0.24,20200109
广州市,广东省,0.23,20200109
信阳市,河南省,0.21,20200109
深圳市,广东省,0.21,20200109
天津市,天津市,0.21,20200109
淮安市,江苏省,0.2,20200109
黄冈市,湖北省,0.2,20200109
郑州市,河南省,0.19,20200109
南阳市,河南省,0.19,20200109
孝感市,湖北省,0.18,20200109
临沂市,山东省,0.18,20200109
合肥市,安徽省,18.24,20200110
马鞍山市,安徽省,11.25,20200110
宣城市,安徽省,7.67,20200110
南京市,江苏省,6.95,20200110
上海市,上海市,4.62,20200110
铜陵市,安徽省,3.7,20200110
安庆市,安徽省,3.42,20200110
阜阳市,安徽省,3.24,20200110
六安市,安徽省,2.59,20200110
滁州市,安徽省,2.36,20200110
池州市,安徽省,2.24,20200110
宿州市,安徽省,2.2,20200110
亳州市,安徽省,1.84,20200110
杭州市,浙江省,1.84,20200110
苏州市,江苏省,1.72,20200110
蚌埠市,安徽省,1.69,20200110
淮南市,安徽省,1.5,20200110
黄山市,安徽省,1.28,20200110
北京市,北京市,1.05,20200110
无锡市,江苏省,0.99,20200110
常州市,江苏省,0.99,20200110
淮北市,安徽省,0.85,20200110
宁波市,浙江省,0.61,20200110
湖州市,浙江省,0.61,20200110
镇江市,江苏省,0.52,20200110
九江市,江西省,0.44,20200110
嘉兴市,浙江省,0.43,20200110
徐州市,江苏省,0.42,20200110
南通市,江苏省,0.41,20200110
武汉市,湖北省,0.4,20200110
金华市,浙江省,0.36,20200110
扬州市,江苏省,0.32,20200110
绍兴市,浙江省,0.31,20200110
温州市,浙江省,0.31,20200110
周口市,河南省,0.29,20200110
台州市,浙江省,0.28,20200110
重庆市,重庆市,0.28,20200110
广州市,广东省,0.25,20200110
郑州市,河南省,0.25,20200110
盐城市,江苏省,0.24,20200110
天津市,天津市,0.24,20200110
泰州市,江苏省,0.24,20200110
南昌市,江西省,0.23,20200110
信阳市,河南省,0.23,20200110
淮安市,江苏省,0.21,20200110
深圳市,广东省,0.21,20200110
宿迁市,江苏省,0.2,20200110
西安市,陕西省,0.19,20200110
景德镇市,江西省,0.19,20200110
商丘市,河南省,0.19,20200110
合肥市,安徽省,19.63,20200111
马鞍山市,安徽省,11.35,20200111
宣城市,安徽省,8.09,20200111
南京市,江苏省,7.01,20200111
上海市,上海市,4.08,20200111
安庆市,安徽省,3.89,20200111
铜陵市,安徽省,3.8,20200111
阜阳市,安徽省,3.09,20200111
六安市,安徽省,2.53,20200111
池州市,安徽省,2.38,20200111
滁州市,安徽省,2.23,20200111
宿州市,安徽省,2.19,20200111
亳州市,安徽省,2.07,20200111
蚌埠市,安徽省,1.72,20200111
苏州市,江苏省,1.72,20200111
淮南市,安徽省,1.55,20200111
黄山市,安徽省,1.54,20200111
杭州市,浙江省,1.45,20200111
淮北市,安徽省,1.06,20200111
北京市,北京市,0.87,20200111
无锡市,江苏省,0.85,20200111
常州市,江苏省,0.82,20200111
镇江市,江苏省,0.56,20200111
湖州市,浙江省,0.52,20200111
宁波市,浙江省,0.52,20200111
嘉兴市,浙江省,0.42,20200111
武汉市,湖北省,0.42,20200111
扬州市,江苏省,0.4,20200111
徐州市,江苏省,0.37,20200111
九江市,江西省,0.37,20200111
金华市,浙江省,0.36,20200111
南通市,江苏省,0.34,20200111
台州市,浙江省,0.32,20200111
周口市,河南省,0.27,20200111
重庆市,重庆市,0.27,20200111
绍兴市,浙江省,0.27,20200111
郑州市,河南省,0.25,20200111
温州市,浙江省,0.24,20200111
深圳市,广东省,0.24,20200111
泰州市,江苏省,0.24,20200111
信阳市,河南省,0.22,20200111
淮安市,江苏省,0.2,20200111
南昌市,江西省,0.2,20200111
广州市,广东省,0.18,20200111
盐城市,江苏省,0.18,20200111
南阳市,河南省,0.17,20200111
商丘市,河南省,0.16,20200111
成都市,四川省,0.16,20200111
西安市,陕西省,0.16,20200111
长沙市,湖南省,0.16,20200111
合肥市,安徽省,16.8,20200112
马鞍山市,安徽省,13.8,20200112
宣城市,安徽省,8.99,20200112
南京市,江苏省,7.32,20200112
铜陵市,安徽省,4.42,20200112
安庆市,安徽省,3.92,20200112
上海市,上海市,3.88,20200112
阜阳市,安徽省,3.21,20200112
池州市,安徽省,2.62,20200112
六安市,安徽省,2.6,20200112
滁州市,安徽省,2.2,20200112
宿州市,安徽省,1.98,20200112
亳州市,安徽省,1.88,20200112
蚌埠市,安徽省,1.56,20200112
黄山市,安徽省,1.54,20200112
苏州市,江苏省,1.41,20200112
杭州市,浙江省,1.31,20200112
淮南市,安徽省,1.18,20200112
无锡市,江苏省,0.98,20200112
北京市,北京市,0.79,20200112
淮北市,安徽省,0.79,20200112
常州市,江苏省,0.73,20200112
镇江市,江苏省,0.61,20200112
湖州市,浙江省,0.52,20200112
徐州市,江苏省,0.42,20200112
宁波市,浙江省,0.42,20200112
台州市,浙江省,0.39,20200112
九江市,江西省,0.36,20200112
武汉市,湖北省,0.34,20200112
嘉兴市,浙江省,0.33,20200112
南通市,江苏省,0.33,20200112
绍兴市,浙江省,0.32,20200112
扬州市,江苏省,0.3,20200112
郑州市,河南省,0.28,20200112
重庆市,重庆市,0.28,20200112
温州市,浙江省,0.28,20200112
泰州市,江苏省,0.26,20200112
金华市,浙江省,0.25,20200112
天津市,天津市,0.24,20200112
黄冈市,湖北省,0.2,20200112
南昌市,江西省,0.19,20200112
商丘市,河南省,0.19,20200112
淮安市,江苏省,0.18,20200112
信阳市,河南省,0.18,20200112
西安市,陕西省,0.17,20200112
长沙市,湖南省,0.17,20200112
邯郸市,河北省,0.17,20200112
广州市,广东省,0.16,20200112
上饶市,江西省,0.16,20200112
宜春市,江西省,0.16,20200112
合肥市,安徽省,16.29,20200113
马鞍山市,安徽省,11.33,20200113
