city_name,province_name,value,date
湛江市,广东省,23.2,20200101
广州市,广东省,16.54,20200101
东莞市,广东省,9.41,20200101
深圳市,广东省,9.31,20200101
玉林市,广西壮族自治区,7.22,20200101
佛山市,广东省,6.08,20200101
阳江市,广东省,5.32,20200101
中山市,广东省,2.92,20200101
珠海市,广东省,2.62,20200101
云浮市,广东省,2.52,20200101
江门市,广东省,2.02,20200101
惠州市,广东省,1.18,20200101
肇庆市,广东省,1.18,20200101
梧州市,广西壮族自治区,0.94,20200101
南宁市,广西壮族自治区,0.85,20200101
清远市,广东省,0.49,20200101
北海市,广西壮族自治区,0.43,20200101
贵港市,广西壮族自治区,0.41,20200101
海口市,海南省,0.36,20200101
韶关市,广东省,0.33,20200101
钦州市,广西壮族自治区,0.31,20200101
柳州市,广西壮族自治区,0.27,20200101
百色市,广西壮族自治区,0.23,20200101
桂林市,广西壮族自治区,0.19,20200101
长沙市,湖南省,0.17,20200101
三亚市,海南省,0.17,20200101
防城港市,广西壮族自治区,0.15,20200101
梅州市,广东省,0.15,20200101
贺州市,广西壮族自治区,0.14,20200101
崇左市,广西壮族自治区,0.13,20200101
乐东黎族自治县,海南省,0.13,20200101
河池市,广西壮族自治区,0.12,20200101
北京市,北京市,0.12,20200101
河源市,广东省,0.12,20200101
揭阳市,广东省,0.11,20200101
武汉市,湖北省,0.11,20200101
贵阳市,贵州省,0.11,20200101
文山壮族苗族自治州,云南省,0.09,20200101
澳门,澳门,0.08,20200101
郴州市,湖南省,0.08,20200101
重庆市,重庆市,0.08,20200101
陵水黎族自治县,海南省,0.08,20200101
来宾市,广西壮族自治区,0.08,20200101
儋州市,海南省,0.07,20200101
潮州市,广东省,0.07,20200101
香港,香港,0.07,20200101
汕头市,广东省,0.07,20200101
温州市,浙江省,0.07,20200101
衡阳市,湖南省,0.07,20200101
赣州市,江西省,0.07,20200101
广州市,广东省,22.41,20200102
湛江市,广东省,13.52,20200102
东莞市,广东省,12.27,20200102
深圳市,广东省,11.27,20200102
佛山市,广东省,6.14,20200102
玉林市,广西壮族自治区,4.35,20200102
阳江市,广东省,3.6,20200102
中山市,广东省,3.51,20200102
珠海市,广东省,2.82,20200102
江门市,广东省,1.86,20200102
惠州市,广东省,1.81,20200102
肇庆市,广东省,1.59,20200102
云浮市,广东省,1.45,20200102
南宁市,广西壮族自治区,0.93,20200102
梧州市,广西壮族自治区,0.56,20200102
清远市,广东省,0.54,20200102
北海市,广西壮族自治区,0.51,20200102
海口市,海南省,0.44,20200102
贵港市,广西壮族自治区,0.37,20200102
韶关市,广东省,0.34,20200102
钦州市,广西壮族自治区,0.32,20200102
桂林市,广西壮族自治区,0.32,20200102
柳州市,广西壮族自治区,0.26,20200102
北京市,北京市,0.26,20200102
三亚市,海南省,0.26,20200102
百色市,广西壮族自治区,0.24,20200102
乐东黎族自治县,海南省,0.22,20200102
长沙市,湖南省,0.21,20200102
上海市,上海市,0.21,20200102
贺州市,广西壮族自治区,0.19,20200102
文山壮族苗族自治州,云南省,0.18,20200102
汕尾市,广东省,0.17,20200102
汕头市,广东省,0.16,20200102
重庆市,重庆市,0.16,20200102
河源市,广东省,0.16,20200102
河池市,广西壮族自治区,0.16,20200102
梅州市,广东省,0.15,20200102
潮州市,广东省,0.15,20200102
成都市,四川省,0.14,20200102
揭阳市,广东省,0.13,20200102
防城港市,广西壮族自治区,0.13,20200102
宁波市,浙江省,0.12,20200102
陵水黎族自治县,海南省,0.11,20200102
武汉市,湖北省,0.11,20200102
郴州市,湖南省,0.1,20200102
西安市,陕西省,0.09,20200102
崇左市,广西壮族自治区,0.09,20200102
福州市,福建省,0.09,20200102
衡阳市,湖南省,0.09,20200102
黔东南苗族侗族自治州,贵州省,0.09,20200102
广州市,广东省,21.97,20200103
湛江市,广东省,18.43,20200103
深圳市,广东省,10.43,20200103
东莞市,广东省,10.18,20200103
佛山市,广东省,5.61,20200103
玉林市,广西壮族自治区,5.12,20200103
阳江市,广东省,4.79,20200103
中山市,广东省,2.82,20200103
珠海市,广东省,2.55,20200103
江门市,广东省,1.9,20200103
云浮市,广东省,1.88,20200103
肇庆市,广东省,1.76,20200103
惠州市,广东省,1.64,20200103
南宁市,广西壮族自治区,0.8,20200103
