city_name,province_name,value,date
武汉市,湖北省,24.0,20200101
宜昌市,湖北省,13.8,20200101
荆门市,湖北省,7.44,20200101
潜江市,湖北省,7.39,20200101
岳阳市,湖南省,6.59,20200101
仙桃市,湖北省,4.83,20200101
常德市,湖南省,4.7,20200101
长沙市,湖南省,2.29,20200101
孝感市,湖北省,2.07,20200101
咸宁市,湖北省,1.97,20200101
重庆市,重庆市,1.58,20200101
襄阳市,湖北省,1.48,20200101
恩施土家族苗族自治州,湖北省,1.38,20200101
天门市,湖北省,1.22,20200101
黄冈市,湖北省,1.02,20200101
深圳市,广东省,1.01,20200101
广州市,广东省,0.9,20200101
益阳市,湖南省,0.61,20200101
上海市,上海市,0.55,20200101
十堰市,湖北省,0.5,20200101
北京市,北京市,0.5,20200101
黄石市,湖北省,0.46,20200101
南阳市,河南省,0.45,20200101
东莞市,广东省,0.42,20200101
随州市,湖北省,0.38,20200101
鄂州市,湖北省,0.35,20200101
成都市,四川省,0.34,20200101
佛山市,广东省,0.34,20200101
苏州市,江苏省,0.29,20200101
杭州市,浙江省,0.24,20200101
株洲市,湖南省,0.24,20200101
西安市,陕西省,0.21,20200101
湘潭市,湖南省,0.21,20200101
南京市,江苏省,0.21,20200101
九江市,江西省,0.19,20200101
衡阳市,湖南省,0.18,20200101
惠州市,广东省,0.17,20200101
湘西土家族苗族自治州,湖南省,0.17,20200101
郑州市,河南省,0.16,20200101
张家界市,湖南省,0.16,20200101
中山市,广东省,0.16,20200101
桂林市,广西壮族自治区,0.15,20200101
昆明市,云南省,0.14,20200101
六安市,安徽省,0.14,20200101
合肥市,安徽省,0.14,20200101
驻马店市,河南省,0.13,20200101
南昌市,江西省,0.13,20200101
信阳市,河南省,0.12,20200101
邵阳市,湖南省,0.12,20200101
永州市,湖南省,0.12,20200101
武汉市,湖北省,26.43,20200102
宜昌市,湖北省,9.78,20200102
荆门市,湖北省,5.26,20200102
潜江市,湖北省,4.89,20200102
岳阳市,湖南省,4.37,20200102
仙桃市,湖北省,3.53,20200102
恩施土家族苗族自治州,湖北省,3.32,20200102
常德市,湖南省,3.1,20200102
长沙市,湖南省,2.84,20200102
重庆市,重庆市,2.33,20200102
孝感市,湖北省,2.19,20200102
襄阳市,湖北省,1.9,20200102
咸宁市,湖北省,1.61,20200102
黄冈市,湖北省,1.32,20200102
广州市,广东省,1.29,20200102
天门市,湖北省,1.27,20200102
深圳市,广东省,1.16,20200102
北京市,北京市,0.74,20200102
益阳市,湖南省,0.72,20200102
东莞市,广东省,0.64,20200102
十堰市,湖北省,0.63,20200102
上海市,上海市,0.58,20200102
成都市,四川省,0.56,20200102
南阳市,河南省,0.53,20200102
随州市,湖北省,0.53,20200102
黄石市,湖北省,0.52,20200102
佛山市,广东省,0.52,20200102
湘西土家族苗族自治州,湖南省,0.43,20200102
鄂州市,湖北省,0.38,20200102
衡阳市,湖南省,0.38,20200102
株洲市,湖南省,0.33,20200102
苏州市,江苏省,0.32,20200102
湘潭市,湖南省,0.3,20200102
西安市,陕西省,0.26,20200102
