city_name,province_name,value,date
泉州市,福建省,27.42,20200101
福州市,福建省,27.41,20200101
厦门市,福建省,8.99,20200101
三明市,福建省,2.35,20200101
漳州市,福建省,2.19,20200101
宁德市,福建省,1.95,20200101
南平市,福建省,1.79,20200101
重庆市,重庆市,1.2,20200101
龙岩市,福建省,1.18,20200101
毕节市,贵州省,1.09,20200101
上海市,上海市,0.81,20200101
恩施土家族苗族自治州,湖北省,0.76,20200101
深圳市,广东省,0.71,20200101
南昌市,江西省,0.61,20200101
上饶市,江西省,0.5,20200101
遵义市,贵州省,0.49,20200101
达州市,四川省,0.49,20200101
广州市,广东省,0.48,20200101
抚州市,江西省,0.47,20200101
东莞市,广东省,0.43,20200101
赣州市,江西省,0.41,20200101
六盘水市,贵州省,0.36,20200101
贵阳市,贵州省,0.35,20200101
吉安市,江西省,0.35,20200101
温州市,浙江省,0.33,20200101
武汉市,湖北省,0.32,20200101
杭州市,浙江省,0.32,20200101
安顺市,贵州省,0.3,20200101
九江市,江西省,0.29,20200101
北京市,北京市,0.28,20200101
景德镇市,江西省,0.27,20200101
南充市,四川省,0.27,20200101
衡阳市,湖南省,0.26,20200101
宜春市,江西省,0.26,20200101
怀化市,湖南省,0.25,20200101
成都市,四川省,0.25,20200101
黔西南布依族苗族自治州,贵州省,0.25,20200101
长沙市,湖南省,0.25,20200101
曲靖市,云南省,0.24,20200101
黔南布依族苗族自治州,贵州省,0.24,20200101
泸州市,四川省,0.24,20200101
苏州市,江苏省,0.24,20200101
文山壮族苗族自治州,云南省,0.23,20200101
黔东南苗族侗族自治州,贵州省,0.23,20200101
许昌市,河南省,0.23,20200101
铜仁市,贵州省,0.23,20200101
周口市,河南省,0.21,20200101
昆明市,云南省,0.21,20200101
宁波市,浙江省,0.21,20200101
金华市,浙江省,0.2,20200101
福州市,福建省,22.89,20200102
泉州市,福建省,16.4,20200102
厦门市,福建省,8.56,20200102
漳州市,福建省,2.54,20200102
重庆市,重庆市,2.25,20200102
三明市,福建省,2.07,20200102
宁德市,福建省,2.01,20200102
南平市,福建省,1.89,20200102
毕节市,贵州省,1.77,20200102
恩施土家族苗族自治州,湖北省,1.62,20200102
深圳市,广东省,1.17,20200102
达州市,四川省,1.06,20200102
龙岩市,福建省,0.89,20200102
广州市,广东省,0.85,20200102
上饶市,江西省,0.83,20200102
抚州市,江西省,0.76,20200102
温州市,浙江省,0.76,20200102
安顺市,贵州省,0.75,20200102
上海市,上海市,0.75,20200102
遵义市,贵州省,0.67,20200102
六盘水市,贵州省,0.65,20200102
赣州市,江西省,0.62,20200102
黔南布依族苗族自治州,贵州省,0.6,20200102
吉安市,江西省,0.57,20200102
南阳市,河南省,0.55,20200102
北京市,北京市,0.55,20200102
泸州市,四川省,0.54,20200102
景德镇市,江西省,0.54,20200102
贵阳市,贵州省,0.53,20200102
宜春市,江西省,0.51,20200102
东莞市,广东省,0.48,20200102
南昌市,江西省,0.46,20200102
黔西南布依族苗族自治州,贵州省,0.45,20200102
黔东南苗族侗族自治州,贵州省,0.39,20200102
杭州市,浙江省,0.39,20200102
广安市,四川省,0.39,20200102
许昌市,河南省,0.37,20200102
昆明市,云南省,0.37,20200102
金华市,浙江省,0.37,20200102
安康市,陕西省,0.35,20200102
九江市,江西省,0.35,20200102
铜仁市,贵州省,0.34,20200102
成都市,四川省,0.34,20200102
南充市,四川省,0.33,20200102
文山壮族苗族自治州,云南省,0.33,20200102
怀化市,湖南省,0.32,20200102
永州市,湖南省,0.31,20200102
宁波市,浙江省,0.31,20200102
周口市,河南省,0.29,20200102
湘西土家族苗族自治州,湖南省,0.29,20200102
福州市,福建省,26.1,20200103
泉州市,福建省,21.63,20200103
厦门市,福建省,9.22,20200103
漳州市,福建省,2.63,20200103
三明市,福建省,2.31,20200103
宁德市,福建省,2.0,20200103
重庆市,重庆市,1.92,20200103
南平市,福建省,1.63,20200103
龙岩市,福建省,1.17,20200103
恩施土家族苗族自治州,湖北省,1.15,20200103
毕节市,贵州省,0.98,20200103
深圳市,广东省,0.95,20200103
达州市,四川省,0.9,20200103
广州市,广东省,0.79,20200103
温州市,浙江省,0.76,20200103
上海市,上海市,0.66,20200103
抚州市,江西省,0.66,20200103
赣州市,江西省,0.61,20200103
上饶市,江西省,0.59,20200103
遵义市,贵州省,0.55,20200103
贵阳市,贵州省,0.48,20200103
北京市,北京市,0.47,20200103
南昌市,江西省,0.44,20200103
昆明市,云南省,0.42,20200103
景德镇市,江西省,0.42,20200103
东莞市,广东省,0.41,20200103
九江市,江西省,0.4,20200103
杭州市,浙江省,0.39,20200103
黔南布依族苗族自治州,贵州省,0.39,20200103
武汉市,湖北省,0.38,20200103
邵阳市,湖南省,0.33,20200103
成都市,四川省,0.32,20200103
宜春市,江西省,0.32,20200103
泸州市,四川省,0.31,20200103
长沙市,湖南省,0.31,20200103
铜仁市,贵州省,0.3,20200103
金华市,浙江省,0.3,20200103
安顺市,贵州省,0.3,20200103
六盘水市,贵州省,0.28,20200103
佛山市,广东省,0.28,20200103
汕头市,广东省,0.28,20200103
宁波市,浙江省,0.26,20200103
吉安市,江西省,0.26,20200103
南阳市,河南省,0.25,20200103
苏州市,江苏省,0.25,20200103
黔东南苗族侗族自治州,贵州省,0.24,20200103
岳阳市,湖南省,0.22,20200103
曲靖市,云南省,0.22,20200103
衡阳市,湖南省,0.21,20200103
宜昌市,湖北省,0.21,20200103
福州市,福建省,26.17,20200104
泉州市,福建省,23.88,20200104
厦门市,福建省,10.51,20200104
漳州市,福建省,2.97,20200104
三明市,福建省,1.98,20200104
宁德市,福建省,1.97,20200104
重庆市,重庆市,1.48,20200104
南平市,福建省,1.47,20200104
龙岩市,福建省,1.02,20200104
达州市,四川省,0.89,20200104
恩施土家族苗族自治州,湖北省,0.82,20200104
深圳市,广东省,0.75,20200104
抚州市,江西省,0.72,20200104
上海市,上海市,0.69,20200104
毕节市,贵州省,0.66,20200104
上饶市,江西省,0.63,20200104
广州市,广东省,0.57,20200104
赣州市,江西省,0.5,20200104
温州市,浙江省,0.5,20200104
景德镇市,江西省,0.48,20200104
南昌市,江西省,0.47,20200104
遵义市,贵州省,0.45,20200104
九江市,江西省,0.4,20200104
昆明市,云南省,0.4,20200104
宜春市,江西省,0.4,20200104
贵阳市,贵州省,0.39,20200104
东莞市,广东省,0.37,20200104
北京市,北京市,0.37,20200104
杭州市,浙江省,0.37,20200104
长沙市,湖南省,0.35,20200104
苏州市,江苏省,0.34,20200104
周口市,河南省,0.34,20200104
泸州市,四川省,0.32,20200104
安顺市,贵州省,0.3,20200104
六盘水市,贵州省,0.29,20200104
武汉市,湖北省,0.29,20200104
安康市,陕西省,0.26,20200104
黔东南苗族侗族自治州,贵州省,0.26,20200104
佛山市,广东省,0.25,20200104
金华市,浙江省,0.24,20200104
铜仁市,贵州省,0.24,20200104
黔南布依族苗族自治州,贵州省,0.23,20200104
宁波市,浙江省,0.23,20200104
南充市,四川省,0.23,20200104
衡阳市,湖南省,0.23,20200104
黔西南布依族苗族自治州,贵州省,0.21,20200104
吉安市,江西省,0.21,20200104
广安市,四川省,0.21,20200104
许昌市,河南省,0.21,20200104
曲靖市,云南省,0.2,20200104
福州市,福建省,32.09,20200105
泉州市,福建省,20.1,20200105
厦门市,福建省,11.74,20200105
漳州市,福建省,2.52,20200105
三明市,福建省,1.87,20200105
宁德市,福建省,1.84,20200105
南平市,福建省,1.45,20200105
重庆市,重庆市,1.29,20200105
龙岩市,福建省,1.04,20200105
恩施土家族苗族自治州,湖北省,0.83,20200105
深圳市,广东省,0.81,20200105
上海市,上海市,0.79,20200105
达州市,四川省,0.77,20200105
毕节市,贵州省,0.68,20200105
广州市,广东省,0.62,20200105
抚州市,江西省,0.59,20200105
上饶市,江西省,0.58,20200105
遵义市,贵州省,0.56,20200105
南昌市,江西省,0.51,20200105
东莞市,广东省,0.49,20200105
赣州市,江西省,0.49,20200105
温州市,浙江省,0.45,20200105
景德镇市,江西省,0.4,20200105
铜仁市,贵州省,0.38,20200105
宜春市,江西省,0.38,20200105
吉安市,江西省,0.35,20200105
九江市,江西省,0.34,20200105
杭州市,浙江省,0.34,20200105
昆明市,云南省,0.31,20200105
长沙市,湖南省,0.29,20200105
贵阳市,贵州省,0.29,20200105
北京市,北京市,0.28,20200105
苏州市,江苏省,0.28,20200105
泸州市,四川省,0.27,20200105
六盘水市,贵州省,0.26,20200105
武汉市,湖北省,0.24,20200105
成都市,四川省,0.22,20200105
安顺市,贵州省,0.22,20200105
衡阳市,湖南省,0.22,20200105
黔东南苗族侗族自治州,贵州省,0.22,20200105
金华市,浙江省,0.21,20200105
广安市,四川省,0.21,20200105
周口市,河南省,0.2,20200105
黔西南布依族苗族自治州,贵州省,0.2,20200105
南充市,四川省,0.19,20200105
南京市,江苏省,0.19,20200105
怀化市,湖南省,0.19,20200105
汕头市,广东省,0.19,20200105
宁波市,浙江省,0.18,20200105
南阳市,河南省,0.18,20200105
福州市,福建省,27.39,20200106
泉州市,福建省,21.62,20200106
厦门市,福建省,7.88,20200106
漳州市,福建省,3.89,20200106
宁德市,福建省,2.27,20200106
三明市,福建省,2.07,20200106
重庆市,重庆市,1.6,20200106
南平市,福建省,1.57,20200106
龙岩市,福建省,1.2,20200106
恩施土家族苗族自治州,湖北省,0.98,20200106
深圳市,广东省,0.83,20200106
毕节市,贵州省,0.83,20200106
上饶市,江西省,0.79,20200106
达州市,四川省,0.74,20200106
抚州市,江西省,0.73,20200106
上海市,上海市,0.68,20200106
南昌市,江西省,0.66,20200106
景德镇市,江西省,0.63,20200106
广州市,广东省,0.63,20200106
赣州市,江西省,0.54,20200106
北京市,北京市,0.52,20200106
铜仁市,贵州省,0.51,20200106
贵阳市,贵州省,0.5,20200106
宜春市,江西省,0.49,20200106
吉安市,江西省,0.49,20200106
东莞市,广东省,0.48,20200106
遵义市,贵州省,0.48,20200106
九江市,江西省,0.45,20200106
邵阳市,湖南省,0.4,20200106
温州市,浙江省,0.39,20200106
武汉市,湖北省,0.39,20200106
六盘水市,贵州省,0.34,20200106
泸州市,四川省,0.33,20200106
昆明市,云南省,0.29,20200106
南充市,四川省,0.29,20200106
南阳市,河南省,0.28,20200106
黔东南苗族侗族自治州,贵州省,0.27,20200106
黔南布依族苗族自治州,贵州省,0.25,20200106
杭州市,浙江省,0.25,20200106
怀化市,湖南省,0.25,20200106
成都市,四川省,0.24,20200106
许昌市,河南省,0.24,20200106
广安市,四川省,0.23,20200106
宁波市,浙江省,0.23,20200106
苏州市,江苏省,0.23,20200106
佛山市,广东省,0.22,20200106
衡阳市,湖南省,0.22,20200106
金华市,浙江省,0.21,20200106
安康市,陕西省,0.21,20200106
安顺市,贵州省,0.21,20200106
福州市,福建省,24.74,20200107
泉州市,福建省,20.68,20200107
厦门市,福建省,7.48,20200107
漳州市,福建省,4.3,20200107
宁德市,福建省,2.55,20200107
三明市,福建省,2.21,20200107
南平市,福建省,1.76,20200107
龙岩市,福建省,1.61,20200107
重庆市,重庆市,1.57,20200107
上海市,上海市,1.02,20200107
恩施土家族苗族自治州,湖北省,0.95,20200107
毕节市,贵州省,0.92,20200107
达州市,四川省,0.87,20200107
抚州市,江西省,0.85,20200107
上饶市,江西省,0.77,20200107
景德镇市,江西省,0.74,20200107
深圳市,广东省,0.69,20200107
