city_name,province_name,value,date
济南市,山东省,33.65,20200101
泰安市,山东省,20.47,20200101
淄博市,山东省,10.88,20200101
临沂市,山东省,4.01,20200101
青岛市,山东省,3.11,20200101
潍坊市,山东省,2.77,20200101
济宁市,山东省,2.7,20200101
日照市,山东省,1.73,20200101
滨州市,山东省,1.73,20200101
德州市,山东省,1.6,20200101
枣庄市,山东省,1.32,20200101
北京市,北京市,1.29,20200101
菏泽市,山东省,1.11,20200101
聊城市,山东省,1.04,20200101
烟台市,山东省,0.7,20200101
东营市,山东省,0.63,20200101
上海市,上海市,0.55,20200101
天津市,天津市,0.55,20200101
威海市,山东省,0.49,20200101
邯郸市,河北省,0.47,20200101
保定市,河北省,0.47,20200101
石家庄市,河北省,0.45,20200101
沧州市,河北省,0.42,20200101
徐州市,江苏省,0.32,20200101
焦作市,河南省,0.27,20200101
濮阳市,河南省,0.27,20200101
长治市,山西省,0.22,20200101
唐山市,河北省,0.21,20200101
成都市,四川省,0.21,20200101
邢台市,河北省,0.21,20200101
临汾市,山西省,0.16,20200101
安阳市,河南省,0.16,20200101
南通市,江苏省,0.14,20200101
洛阳市,河南省,0.14,20200101
合肥市,安徽省,0.14,20200101
廊坊市,河北省,0.13,20200101
衡水市,河北省,0.13,20200101
苏州市,江苏省,0.13,20200101
三亚市,海南省,0.13,20200101
无锡市,江苏省,0.13,20200101
新乡市,河南省,0.11,20200101
哈尔滨市,黑龙江省,0.09,20200101
宿迁市,江苏省,0.09,20200101
沈阳市,辽宁省,0.09,20200101
郑州市,河南省,0.09,20200101
武汉市,湖北省,0.09,20200101
扬州市,江苏省,0.09,20200101
南宁市,广西壮族自治区,0.08,20200101
长春市,吉林省,0.08,20200101
淮安市,江苏省,0.08,20200101
济南市,山东省,51.04,20200102
泰安市,山东省,9.84,20200102
淄博市,山东省,5.83,20200102
临沂市,山东省,2.99,20200102
青岛市,山东省,2.66,20200102
济宁市,山东省,2.29,20200102
潍坊市,山东省,2.18,20200102
日照市,山东省,1.63,20200102
德州市,山东省,1.58,20200102
滨州市,山东省,1.26,20200102
聊城市,山东省,1.2,20200102
北京市,北京市,1.16,20200102
枣庄市,山东省,0.85,20200102
邯郸市,河北省,0.85,20200102
烟台市,山东省,0.76,20200102
菏泽市,山东省,0.75,20200102
东营市,山东省,0.72,20200102
威海市,山东省,0.69,20200102
徐州市,江苏省,0.65,20200102
石家庄市,河北省,0.62,20200102
天津市,天津市,0.47,20200102
保定市,河北省,0.44,20200102
上海市,上海市,0.43,20200102
焦作市,河南省,0.3,20200102
沧州市,河北省,0.29,20200102
唐山市,河北省,0.25,20200102
无锡市,江苏省,0.23,20200102
苏州市,江苏省,0.21,20200102
武汉市,湖北省,0.19,20200102
南京市,江苏省,0.19,20200102
安阳市,河南省,0.17,20200102
西安市,陕西省,0.16,20200102
衡水市,河北省,0.16,20200102
濮阳市,河南省,0.15,20200102
邢台市,河北省,0.15,20200102
郑州市,河南省,0.15,20200102
晋中市,山西省,0.15,20200102
宿迁市,江苏省,0.15,20200102
商丘市,河南省,0.14,20200102
成都市,四川省,0.14,20200102
黄冈市,湖北省,0.14,20200102
深圳市,广东省,0.14,20200102
盐城市,江苏省,0.12,20200102
运城市,山西省,0.12,20200102
扬州市,江苏省,0.12,20200102
哈尔滨市,黑龙江省,0.11,20200102
连云港市,江苏省,0.11,20200102
廊坊市,河北省,0.11,20200102
广州市,广东省,0.11,20200102
沈阳市,辽宁省,0.11,20200102
济南市,山东省,52.48,20200103
泰安市,山东省,10.29,20200103
淄博市,山东省,5.55,20200103
临沂市,山东省,3.41,20200103
青岛市,山东省,3.09,20200103
潍坊市,山东省,2.53,20200103
日照市,山东省,2.46,20200103
济宁市,山东省,2.19,20200103
德州市,山东省,1.91,20200103
烟台市,山东省,1.26,20200103
滨州市,山东省,1.24,20200103
北京市,北京市,1.05,20200103
聊城市,山东省,0.85,20200103
菏泽市,山东省,0.77,20200103
枣庄市,山东省,0.7,20200103
东营市,山东省,0.57,20200103
天津市,天津市,0.49,20200103
威海市,山东省,0.46,20200103
石家庄市,河北省,0.41,20200103
徐州市,江苏省,0.34,20200103
沧州市,河北省,0.32,20200103
邯郸市,河北省,0.31,20200103
上海市,上海市,0.29,20200103
焦作市,河南省,0.22,20200103
衡水市,河北省,0.2,20200103
邢台市,河北省,0.18,20200103
保定市,河北省,0.18,20200103
无锡市,江苏省,0.16,20200103
南京市,江苏省,0.16,20200103
唐山市,河北省,0.14,20200103
长治市,山西省,0.13,20200103
营口市,辽宁省,0.13,20200103
郑州市,河南省,0.13,20200103
武汉市,湖北省,0.13,20200103
哈尔滨市,黑龙江省,0.12,20200103
西安市,陕西省,0.12,20200103
临汾市,山西省,0.11,20200103
泰州市,江苏省,0.1,20200103
张家口市,河北省,0.1,20200103
深圳市,广东省,0.1,20200103
太原市,山西省,0.1,20200103
沈阳市,辽宁省,0.1,20200103
成都市,四川省,0.1,20200103
宿迁市,江苏省,0.1,20200103
安阳市,河南省,0.1,20200103
淮安市,江苏省,0.09,20200103
亳州市,安徽省,0.09,20200103
鞍山市,辽宁省,0.08,20200103
廊坊市,河北省,0.08,20200103
盐城市,江苏省,0.08,20200103
济南市,山东省,43.57,20200104
泰安市,山东省,14.61,20200104
淄博市,山东省,7.74,20200104
临沂市,山东省,3.87,20200104
青岛市,山东省,3.57,20200104
潍坊市,山东省,2.72,20200104
济宁市,山东省,2.45,20200104
日照市,山东省,2.02,20200104
德州市,山东省,1.83,20200104
烟台市,山东省,1.63,20200104
菏泽市,山东省,1.18,20200104
滨州市,山东省,1.1,20200104
聊城市,山东省,1.04,20200104
北京市,北京市,0.91,20200104
东营市,山东省,0.65,20200104
枣庄市,山东省,0.52,20200104
威海市,山东省,0.51,20200104
天津市,天津市,0.37,20200104
上海市,上海市,0.37,20200104
石家庄市,河北省,0.34,20200104
邯郸市,河北省,0.31,20200104
徐州市,江苏省,0.29,20200104
西安市,陕西省,0.29,20200104
衡水市,河北省,0.25,20200104
沧州市,河北省,0.25,20200104
苏州市,江苏省,0.21,20200104
保定市,河北省,0.2,20200104
沈阳市,辽宁省,0.18,20200104
武汉市,湖北省,0.17,20200104
成都市,四川省,0.17,20200104
宿迁市,江苏省,0.16,20200104
无锡市,江苏省,0.16,20200104
郑州市,河南省,0.14,20200104
大连市,辽宁省,0.14,20200104
邢台市,河北省,0.14,20200104
廊坊市,河北省,0.14,20200104
唐山市,河北省,0.14,20200104
张家口市,河北省,0.14,20200104
新乡市,河南省,0.14,20200104
焦作市,河南省,0.13,20200104
长治市,山西省,0.13,20200104
重庆市,重庆市,0.12,20200104
南京市,江苏省,0.12,20200104
杭州市,浙江省,0.11,20200104
连云港市,江苏省,0.1,20200104
哈尔滨市,黑龙江省,0.09,20200104
南通市,江苏省,0.09,20200104
常州市,江苏省,0.09,20200104
宁波市,浙江省,0.08,20200104
鄂尔多斯市,内蒙古自治区,0.08,20200104
济南市,山东省,40.34,20200105
泰安市,山东省,16.62,20200105
淄博市,山东省,8.63,20200105
青岛市,山东省,3.64,20200105
临沂市,山东省,3.51,20200105
潍坊市,山东省,2.64,20200105
济宁市,山东省,2.54,20200105
日照市,山东省,2.36,20200105
德州市,山东省,1.55,20200105
滨州市,山东省,1.35,20200105
北京市,北京市,1.25,20200105
烟台市,山东省,1.1,20200105
菏泽市,山东省,0.99,20200105
聊城市,山东省,0.98,20200105
枣庄市,山东省,0.76,20200105
上海市,上海市,0.65,20200105
东营市,山东省,0.61,20200105
