city_name,province_name,value,date
长沙市,湖南省,23.57,20200101
宜春市,江西省,17.56,20200101
株洲市,湖南省,15.47,20200101
南昌市,江西省,8.11,20200101
吉安市,江西省,5.32,20200101
新余市,江西省,3.04,20200101
赣州市,江西省,1.8,20200101
九江市,江西省,1.63,20200101
深圳市,广东省,1.49,20200101
广州市,广东省,1.33,20200101
上饶市,江西省,1.16,20200101
湘潭市,湖南省,1.11,20200101
抚州市,江西省,1.0,20200101
衡阳市,湖南省,0.82,20200101
东莞市,广东省,0.71,20200101
上海市,上海市,0.67,20200101
郴州市,湖南省,0.67,20200101
杭州市,浙江省,0.58,20200101
岳阳市,湖南省,0.57,20200101
佛山市,广东省,0.53,20200101
武汉市,湖北省,0.4,20200101
重庆市,重庆市,0.37,20200101
邵阳市,湖南省,0.36,20200101
娄底市,湖南省,0.36,20200101
北京市,北京市,0.36,20200101
温州市,浙江省,0.33,20200101
鹰潭市,江西省,0.3,20200101
怀化市,湖南省,0.27,20200101
常德市,湖南省,0.26,20200101
中山市,广东省,0.25,20200101
韶关市,广东省,0.23,20200101
益阳市,湖南省,0.21,20200101
景德镇市,江西省,0.21,20200101
苏州市,江苏省,0.2,20200101
金华市,浙江省,0.2,20200101
桂林市,广西壮族自治区,0.18,20200101
三亚市,海南省,0.18,20200101
郑州市,河南省,0.18,20200101
福州市,福建省,0.18,20200101
嘉兴市,浙江省,0.17,20200101
龙岩市,福建省,0.17,20200101
泉州市,福建省,0.16,20200101
遵义市,贵州省,0.15,20200101
宁波市,浙江省,0.15,20200101
湘西土家族苗族自治州,湖南省,0.13,20200101
黄冈市,湖北省,0.13,20200101
厦门市,福建省,0.13,20200101
毕节市,贵州省,0.13,20200101
昆明市,云南省,0.12,20200101
南京市,江苏省,0.12,20200101
长沙市,湖南省,18.35,20200102
宜春市,江西省,13.12,20200102
南昌市,江西省,11.1,20200102
株洲市,湖南省,9.33,20200102
吉安市,江西省,5.38,20200102
新余市,江西省,3.12,20200102
赣州市,江西省,2.53,20200102
九江市,江西省,2.1,20200102
广州市,广东省,1.64,20200102
深圳市,广东省,1.44,20200102
抚州市,江西省,1.38,20200102
上饶市,江西省,1.37,20200102
东莞市,广东省,0.92,20200102
鹰潭市,江西省,0.89,20200102
湘潭市,湖南省,0.89,20200102
武汉市,湖北省,0.79,20200102
重庆市,重庆市,0.78,20200102
岳阳市,湖南省,0.76,20200102
衡阳市,湖南省,0.74,20200102
上海市,上海市,0.71,20200102
邵阳市,湖南省,0.68,20200102
北京市,北京市,0.66,20200102
杭州市,浙江省,0.62,20200102
娄底市,湖南省,0.62,20200102
郴州市,湖南省,0.57,20200102
景德镇市,江西省,0.54,20200102
益阳市,湖南省,0.49,20200102
佛山市,广东省,0.49,20200102
常德市,湖南省,0.46,20200102
惠州市,广东省,0.46,20200102
怀化市,湖南省,0.41,20200102
江门市,广东省,0.39,20200102
中山市,广东省,0.38,20200102
金华市,浙江省,0.36,20200102
贵阳市,贵州省,0.33,20200102
温州市,浙江省,0.31,20200102
厦门市,福建省,0.3,20200102
福州市,福建省,0.28,20200102
桂林市,广西壮族自治区,0.28,20200102
昆明市,云南省,0.27,20200102
三亚市,海南省,0.27,20200102
黔东南苗族侗族自治州,贵州省,0.27,20200102
东方市,海南省,0.27,20200102
宁波市,浙江省,0.23,20200102
乐东黎族自治县,海南省,0.22,20200102
安庆市,安徽省,0.22,20200102
成都市,四川省,0.22,20200102
毕节市,贵州省,0.2,20200102
南宁市,广西壮族自治区,0.19,20200102
珠海市,广东省,0.19,20200102
长沙市,湖南省,19.25,20200103
宜春市,江西省,15.43,20200103
株洲市,湖南省,12.86,20200103
南昌市,江西省,10.52,20200103
吉安市,江西省,5.61,20200103
新余市,江西省,4.32,20200103
赣州市,江西省,2.08,20200103
九江市,江西省,1.63,20200103
上饶市,江西省,1.48,20200103
广州市,广东省,1.47,20200103
抚州市,江西省,1.29,20200103
深圳市,广东省,1.12,20200103
湘潭市,湖南省,1.11,20200103
东莞市,广东省,1.05,20200103
上海市,上海市,0.78,20200103
郴州市,湖南省,0.71,20200103
岳阳市,湖南省,0.68,20200103
衡阳市,湖南省,0.59,20200103
重庆市,重庆市,0.59,20200103
杭州市,浙江省,0.49,20200103
佛山市,广东省,0.48,20200103
北京市,北京市,0.47,20200103
景德镇市,江西省,0.47,20200103
武汉市,湖北省,0.42,20200103
鹰潭市,江西省,0.42,20200103
惠州市,广东省,0.39,20200103
娄底市,湖南省,0.35,20200103
怀化市,湖南省,0.35,20200103
邵阳市,湖南省,0.34,20200103
金华市,浙江省,0.33,20200103
益阳市,湖南省,0.33,20200103
桂林市,广西壮族自治区,0.31,20200103
常德市,湖南省,0.31,20200103
宁波市,浙江省,0.27,20200103
苏州市,江苏省,0.26,20200103
厦门市,福建省,0.26,20200103
温州市,浙江省,0.24,20200103
湘西土家族苗族自治州,湖南省,0.23,20200103
中山市,广东省,0.23,20200103
福州市,福建省,0.22,20200103
毕节市,贵州省,0.2,20200103
台州市,浙江省,0.2,20200103
南京市,江苏省,0.19,20200103
黄冈市,湖北省,0.19,20200103
衢州市,浙江省,0.18,20200103
泉州市,福建省,0.18,20200103
恩施土家族苗族自治州,湖北省,0.16,20200103
南阳市,河南省,0.16,20200103
黔南布依族苗族自治州,贵州省,0.16,20200103
铜仁市,贵州省,0.16,20200103
长沙市,湖南省,19.85,20200104
宜春市,江西省,18.69,20200104
株洲市,湖南省,14.41,20200104
南昌市,江西省,8.14,20200104
吉安市,江西省,5.91,20200104
新余市,江西省,3.71,20200104
赣州市,江西省,2.44,20200104
上饶市,江西省,1.69,20200104
九江市,江西省,1.37,20200104
广州市,广东省,1.19,20200104
深圳市,广东省,1.13,20200104
湘潭市,湖南省,1.12,20200104
抚州市,江西省,1.0,20200104
东莞市,广东省,0.64,20200104
岳阳市,湖南省,0.64,20200104
衡阳市,湖南省,0.6,20200104
上海市,上海市,0.59,20200104
郴州市,湖南省,0.55,20200104
景德镇市,江西省,0.53,20200104
佛山市,广东省,0.51,20200104
北京市,北京市,0.45,20200104
惠州市,广东省,0.42,20200104
杭州市,浙江省,0.39,20200104
重庆市,重庆市,0.36,20200104
邵阳市,湖南省,0.34,20200104
武汉市,湖北省,0.32,20200104
金华市,浙江省,0.32,20200104
鹰潭市,江西省,0.32,20200104
娄底市,湖南省,0.31,20200104
宁波市,浙江省,0.27,20200104
中山市,广东省,0.23,20200104
益阳市,湖南省,0.22,20200104
衢州市,浙江省,0.22,20200104
泉州市,福建省,0.21,20200104
珠海市,广东省,0.2,20200104
南宁市,广西壮族自治区,0.19,20200104
永州市,湖南省,0.19,20200104
徐州市,江苏省,0.18,20200104
厦门市,福建省,0.18,20200104
桂林市,广西壮族自治区,0.18,20200104
福州市,福建省,0.17,20200104
常德市,湖南省,0.17,20200104
