city_name,province_name,value,date
鞍山市,辽宁省,20.16,20200101
大连市,辽宁省,19.28,20200101
沈阳市,辽宁省,17.1,20200101
盘锦市,辽宁省,12.21,20200101
辽阳市,辽宁省,4.9,20200101
锦州市,辽宁省,2.46,20200101
北京市,北京市,2.15,20200101
葫芦岛市,辽宁省,1.31,20200101
铁岭市,辽宁省,1.31,20200101
哈尔滨市,黑龙江省,1.16,20200101
丹东市,辽宁省,1.09,20200101
长春市,吉林省,1.06,20200101
朝阳市,辽宁省,1.01,20200101
抚顺市,辽宁省,0.87,20200101
唐山市,河北省,0.79,20200101
本溪市,辽宁省,0.75,20200101
赤峰市,内蒙古自治区,0.64,20200101
天津市,天津市,0.61,20200101
齐齐哈尔市,黑龙江省,0.49,20200101
四平市,吉林省,0.48,20200101
阜新市,辽宁省,0.45,20200101
吉林市,吉林省,0.39,20200101
通辽市,内蒙古自治区,0.35,20200101
秦皇岛市,河北省,0.34,20200101
绥化市,黑龙江省,0.3,20200101
上海市,上海市,0.3,20200101
石家庄市,河北省,0.26,20200101
松原市,吉林省,0.24,20200101
广州市,广东省,0.19,20200101
大庆市,黑龙江省,0.18,20200101
呼伦贝尔市,内蒙古自治区,0.17,20200101
辽源市,吉林省,0.17,20200101
保定市,河北省,0.16,20200101
白城市,吉林省,0.14,20200101
承德市,河北省,0.14,20200101
烟台市,山东省,0.14,20200101
通化市,吉林省,0.13,20200101
廊坊市,河北省,0.13,20200101
济南市,山东省,0.12,20200101
沧州市,河北省,0.12,20200101
郑州市,河南省,0.11,20200101
兴安盟,内蒙古自治区,0.11,20200101
南通市,江苏省,0.11,20200101
舟山市,浙江省,0.1,20200101
榆林市,陕西省,0.1,20200101
太原市,山西省,0.1,20200101
深圳市,广东省,0.09,20200101
温州市,浙江省,0.09,20200101
泉州市,福建省,0.09,20200101
威海市,山东省,0.09,20200101
沈阳市,辽宁省,19.72,20200102
大连市,辽宁省,16.32,20200102
鞍山市,辽宁省,11.14,20200102
盘锦市,辽宁省,9.0,20200102
辽阳市,辽宁省,2.79,20200102
北京市,北京市,2.46,20200102
锦州市,辽宁省,2.29,20200102
长春市,吉林省,2.26,20200102
哈尔滨市,黑龙江省,2.02,20200102
铁岭市,辽宁省,1.95,20200102
唐山市,河北省,1.59,20200102
葫芦岛市,辽宁省,1.52,20200102
抚顺市,辽宁省,1.39,20200102
天津市,天津市,1.33,20200102
丹东市,辽宁省,1.25,20200102
朝阳市,辽宁省,1.18,20200102
齐齐哈尔市,黑龙江省,0.89,20200102
本溪市,辽宁省,0.78,20200102
四平市,吉林省,0.71,20200102
赤峰市,内蒙古自治区,0.68,20200102
阜新市,辽宁省,0.68,20200102
通辽市,内蒙古自治区,0.68,20200102
吉林市,吉林省,0.59,20200102
秦皇岛市,河北省,0.57,20200102
绥化市,黑龙江省,0.48,20200102
