city_name,province_name,value,date
锦州市,辽宁省,24.0,20200101
秦皇岛市,河北省,16.47,20200101
沈阳市,辽宁省,12.96,20200101
朝阳市,辽宁省,8.16,20200101
北京市,北京市,5.36,20200101
盘锦市,辽宁省,2.6,20200101
唐山市,河北省,2.52,20200101
大连市,辽宁省,2.38,20200101
天津市,天津市,2.28,20200101
鞍山市,辽宁省,1.93,20200101
辽阳市,辽宁省,1.33,20200101
营口市,辽宁省,1.22,20200101
长春市,吉林省,0.93,20200101
阜新市,辽宁省,0.91,20200101
赤峰市,内蒙古自治区,0.85,20200101
哈尔滨市,黑龙江省,0.76,20200101
廊坊市,河北省,0.54,20200101
承德市,河北省,0.54,20200101
抚顺市,辽宁省,0.52,20200101
保定市,河北省,0.52,20200101
沧州市,河北省,0.48,20200101
铁岭市,辽宁省,0.46,20200101
丹东市,辽宁省,0.42,20200101
通辽市,内蒙古自治区,0.42,20200101
潍坊市,山东省,0.33,20200101
滨州市,山东省,0.33,20200101
石家庄市,河北省,0.33,20200101
烟台市,山东省,0.3,20200101
吉林市,吉林省,0.3,20200101
本溪市,辽宁省,0.3,20200101
青岛市,山东省,0.27,20200101
四平市,吉林省,0.23,20200101
广州市,广东省,0.21,20200101
绥化市,黑龙江省,0.21,20200101
邢台市,河北省,0.19,20200101
上海市,上海市,0.18,20200101
大庆市,黑龙江省,0.18,20200101
齐齐哈尔市,黑龙江省,0.17,20200101
邯郸市,河北省,0.17,20200101
兴安盟,内蒙古自治区,0.15,20200101
东营市,山东省,0.15,20200101
徐州市,江苏省,0.15,20200101
张家口市,河北省,0.14,20200101
成都市,四川省,0.12,20200101
武汉市,湖北省,0.12,20200101
太原市,山西省,0.12,20200101
松原市,吉林省,0.11,20200101
威海市,山东省,0.11,20200101
济南市,山东省,0.11,20200101
呼和浩特市,内蒙古自治区,0.11,20200101
锦州市,辽宁省,17.18,20200102
沈阳市,辽宁省,16.0,20200102
秦皇岛市,河北省,9.92,20200102
北京市,北京市,6.69,20200102
朝阳市,辽宁省,5.8,20200102
大连市,辽宁省,3.31,20200102
盘锦市,辽宁省,3.07,20200102
天津市,天津市,3.02,20200102
唐山市,河北省,2.63,20200102
鞍山市,辽宁省,1.89,20200102
营口市,辽宁省,1.49,20200102
阜新市,辽宁省,1.36,20200102
哈尔滨市,黑龙江省,1.25,20200102
赤峰市,内蒙古自治区,1.0,20200102
长春市,吉林省,0.98,20200102
承德市,河北省,0.89,20200102
廊坊市,河北省,0.79,20200102
保定市,河北省,0.76,20200102
铁岭市,辽宁省,0.72,20200102
辽阳市,辽宁省,0.72,20200102
通辽市,内蒙古自治区,0.66,20200102
抚顺市,辽宁省,0.66,20200102
滨州市,山东省,0.65,20200102
沧州市,河北省,0.61,20200102
丹东市,辽宁省,0.47,20200102
上海市,上海市,0.46,20200102
本溪市,辽宁省,0.45,20200102
东营市,山东省,0.44,20200102
四平市,吉林省,0.38,20200102
齐齐哈尔市,黑龙江省,0.37,20200102
吉林市,吉林省,0.37,20200102
青岛市,山东省,0.34,20200102
潍坊市,山东省,0.31,20200102
绥化市,黑龙江省,0.29,20200102
广州市,广东省,0.29,20200102
石家庄市,河北省,0.28,20200102
深圳市,广东省,0.27,20200102
临沂市,山东省,0.26,20200102
济南市,山东省,0.25,20200102
西安市,陕西省,0.23,20200102
郑州市,河南省,0.23,20200102
乌兰察布市,内蒙古自治区,0.21,20200102
大庆市,黑龙江省,0.21,20200102
成都市,四川省,0.2,20200102
重庆市,重庆市,0.2,20200102
徐州市,江苏省,0.19,20200102
呼伦贝尔市,内蒙古自治区,0.19,20200102
德州市,山东省,0.19,20200102
兴安盟,内蒙古自治区,0.19,20200102
三亚市,海南省,0.18,20200102
锦州市,辽宁省,20.94,20200103
沈阳市,辽宁省,16.06,20200103
秦皇岛市,河北省,13.12,20200103
朝阳市,辽宁省,6.9,20200103
北京市,北京市,5.76,20200103
大连市,辽宁省,2.71,20200103
盘锦市,辽宁省,2.66,20200103
唐山市,河北省,2.52,20200103
天津市,天津市,2.36,20200103
鞍山市,辽宁省,1.59,20200103
营口市,辽宁省,1.55,20200103
阜新市,辽宁省,1.33,20200103
赤峰市,内蒙古自治区,1.16,20200103
