city_name,province_name,value,date
石家庄市,河北省,16.69,20200101
德州市,山东省,13.53,20200101
沧州市,河北省,12.57,20200101
北京市,北京市,9.07,20200101
保定市,河北省,8.18,20200101
邢台市,河北省,6.81,20200101
天津市,天津市,3.68,20200101
唐山市,河北省,3.5,20200101
邯郸市,河北省,3.31,20200101
廊坊市,河北省,3.19,20200101
张家口市,河北省,3.01,20200101
秦皇岛市,河北省,1.9,20200101
承德市,河北省,1.13,20200101
济南市,山东省,0.71,20200101
滨州市,山东省,0.57,20200101
太原市,山西省,0.42,20200101
东营市,山东省,0.41,20200101
聊城市,山东省,0.38,20200101
潍坊市,山东省,0.32,20200101
青岛市,山东省,0.28,20200101
临沂市,山东省,0.28,20200101
郑州市,河南省,0.27,20200101
淄博市,山东省,0.22,20200101
菏泽市,山东省,0.21,20200101
长治市,山西省,0.21,20200101
上海市,上海市,0.2,20200101
西安市,陕西省,0.18,20200101
济宁市,山东省,0.17,20200101
泰安市,山东省,0.16,20200101
忻州市,山西省,0.14,20200101
成都市,四川省,0.13,20200101
安阳市,河南省,0.13,20200101
徐州市,江苏省,0.13,20200101
濮阳市,河南省,0.13,20200101
苏州市,江苏省,0.12,20200101
晋中市,山西省,0.12,20200101
烟台市,山东省,0.12,20200101
阳泉市,山西省,0.12,20200101
沈阳市,辽宁省,0.12,20200101
武汉市,湖北省,0.12,20200101
杭州市,浙江省,0.11,20200101
南京市,江苏省,0.11,20200101
榆林市,陕西省,0.11,20200101
新乡市,河南省,0.11,20200101
哈尔滨市,黑龙江省,0.1,20200101
重庆市,重庆市,0.1,20200101
合肥市,安徽省,0.09,20200101
洛阳市,河南省,0.09,20200101
盐城市,江苏省,0.09,20200101
广州市,广东省,0.09,20200101
石家庄市,河北省,15.41,20200102
北京市,北京市,11.13,20200102
沧州市,河北省,7.92,20200102
德州市,山东省,7.17,20200102
保定市,河北省,6.11,20200102
张家口市,河北省,5.66,20200102
邢台市,河北省,4.9,20200102
天津市,天津市,4.79,20200102
唐山市,河北省,3.21,20200102
秦皇岛市,河北省,3.2,20200102
廊坊市,河北省,3.08,20200102
邯郸市,河北省,2.61,20200102
承德市,河北省,1.08,20200102
济南市,山东省,0.92,20200102
聊城市,山东省,0.65,20200102
滨州市,山东省,0.62,20200102
潍坊市,山东省,0.6,20200102
太原市,山西省,0.57,20200102
青岛市,山东省,0.55,20200102
长治市,山西省,0.52,20200102
郑州市,河南省,0.46,20200102
菏泽市,山东省,0.43,20200102
东营市,山东省,0.41,20200102
上海市,上海市,0.37,20200102
临沂市,山东省,0.32,20200102
淄博市,山东省,0.31,20200102
西安市,陕西省,0.31,20200102
泰安市,山东省,0.29,20200102
重庆市,重庆市,0.28,20200102
杭州市,浙江省,0.27,20200102
沈阳市,辽宁省,0.26,20200102
运城市,山西省,0.25,20200102
济宁市,山东省,0.25,20200102
晋中市,山西省,0.24,20200102
烟台市,山东省,0.24,20200102
嘉兴市,浙江省,0.23,20200102
广州市,广东省,0.22,20200102
武汉市,湖北省,0.22,20200102
安阳市,河南省,0.21,20200102
葫芦岛市,辽宁省,0.21,20200102
濮阳市,河南省,0.2,20200102
洛阳市,河南省,0.2,20200102
临汾市,山西省,0.19,20200102
哈尔滨市,黑龙江省,0.18,20200102
新乡市,河南省,0.17,20200102
徐州市,江苏省,0.17,20200102
忻州市,山西省,0.16,20200102
呼和浩特市,内蒙古自治区,0.16,20200102
大同市,山西省,0.16,20200102
成都市,四川省,0.16,20200102
石家庄市,河北省,19.34,20200103
德州市,山东省,10.61,20200103
沧州市,河北省,10.56,20200103
北京市,北京市,9.42,20200103
保定市,河北省,7.63,20200103
邢台市,河北省,6.64,20200103
天津市,天津市,4.4,20200103
邯郸市,河北省,2.69,20200103
唐山市,河北省,2.29,20200103
廊坊市,河北省,2.06,20200103
张家口市,河北省,1.74,20200103
济南市,山东省,1.12,20200103
滨州市,山东省,0.86,20200103
秦皇岛市,河北省,0.83,20200103
聊城市,山东省,0.7,20200103
承德市,河北省,0.65,20200103
潍坊市,山东省,0.59,20200103
青岛市,山东省,0.48,20200103
太原市,山西省,0.46,20200103
东营市,山东省,0.44,20200103
郑州市,河南省,0.42,20200103
长治市,山西省,0.4,20200103
上海市,上海市,0.33,20200103
徐州市,江苏省,0.32,20200103
西安市,陕西省,0.32,20200103
菏泽市,山东省,0.32,20200103
济宁市,山东省,0.3,20200103
淄博市,山东省,0.28,20200103
临沂市,山东省,0.28,20200103
泰安市,山东省,0.27,20200103
晋中市,山西省,0.25,20200103
烟台市,山东省,0.24,20200103
濮阳市,河南省,0.22,20200103
阳泉市,山西省,0.22,20200103
杭州市,浙江省,0.21,20200103
南京市,江苏省,0.2,20200103
重庆市,重庆市,0.2,20200103
哈尔滨市,黑龙江省,0.19,20200103
安阳市,河南省,0.19,20200103
忻州市,山西省,0.18,20200103
苏州市,江苏省,0.18,20200103
沈阳市,辽宁省,0.18,20200103
运城市,山西省,0.17,20200103
广州市,广东省,0.17,20200103
榆林市,陕西省,0.17,20200103
吕梁市,山西省,0.16,20200103
临汾市,山西省,0.15,20200103
嘉兴市,浙江省,0.15,20200103
盐城市,江苏省,0.15,20200103
大同市,山西省,0.15,20200103
石家庄市,河北省,20.63,20200104
德州市,山东省,13.3,20200104
沧州市,河北省,12.63,20200104
北京市,北京市,8.88,20200104
保定市,河北省,7.54,20200104
邢台市,河北省,7.22,20200104
天津市,天津市,3.77,20200104
邯郸市,河北省,2.13,20200104
廊坊市,河北省,2.06,20200104
唐山市,河北省,1.6,20200104
济南市,山东省,1.08,20200104
聊城市,山东省,0.74,20200104
滨州市,山东省,0.72,20200104
张家口市,河北省,0.69,20200104
秦皇岛市,河北省,0.53,20200104
太原市,山西省,0.46,20200104
潍坊市,山东省,0.43,20200104
郑州市,河南省,0.4,20200104
承德市,河北省,0.36,20200104
东营市,山东省,0.33,20200104
青岛市,山东省,0.32,20200104
上海市,上海市,0.32,20200104
