city_name,province_name,value,date
长沙市,湖南省,23.24,20200101
郴州市,湖南省,8.98,20200101
永州市,湖南省,8.35,20200101
广州市,广东省,7.71,20200101
株洲市,湖南省,7.49,20200101
邵阳市,湖南省,4.26,20200101
湘潭市,湖南省,3.97,20200101
深圳市,广东省,3.67,20200101
东莞市,广东省,3.05,20200101
娄底市,湖南省,2.66,20200101
佛山市,广东省,2.29,20200101
岳阳市,湖南省,1.41,20200101
中山市,广东省,1.3,20200101
桂林市,广西壮族自治区,1.12,20200101
韶关市,广东省,1.02,20200101
怀化市,湖南省,0.92,20200101
益阳市,湖南省,0.86,20200101
常德市,湖南省,0.78,20200101
清远市,广东省,0.68,20200101
惠州市,广东省,0.58,20200101
武汉市,湖北省,0.57,20200101
南宁市,广西壮族自治区,0.46,20200101
上海市,上海市,0.45,20200101
柳州市,广西壮族自治区,0.45,20200101
北京市,北京市,0.45,20200101
重庆市,重庆市,0.44,20200101
江门市,广东省,0.36,20200101
宜春市,江西省,0.35,20200101
珠海市,广东省,0.34,20200101
吉安市,江西省,0.33,20200101
肇庆市,广东省,0.32,20200101
张家界市,湖南省,0.25,20200101
湘西土家族苗族自治州,湖南省,0.24,20200101
昆明市,云南省,0.23,20200101
南昌市,江西省,0.22,20200101
萍乡市,江西省,0.21,20200101
赣州市,江西省,0.21,20200101
郑州市,河南省,0.2,20200101
杭州市,浙江省,0.19,20200101
成都市,四川省,0.18,20200101
荆州市,湖北省,0.17,20200101
金华市,浙江省,0.16,20200101
铜仁市,贵州省,0.15,20200101
西安市,陕西省,0.15,20200101
苏州市,江苏省,0.15,20200101
贵阳市,贵州省,0.14,20200101
抚州市,江西省,0.14,20200101
宁波市,浙江省,0.13,20200101
湛江市,广东省,0.13,20200101
南京市,江苏省,0.13,20200101
长沙市,湖南省,24.5,20200102
广州市,广东省,7.68,20200102
郴州市,湖南省,7.66,20200102
永州市,湖南省,6.39,20200102
株洲市,湖南省,5.8,20200102
邵阳市,湖南省,3.9,20200102
深圳市,广东省,3.54,20200102
东莞市,广东省,2.9,20200102
湘潭市,湖南省,2.78,20200102
佛山市,广东省,2.63,20200102
娄底市,湖南省,2.38,20200102
岳阳市,湖南省,1.57,20200102
中山市,广东省,1.54,20200102
桂林市,广西壮族自治区,1.35,20200102
益阳市,湖南省,1.17,20200102
常德市,湖南省,1.17,20200102
怀化市,湖南省,1.09,20200102
韶关市,广东省,1.07,20200102
武汉市,湖北省,0.73,20200102
惠州市,广东省,0.72,20200102
清远市,广东省,0.68,20200102
北京市,北京市,0.63,20200102
南宁市,广西壮族自治区,0.6,20200102
上海市,上海市,0.57,20200102
重庆市,重庆市,0.56,20200102
柳州市,广西壮族自治区,0.46,20200102
珠海市,广东省,0.44,20200102
江门市,广东省,0.43,20200102
赣州市,江西省,0.36,20200102
杭州市,浙江省,0.31,20200102
湘西土家族苗族自治州,湖南省,0.31,20200102
张家界市,湖南省,0.28,20200102
昆明市,云南省,0.27,20200102
宜春市,江西省,0.27,20200102
肇庆市,广东省,0.26,20200102
海口市,海南省,0.26,20200102
南昌市,江西省,0.25,20200102
吉安市,江西省,0.24,20200102
贵阳市,贵州省,0.23,20200102
南京市,江苏省,0.2,20200102
黔东南苗族侗族自治州,贵州省,0.2,20200102
铜仁市,贵州省,0.19,20200102
郑州市,河南省,0.19,20200102
泉州市,福建省,0.18,20200102
成都市,四川省,0.17,20200102
苏州市,江苏省,0.16,20200102
荆州市,湖北省,0.16,20200102
澳门,澳门,0.16,20200102
北海市,广西壮族自治区,0.16,20200102
恩施土家族苗族自治州,湖北省,0.16,20200102
长沙市,湖南省,27.06,20200103
郴州市,湖南省,8.6,20200103
永州市,湖南省,7.04,20200103
广州市,广东省,6.62,20200103
株洲市,湖南省,6.27,20200103
邵阳市,湖南省,4.55,20200103
湘潭市,湖南省,3.1,20200103
深圳市,广东省,2.58,20200103
娄底市,湖南省,2.55,20200103
佛山市,广东省,2.02,20200103
东莞市,广东省,1.93,20200103
桂林市,广西壮族自治区,1.66,20200103
岳阳市,湖南省,1.48,20200103
中山市,广东省,1.24,20200103
怀化市,湖南省,1.17,20200103
益阳市,湖南省,1.14,20200103
韶关市,广东省,1.02,20200103
常德市,湖南省,1.0,20200103
武汉市,湖北省,0.75,20200103
清远市,广东省,0.74,20200103
重庆市,重庆市,0.7,20200103
惠州市,广东省,0.58,20200103
北京市,北京市,0.56,20200103
上海市,上海市,0.5,20200103
湘西土家族苗族自治州,湖南省,0.46,20200103
珠海市,广东省,0.45,20200103
南宁市,广西壮族自治区,0.42,20200103
宜春市,江西省,0.4,20200103
柳州市,广西壮族自治区,0.34,20200103
吉安市,江西省,0.29,20200103
昆明市,云南省,0.28,20200103
南昌市,江西省,0.27,20200103
杭州市,浙江省,0.27,20200103
江门市,广东省,0.26,20200103
张家界市,湖南省,0.25,20200103
赣州市,江西省,0.25,20200103
成都市,四川省,0.24,20200103
肇庆市,广东省,0.23,20200103
澳门,澳门,0.23,20200103
萍乡市,江西省,0.21,20200103
贵阳市,贵州省,0.21,20200103
荆州市,湖北省,0.21,20200103
郑州市,河南省,0.21,20200103
西安市,陕西省,0.2,20200103
铜仁市,贵州省,0.19,20200103
黔东南苗族侗族自治州,贵州省,0.18,20200103
海口市,海南省,0.18,20200103
九江市,江西省,0.17,20200103
宁波市,浙江省,0.14,20200103
上饶市,江西省,0.14,20200103
长沙市,湖南省,23.21,20200104
郴州市,湖南省,10.34,20200104
永州市,湖南省,8.45,20200104
株洲市,湖南省,6.5,20200104
广州市,广东省,6.47,20200104
邵阳市,湖南省,5.44,20200104
湘潭市,湖南省,3.54,20200104
娄底市,湖南省,2.73,20200104
深圳市,广东省,2.41,20200104
东莞市,广东省,2.0,20200104
佛山市,广东省,1.73,20200104
怀化市,湖南省,1.38,20200104
岳阳市,湖南省,1.3,20200104
中山市,广东省,1.2,20200104
