city_name,province_name,value,date
杭州市,浙江省,25.15,20200101
金华市,浙江省,22.47,20200101
上饶市,江西省,10.42,20200101
丽水市,浙江省,4.69,20200101
宁波市,浙江省,3.64,20200101
温州市,浙江省,3.06,20200101
上海市,上海市,2.76,20200101
绍兴市,浙江省,2.64,20200101
嘉兴市,浙江省,1.98,20200101
南平市,福建省,1.92,20200101
台州市,浙江省,1.75,20200101
湖州市,浙江省,1.35,20200101
苏州市,江苏省,0.95,20200101
黄山市,安徽省,0.94,20200101
南昌市,江西省,0.82,20200101
景德镇市,江西省,0.6,20200101
北京市,北京市,0.57,20200101
九江市,江西省,0.53,20200101
无锡市,江苏省,0.47,20200101
抚州市,江西省,0.44,20200101
南京市,江苏省,0.41,20200101
长沙市,湖南省,0.36,20200101
赣州市,江西省,0.31,20200101
合肥市,安徽省,0.31,20200101
武汉市,湖北省,0.3,20200101
宣城市,安徽省,0.29,20200101
福州市,福建省,0.29,20200101
舟山市,浙江省,0.28,20200101
宜春市,江西省,0.27,20200101
南通市,江苏省,0.26,20200101
厦门市,福建省,0.24,20200101
重庆市,重庆市,0.24,20200101
鹰潭市,江西省,0.23,20200101
常州市,江苏省,0.2,20200101
广州市,广东省,0.2,20200101
临沂市,山东省,0.2,20200101
安庆市,安徽省,0.19,20200101
吉安市,江西省,0.18,20200101
芜湖市,安徽省,0.18,20200101
三明市,福建省,0.16,20200101
宁德市,福建省,0.16,20200101
滁州市,安徽省,0.15,20200101
镇江市,江苏省,0.15,20200101
池州市,安徽省,0.15,20200101
南宁市,广西壮族自治区,0.14,20200101
阜阳市,安徽省,0.13,20200101
深圳市,广东省,0.13,20200101
盐城市,江苏省,0.12,20200101
襄阳市,湖北省,0.11,20200101
佛山市,广东省,0.11,20200101
杭州市,浙江省,27.08,20200102
金华市,浙江省,16.54,20200102
上饶市,江西省,5.92,20200102
宁波市,浙江省,4.85,20200102
上海市,上海市,3.72,20200102
温州市,浙江省,3.56,20200102
丽水市,浙江省,3.27,20200102
绍兴市,浙江省,2.93,20200102
嘉兴市,浙江省,2.83,20200102
台州市,浙江省,1.91,20200102
苏州市,江苏省,1.65,20200102
南平市,福建省,1.63,20200102
湖州市,浙江省,1.57,20200102
无锡市,江苏省,0.84,20200102
黄山市,安徽省,0.8,20200102
北京市,北京市,0.73,20200102
南昌市,江西省,0.63,20200102
南京市,江苏省,0.59,20200102
福州市,福建省,0.53,20200102
武汉市,湖北省,0.51,20200102
合肥市,安徽省,0.46,20200102
重庆市,重庆市,0.38,20200102
九江市,江西省,0.35,20200102
常州市,江苏省,0.34,20200102
