city_name,province_name,value,date
杭州市,浙江省,25.76,20200101
金华市,浙江省,21.85,20200101
上饶市,江西省,10.51,20200101
丽水市,浙江省,4.57,20200101
宁波市,浙江省,2.85,20200101
温州市,浙江省,2.71,20200101
上海市,上海市,2.57,20200101
绍兴市,浙江省,2.34,20200101
嘉兴市,浙江省,1.82,20200101
南平市,福建省,1.61,20200101
台州市,浙江省,1.61,20200101
苏州市,江苏省,1.11,20200101
湖州市,浙江省,0.93,20200101
南昌市,江西省,0.82,20200101
黄山市,安徽省,0.81,20200101
北京市,北京市,0.55,20200101
九江市,江西省,0.5,20200101
景德镇市,江西省,0.49,20200101
无锡市,江苏省,0.43,20200101
重庆市,重庆市,0.4,20200101
南京市,江苏省,0.37,20200101
宣城市,安徽省,0.37,20200101
福州市,福建省,0.35,20200101
宁德市,福建省,0.32,20200101
芜湖市,安徽省,0.32,20200101
宜春市,江西省,0.32,20200101
合肥市,安徽省,0.32,20200101
抚州市,江西省,0.31,20200101
赣州市,江西省,0.29,20200101
常州市,江苏省,0.27,20200101
武汉市,湖北省,0.26,20200101
黔西南布依族苗族自治州,贵州省,0.25,20200101
长沙市,湖南省,0.25,20200101
鹰潭市,江西省,0.24,20200101
吉安市,江西省,0.23,20200101
舟山市,浙江省,0.22,20200101
贵阳市,贵州省,0.22,20200101
怀化市,湖南省,0.22,20200101
南阳市,河南省,0.21,20200101
南通市,江苏省,0.2,20200101
毕节市,贵州省,0.18,20200101
广州市,广东省,0.18,20200101
泉州市,福建省,0.17,20200101
黄冈市,湖北省,0.17,20200101
安顺市,贵州省,0.17,20200101
郑州市,河南省,0.16,20200101
厦门市,福建省,0.16,20200101
安庆市,安徽省,0.15,20200101
亳州市,安徽省,0.15,20200101
三明市,福建省,0.15,20200101
杭州市,浙江省,24.89,20200102
金华市,浙江省,16.11,20200102
上饶市,江西省,6.52,20200102
宁波市,浙江省,3.61,20200102
温州市,浙江省,3.49,20200102
丽水市,浙江省,3.29,20200102
上海市,上海市,3.23,20200102
绍兴市,浙江省,2.9,20200102
嘉兴市,浙江省,2.18,20200102
台州市,浙江省,1.99,20200102
湖州市,浙江省,1.4,20200102
苏州市,江苏省,1.36,20200102
南平市,福建省,1.24,20200102
南昌市,江西省,0.83,20200102
黄山市,安徽省,0.69,20200102
重庆市,重庆市,0.61,20200102
抚州市,江西省,0.57,20200102
北京市,北京市,0.56,20200102
黔西南布依族苗族自治州,贵州省,0.5,20200102
南京市,江苏省,0.49,20200102
宜春市,江西省,0.47,20200102
九江市,江西省,0.43,20200102
合肥市,安徽省,0.43,20200102
福州市,福建省,0.42,20200102
无锡市,江苏省,0.41,20200102
景德镇市,江西省,0.41,20200102
深圳市,广东省,0.4,20200102
广州市,广东省,0.39,20200102
信阳市,河南省,0.38,20200102
赣州市,江西省,0.37,20200102
吉安市,江西省,0.35,20200102
长沙市,湖南省,0.33,20200102
昭通市,云南省,0.32,20200102
常州市,江苏省,0.32,20200102
怀化市,湖南省,0.31,20200102
武汉市,湖北省,0.31,20200102
宣城市,安徽省,0.3,20200102
舟山市,浙江省,0.29,20200102
遵义市,贵州省,0.29,20200102
西安市,陕西省,0.28,20200102
黄冈市,湖北省,0.28,20200102
贵阳市,贵州省,0.27,20200102
厦门市,福建省,0.27,20200102
安庆市,安徽省,0.26,20200102
黔东南苗族侗族自治州,贵州省,0.25,20200102
六安市,安徽省,0.25,20200102
