city_name,province_name,value,date
武汉市,湖北省,17.82,20200101
十堰市,湖北省,14.7,20200101
南阳市,河南省,11.92,20200101
随州市,湖北省,6.84,20200101
荆门市,湖北省,5.87,20200101
宜昌市,湖北省,3.86,20200101
孝感市,湖北省,2.83,20200101
黄石市,湖北省,1.96,20200101
荆州市,湖北省,1.72,20200101
郑州市,河南省,1.35,20200101
黄冈市,湖北省,1.05,20200101
北京市,北京市,0.94,20200101
安康市,陕西省,0.93,20200101
神农架林区,湖北省,0.88,20200101
深圳市,广东省,0.84,20200101
重庆市,重庆市,0.78,20200101
上海市,上海市,0.73,20200101
广州市,广东省,0.66,20200101
西安市,陕西省,0.66,20200101
信阳市,河南省,0.65,20200101
平顶山市,河南省,0.63,20200101
恩施土家族苗族自治州,湖北省,0.61,20200101
长沙市,湖南省,0.58,20200101
驻马店市,河南省,0.54,20200101
东莞市,广东省,0.49,20200101
咸宁市,湖北省,0.47,20200101
洛阳市,河南省,0.45,20200101
杭州市,浙江省,0.42,20200101
仙桃市,湖北省,0.4,20200101
成都市,四川省,0.39,20200101
天门市,湖北省,0.36,20200101
鄂州市,湖北省,0.36,20200101
常德市,湖南省,0.34,20200101
昆明市,云南省,0.33,20200101
苏州市,江苏省,0.32,20200101
南昌市,江西省,0.29,20200101
南京市,江苏省,0.27,20200101
九江市,江西省,0.27,20200101
潜江市,湖北省,0.26,20200101
合肥市,安徽省,0.26,20200101
许昌市,河南省,0.26,20200101
温州市,浙江省,0.24,20200101
佛山市,广东省,0.23,20200101
厦门市,福建省,0.23,20200101
惠州市,广东省,0.23,20200101
金华市,浙江省,0.21,20200101
青岛市,山东省,0.21,20200101
桂林市,广西壮族自治区,0.21,20200101
阜阳市,安徽省,0.21,20200101
周口市,河南省,0.21,20200101
武汉市,湖北省,19.7,20200102
十堰市,湖北省,10.88,20200102
南阳市,河南省,8.37,20200102
随州市,湖北省,5.04,20200102
荆门市,湖北省,4.81,20200102
宜昌市,湖北省,3.94,20200102
孝感市,湖北省,2.91,20200102
荆州市,湖北省,2.11,20200102
郑州市,河南省,1.45,20200102
深圳市,广东省,1.36,20200102
北京市,北京市,1.26,20200102
黄冈市,湖北省,1.25,20200102
长沙市,湖南省,1.08,20200102
广州市,广东省,0.96,20200102
重庆市,重庆市,0.95,20200102
恩施土家族苗族自治州,湖北省,0.93,20200102
西安市,陕西省,0.9,20200102
上海市,上海市,0.81,20200102
安康市,陕西省,0.77,20200102
成都市,四川省,0.66,20200102
信阳市,河南省,0.64,20200102
东莞市,广东省,0.62,20200102
洛阳市,河南省,0.6,20200102
咸宁市,湖北省,0.58,20200102
平顶山市,河南省,0.55,20200102
杭州市,浙江省,0.54,20200102
仙桃市,湖北省,0.53,20200102
黄石市,湖北省,0.5,20200102
苏州市,江苏省,0.5,20200102
神农架林区,湖北省,0.47,20200102
驻马店市,河南省,0.46,20200102
天门市,湖北省,0.46,20200102
鄂州市,湖北省,0.42,20200102
岳阳市,湖南省,0.4,20200102
常德市,湖南省,0.39,20200102
南昌市,江西省,0.35,20200102
南京市,江苏省,0.34,20200102
合肥市,安徽省,0.34,20200102
佛山市,广东省,0.33,20200102
金华市,浙江省,0.33,20200102
汕头市,广东省,0.3,20200102
昆明市,云南省,0.29,20200102
温州市,浙江省,0.29,20200102
青岛市,山东省,0.27,20200102
徐州市,江苏省,0.26,20200102
珠海市,广东省,0.25,20200102
贵阳市,贵州省,0.25,20200102
太原市,山西省,0.25,20200102
焦作市,河南省,0.24,20200102
潜江市,湖北省,0.24,20200102
武汉市,湖北省,19.96,20200103
十堰市,湖北省,13.25,20200103
南阳市,河南省,9.61,20200103
随州市,湖北省,5.88,20200103
荆门市,湖北省,5.32,20200103
宜昌市,湖北省,4.26,20200103
