city_name,province_name,value,date
海东市,青海省,42.84,20200101
海西蒙古族藏族自治州,青海省,9.41,20200101
海南藏族自治州,青海省,8.88,20200101
海北藏族自治州,青海省,7.53,20200101
兰州市,甘肃省,4.56,20200101
黄南藏族自治州,青海省,3.09,20200101
玉树藏族自治州,青海省,2.47,20200101
果洛藏族自治州,青海省,1.87,20200101
西安市,陕西省,1.85,20200101
成都市,四川省,1.34,20200101
临夏回族自治州,甘肃省,1.09,20200101
北京市,北京市,0.83,20200101
拉萨市,西藏自治区,0.64,20200101
武威市,甘肃省,0.6,20200101
银川市,宁夏回族自治区,0.46,20200101
张掖市,甘肃省,0.45,20200101
白银市,甘肃省,0.42,20200101
咸阳市,陕西省,0.41,20200101
重庆市,重庆市,0.37,20200101
定西市,甘肃省,0.35,20200101
天水市,甘肃省,0.32,20200101
上海市,上海市,0.32,20200101
郑州市,河南省,0.26,20200101
酒泉市,甘肃省,0.25,20200101
广州市,广东省,0.22,20200101
武汉市,湖北省,0.22,20200101
嘉峪关市,甘肃省,0.2,20200101
乌鲁木齐市,新疆维吾尔自治区,0.19,20200101
天津市,天津市,0.17,20200101
吕梁市,山西省,0.16,20200101
甘南藏族自治州,甘肃省,0.15,20200101
石家庄市,河北省,0.15,20200101
杭州市,浙江省,0.15,20200101
绵阳市,四川省,0.15,20200101
宝鸡市,陕西省,0.14,20200101
青岛市,山东省,0.13,20200101
深圳市,广东省,0.13,20200101
榆林市,陕西省,0.13,20200101
南充市,四川省,0.13,20200101
济南市,山东省,0.12,20200101
长沙市,湖南省,0.12,20200101
三亚市,海南省,0.12,20200101
广元市,四川省,0.11,20200101
呼和浩特市,内蒙古自治区,0.11,20200101
吴忠市,宁夏回族自治区,0.11,20200101
哈尔滨市,黑龙江省,0.1,20200101
桂林市,广西壮族自治区,0.1,20200101
太原市,山西省,0.1,20200101
保定市,河北省,0.1,20200101
南阳市,河南省,0.09,20200101
海东市,青海省,28.33,20200102
海西蒙古族藏族自治州,青海省,11.56,20200102
海北藏族自治州,青海省,8.19,20200102
海南藏族自治州,青海省,7.82,20200102
兰州市,甘肃省,4.8,20200102
玉树藏族自治州,青海省,4.52,20200102
黄南藏族自治州,青海省,3.69,20200102
果洛藏族自治州,青海省,2.68,20200102
西安市,陕西省,2.5,20200102
成都市,四川省,1.96,20200102
北京市,北京市,1.25,20200102
拉萨市,西藏自治区,1.17,20200102
临夏回族自治州,甘肃省,1.0,20200102
上海市,上海市,0.65,20200102
重庆市,重庆市,0.6,20200102
郑州市,河南省,0.53,20200102
咸阳市,陕西省,0.5,20200102
天水市,甘肃省,0.45,20200102
武汉市,湖北省,0.44,20200102
白银市,甘肃省,0.44,20200102
酒泉市,甘肃省,0.41,20200102
武威市,甘肃省,0.4,20200102
张掖市,甘肃省,0.37,20200102
石家庄市,河北省,0.36,20200102
天津市,天津市,0.36,20200102
银川市,宁夏回族自治区,0.35,20200102
吕梁市,山西省,0.33,20200102
定西市,甘肃省,0.3,20200102
广州市,广东省,0.28,20200102
南阳市,河南省,0.28,20200102
乌鲁木齐市,新疆维吾尔自治区,0.27,20200102
长沙市,湖南省,0.27,20200102
深圳市,广东省,0.23,20200102
北海市,广西壮族自治区,0.22,20200102
南京市,江苏省,0.21,20200102
运城市,山西省,0.2,20200102
昌都市,西藏自治区,0.2,20200102
济南市,山东省,0.19,20200102
榆林市,陕西省,0.19,20200102
宝鸡市,陕西省,0.18,20200102
三亚市,海南省,0.18,20200102
南昌市,江西省,0.18,20200102
绵阳市,四川省,0.18,20200102
青岛市,山东省,0.17,20200102
杭州市,浙江省,0.17,20200102
哈尔滨市,黑龙江省,0.16,20200102
焦作市,河南省,0.16,20200102
嘉峪关市,甘肃省,0.15,20200102
太原市,山西省,0.15,20200102
临沂市,山东省,0.15,20200102
海东市,青海省,31.79,20200103
海北藏族自治州,青海省,11.81,20200103
海南藏族自治州,青海省,10.77,20200103
海西蒙古族藏族自治州,青海省,9.77,20200103
黄南藏族自治州,青海省,6.37,20200103
兰州市,甘肃省,3.96,20200103
玉树藏族自治州,青海省,3.88,20200103
西安市,陕西省,1.85,20200103
果洛藏族自治州,青海省,1.75,20200103
成都市,四川省,1.72,20200103
北京市,北京市,0.85,20200103
临夏回族自治州,甘肃省,0.81,20200103
拉萨市,西藏自治区,0.64,20200103
武威市,甘肃省,0.41,20200103
张掖市,甘肃省,0.41,20200103
白银市,甘肃省,0.39,20200103
天津市,天津市,0.38,20200103
咸阳市,陕西省,0.36,20200103
重庆市,重庆市,0.35,20200103
上海市,上海市,0.32,20200103
天水市,甘肃省,0.29,20200103
酒泉市,甘肃省,0.29,20200103
郑州市,河南省,0.28,20200103
定西市,甘肃省,0.27,20200103
银川市,宁夏回族自治区,0.26,20200103
武汉市,湖北省,0.24,20200103
济南市,山东省,0.23,20200103
石家庄市,河北省,0.21,20200103
南昌市,江西省,0.21,20200103
乌鲁木齐市,新疆维吾尔自治区,0.2,20200103
宝鸡市,陕西省,0.2,20200103
南京市,江苏省,0.18,20200103
吕梁市,山西省,0.17,20200103
长沙市,湖南省,0.16,20200103
哈尔滨市,黑龙江省,0.15,20200103
榆林市,陕西省,0.15,20200103
广州市,广东省,0.15,20200103
苏州市,江苏省,0.15,20200103
运城市,山西省,0.15,20200103
青岛市,山东省,0.13,20200103
太原市,山西省,0.13,20200103
甘南藏族自治州,甘肃省,0.13,20200103
渭南市,陕西省,0.12,20200103
杭州市,浙江省,0.12,20200103
徐州市,江苏省,0.11,20200103
吴忠市,宁夏回族自治区,0.11,20200103
南阳市,河南省,0.11,20200103
平凉市,甘肃省,0.1,20200103
北海市,广西壮族自治区,0.1,20200103
无锡市,江苏省,0.09,20200103
海东市,青海省,36.31,20200104
海西蒙古族藏族自治州,青海省,9.08,20200104
海南藏族自治州,青海省,8.58,20200104
海北藏族自治州,青海省,7.6,20200104
兰州市,甘肃省,4.92,20200104
黄南藏族自治州,青海省,3.63,20200104
玉树藏族自治州,青海省,3.32,20200104
西安市,陕西省,2.36,20200104
成都市,四川省,2.01,20200104
果洛藏族自治州,青海省,1.73,20200104
临夏回族自治州,甘肃省,1.07,20200104
北京市,北京市,1.05,20200104
拉萨市,西藏自治区,0.93,20200104
张掖市,甘肃省,0.56,20200104
重庆市,重庆市,0.55,20200104
上海市,上海市,0.52,20200104
武威市,甘肃省,0.49,20200104
郑州市,河南省,0.46,20200104
咸阳市,陕西省,0.44,20200104
南昌市,江西省,0.43,20200104
天津市,天津市,0.43,20200104
武汉市,湖北省,0.43,20200104
济南市,山东省,0.36,20200104
长沙市,湖南省,0.36,20200104
银川市,宁夏回族自治区,0.35,20200104
酒泉市,甘肃省,0.3,20200104
白银市,甘肃省,0.28,20200104
广州市,广东省,0.27,20200104
定西市,甘肃省,0.27,20200104
天水市,甘肃省,0.25,20200104
南京市,江苏省,0.24,20200104
宝鸡市,陕西省,0.24,20200104
乌鲁木齐市,新疆维吾尔自治区,0.23,20200104
南阳市,河南省,0.19,20200104
青岛市,山东省,0.19,20200104
石家庄市,河北省,0.18,20200104
昆明市,云南省,0.16,20200104
徐州市,江苏省,0.16,20200104
厦门市,福建省,0.15,20200104
甘南藏族自治州,甘肃省,0.15,20200104
平凉市,甘肃省,0.15,20200104
苏州市,江苏省,0.14,20200104
深圳市,广东省,0.12,20200104
保定市,河北省,0.12,20200104
运城市,山西省,0.12,20200104
长春市,吉林省,0.12,20200104
三亚市,海南省,0.12,20200104
呼和浩特市,内蒙古自治区,0.12,20200104
杭州市,浙江省,0.11,20200104
吕梁市,山西省,0.11,20200104
海东市,青海省,41.54,20200105
海西蒙古族藏族自治州,青海省,7.75,20200105
海南藏族自治州,青海省,7.35,20200105
海北藏族自治州,青海省,6.64,20200105
兰州市,甘肃省,5.32,20200105
黄南藏族自治州,青海省,2.94,20200105
玉树藏族自治州,青海省,2.9,20200105
西安市,陕西省,2.77,20200105
果洛藏族自治州,青海省,1.67,20200105
成都市,四川省,1.63,20200105
北京市,北京市,1.31,20200105
临夏回族自治州,甘肃省,0.97,20200105
拉萨市,西藏自治区,0.65,20200105
济南市,山东省,0.52,20200105
张掖市,甘肃省,0.5,20200105
重庆市,重庆市,0.5,20200105
上海市,上海市,0.48,20200105
银川市,宁夏回族自治区,0.48,20200105
郑州市,河南省,0.43,20200105
武威市,甘肃省,0.41,20200105
