city_name,province_name,value,date
海东市,青海省,46.72,20200101
海南藏族自治州,青海省,8.69,20200101
海西蒙古族藏族自治州,青海省,7.68,20200101
海北藏族自治州,青海省,7.39,20200101
兰州市,甘肃省,4.47,20200101
黄南藏族自治州,青海省,2.82,20200101
西安市,陕西省,1.67,20200101
临夏回族自治州,甘肃省,1.23,20200101
玉树藏族自治州,青海省,1.09,20200101
成都市,四川省,0.98,20200101
果洛藏族自治州,青海省,0.91,20200101
北京市,北京市,0.91,20200101
天水市,甘肃省,0.63,20200101
定西市,甘肃省,0.52,20200101
银川市,宁夏回族自治区,0.48,20200101
武威市,甘肃省,0.48,20200101
张掖市,甘肃省,0.45,20200101
重庆市,重庆市,0.38,20200101
咸阳市,陕西省,0.37,20200101
拉萨市,西藏自治区,0.32,20200101
白银市,甘肃省,0.28,20200101
南充市,四川省,0.24,20200101
上海市,上海市,0.24,20200101
郑州市,河南省,0.23,20200101
南阳市,河南省,0.22,20200101
三亚市,海南省,0.21,20200101
平凉市,甘肃省,0.2,20200101
渭南市,陕西省,0.19,20200101
商丘市,河南省,0.19,20200101
宝鸡市,陕西省,0.19,20200101
广州市,广东省,0.17,20200101
东莞市,广东省,0.17,20200101
菏泽市,山东省,0.17,20200101
深圳市,广东省,0.16,20200101
昆明市,云南省,0.15,20200101
苏州市,江苏省,0.14,20200101
嘉峪关市,甘肃省,0.14,20200101
新乡市,河南省,0.14,20200101
洛阳市,河南省,0.14,20200101
酒泉市,甘肃省,0.13,20200101
甘南藏族自治州,甘肃省,0.13,20200101
天门市,湖北省,0.13,20200101
陇南市,甘肃省,0.13,20200101
中卫市,宁夏回族自治区,0.12,20200101
海口市,海南省,0.12,20200101
吴忠市,宁夏回族自治区,0.12,20200101
天津市,天津市,0.12,20200101
开封市,河南省,0.12,20200101
南京市,江苏省,0.11,20200101
榆林市,陕西省,0.11,20200101
海东市,青海省,32.6,20200102
海南藏族自治州,青海省,9.47,20200102
海西蒙古族藏族自治州,青海省,8.13,20200102
海北藏族自治州,青海省,6.77,20200102
兰州市,甘肃省,4.58,20200102
黄南藏族自治州,青海省,2.75,20200102
西安市,陕西省,2.57,20200102
成都市,四川省,1.75,20200102
果洛藏族自治州,青海省,1.42,20200102
北京市,北京市,1.41,20200102
玉树藏族自治州,青海省,1.39,20200102
临夏回族自治州,甘肃省,1.25,20200102
南充市,四川省,0.79,20200102
重庆市,重庆市,0.75,20200102
天水市,甘肃省,0.68,20200102
武威市,甘肃省,0.67,20200102
定西市,甘肃省,0.6,20200102
张掖市,甘肃省,0.56,20200102
三亚市,海南省,0.56,20200102
银川市,宁夏回族自治区,0.54,20200102
拉萨市,西藏自治区,0.51,20200102
咸阳市,陕西省,0.5,20200102
白银市,甘肃省,0.49,20200102
广州市,广东省,0.43,20200102
深圳市,广东省,0.4,20200102
商丘市,河南省,0.38,20200102
郑州市,河南省,0.36,20200102
菏泽市,山东省,0.34,20200102
宝鸡市,陕西省,0.33,20200102
安庆市,安徽省,0.32,20200102
平凉市,甘肃省,0.31,20200102
上海市,上海市,0.31,20200102
驻马店市,河南省,0.31,20200102
徐州市,江苏省,0.3,20200102
渭南市,陕西省,0.28,20200102
开封市,河南省,0.27,20200102
杭州市,浙江省,0.27,20200102
甘南藏族自治州,甘肃省,0.25,20200102
酒泉市,甘肃省,0.23,20200102
保定市,河北省,0.21,20200102
苏州市,江苏省,0.21,20200102
新乡市,河南省,0.21,20200102
长沙市,湖南省,0.21,20200102
天门市,湖北省,0.21,20200102
合肥市,安徽省,0.2,20200102
武汉市,湖北省,0.19,20200102
南阳市,河南省,0.19,20200102
绵阳市,四川省,0.19,20200102
南京市,江苏省,0.17,20200102
周口市,河南省,0.17,20200102
海东市,青海省,40.91,20200103
海南藏族自治州,青海省,7.7,20200103
海北藏族自治州,青海省,6.13,20200103
海西蒙古族藏族自治州,青海省,6.11,20200103
兰州市,甘肃省,6.11,20200103
黄南藏族自治州,青海省,2.67,20200103
西安市,陕西省,2.18,20200103
