city_name,province_name,value,date
咸阳市,陕西省,31.37,20200101
渭南市,陕西省,14.26,20200101
宝鸡市,陕西省,6.23,20200101
商洛市,陕西省,5.37,20200101
延安市,陕西省,3.64,20200101
榆林市,陕西省,2.79,20200101
安康市,陕西省,2.66,20200101
汉中市,陕西省,2.37,20200101
铜川市,陕西省,2.28,20200101
北京市,北京市,1.42,20200101
庆阳市,甘肃省,1.11,20200101
运城市,山西省,1.09,20200101
成都市,四川省,1.02,20200101
郑州市,河南省,0.82,20200101
天水市,甘肃省,0.77,20200101
重庆市,重庆市,0.68,20200101
兰州市,甘肃省,0.66,20200101
平凉市,甘肃省,0.65,20200101
上海市,上海市,0.64,20200101
三门峡市,河南省,0.49,20200101
南阳市,河南省,0.47,20200101
洛阳市,河南省,0.45,20200101
临汾市,山西省,0.39,20200101
巴中市,四川省,0.38,20200101
银川市,宁夏回族自治区,0.36,20200101
深圳市,广东省,0.35,20200101
十堰市,湖北省,0.34,20200101
太原市,山西省,0.34,20200101
广州市,广东省,0.33,20200101
武汉市,湖北省,0.31,20200101
天津市,天津市,0.28,20200101
西宁市,青海省,0.28,20200101
南充市,四川省,0.28,20200101
陇南市,甘肃省,0.28,20200101
杭州市,浙江省,0.26,20200101
苏州市,江苏省,0.25,20200101
邯郸市,河北省,0.24,20200101
徐州市,江苏省,0.23,20200101
定西市,甘肃省,0.23,20200101
长沙市,湖南省,0.22,20200101
石家庄市,河北省,0.22,20200101
南京市,江苏省,0.21,20200101
周口市,河南省,0.21,20200101
达州市,四川省,0.21,20200101
广元市,四川省,0.21,20200101
商丘市,河南省,0.2,20200101
宿州市,安徽省,0.19,20200101
乌鲁木齐市,新疆维吾尔自治区,0.18,20200101
驻马店市,河南省,0.18,20200101
晋中市,山西省,0.17,20200101
咸阳市,陕西省,19.73,20200102
渭南市,陕西省,12.1,20200102
宝鸡市,陕西省,6.02,20200102
商洛市,陕西省,5.43,20200102
延安市,陕西省,4.24,20200102
榆林市,陕西省,3.74,20200102
汉中市,陕西省,3.35,20200102
安康市,陕西省,3.35,20200102
北京市,北京市,2.19,20200102
铜川市,陕西省,2.05,20200102
成都市,四川省,1.33,20200102
庆阳市,甘肃省,1.24,20200102
运城市,山西省,1.18,20200102
重庆市,重庆市,1.01,20200102
天水市,甘肃省,0.95,20200102
郑州市,河南省,0.91,20200102
兰州市,甘肃省,0.91,20200102
上海市,上海市,0.88,20200102
平凉市,甘肃省,0.76,20200102
深圳市,广东省,0.54,20200102
巴中市,四川省,0.53,20200102
南阳市,河南省,0.53,20200102
银川市,宁夏回族自治区,0.5,20200102
临汾市,山西省,0.47,20200102
洛阳市,河南省,0.46,20200102
广州市,广东省,0.45,20200102
陇南市,甘肃省,0.43,20200102
三门峡市,河南省,0.42,20200102
武汉市,湖北省,0.41,20200102
西宁市,青海省,0.39,20200102
太原市,山西省,0.39,20200102
十堰市,湖北省,0.39,20200102
杭州市,浙江省,0.38,20200102
南充市,四川省,0.38,20200102
乌鲁木齐市,新疆维吾尔自治区,0.36,20200102
广元市,四川省,0.35,20200102
周口市,河南省,0.34,20200102
苏州市,江苏省,0.34,20200102
天津市,天津市,0.34,20200102
南京市,江苏省,0.33,20200102
达州市,四川省,0.32,20200102
石家庄市,河北省,0.32,20200102
宿州市,安徽省,0.3,20200102
驻马店市,河南省,0.3,20200102
徐州市,江苏省,0.29,20200102
商丘市,河南省,0.29,20200102
长沙市,湖南省,0.26,20200102
定西市,甘肃省,0.26,20200102
固原市,宁夏回族自治区,0.25,20200102
邯郸市,河北省,0.24,20200102
咸阳市,陕西省,28.01,20200103
渭南市,陕西省,12.95,20200103
宝鸡市,陕西省,6.73,20200103
商洛市,陕西省,4.87,20200103
延安市,陕西省,3.6,20200103
榆林市,陕西省,3.1,20200103
汉中市,陕西省,2.99,20200103
安康市,陕西省,2.89,20200103
铜川市,陕西省,1.99,20200103
北京市,北京市,1.55,20200103
成都市,四川省,1.31,20200103
运城市,山西省,1.1,20200103
庆阳市,甘肃省,1.08,20200103
重庆市,重庆市,0.9,20200103
兰州市,甘肃省,0.82,20200103
郑州市,河南省,0.8,20200103
天水市,甘肃省,0.74,20200103
上海市,上海市,0.68,20200103
平凉市,甘肃省,0.66,20200103
南阳市,河南省,0.48,20200103
洛阳市,河南省,0.48,20200103
巴中市,四川省,0.47,20200103
三门峡市,河南省,0.47,20200103
临汾市,山西省,0.44,20200103
南充市,四川省,0.43,20200103
深圳市,广东省,0.38,20200103
银川市,宁夏回族自治区,0.38,20200103
太原市,山西省,0.37,20200103
陇南市,甘肃省,0.34,20200103
十堰市,湖北省,0.33,20200103
广州市,广东省,0.33,20200103
西宁市,青海省,0.32,20200103
杭州市,浙江省,0.31,20200103
周口市,河南省,0.3,20200103
武汉市,湖北省,0.29,20200103
乌鲁木齐市,新疆维吾尔自治区,0.28,20200103
广元市,四川省,0.28,20200103
天津市,天津市,0.28,20200103
南京市,江苏省,0.27,20200103
苏州市,江苏省,0.26,20200103
达州市,四川省,0.24,20200103
长沙市,湖南省,0.24,20200103
石家庄市,河北省,0.24,20200103
定西市,甘肃省,0.24,20200103
驻马店市,河南省,0.24,20200103
徐州市,江苏省,0.23,20200103
昆明市,云南省,0.23,20200103
宿州市,安徽省,0.22,20200103
商丘市,河南省,0.21,20200103
厦门市,福建省,0.21,20200103
咸阳市,陕西省,27.91,20200104
渭南市,陕西省,12.94,20200104
宝鸡市,陕西省,6.3,20200104
商洛市,陕西省,4.78,20200104
延安市,陕西省,3.69,20200104
榆林市,陕西省,3.11,20200104
安康市,陕西省,2.86,20200104
汉中市,陕西省,2.72,20200104
铜川市,陕西省,2.04,20200104
北京市,北京市,1.59,20200104
成都市,四川省,1.22,20200104
庆阳市,甘肃省,1.08,20200104
运城市,山西省,0.99,20200104
重庆市,重庆市,0.86,20200104
郑州市,河南省,0.82,20200104
兰州市,甘肃省,0.76,20200104
天水市,甘肃省,0.75,20200104
上海市,上海市,0.71,20200104
平凉市,甘肃省,0.63,20200104
三门峡市,河南省,0.47,20200104
南阳市,河南省,0.46,20200104
巴中市,四川省,0.45,20200104
临汾市,山西省,0.41,20200104
深圳市,广东省,0.41,20200104
太原市,山西省,0.4,20200104
洛阳市,河南省,0.39,20200104
银川市,宁夏回族自治区,0.38,20200104
南充市,四川省,0.38,20200104
十堰市,湖北省,0.34,20200104
乌鲁木齐市,新疆维吾尔自治区,0.34,20200104
西宁市,青海省,0.33,20200104
苏州市,江苏省,0.33,20200104
武汉市,湖北省,0.33,20200104
杭州市,浙江省,0.32,20200104
广州市,广东省,0.32,20200104
天津市,天津市,0.31,20200104
陇南市,甘肃省,0.31,20200104
周口市,河南省,0.29,20200104
南京市,江苏省,0.27,20200104
广元市,四川省,0.27,20200104
石家庄市,河北省,0.27,20200104
宿州市,安徽省,0.25,20200104
达州市,四川省,0.25,20200104
定西市,甘肃省,0.24,20200104
驻马店市,河南省,0.23,20200104
长沙市,湖南省,0.23,20200104
商丘市,河南省,0.21,20200104
徐州市,江苏省,0.21,20200104
固原市,宁夏回族自治区,0.19,20200104
合肥市,安徽省,0.19,20200104
咸阳市,陕西省,26.36,20200105
渭南市,陕西省,13.21,20200105
宝鸡市,陕西省,5.7,20200105
商洛市,陕西省,4.64,20200105
延安市,陕西省,4.59,20200105
安康市,陕西省,3.03,20200105
榆林市,陕西省,2.96,20200105
汉中市,陕西省,2.79,20200105
铜川市,陕西省,2.29,20200105
北京市,北京市,2.22,20200105
成都市,四川省,1.4,20200105
兰州市,甘肃省,1.07,20200105
郑州市,河南省,1.06,20200105
运城市,山西省,1.01,20200105
庆阳市,甘肃省,0.9,20200105
上海市,上海市,0.86,20200105
重庆市,重庆市,0.83,20200105
天水市,甘肃省,0.73,20200105
平凉市,甘肃省,0.57,20200105
三门峡市,河南省,0.55,20200105
太原市,山西省,0.52,20200105
深圳市,广东省,0.47,20200105
洛阳市,河南省,0.45,20200105
银川市,宁夏回族自治区,0.45,20200105
西宁市,青海省,0.43,20200105
临汾市,山西省,0.42,20200105
南阳市,河南省,0.42,20200105
南充市,四川省,0.38,20200105
广州市,广东省,0.36,20200105
杭州市,浙江省,0.36,20200105
巴中市,四川省,0.35,20200105
武汉市,湖北省,0.35,20200105
天津市,天津市,0.34,20200105
十堰市,湖北省,0.32,20200105
南京市,江苏省,0.3,20200105
苏州市,江苏省,0.3,20200105
乌鲁木齐市,新疆维吾尔自治区,0.3,20200105
陇南市,甘肃省,0.28,20200105
长沙市,湖南省,0.28,20200105
昆明市,云南省,0.27,20200105
石家庄市,河北省,0.26,20200105
达州市,四川省,0.26,20200105
周口市,河南省,0.25,20200105
广元市,四川省,0.24,20200105
定西市,甘肃省,0.22,20200105
济南市,山东省,0.21,20200105
徐州市,江苏省,0.21,20200105
绵阳市,四川省,0.2,20200105
商丘市,河南省,0.2,20200105
合肥市,安徽省,0.2,20200105
咸阳市,陕西省,27.65,20200106
渭南市,陕西省,11.84,20200106
