city_name,province_name,value,date
郑州市,河南省,40.17,20200101
平顶山市,河南省,13.47,20200101
漯河市,河南省,9.43,20200101
周口市,河南省,5.7,20200101
开封市,河南省,4.36,20200101
南阳市,河南省,2.44,20200101
驻马店市,河南省,2.23,20200101
洛阳市,河南省,1.98,20200101
新乡市,河南省,1.69,20200101
商丘市,河南省,1.26,20200101
信阳市,河南省,1.14,20200101
北京市,北京市,1.01,20200101
焦作市,河南省,0.95,20200101
安阳市,河南省,0.6,20200101
苏州市,江苏省,0.58,20200101
上海市,上海市,0.55,20200101
西安市,陕西省,0.5,20200101
三门峡市,河南省,0.49,20200101
濮阳市,河南省,0.48,20200101
武汉市,湖北省,0.43,20200101
菏泽市,山东省,0.26,20200101
鹤壁市,河南省,0.26,20200101
杭州市,浙江省,0.24,20200101
保定市,河北省,0.21,20200101
深圳市,广东省,0.21,20200101
邯郸市,河北省,0.2,20200101
济源市,河南省,0.19,20200101
阜阳市,安徽省,0.18,20200101
广州市,广东省,0.17,20200101
石家庄市,河北省,0.16,20200101
运城市,山西省,0.16,20200101
无锡市,江苏省,0.16,20200101
重庆市,重庆市,0.16,20200101
亳州市,安徽省,0.15,20200101
合肥市,安徽省,0.15,20200101
孝感市,湖北省,0.14,20200101
长沙市,湖南省,0.13,20200101
徐州市,江苏省,0.13,20200101
天津市,天津市,0.13,20200101
晋城市,山西省,0.12,20200101
南京市,江苏省,0.12,20200101
宁波市,浙江省,0.12,20200101
济南市,山东省,0.12,20200101
成都市,四川省,0.12,20200101
襄阳市,湖北省,0.11,20200101
聊城市,山东省,0.11,20200101
十堰市,湖北省,0.1,20200101
嘉兴市,浙江省,0.1,20200101
太原市,山西省,0.09,20200101
金华市,浙江省,0.09,20200101
郑州市,河南省,36.3,20200102
平顶山市,河南省,9.9,20200102
漯河市,河南省,5.91,20200102
周口市,河南省,5.5,20200102
开封市,河南省,3.25,20200102
南阳市,河南省,2.88,20200102
驻马店市,河南省,2.78,20200102
洛阳市,河南省,2.6,20200102
新乡市,河南省,2.02,20200102
信阳市,河南省,1.99,20200102
商丘市,河南省,1.75,20200102
北京市,北京市,1.5,20200102
苏州市,江苏省,1.36,20200102
焦作市,河南省,1.15,20200102
安阳市,河南省,0.97,20200102
上海市,上海市,0.96,20200102
西安市,陕西省,0.8,20200102
三门峡市,河南省,0.62,20200102
武汉市,湖北省,0.61,20200102
濮阳市,河南省,0.42,20200102
广州市,广东省,0.41,20200102
杭州市,浙江省,0.32,20200102
鹤壁市,河南省,0.32,20200102
石家庄市,河北省,0.31,20200102
阜阳市,安徽省,0.3,20200102
深圳市,广东省,0.29,20200102
长沙市,湖南省,0.28,20200102
重庆市,重庆市,0.26,20200102
济南市,山东省,0.25,20200102
菏泽市,山东省,0.25,20200102
南京市,江苏省,0.24,20200102
合肥市,安徽省,0.23,20200102
徐州市,江苏省,0.23,20200102
襄阳市,湖北省,0.22,20200102
成都市,四川省,0.22,20200102
保定市,河北省,0.22,20200102
温州市,浙江省,0.2,20200102
太原市,山西省,0.2,20200102
济源市,河南省,0.2,20200102
邯郸市,河北省,0.2,20200102
亳州市,安徽省,0.2,20200102
佛山市,广东省,0.18,20200102
济宁市,山东省,0.18,20200102
无锡市,江苏省,0.18,20200102
宁波市,浙江省,0.18,20200102
青岛市,山东省,0.18,20200102
天津市,天津市,0.18,20200102
运城市,山西省,0.17,20200102
孝感市,湖北省,0.16,20200102
咸阳市,陕西省,0.15,20200102
郑州市,河南省,32.68,20200103
平顶山市,河南省,12.97,20200103
漯河市,河南省,8.18,20200103
周口市,河南省,6.31,20200103
开封市,河南省,4.17,20200103
南阳市,河南省,2.79,20200103
驻马店市,河南省,2.71,20200103
洛阳市,河南省,2.26,20200103
新乡市,河南省,1.92,20200103
信阳市,河南省,1.82,20200103
商丘市,河南省,1.65,20200103
苏州市,江苏省,1.3,20200103
上海市,上海市,1.21,20200103
北京市,北京市,1.09,20200103
焦作市,河南省,1.09,20200103
安阳市,河南省,0.83,20200103
西安市,陕西省,0.72,20200103
三门峡市,河南省,0.59,20200103
武汉市,湖北省,0.54,20200103
濮阳市,河南省,0.51,20200103
嘉兴市,浙江省,0.47,20200103
深圳市,广东省,0.4,20200103
菏泽市,山东省,0.36,20200103
阜阳市,安徽省,0.32,20200103
无锡市,江苏省,0.29,20200103
鹤壁市,河南省,0.29,20200103
南京市,江苏省,0.29,20200103
广州市,广东省,0.28,20200103
惠州市,广东省,0.27,20200103
亳州市,安徽省,0.25,20200103
滁州市,安徽省,0.25,20200103
石家庄市,河北省,0.23,20200103
运城市,山西省,0.23,20200103
重庆市,重庆市,0.23,20200103
邯郸市,河北省,0.2,20200103
徐州市,江苏省,0.19,20200103
襄阳市,湖北省,0.19,20200103
杭州市,浙江省,0.19,20200103
孝感市,湖北省,0.19,20200103
临沂市,山东省,0.19,20200103
成都市,四川省,0.18,20200103
保定市,河北省,0.18,20200103
济源市,河南省,0.16,20200103
合肥市,安徽省,0.16,20200103
济南市,山东省,0.15,20200103
青岛市,山东省,0.15,20200103
长沙市,湖南省,0.14,20200103
渭南市,陕西省,0.14,20200103
南通市,江苏省,0.14,20200103
廊坊市,河北省,0.13,20200103
郑州市,河南省,36.49,20200104
平顶山市,河南省,12.58,20200104
漯河市,河南省,8.73,20200104
周口市,河南省,6.82,20200104
开封市,河南省,4.64,20200104
南阳市,河南省,2.55,20200104
驻马店市,河南省,2.27,20200104
洛阳市,河南省,2.26,20200104
新乡市,河南省,1.75,20200104
商丘市,河南省,1.5,20200104
信阳市,河南省,1.41,20200104
焦作市,河南省,1.1,20200104
北京市,北京市,0.98,20200104
安阳市,河南省,0.78,20200104
三门峡市,河南省,0.66,20200104
上海市,上海市,0.63,20200104
苏州市,江苏省,0.63,20200104
西安市,陕西省,0.61,20200104
濮阳市,河南省,0.54,20200104
武汉市,湖北省,0.42,20200104
菏泽市,山东省,0.33,20200104
广州市,广东省,0.28,20200104
重庆市,重庆市,0.28,20200104
鹤壁市,河南省,0.28,20200104
深圳市,广东省,0.25,20200104
阜阳市,安徽省,0.24,20200104
杭州市,浙江省,0.23,20200104
南京市,江苏省,0.21,20200104
临沂市,山东省,0.2,20200104
石家庄市,河北省,0.2,20200104
运城市,山西省,0.2,20200104
保定市,河北省,0.19,20200104
济源市,河南省,0.19,20200104
天津市,天津市,0.19,20200104
襄阳市,湖北省,0.19,20200104
亳州市,安徽省,0.19,20200104
邯郸市,河北省,0.18,20200104
长沙市,湖南省,0.18,20200104
成都市,四川省,0.15,20200104
无锡市,江苏省,0.15,20200104
合肥市,安徽省,0.15,20200104
济宁市,山东省,0.14,20200104
徐州市,江苏省,0.13,20200104
济南市,山东省,0.13,20200104
聊城市,山东省,0.12,20200104
厦门市,福建省,0.12,20200104
青岛市,山东省,0.12,20200104
孝感市,湖北省,0.12,20200104
东莞市,广东省,0.11,20200104
十堰市,湖北省,0.11,20200104
郑州市,河南省,39.75,20200105
平顶山市,河南省,12.14,20200105
漯河市,河南省,8.22,20200105
周口市,河南省,5.74,20200105
开封市,河南省,3.86,20200105
南阳市,河南省,2.46,20200105
洛阳市,河南省,2.27,20200105
驻马店市,河南省,2.16,20200105
商丘市,河南省,1.58,20200105
北京市,北京市,1.49,20200105
新乡市,河南省,1.45,20200105
信阳市,河南省,1.39,20200105
安阳市,河南省,0.85,20200105
焦作市,河南省,0.83,20200105
上海市,上海市,0.58,20200105
西安市,陕西省,0.58,20200105
武汉市,湖北省,0.56,20200105
苏州市,江苏省,0.56,20200105
濮阳市,河南省,0.47,20200105
三门峡市,河南省,0.37,20200105
广州市,广东省,0.3,20200105
南京市,江苏省,0.29,20200105
鹤壁市,河南省,0.28,20200105
菏泽市,山东省,0.24,20200105
阜阳市,安徽省,0.24,20200105
长沙市,湖南省,0.24,20200105
无锡市,江苏省,0.23,20200105
邯郸市,河北省,0.22,20200105
石家庄市,河北省,0.21,20200105
临沂市,山东省,0.21,20200105
重庆市,重庆市,0.21,20200105
杭州市,浙江省,0.21,20200105
济源市,河南省,0.21,20200105
亳州市,安徽省,0.2,20200105
深圳市,广东省,0.2,20200105
天津市,天津市,0.18,20200105
徐州市,江苏省,0.18,20200105
成都市,四川省,0.17,20200105
济南市,山东省,0.17,20200105
保定市,河北省,0.15,20200105
襄阳市,湖北省,0.15,20200105
邢台市,河北省,0.15,20200105
合肥市,安徽省,0.13,20200105
孝感市,湖北省,0.12,20200105
青岛市,山东省,0.12,20200105
济宁市,山东省,0.12,20200105
廊坊市,河北省,0.11,20200105
潍坊市,山东省,0.11,20200105
三亚市,海南省,0.1,20200105
哈尔滨市,黑龙江省,0.1,20200105
郑州市,河南省,38.23,20200106
平顶山市,河南省,11.8,20200106
漯河市,河南省,8.02,20200106
周口市,河南省,5.65,20200106
开封市,河南省,3.61,20200106
南阳市,河南省,2.46,20200106
驻马店市,河南省,2.43,20200106
洛阳市,河南省,2.43,20200106
信阳市,河南省,1.73,20200106
新乡市,河南省,1.65,20200106
商丘市,河南省,1.63,20200106
北京市,北京市,1.24,20200106
焦作市,河南省,1.05,20200106
安阳市,河南省,0.91,20200106
苏州市,江苏省,0.73,20200106
西安市,陕西省,0.65,20200106
上海市,上海市,0.56,20200106
武汉市,湖北省,0.51,20200106
三门峡市,河南省,0.44,20200106
濮阳市,河南省,0.42,20200106
鹤壁市,河南省,0.33,20200106
菏泽市,山东省,0.27,20200106
阜阳市,安徽省,0.27,20200106
杭州市,浙江省,0.25,20200106
重庆市,重庆市,0.24,20200106
广州市,广东省,0.24,20200106
长沙市,湖南省,0.24,20200106
南京市,江苏省,0.23,20200106
济南市,山东省,0.23,20200106
石家庄市,河北省,0.22,20200106
青岛市,山东省,0.22,20200106
邯郸市,河北省,0.21,20200106
临沂市,山东省,0.21,20200106
无锡市,江苏省,0.2,20200106
保定市,河北省,0.18,20200106
合肥市,安徽省,0.18,20200106
成都市,四川省,0.18,20200106
潍坊市,山东省,0.17,20200106
