city_name,province_name,value,date
南宁市,广西壮族自治区,22.14,20200101
玉林市,广西壮族自治区,15.44,20200101
佛山市,广东省,9.35,20200101
梧州市,广西壮族自治区,7.55,20200101
来宾市,广西壮族自治区,5.8,20200101
柳州市,广西壮族自治区,5.52,20200101
中山市,广东省,5.5,20200101
广州市,广东省,4.32,20200101
东莞市,广东省,3.3,20200101
深圳市,广东省,2.23,20200101
桂林市,广西壮族自治区,1.83,20200101
钦州市,广西壮族自治区,1.75,20200101
江门市,广东省,1.49,20200101
百色市,广西壮族自治区,1.15,20200101
河池市,广西壮族自治区,1.0,20200101
肇庆市,广东省,1.0,20200101
北海市,广西壮族自治区,0.85,20200101
湛江市,广东省,0.72,20200101
惠州市,广东省,0.51,20200101
贺州市,广西壮族自治区,0.5,20200101
茂名市,广东省,0.49,20200101
云浮市,广东省,0.47,20200101
崇左市,广西壮族自治区,0.47,20200101
珠海市,广东省,0.41,20200101
清远市,广东省,0.37,20200101
防城港市,广西壮族自治区,0.36,20200101
文山壮族苗族自治州,云南省,0.33,20200101
重庆市,重庆市,0.24,20200101
黔南布依族苗族自治州,贵州省,0.22,20200101
阳江市,广东省,0.17,20200101
贵阳市,贵州省,0.16,20200101
怀化市,湖南省,0.14,20200101
韶关市,广东省,0.13,20200101
昆明市,云南省,0.13,20200101
黔西南布依族苗族自治州,贵州省,0.12,20200101
雅安市,四川省,0.11,20200101
长沙市,湖南省,0.11,20200101
黔东南苗族侗族自治州,贵州省,0.11,20200101
河源市,广东省,0.11,20200101
永州市,湖南省,0.11,20200101
成都市,四川省,0.09,20200101
武汉市,湖北省,0.07,20200101
北京市,北京市,0.07,20200101
衡阳市,湖南省,0.07,20200101
遵义市,贵州省,0.06,20200101
香港,香港,0.06,20200101
海口市,海南省,0.05,20200101
杭州市,浙江省,0.05,20200101
内江市,四川省,0.05,20200101
铜仁市,贵州省,0.04,20200101
南宁市,广西壮族自治区,20.85,20200102
佛山市,广东省,10.91,20200102
玉林市,广西壮族自治区,9.25,20200102
梧州市,广西壮族自治区,6.76,20200102
中山市,广东省,6.22,20200102
广州市,广东省,6.01,20200102
柳州市,广西壮族自治区,5.61,20200102
东莞市,广东省,4.06,20200102
来宾市,广西壮族自治区,3.72,20200102
深圳市,广东省,2.37,20200102
桂林市,广西壮族自治区,2.18,20200102
江门市,广东省,1.76,20200102
钦州市,广西壮族自治区,1.65,20200102
百色市,广西壮族自治区,1.51,20200102
河池市,广西壮族自治区,1.27,20200102
肇庆市,广东省,1.06,20200102
北海市,广西壮族自治区,0.87,20200102
湛江市,广东省,0.85,20200102
崇左市,广西壮族自治区,0.8,20200102
文山壮族苗族自治州,云南省,0.7,20200102
云浮市,广东省,0.68,20200102
贺州市,广西壮族自治区,0.6,20200102
珠海市,广东省,0.57,20200102
惠州市,广东省,0.56,20200102
茂名市,广东省,0.5,20200102
防城港市,广西壮族自治区,0.44,20200102
重庆市,重庆市,0.42,20200102
清远市,广东省,0.26,20200102
永州市,湖南省,0.24,20200102
黔南布依族苗族自治州,贵州省,0.23,20200102
黔东南苗族侗族自治州,贵州省,0.22,20200102
衡阳市,湖南省,0.21,20200102
漳州市,福建省,0.2,20200102
邵阳市,湖南省,0.16,20200102
阳江市,广东省,0.16,20200102
杭州市,浙江省,0.16,20200102
昆明市,云南省,0.14,20200102
益阳市,湖南省,0.14,20200102
长沙市,湖南省,0.14,20200102
遵义市,贵州省,0.13,20200102
西安市,陕西省,0.13,20200102
毕节市,贵州省,0.13,20200102
荆州市,湖北省,0.12,20200102
揭阳市,广东省,0.12,20200102
保定市,河北省,0.12,20200102
泉州市,福建省,0.12,20200102
武汉市,湖北省,0.11,20200102
成都市,四川省,0.1,20200102
怀化市,湖南省,0.1,20200102
贵阳市,贵州省,0.1,20200102
南宁市,广西壮族自治区,25.01,20200103
玉林市,广西壮族自治区,12.71,20200103
梧州市,广西壮族自治区,7.87,20200103
佛山市,广东省,7.62,20200103
柳州市,广西壮族自治区,5.06,20200103
广州市,广东省,4.91,20200103
来宾市,广西壮族自治区,4.8,20200103
中山市,广东省,4.34,20200103
东莞市,广东省,3.1,20200103
桂林市,广西壮族自治区,2.42,20200103
深圳市,广东省,1.81,20200103
钦州市,广西壮族自治区,1.74,20200103
江门市,广东省,1.46,20200103
百色市,广西壮族自治区,1.34,20200103
河池市,广西壮族自治区,1.31,20200103
肇庆市,广东省,1.02,20200103
北海市,广西壮族自治区,0.83,20200103
湛江市,广东省,0.78,20200103
崇左市,广西壮族自治区,0.67,20200103
贺州市,广西壮族自治区,0.62,20200103
云浮市,广东省,0.6,20200103
茂名市,广东省,0.59,20200103
防城港市,广西壮族自治区,0.52,20200103
珠海市,广东省,0.48,20200103
文山壮族苗族自治州,云南省,0.46,20200103
惠州市,广东省,0.37,20200103
重庆市,重庆市,0.33,20200103
清远市,广东省,0.3,20200103
衡阳市,湖南省,0.23,20200103
贵阳市,贵州省,0.22,20200103
益阳市,湖南省,0.21,20200103
黔南布依族苗族自治州,贵州省,0.21,20200103
昆明市,云南省,0.19,20200103
黔西南布依族苗族自治州,贵州省,0.18,20200103
永州市,湖南省,0.18,20200103
怀化市,湖南省,0.17,20200103
黔东南苗族侗族自治州,贵州省,0.17,20200103
长沙市,湖南省,0.16,20200103
漳州市,福建省,0.15,20200103
阳江市,广东省,0.14,20200103
北京市,北京市,0.14,20200103
铜仁市,贵州省,0.12,20200103
雅安市,四川省,0.12,20200103
澳门,澳门,0.11,20200103
上海市,上海市,0.09,20200103
荆州市,湖北省,0.09,20200103
汕尾市,广东省,0.08,20200103
毕节市,贵州省,0.08,20200103
海口市,海南省,0.08,20200103
厦门市,福建省,0.08,20200103
南宁市,广西壮族自治区,25.72,20200104
玉林市,广西壮族自治区,15.79,20200104
梧州市,广西壮族自治区,8.32,20200104
来宾市,广西壮族自治区,6.27,20200104
佛山市,广东省,5.9,20200104
柳州市,广西壮族自治区,5.23,20200104
广州市,广东省,3.86,20200104
中山市,广东省,2.77,20200104
东莞市,广东省,2.39,20200104
钦州市,广西壮族自治区,1.89,20200104
桂林市,广西壮族自治区,1.84,20200104
深圳市,广东省,1.48,20200104
百色市,广西壮族自治区,1.45,20200104
河池市,广西壮族自治区,1.36,20200104
江门市,广东省,1.06,20200104
肇庆市,广东省,1.05,20200104
崇左市,广西壮族自治区,0.98,20200104
北海市,广西壮族自治区,0.84,20200104
贺州市,广西壮族自治区,0.62,20200104
湛江市,广东省,0.61,20200104
文山壮族苗族自治州,云南省,0.59,20200104
茂名市,广东省,0.56,20200104
珠海市,广东省,0.48,20200104
防城港市,广西壮族自治区,0.46,20200104
云浮市,广东省,0.45,20200104
惠州市,广东省,0.39,20200104
重庆市,重庆市,0.34,20200104
黔东南苗族侗族自治州,贵州省,0.31,20200104
黔南布依族苗族自治州,贵州省,0.3,20200104
清远市,广东省,0.23,20200104
怀化市,湖南省,0.19,20200104
漳州市,福建省,0.18,20200104
昆明市,云南省,0.17,20200104
永州市,湖南省,0.17,20200104
海口市,海南省,0.17,20200104
阳江市,广东省,0.16,20200104
黔西南布依族苗族自治州,贵州省,0.15,20200104
遵义市,贵州省,0.15,20200104
衡阳市,湖南省,0.14,20200104
长沙市,湖南省,0.13,20200104
贵阳市,贵州省,0.11,20200104
毕节市,贵州省,0.11,20200104
澳门,澳门,0.1,20200104
铜仁市,贵州省,0.1,20200104
荆州市,湖北省,0.1,20200104
邵阳市,湖南省,0.09,20200104
揭阳市,广东省,0.09,20200104
北京市,北京市,0.09,20200104
成都市,四川省,0.09,20200104
益阳市,湖南省,0.08,20200104
南宁市,广西壮族自治区,25.87,20200105
玉林市,广西壮族自治区,15.09,20200105
梧州市,广西壮族自治区,8.41,20200105
柳州市,广西壮族自治区,6.11,20200105
来宾市,广西壮族自治区,6.0,20200105
佛山市,广东省,4.94,20200105
广州市,广东省,4.57,20200105
中山市,广东省,2.58,20200105
东莞市,广东省,2.23,20200105
深圳市,广东省,1.97,20200105
钦州市,广西壮族自治区,1.85,20200105
桂林市,广西壮族自治区,1.83,20200105
河池市,广西壮族自治区,1.52,20200105
百色市,广西壮族自治区,1.51,20200105
北海市,广西壮族自治区,1.05,20200105
江门市,广东省,0.97,20200105
肇庆市,广东省,0.87,20200105
崇左市,广西壮族自治区,0.81,20200105
湛江市,广东省,0.66,20200105
贺州市,广西壮族自治区,0.6,20200105
云浮市,广东省,0.59,20200105
防城港市,广西壮族自治区,0.56,20200105
文山壮族苗族自治州,云南省,0.55,20200105
惠州市,广东省,0.4,20200105
茂名市,广东省,0.4,20200105
重庆市,重庆市,0.39,20200105
珠海市,广东省,0.34,20200105
黔南布依族苗族自治州,贵州省,0.31,20200105
漳州市,福建省,0.23,20200105
长沙市,湖南省,0.22,20200105
