city_name,province_name,value,date
毕节市,贵州省,21.5,20200101
黔南布依族苗族自治州,贵州省,17.8,20200101
安顺市,贵州省,13.7,20200101
遵义市,贵州省,12.64,20200101
黔东南苗族侗族自治州,贵州省,4.79,20200101
铜仁市,贵州省,4.45,20200101
六盘水市,贵州省,4.44,20200101
黔西南布依族苗族自治州,贵州省,2.74,20200101
重庆市,重庆市,2.32,20200101
成都市,四川省,1.02,20200101
昆明市,云南省,0.85,20200101
广州市,广东省,0.58,20200101
深圳市,广东省,0.49,20200101
北京市,北京市,0.44,20200101
上海市,上海市,0.42,20200101
泸州市,四川省,0.39,20200101
东莞市,广东省,0.32,20200101
昭通市,云南省,0.3,20200101
郑州市,河南省,0.29,20200101
怀化市,湖南省,0.28,20200101
长沙市,湖南省,0.26,20200101
广安市,四川省,0.26,20200101
南宁市,广西壮族自治区,0.23,20200101
曲靖市,云南省,0.22,20200101
桂林市,广西壮族自治区,0.18,20200101
河池市,广西壮族自治区,0.18,20200101
邵阳市,湖南省,0.17,20200101
南充市,四川省,0.17,20200101
武汉市,湖北省,0.17,20200101
宜宾市,四川省,0.16,20200101
西安市,陕西省,0.16,20200101
佛山市,广东省,0.15,20200101
杭州市,浙江省,0.15,20200101
惠州市,广东省,0.14,20200101
三亚市,海南省,0.13,20200101
丽江市,云南省,0.13,20200101
福州市,福建省,0.12,20200101
北海市,广西壮族自治区,0.12,20200101
红河哈尼族彝族自治州,云南省,0.12,20200101
厦门市,福建省,0.12,20200101
宁波市,浙江省,0.11,20200101
内江市,四川省,0.11,20200101
温州市,浙江省,0.11,20200101
泉州市,福建省,0.1,20200101
娄底市,湖南省,0.1,20200101
荆州市,湖北省,0.1,20200101
南昌市,江西省,0.1,20200101
吉安市,江西省,0.1,20200101
南京市,江苏省,0.09,20200101
柳州市,广西壮族自治区,0.09,20200101
毕节市,贵州省,18.23,20200102
遵义市,贵州省,13.88,20200102
黔南布依族苗族自治州,贵州省,12.48,20200102
安顺市,贵州省,9.6,20200102
铜仁市,贵州省,6.09,20200102
黔东南苗族侗族自治州,贵州省,5.82,20200102
六盘水市,贵州省,5.09,20200102
黔西南布依族苗族自治州,贵州省,3.6,20200102
重庆市,重庆市,3.02,20200102
成都市,四川省,1.4,20200102
昆明市,云南省,1.08,20200102
广州市,广东省,0.78,20200102
深圳市,广东省,0.73,20200102
北京市,北京市,0.67,20200102
上海市,上海市,0.53,20200102
东莞市,广东省,0.51,20200102
长沙市,湖南省,0.41,20200102
泸州市,四川省,0.4,20200102
昭通市,云南省,0.4,20200102
曲靖市,云南省,0.31,20200102
广安市,四川省,0.3,20200102
三亚市,海南省,0.29,20200102
南宁市,广西壮族自治区,0.28,20200102
南充市,四川省,0.28,20200102
怀化市,湖南省,0.26,20200102
西安市,陕西省,0.26,20200102
红河哈尼族彝族自治州,云南省,0.24,20200102
邵阳市,湖南省,0.24,20200102
武汉市,湖北省,0.24,20200102
郑州市,河南省,0.23,20200102
桂林市,广西壮族自治区,0.22,20200102
佛山市,广东省,0.21,20200102
杭州市,浙江省,0.21,20200102
厦门市,福建省,0.2,20200102
河池市,广西壮族自治区,0.19,20200102
惠州市,广东省,0.19,20200102
丽江市,云南省,0.19,20200102
温州市,浙江省,0.18,20200102
宜宾市,四川省,0.18,20200102
宁波市,浙江省,0.18,20200102
福州市,福建省,0.17,20200102
海口市,海南省,0.16,20200102
北海市,广西壮族自治区,0.15,20200102
南昌市,江西省,0.15,20200102
吉安市,江西省,0.14,20200102
西双版纳傣族自治州,云南省,0.14,20200102
南京市,江苏省,0.14,20200102
娄底市,湖南省,0.14,20200102
苏州市,江苏省,0.13,20200102
内江市,四川省,0.13,20200102
毕节市,贵州省,17.92,20200103
遵义市,贵州省,15.1,20200103
黔南布依族苗族自治州,贵州省,14.44,20200103
安顺市,贵州省,10.68,20200103
黔东南苗族侗族自治州,贵州省,5.88,20200103
铜仁市,贵州省,5.67,20200103
六盘水市,贵州省,4.96,20200103
黔西南布依族苗族自治州,贵州省,3.48,20200103
重庆市,重庆市,3.15,20200103
成都市,四川省,1.57,20200103
昆明市,云南省,0.98,20200103
广州市,广东省,0.71,20200103
深圳市,广东省,0.63,20200103
北京市,北京市,0.56,20200103
泸州市,四川省,0.47,20200103
东莞市,广东省,0.47,20200103
长沙市,湖南省,0.42,20200103
上海市,上海市,0.42,20200103
昭通市,云南省,0.34,20200103
广安市,四川省,0.27,20200103
曲靖市,云南省,0.26,20200103
西安市,陕西省,0.25,20200103
南宁市,广西壮族自治区,0.25,20200103
桂林市,广西壮族自治区,0.24,20200103
杭州市,浙江省,0.24,20200103
三亚市,海南省,0.24,20200103
怀化市,湖南省,0.23,20200103
武汉市,湖北省,0.23,20200103
河池市,广西壮族自治区,0.21,20200103
佛山市,广东省,0.19,20200103
南充市,四川省,0.19,20200103
厦门市,福建省,0.18,20200103
邵阳市,湖南省,0.18,20200103
丽江市,云南省,0.18,20200103
吉安市,江西省,0.17,20200103
郑州市,河南省,0.17,20200103
红河哈尼族彝族自治州,云南省,0.17,20200103
海口市,海南省,0.14,20200103
温州市,浙江省,0.14,20200103
惠州市,广东省,0.13,20200103
柳州市,广西壮族自治区,0.13,20200103
宜宾市,四川省,0.12,20200103
内江市,四川省,0.12,20200103
泉州市,福建省,0.12,20200103
福州市,福建省,0.12,20200103
北海市,广西壮族自治区,0.12,20200103
宁波市,浙江省,0.11,20200103
南昌市,江西省,0.11,20200103
湘西土家族苗族自治州,湖南省,0.11,20200103
南京市,江苏省,0.11,20200103
毕节市,贵州省,19.62,20200104
黔南布依族苗族自治州,贵州省,15.42,20200104
遵义市,贵州省,14.1,20200104
安顺市,贵州省,11.43,20200104
黔东南苗族侗族自治州,贵州省,5.83,20200104
铜仁市,贵州省,5.55,20200104
六盘水市,贵州省,4.62,20200104
黔西南布依族苗族自治州,贵州省,3.26,20200104
重庆市,重庆市,2.65,20200104
成都市,四川省,1.17,20200104
昆明市,云南省,0.93,20200104
深圳市,广东省,0.66,20200104
广州市,广东省,0.63,20200104
北京市,北京市,0.52,20200104
东莞市,广东省,0.46,20200104
泸州市,四川省,0.46,20200104
上海市,上海市,0.43,20200104
昭通市,云南省,0.37,20200104
长沙市,湖南省,0.31,20200104
广安市,四川省,0.27,20200104
吉安市,江西省,0.23,20200104
怀化市,湖南省,0.23,20200104
曲靖市,云南省,0.22,20200104
桂林市,广西壮族自治区,0.21,20200104
邵阳市,湖南省,0.21,20200104
惠州市,广东省,0.2,20200104
南宁市,广西壮族自治区,0.2,20200104
厦门市,福建省,0.19,20200104
三亚市,海南省,0.19,20200104
武汉市,湖北省,0.17,20200104
西安市,陕西省,0.16,20200104
郑州市,河南省,0.15,20200104
杭州市,浙江省,0.15,20200104
河池市,广西壮族自治区,0.14,20200104
南充市,四川省,0.14,20200104
宁波市,浙江省,0.14,20200104
佛山市,广东省,0.14,20200104
宜宾市,四川省,0.14,20200104
福州市,福建省,0.13,20200104
南京市,江苏省,0.13,20200104
红河哈尼族彝族自治州,云南省,0.13,20200104
中山市,广东省,0.13,20200104
温州市,浙江省,0.12,20200104
苏州市,江苏省,0.12,20200104
达州市,四川省,0.11,20200104
内江市,四川省,0.11,20200104
泉州市,福建省,0.11,20200104
荆州市,湖北省,0.1,20200104
娄底市,湖南省,0.1,20200104
南昌市,江西省,0.1,20200104
毕节市,贵州省,19.91,20200105
黔南布依族苗族自治州,贵州省,16.33,20200105
遵义市,贵州省,13.13,20200105
安顺市,贵州省,11.45,20200105
铜仁市,贵州省,5.28,20200105
黔东南苗族侗族自治州,贵州省,5.03,20200105
六盘水市,贵州省,4.56,20200105
黔西南布依族苗族自治州,贵州省,3.16,20200105
重庆市,重庆市,2.46,20200105
成都市,四川省,1.56,20200105
昆明市,云南省,0.89,20200105
北京市,北京市,0.71,20200105
广州市,广东省,0.68,20200105
上海市,上海市,0.58,20200105
泸州市,四川省,0.51,20200105
深圳市,广东省,0.47,20200105
昭通市,云南省,0.33,20200105
长沙市,湖南省,0.33,20200105
南宁市,广西壮族自治区,0.32,20200105
东莞市,广东省,0.31,20200105
广安市,四川省,0.28,20200105
曲靖市,云南省,0.26,20200105
杭州市,浙江省,0.25,20200105
武汉市,湖北省,0.23,20200105
西安市,陕西省,0.23,20200105
怀化市,湖南省,0.22,20200105
南充市,四川省,0.18,20200105
邵阳市,湖南省,0.17,20200105
福州市,福建省,0.17,20200105
宜宾市,四川省,0.17,20200105
三亚市,海南省,0.16,20200105
河池市,广西壮族自治区,0.16,20200105
郑州市,河南省,0.15,20200105
南京市,江苏省,0.15,20200105
红河哈尼族彝族自治州,云南省,0.15,20200105
佛山市,广东省,0.15,20200105
荆州市,湖北省,0.15,20200105
厦门市,福建省,0.14,20200105
桂林市,广西壮族自治区,0.13,20200105
惠州市,广东省,0.13,20200105
丽江市,云南省,0.13,20200105
内江市,四川省,0.13,20200105
南昌市,江西省,0.13,20200105
宁波市,浙江省,0.12,20200105
温州市,浙江省,0.12,20200105
泉州市,福建省,0.12,20200105
海口市,海南省,0.11,20200105
乐山市,四川省,0.11,20200105
中山市,广东省,0.11,20200105
北海市,广西壮族自治区,0.11,20200105
毕节市,贵州省,19.25,20200106
黔南布依族苗族自治州,贵州省,16.22,20200106
遵义市,贵州省,13.03,20200106
安顺市,贵州省,11.16,20200106
铜仁市,贵州省,5.61,20200106
黔东南苗族侗族自治州,贵州省,5.23,20200106
六盘水市,贵州省,4.52,20200106
黔西南布依族苗族自治州,贵州省,3.42,20200106
重庆市,重庆市,2.71,20200106
成都市,四川省,1.32,20200106
昆明市,云南省,1.08,20200106
北京市,北京市,0.78,20200106
广州市,广东省,0.68,20200106
泸州市,四川省,0.58,20200106
深圳市,广东省,0.49,20200106
上海市,上海市,0.4,20200106
长沙市,湖南省,0.36,20200106
昭通市,云南省,0.36,20200106
广安市,四川省,0.31,20200106
东莞市,广东省,0.27,20200106
南宁市,广西壮族自治区,0.26,20200106
西安市,陕西省,0.24,20200106
曲靖市,云南省,0.23,20200106
南充市,四川省,0.23,20200106
怀化市,湖南省,0.23,20200106
邵阳市,湖南省,0.23,20200106
武汉市,湖北省,0.23,20200106
杭州市,浙江省,0.22,20200106
郑州市,河南省,0.18,20200106
三亚市,海南省,0.16,20200106
宜宾市,四川省,0.16,20200106
荆州市,湖北省,0.16,20200106
河池市,广西壮族自治区,0.15,20200106
福州市,福建省,0.15,20200106
桂林市,广西壮族自治区,0.15,20200106
