city_name,province_name,value,date
南昌市,江西省,9.78,20200101
吉安市,江西省,9.33,20200101
广州市,广东省,8.61,20200101
东莞市,广东省,5.05,20200101
深圳市,广东省,4.99,20200101
梅州市,广东省,3.5,20200101
抚州市,江西省,3.32,20200101
河源市,广东省,3.12,20200101
韶关市,广东省,2.98,20200101
龙岩市,福建省,2.75,20200101
泉州市,福建省,2.6,20200101
宜春市,江西省,2.47,20200101
佛山市,广东省,2.39,20200101
厦门市,福建省,2.28,20200101
惠州市,广东省,2.17,20200101
揭阳市,广东省,1.8,20200101
汕头市,广东省,1.72,20200101
九江市,江西省,1.71,20200101
潮州市,广东省,1.34,20200101
三明市,福建省,1.34,20200101
中山市,广东省,1.28,20200101
上海市,上海市,1.17,20200101
上饶市,江西省,0.98,20200101
新余市,江西省,0.93,20200101
郴州市,湖南省,0.93,20200101
杭州市,浙江省,0.93,20200101
金华市,浙江省,0.84,20200101
漳州市,福建省,0.8,20200101
嘉兴市,浙江省,0.7,20200101
长沙市,湖南省,0.66,20200101
福州市,福建省,0.66,20200101
萍乡市,江西省,0.61,20200101
苏州市,江苏省,0.61,20200101
温州市,浙江省,0.51,20200101
北京市,北京市,0.5,20200101
武汉市,湖北省,0.48,20200101
清远市,广东省,0.47,20200101
宁波市,浙江省,0.46,20200101
景德镇市,江西省,0.45,20200101
江门市,广东省,0.39,20200101
重庆市,重庆市,0.37,20200101
珠海市,广东省,0.33,20200101
湛江市,广东省,0.31,20200101
南京市,江苏省,0.29,20200101
鹰潭市,江西省,0.29,20200101
无锡市,江苏省,0.25,20200101
株洲市,湖南省,0.24,20200101
莆田市,福建省,0.23,20200101
绍兴市,浙江省,0.23,20200101
台州市,浙江省,0.22,20200101
南昌市,江西省,13.91,20200102
广州市,广东省,8.78,20200102
吉安市,江西省,6.49,20200102
深圳市,广东省,5.56,20200102
东莞市,广东省,5.51,20200102
九江市,江西省,3.02,20200102
泉州市,福建省,2.71,20200102
抚州市,江西省,2.61,20200102
惠州市,广东省,2.48,20200102
佛山市,广东省,2.44,20200102
宜春市,江西省,2.26,20200102
厦门市,福建省,2.0,20200102
汕头市,广东省,1.83,20200102
梅州市,广东省,1.82,20200102
韶关市,广东省,1.72,20200102
揭阳市,广东省,1.61,20200102
新余市,江西省,1.57,20200102
龙岩市,福建省,1.54,20200102
中山市,广东省,1.54,20200102
河源市,广东省,1.42,20200102
嘉兴市,浙江省,1.39,20200102
潮州市,广东省,1.26,20200102
上海市,上海市,1.23,20200102
上饶市,江西省,1.01,20200102
杭州市,浙江省,1.0,20200102
长沙市,湖南省,0.86,20200102
金华市,浙江省,0.81,20200102
三明市,福建省,0.74,20200102
武汉市,湖北省,0.7,20200102
福州市,福建省,0.7,20200102
苏州市,江苏省,0.7,20200102
漳州市,福建省,0.67,20200102
温州市,浙江省,0.65,20200102
郴州市,湖南省,0.61,20200102
北京市,北京市,0.58,20200102
萍乡市,江西省,0.55,20200102
宁波市,浙江省,0.54,20200102
景德镇市,江西省,0.49,20200102
无锡市,江苏省,0.39,20200102
郑州市,河南省,0.37,20200102
珠海市,广东省,0.36,20200102
清远市,广东省,0.33,20200102
江门市,广东省,0.33,20200102
鹰潭市,江西省,0.33,20200102
台州市,浙江省,0.27,20200102
桂林市,广西壮族自治区,0.26,20200102
重庆市,重庆市,0.26,20200102
合肥市,安徽省,0.25,20200102
莆田市,福建省,0.24,20200102
昆明市,云南省,0.24,20200102
南昌市,江西省,16.29,20200103
广州市,广东省,8.72,20200103
吉安市,江西省,6.7,20200103
深圳市,广东省,5.47,20200103
东莞市,广东省,4.94,20200103
抚州市,江西省,3.51,20200103
九江市,江西省,3.48,20200103
新余市,江西省,2.61,20200103
佛山市,广东省,2.22,20200103
泉州市,福建省,2.15,20200103
韶关市,广东省,2.0,20200103
梅州市,广东省,1.91,20200103
惠州市,广东省,1.88,20200103
河源市,广东省,1.84,20200103
宜春市,江西省,1.83,20200103
龙岩市,福建省,1.64,20200103
厦门市,福建省,1.62,20200103
中山市,广东省,1.45,20200103
揭阳市,广东省,1.37,20200103
上海市,上海市,1.33,20200103
汕头市,广东省,1.27,20200103
上饶市,江西省,1.16,20200103
潮州市,广东省,1.1,20200103
嘉兴市,浙江省,0.94,20200103
杭州市,浙江省,0.84,20200103
三明市,福建省,0.81,20200103
苏州市,江苏省,0.73,20200103
郴州市,湖南省,0.71,20200103
福州市,福建省,0.7,20200103
金华市,浙江省,0.67,20200103
温州市,浙江省,0.66,20200103
长沙市,湖南省,0.64,20200103
漳州市,福建省,0.62,20200103
宁波市,浙江省,0.61,20200103
武汉市,湖北省,0.61,20200103
北京市,北京市,0.49,20200103
景德镇市,江西省,0.49,20200103
萍乡市,江西省,0.48,20200103
江门市,广东省,0.42,20200103
清远市,广东省,0.39,20200103
鹰潭市,江西省,0.3,20200103
成都市,四川省,0.3,20200103
无锡市,江苏省,0.29,20200103
珠海市,广东省,0.27,20200103
南京市,江苏省,0.27,20200103
台州市,浙江省,0.27,20200103
莆田市,福建省,0.25,20200103
郑州市,河南省,0.24,20200103
绍兴市,浙江省,0.23,20200103
天津市,天津市,0.21,20200103
南昌市,江西省,18.08,20200104
广州市,广东省,7.9,20200104
吉安市,江西省,6.55,20200104
深圳市,广东省,4.6,20200104
东莞市,广东省,4.31,20200104
九江市,江西省,3.8,20200104
抚州市,江西省,3.64,20200104
新余市,江西省,3.58,20200104
佛山市,广东省,2.21,20200104
韶关市,广东省,2.19,20200104
泉州市,福建省,2.07,20200104
河源市,广东省,2.07,20200104
梅州市,广东省,1.97,20200104
惠州市,广东省,1.94,20200104
宜春市,江西省,1.93,20200104
龙岩市,福建省,1.86,20200104
厦门市,福建省,1.52,20200104
揭阳市,广东省,1.47,20200104
汕头市,广东省,1.38,20200104
上海市,上海市,1.24,20200104
上饶市,江西省,1.23,20200104
中山市,广东省,1.18,20200104
潮州市,广东省,1.04,20200104
三明市,福建省,0.93,20200104
杭州市,浙江省,0.85,20200104
郴州市,湖南省,0.81,20200104
嘉兴市,浙江省,0.78,20200104
福州市,福建省,0.68,20200104
长沙市,湖南省,0.63,20200104
萍乡市,江西省,0.62,20200104
武汉市,湖北省,0.62,20200104
漳州市,福建省,0.61,20200104
金华市,浙江省,0.56,20200104
温州市,浙江省,0.55,20200104
苏州市,江苏省,0.51,20200104
景德镇市,江西省,0.5,20200104
宁波市,浙江省,0.46,20200104
北京市,北京市,0.45,20200104
珠海市,广东省,0.38,20200104
清远市,广东省,0.37,20200104
鹰潭市,江西省,0.34,20200104
江门市,广东省,0.3,20200104
无锡市,江苏省,0.28,20200104
台州市,浙江省,0.26,20200104
郑州市,河南省,0.26,20200104
桂林市,广西壮族自治区,0.25,20200104
株洲市,湖南省,0.22,20200104
成都市,四川省,0.22,20200104
南京市,江苏省,0.21,20200104
天津市,天津市,0.21,20200104
南昌市,江西省,17.3,20200105
广州市,广东省,7.97,20200105
吉安市,江西省,6.55,20200105
东莞市,广东省,4.46,20200105
深圳市,广东省,4.08,20200105
九江市,江西省,3.96,20200105
抚州市,江西省,3.12,20200105
新余市,江西省,2.88,20200105
泉州市,福建省,2.37,20200105
佛山市,广东省,2.22,20200105
惠州市,广东省,2.01,20200105
韶关市,广东省,1.97,20200105
龙岩市,福建省,1.93,20200105
河源市,广东省,1.86,20200105
厦门市,福建省,1.79,20200105
梅州市,广东省,1.71,20200105
上饶市,江西省,1.64,20200105
揭阳市,广东省,1.6,20200105
宜春市,江西省,1.58,20200105
汕头市,广东省,1.46,20200105
中山市,广东省,1.39,20200105
潮州市,广东省,1.14,20200105
上海市,上海市,1.11,20200105
杭州市,浙江省,0.98,20200105
景德镇市,江西省,0.95,20200105
三明市,福建省,0.82,20200105
嘉兴市,浙江省,0.81,20200105
温州市,浙江省,0.79,20200105
福州市,福建省,0.78,20200105
长沙市,湖南省,0.7,20200105
金华市,浙江省,0.63,20200105
萍乡市,江西省,0.63,20200105
郴州市,湖南省,0.62,20200105
宁波市,浙江省,0.59,20200105
武汉市,湖北省,0.58,20200105
北京市,北京市,0.58,20200105
漳州市,福建省,0.56,20200105
苏州市,江苏省,0.51,20200105
江门市,广东省,0.4,20200105
珠海市,广东省,0.38,20200105
鹰潭市,江西省,0.36,20200105
清远市,广东省,0.33,20200105
台州市,浙江省,0.27,20200105
无锡市,江苏省,0.27,20200105
南京市,江苏省,0.26,20200105
成都市,四川省,0.26,20200105
郑州市,河南省,0.26,20200105
桂林市,广西壮族自治区,0.25,20200105
莆田市,福建省,0.25,20200105
绍兴市,浙江省,0.24,20200105
南昌市,江西省,17.55,20200106
广州市,广东省,8.59,20200106
吉安市,江西省,6.03,20200106
九江市,江西省,4.95,20200106
东莞市,广东省,4.38,20200106
深圳市,广东省,4.13,20200106
泉州市,福建省,2.63,20200106
佛山市,广东省,2.29,20200106
抚州市,江西省,2.21,20200106
梅州市,广东省,1.95,20200106
惠州市,广东省,1.94,20200106
汕头市,广东省,1.86,20200106
厦门市,福建省,1.79,20200106
揭阳市,广东省,1.78,20200106
龙岩市,福建省,1.74,20200106
上饶市,江西省,1.7,20200106
韶关市,广东省,1.66,20200106
河源市,广东省,1.62,20200106
潮州市,广东省,1.62,20200106
宜春市,江西省,1.62,20200106
中山市,广东省,1.48,20200106
景德镇市,江西省,1.28,20200106
新余市,江西省,1.21,20200106
上海市,上海市,1.2,20200106
温州市,浙江省,1.14,20200106
嘉兴市,浙江省,1.0,20200106
杭州市,浙江省,0.91,20200106
三明市,福建省,0.78,20200106
福州市,福建省,0.72,20200106
长沙市,湖南省,0.68,20200106
金华市,浙江省,0.67,20200106
北京市,北京市,0.63,20200106
郴州市,湖南省,0.61,20200106
武汉市,湖北省,0.61,20200106
苏州市,江苏省,0.58,20200106
漳州市,福建省,0.58,20200106
宁波市,浙江省,0.55,20200106
萍乡市,江西省,0.47,20200106
鹰潭市,江西省,0.42,20200106
桂林市,广西壮族自治区,0.42,20200106
江门市,广东省,0.38,20200106
成都市,四川省,0.33,20200106
珠海市,广东省,0.32,20200106
清远市,广东省,0.31,20200106
南京市,江苏省,0.3,20200106
无锡市,江苏省,0.26,20200106
郑州市,河南省,0.26,20200106
湛江市,广东省,0.26,20200106
重庆市,重庆市,0.24,20200106
台州市,浙江省,0.23,20200106
南昌市,江西省,18.96,20200107
广州市,广东省,9.49,20200107
吉安市,江西省,5.39,20200107
九江市,江西省,4.55,20200107
东莞市,广东省,4.46,20200107
深圳市,广东省,3.69,20200107
泉州市,福建省,2.55,20200107
佛山市,广东省,2.37,20200107
宜春市,江西省,2.26,20200107
抚州市,江西省,1.9,20200107
潮州市,广东省,1.88,20200107
惠州市,广东省,1.82,20200107
梅州市,广东省,1.78,20200107
揭阳市,广东省,1.71,20200107
汕头市,广东省,1.66,20200107
中山市,广东省,1.59,20200107
上饶市,江西省,1.56,20200107
龙岩市,福建省,1.53,20200107
韶关市,广东省,1.51,20200107
厦门市,福建省,1.48,20200107
河源市,广东省,1.44,20200107
新余市,江西省,1.32,20200107
上海市,上海市,1.17,20200107
景德镇市,江西省,1.09,20200107
嘉兴市,浙江省,1.03,20200107
温州市,浙江省,0.97,20200107
杭州市,浙江省,0.87,20200107
三明市,福建省,0.76,20200107
福州市,福建省,0.72,20200107
金华市,浙江省,0.68,20200107
武汉市,湖北省,0.68,20200107
北京市,北京市,0.67,20200107
郴州市,湖南省,0.62,20200107
漳州市,福建省,0.6,20200107
长沙市,湖南省,0.6,20200107
苏州市,江苏省,0.59,20200107
宁波市,浙江省,0.49,20200107
萍乡市,江西省,0.48,20200107
江门市,广东省,0.41,20200107
鹰潭市,江西省,0.41,20200107
无锡市,江苏省,0.34,20200107
南京市,江苏省,0.32,20200107
清远市,广东省,0.29,20200107
成都市,四川省,0.28,20200107
绍兴市,浙江省,0.26,20200107
台州市,浙江省,0.24,20200107
衡阳市,湖南省,0.24,20200107
昆明市,云南省,0.23,20200107
郑州市,河南省,0.23,20200107
珠海市,广东省,0.22,20200107
南昌市,江西省,17.86,20200108
广州市,广东省,9.9,20200108
吉安市,江西省,5.25,20200108
东莞市,广东省,4.55,20200108
深圳市,广东省,3.57,20200108
九江市,江西省,3.45,20200108
泉州市,福建省,2.9,20200108
佛山市,广东省,2.38,20200108
宜春市,江西省,2.24,20200108
揭阳市,广东省,2.03,20200108
中山市,广东省,1.86,20200108
潮州市,广东省,1.83,20200108
抚州市,江西省,1.83,20200108
惠州市,广东省,1.77,20200108
