city_name,province_name,value,date
吉安市,江西省,12.04,20200101
南昌市,江西省,9.03,20200101
广州市,广东省,6.65,20200101
深圳市,广东省,5.25,20200101
韶关市,广东省,4.75,20200101
东莞市,广东省,4.33,20200101
抚州市,江西省,3.91,20200101
河源市,广东省,3.51,20200101
梅州市,广东省,3.49,20200101
龙岩市,福建省,2.71,20200101
宜春市,江西省,2.59,20200101
惠州市,广东省,2.26,20200101
佛山市,广东省,2.26,20200101
泉州市,福建省,1.98,20200101
厦门市,福建省,1.95,20200101
三明市,福建省,1.5,20200101
郴州市,湖南省,1.42,20200101
九江市,江西省,1.35,20200101
揭阳市,广东省,1.2,20200101
上饶市,江西省,1.11,20200101
汕头市,广东省,1.04,20200101
中山市,广东省,0.94,20200101
新余市,江西省,0.9,20200101
上海市,上海市,0.88,20200101
杭州市,浙江省,0.77,20200101
长沙市,湖南省,0.72,20200101
漳州市,福建省,0.71,20200101
福州市,福建省,0.69,20200101
潮州市,广东省,0.59,20200101
北京市,北京市,0.57,20200101
金华市,浙江省,0.56,20200101
清远市,广东省,0.5,20200101
萍乡市,江西省,0.45,20200101
武汉市,湖北省,0.44,20200101
重庆市,重庆市,0.43,20200101
鹰潭市,江西省,0.37,20200101
衡阳市,湖南省,0.34,20200101
景德镇市,江西省,0.33,20200101
宁波市,浙江省,0.32,20200101
温州市,浙江省,0.31,20200101
珠海市,广东省,0.29,20200101
嘉兴市,浙江省,0.28,20200101
成都市,四川省,0.27,20200101
黄冈市,湖北省,0.27,20200101
苏州市,江苏省,0.26,20200101
莆田市,福建省,0.26,20200101
株洲市,湖南省,0.26,20200101
江门市,广东省,0.25,20200101
黄石市,湖北省,0.25,20200101
南平市,福建省,0.25,20200101
南昌市,江西省,11.02,20200102
吉安市,江西省,8.21,20200102
广州市,广东省,6.9,20200102
深圳市,广东省,4.94,20200102
东莞市,广东省,4.72,20200102
抚州市,江西省,3.12,20200102
梅州市,广东省,2.86,20200102
佛山市,广东省,2.61,20200102
韶关市,广东省,2.58,20200102
惠州市,广东省,2.51,20200102
宜春市,江西省,2.48,20200102
河源市,广东省,2.41,20200102
厦门市,福建省,2.19,20200102
龙岩市,福建省,2.04,20200102
泉州市,福建省,1.98,20200102
九江市,江西省,1.5,20200102
上饶市,江西省,1.32,20200102
揭阳市,广东省,1.18,20200102
汕头市,广东省,1.09,20200102
郴州市,湖南省,1.05,20200102
三明市,福建省,0.98,20200102
福州市,福建省,0.98,20200102
上海市,上海市,0.95,20200102
新余市,江西省,0.94,20200102
中山市,广东省,0.92,20200102
北京市,北京市,0.85,20200102
漳州市,福建省,0.78,20200102
长沙市,湖南省,0.77,20200102
杭州市,浙江省,0.75,20200102
武汉市,湖北省,0.61,20200102
萍乡市,江西省,0.59,20200102
潮州市,广东省,0.58,20200102
重庆市,重庆市,0.55,20200102
清远市,广东省,0.54,20200102
鹰潭市,江西省,0.52,20200102
苏州市,江苏省,0.48,20200102
桂林市,广西壮族自治区,0.46,20200102
成都市,四川省,0.43,20200102
景德镇市,江西省,0.43,20200102
江门市,广东省,0.42,20200102
温州市,浙江省,0.42,20200102
湖州市,浙江省,0.38,20200102
金华市,浙江省,0.37,20200102
衡阳市,湖南省,0.36,20200102
株洲市,湖南省,0.35,20200102
珠海市,广东省,0.35,20200102
郑州市,河南省,0.34,20200102
黄冈市,湖北省,0.34,20200102
昆明市,云南省,0.31,20200102
莆田市,福建省,0.28,20200102
南昌市,江西省,12.85,20200103
吉安市,江西省,10.27,20200103
广州市,广东省,6.17,20200103
深圳市,广东省,4.39,20200103
东莞市,广东省,3.71,20200103
抚州市,江西省,3.24,20200103
韶关市,广东省,3.13,20200103
宜春市,江西省,2.72,20200103
梅州市,广东省,2.67,20200103
河源市,广东省,2.5,20200103
龙岩市,福建省,2.4,20200103
惠州市,广东省,2.23,20200103
佛山市,广东省,1.96,20200103
厦门市,福建省,1.95,20200103
泉州市,福建省,1.76,20200103
九江市,江西省,1.56,20200103
上饶市,江西省,1.28,20200103
三明市,福建省,1.22,20200103
长沙市,湖南省,1.04,20200103
上海市,上海市,1.04,20200103
揭阳市,广东省,1.03,20200103
郴州市,湖南省,0.97,20200103
中山市,广东省,0.96,20200103
汕头市,广东省,0.92,20200103
新余市,江西省,0.88,20200103
福州市,福建省,0.81,20200103
杭州市,浙江省,0.8,20200103
北京市,北京市,0.76,20200103
武汉市,湖北省,0.67,20200103
漳州市,福建省,0.65,20200103
桂林市,广西壮族自治区,0.59,20200103
鹰潭市,江西省,0.57,20200103
宁波市,浙江省,0.55,20200103
重庆市,重庆市,0.55,20200103
清远市,广东省,0.53,20200103
金华市,浙江省,0.51,20200103
萍乡市,江西省,0.49,20200103
潮州市,广东省,0.48,20200103
景德镇市,江西省,0.43,20200103
成都市,四川省,0.42,20200103
珠海市,广东省,0.41,20200103
江门市,广东省,0.39,20200103
苏州市,江苏省,0.37,20200103
无锡市,江苏省,0.34,20200103
温州市,浙江省,0.33,20200103
黄冈市,湖北省,0.33,20200103
南宁市,广西壮族自治区,0.33,20200103
郑州市,河南省,0.29,20200103
衡阳市,湖南省,0.29,20200103
株洲市,湖南省,0.29,20200103
吉安市,江西省,11.5,20200104
南昌市,江西省,11.22,20200104
广州市,广东省,5.91,20200104
深圳市,广东省,4.36,20200104
韶关市,广东省,4.04,20200104
抚州市,江西省,3.8,20200104
东莞市,广东省,3.46,20200104
河源市,广东省,3.28,20200104
梅州市,广东省,2.92,20200104
宜春市,江西省,2.88,20200104
龙岩市,福建省,2.82,20200104
厦门市,福建省,1.93,20200104
佛山市,广东省,1.79,20200104
上饶市,江西省,1.75,20200104
惠州市,广东省,1.68,20200104
九江市,江西省,1.62,20200104
泉州市,福建省,1.51,20200104
郴州市,湖南省,1.32,20200104
三明市,福建省,1.18,20200104
上海市,上海市,1.12,20200104
揭阳市,广东省,0.96,20200104
长沙市,湖南省,0.85,20200104
