city_name,province_name,value,date
朝阳市,辽宁省,16.67,20200101
通辽市,内蒙古自治区,13.67,20200101
北京市,北京市,9.58,20200101
锡林郭勒盟,内蒙古自治区,8.62,20200101
呼和浩特市,内蒙古自治区,7.26,20200101
承德市,河北省,5.54,20200101
沈阳市,辽宁省,3.79,20200101
天津市,天津市,3.18,20200101
唐山市,河北省,2.13,20200101
包头市,内蒙古自治区,1.86,20200101
廊坊市,河北省,1.8,20200101
兴安盟,内蒙古自治区,1.45,20200101
大连市,辽宁省,1.41,20200101
锦州市,辽宁省,1.39,20200101
呼伦贝尔市,内蒙古自治区,1.24,20200101
乌兰察布市,内蒙古自治区,1.02,20200101
鄂尔多斯市,内蒙古自治区,0.93,20200101
长春市,吉林省,0.82,20200101
保定市,河北省,0.8,20200101
哈尔滨市,黑龙江省,0.74,20200101
盘锦市,辽宁省,0.73,20200101
葫芦岛市,辽宁省,0.72,20200101
秦皇岛市,河北省,0.58,20200101
阜新市,辽宁省,0.58,20200101
营口市,辽宁省,0.57,20200101
沧州市,河北省,0.54,20200101
青岛市,山东省,0.51,20200101
石家庄市,河北省,0.46,20200101
鞍山市,辽宁省,0.42,20200101
上海市,上海市,0.4,20200101
张家口市,河北省,0.37,20200101
济南市,山东省,0.37,20200101
巴彦淖尔市,内蒙古自治区,0.29,20200101
白城市,吉林省,0.29,20200101
太原市,山西省,0.26,20200101
松原市,吉林省,0.24,20200101
潍坊市,山东省,0.22,20200101
朔州市,山西省,0.21,20200101
南京市,江苏省,0.21,20200101
乌海市,内蒙古自治区,0.18,20200101
大庆市,黑龙江省,0.18,20200101
郑州市,河南省,0.18,20200101
铁岭市,辽宁省,0.18,20200101
烟台市,山东省,0.18,20200101
齐齐哈尔市,黑龙江省,0.17,20200101
淄博市,山东省,0.17,20200101
衡水市,河北省,0.16,20200101
四平市,吉林省,0.16,20200101
成都市,四川省,0.15,20200101
辽阳市,辽宁省,0.14,20200101
呼和浩特市,内蒙古自治区,11.32,20200102
北京市,北京市,10.9,20200102
通辽市,内蒙古自治区,8.99,20200102
朝阳市,辽宁省,8.51,20200102
锡林郭勒盟,内蒙古自治区,8.5,20200102
沈阳市,辽宁省,5.04,20200102
天津市,天津市,3.73,20200102
承德市,河北省,3.36,20200102
唐山市,河北省,2.32,20200102
包头市,内蒙古自治区,2.3,20200102
大连市,辽宁省,2.09,20200102
廊坊市,河北省,1.98,20200102
兴安盟,内蒙古自治区,1.5,20200102
呼伦贝尔市,内蒙古自治区,1.42,20200102
长春市,吉林省,1.31,20200102
鄂尔多斯市,内蒙古自治区,1.25,20200102
锦州市,辽宁省,1.23,20200102
保定市,河北省,1.12,20200102
乌兰察布市,内蒙古自治区,1.1,20200102
哈尔滨市,黑龙江省,1.02,20200102
盘锦市,辽宁省,0.85,20200102
石家庄市,河北省,0.81,20200102
秦皇岛市,河北省,0.8,20200102
沧州市,河北省,0.77,20200102
阜新市,辽宁省,0.68,20200102
鞍山市,辽宁省,0.68,20200102
葫芦岛市,辽宁省,0.66,20200102
营口市,辽宁省,0.53,20200102
青岛市,山东省,0.53,20200102
上海市,上海市,0.5,20200102
张家口市,河北省,0.42,20200102
济南市,山东省,0.37,20200102
郑州市,河南省,0.34,20200102
苏州市,江苏省,0.34,20200102
铁岭市,辽宁省,0.34,20200102
广州市,广东省,0.32,20200102
西安市,陕西省,0.32,20200102
齐齐哈尔市,黑龙江省,0.28,20200102
太原市,山西省,0.28,20200102
松原市,吉林省,0.28,20200102
潍坊市,山东省,0.25,20200102
白城市,吉林省,0.25,20200102
武汉市,湖北省,0.24,20200102
大同市,山西省,0.24,20200102
抚顺市,辽宁省,0.23,20200102
邢台市,河北省,0.22,20200102
烟台市,山东省,0.22,20200102
德州市,山东省,0.21,20200102
四平市,吉林省,0.21,20200102
吉林市,吉林省,0.2,20200102
通辽市,内蒙古自治区,11.55,20200103
呼和浩特市,内蒙古自治区,11.42,20200103
北京市,北京市,11.27,20200103
朝阳市,辽宁省,10.33,20200103
锡林郭勒盟,内蒙古自治区,8.02,20200103
承德市,河北省,4.86,20200103
沈阳市,辽宁省,4.32,20200103
天津市,天津市,3.79,20200103
唐山市,河北省,2.18,20200103
包头市,内蒙古自治区,2.15,20200103
大连市,辽宁省,1.94,20200103
廊坊市,河北省,1.59,20200103
鄂尔多斯市,内蒙古自治区,1.4,20200103
兴安盟,内蒙古自治区,1.29,20200103
长春市,吉林省,1.18,20200103
保定市,河北省,1.16,20200103
锦州市,辽宁省,1.09,20200103
呼伦贝尔市,内蒙古自治区,1.09,20200103
乌兰察布市,内蒙古自治区,0.92,20200103
哈尔滨市,黑龙江省,0.92,20200103
葫芦岛市,辽宁省,0.77,20200103
沧州市,河北省,0.77,20200103
盘锦市,辽宁省,0.72,20200103
石家庄市,河北省,0.66,20200103
阜新市,辽宁省,0.62,20200103
营口市,辽宁省,0.57,20200103
秦皇岛市,河北省,0.52,20200103
青岛市,山东省,0.5,20200103
鞍山市,辽宁省,0.44,20200103
济南市,山东省,0.36,20200103
巴彦淖尔市,内蒙古自治区,0.35,20200103
张家口市,河北省,0.3,20200103
齐齐哈尔市,黑龙江省,0.29,20200103
上海市,上海市,0.28,20200103
抚顺市,辽宁省,0.28,20200103
郑州市,河南省,0.27,20200103
铁岭市,辽宁省,0.25,20200103
广州市,广东省,0.25,20200103
四平市,吉林省,0.23,20200103
白城市,吉林省,0.23,20200103
太原市,山西省,0.22,20200103
松原市,吉林省,0.21,20200103
丹东市,辽宁省,0.18,20200103
吉林市,吉林省,0.18,20200103
大同市,山西省,0.17,20200103
南昌市,江西省,0.17,20200103
