city_name,province_name,value,date
长春市,吉林省,25.58,20200101
通化市,吉林省,23.13,20200101
四平市,吉林省,12.66,20200101
铁岭市,辽宁省,5.67,20200101
抚顺市,辽宁省,4.83,20200101
沈阳市,辽宁省,4.28,20200101
吉林市,吉林省,3.99,20200101
北京市,北京市,1.74,20200101
天津市,天津市,1.45,20200101
大连市,辽宁省,1.34,20200101
哈尔滨市,黑龙江省,0.83,20200101
延边朝鲜族自治州,吉林省,0.83,20200101
白山市,吉林省,0.81,20200101
松原市,吉林省,0.79,20200101
通辽市,内蒙古自治区,0.68,20200101
青岛市,山东省,0.68,20200101
唐山市,河北省,0.61,20200101
鞍山市,辽宁省,0.55,20200101
营口市,辽宁省,0.46,20200101
辽阳市,辽宁省,0.3,20200101
廊坊市,河北省,0.3,20200101
白城市,吉林省,0.28,20200101
沧州市,河北省,0.28,20200101
丹东市,辽宁省,0.28,20200101
盘锦市,辽宁省,0.26,20200101
石家庄市,河北省,0.24,20200101
葫芦岛市,辽宁省,0.24,20200101
郑州市,河南省,0.22,20200101
锦州市,辽宁省,0.19,20200101
牡丹江市,黑龙江省,0.19,20200101
上海市,上海市,0.15,20200101
临沂市,山东省,0.15,20200101
潍坊市,山东省,0.15,20200101
苏州市,江苏省,0.15,20200101
济南市,山东省,0.15,20200101
秦皇岛市,河北省,0.15,20200101
阜新市,辽宁省,0.13,20200101
淄博市,山东省,0.13,20200101
南昌市,江西省,0.13,20200101
邯郸市,河北省,0.13,20200101
金华市,浙江省,0.13,20200101
保定市,河北省,0.13,20200101
南京市,江苏省,0.13,20200101
绍兴市,浙江省,0.11,20200101
朝阳市,辽宁省,0.11,20200101
烟台市,山东省,0.11,20200101
赤峰市,内蒙古自治区,0.11,20200101
三亚市,海南省,0.11,20200101
徐州市,江苏省,0.11,20200101
台州市,浙江省,0.11,20200101
长春市,吉林省,26.67,20200102
通化市,吉林省,15.29,20200102
四平市,吉林省,10.05,20200102
沈阳市,辽宁省,4.88,20200102
铁岭市,辽宁省,4.48,20200102
吉林市,吉林省,3.99,20200102
抚顺市,辽宁省,3.06,20200102
北京市,北京市,2.96,20200102
大连市,辽宁省,2.59,20200102
天津市,天津市,2.57,20200102
松原市,吉林省,1.14,20200102
哈尔滨市,黑龙江省,1.09,20200102
白山市,吉林省,1.07,20200102
鞍山市,辽宁省,1.0,20200102
青岛市,山东省,0.98,20200102
唐山市,河北省,0.98,20200102
延边朝鲜族自治州,吉林省,0.91,20200102
通辽市,内蒙古自治区,0.91,20200102
上海市,上海市,0.65,20200102
营口市,辽宁省,0.65,20200102
廊坊市,河北省,0.63,20200102
深圳市,广东省,0.58,20200102
济南市,山东省,0.46,20200102
白城市,吉林省,0.44,20200102
锦州市,辽宁省,0.44,20200102
烟台市,山东省,0.37,20200102
沧州市,河北省,0.35,20200102
辽阳市,辽宁省,0.32,20200102
广州市,广东省,0.3,20200102
石家庄市,河北省,0.3,20200102
潍坊市,山东省,0.3,20200102
盘锦市,辽宁省,0.28,20200102
丹东市,辽宁省,0.25,20200102
德州市,山东省,0.23,20200102
秦皇岛市,河北省,0.23,20200102
重庆市,重庆市,0.21,20200102
兴安盟,内蒙古自治区,0.21,20200102
三亚市,海南省,0.21,20200102
杭州市,浙江省,0.18,20200102
济宁市,山东省,0.18,20200102
佳木斯市,黑龙江省,0.18,20200102
葫芦岛市,辽宁省,0.18,20200102
苏州市,江苏省,0.16,20200102
海口市,海南省,0.16,20200102
临沂市,山东省,0.16,20200102
保定市,河北省,0.16,20200102
成都市,四川省,0.16,20200102
威海市,山东省,0.14,20200102
阜新市,辽宁省,0.14,20200102
衡水市,河北省,0.14,20200102
长春市,吉林省,29.86,20200103
通化市,吉林省,17.83,20200103
四平市,吉林省,11.31,20200103
沈阳市,辽宁省,4.64,20200103
吉林市,吉林省,4.55,20200103
铁岭市,辽宁省,4.4,20200103
抚顺市,辽宁省,3.95,20200103
北京市,北京市,2.64,20200103
大连市,辽宁省,1.8,20200103
天津市,天津市,1.16,20200103
白山市,吉林省,1.13,20200103
通辽市,内蒙古自治区,0.85,20200103
哈尔滨市,黑龙江省,0.83,20200103
延边朝鲜族自治州,吉林省,0.83,20200103
白城市,吉林省,0.67,20200103
松原市,吉林省,0.67,20200103
鞍山市,辽宁省,0.59,20200103
营口市,辽宁省,0.52,20200103
唐山市,河北省,0.5,20200103
青岛市,山东省,0.47,20200103
上海市,上海市,0.38,20200103
廊坊市,河北省,0.35,20200103
锦州市,辽宁省,0.35,20200103
保定市,河北省,0.34,20200103
盘锦市,辽宁省,0.31,20200103
辽阳市,辽宁省,0.31,20200103
葫芦岛市,辽宁省,0.23,20200103
烟台市,山东省,0.23,20200103
深圳市,广东省,0.22,20200103
济南市,山东省,0.2,20200103
丹东市,辽宁省,0.2,20200103
郑州市,河南省,0.2,20200103
