city_name,province_name,value,date
长春市,吉林省,27.55,20200101
通化市,吉林省,22.21,20200101
四平市,吉林省,13.03,20200101
铁岭市,辽宁省,7.08,20200101
抚顺市,辽宁省,5.49,20200101
沈阳市,辽宁省,4.41,20200101
吉林市,吉林省,3.61,20200101
北京市,北京市,1.43,20200101
通辽市,内蒙古自治区,0.99,20200101
大连市,辽宁省,0.97,20200101
哈尔滨市,黑龙江省,0.92,20200101
白山市,吉林省,0.92,20200101
延边朝鲜族自治州,吉林省,0.86,20200101
营口市,辽宁省,0.77,20200101
天津市,天津市,0.7,20200101
松原市,吉林省,0.7,20200101
鞍山市,辽宁省,0.55,20200101
上海市,上海市,0.52,20200101
辽阳市,辽宁省,0.5,20200101
锦州市,辽宁省,0.39,20200101
唐山市,河北省,0.37,20200101
白城市,吉林省,0.35,20200101
丹东市,辽宁省,0.28,20200101
齐齐哈尔市,黑龙江省,0.22,20200101
葫芦岛市,辽宁省,0.22,20200101
深圳市,广东省,0.17,20200101
廊坊市,河北省,0.17,20200101
三亚市,海南省,0.17,20200101
成都市,四川省,0.15,20200101
临沂市,山东省,0.13,20200101
盘锦市,辽宁省,0.13,20200101
秦皇岛市,河北省,0.13,20200101
青岛市,山东省,0.13,20200101
绥化市,黑龙江省,0.13,20200101
潍坊市,山东省,0.11,20200101
南京市,江苏省,0.11,20200101
本溪市,辽宁省,0.11,20200101
邢台市,河北省,0.11,20200101
朝阳市,辽宁省,0.11,20200101
大庆市,黑龙江省,0.08,20200101
锡林郭勒盟,内蒙古自治区,0.08,20200101
沧州市,河北省,0.08,20200101
石家庄市,河北省,0.08,20200101
安阳市,河南省,0.08,20200101
济南市,山东省,0.08,20200101
兴安盟,内蒙古自治区,0.08,20200101
阜新市,辽宁省,0.06,20200101
滨州市,山东省,0.06,20200101
德州市,山东省,0.06,20200101
牡丹江市,黑龙江省,0.06,20200101
长春市,吉林省,30.51,20200102
通化市,吉林省,15.54,20200102
四平市,吉林省,9.91,20200102
沈阳市,辽宁省,5.47,20200102
吉林市,吉林省,4.53,20200102
铁岭市,辽宁省,4.46,20200102
抚顺市,辽宁省,3.02,20200102
大连市,辽宁省,1.99,20200102
哈尔滨市,黑龙江省,1.63,20200102
北京市,北京市,1.57,20200102
天津市,天津市,1.34,20200102
白山市,吉林省,1.12,20200102
松原市,吉林省,1.12,20200102
上海市,上海市,1.05,20200102
营口市,辽宁省,1.03,20200102
唐山市,河北省,1.0,20200102
鞍山市,辽宁省,0.96,20200102
通辽市,内蒙古自治区,0.91,20200102
延边朝鲜族自治州,吉林省,0.74,20200102
丹东市,辽宁省,0.47,20200102
葫芦岛市,辽宁省,0.44,20200102
廊坊市,河北省,0.44,20200102
白城市,吉林省,0.42,20200102
辽阳市,辽宁省,0.38,20200102
赤峰市,内蒙古自治区,0.29,20200102
潍坊市,山东省,0.29,20200102
石家庄市,河北省,0.26,20200102
大庆市,黑龙江省,0.26,20200102
三亚市,海南省,0.24,20200102
青岛市,山东省,0.24,20200102
深圳市,广东省,0.22,20200102
秦皇岛市,河北省,0.2,20200102
保定市,河北省,0.2,20200102
本溪市,辽宁省,0.2,20200102
滨州市,山东省,0.2,20200102
阳泉市,山西省,0.2,20200102
朝阳市,辽宁省,0.17,20200102
金华市,浙江省,0.17,20200102
杭州市,浙江省,0.17,20200102
济南市,山东省,0.17,20200102
沧州市,河北省,0.17,20200102
齐齐哈尔市,黑龙江省,0.15,20200102
济宁市,山东省,0.15,20200102
海口市,海南省,0.15,20200102
锦州市,辽宁省,0.13,20200102
鸡西市,黑龙江省,0.13,20200102
广州市,广东省,0.13,20200102
绥化市,黑龙江省,0.13,20200102
滁州市,安徽省,0.11,20200102
南京市,江苏省,0.11,20200102
长春市,吉林省,25.9,20200103
通化市,吉林省,18.95,20200103
四平市,吉林省,11.19,20200103
铁岭市,辽宁省,5.26,20200103
沈阳市,辽宁省,5.08,20200103
抚顺市,辽宁省,4.73,20200103
上海市,上海市,4.49,20200103
吉林市,吉林省,4.2,20200103
大连市,辽宁省,1.57,20200103
白山市,吉林省,1.45,20200103
北京市,北京市,1.41,20200103
哈尔滨市,黑龙江省,1.14,20200103
天津市,天津市,0.92,20200103
唐山市,河北省,0.79,20200103
松原市,吉林省,0.76,20200103
营口市,辽宁省,0.7,20200103
通辽市,内蒙古自治区,0.67,20200103
辽阳市,辽宁省,0.6,20200103
延边朝鲜族自治州,吉林省,0.57,20200103
白城市,吉林省,0.48,20200103
鞍山市,辽宁省,0.45,20200103
大庆市,黑龙江省,0.39,20200103
丹东市,辽宁省,0.3,20200103
秦皇岛市,河北省,0.3,20200103
葫芦岛市,辽宁省,0.3,20200103
盘锦市,辽宁省,0.29,20200103
廊坊市,河北省,0.24,20200103
石家庄市,河北省,0.23,20200103
三亚市,海南省,0.2,20200103
泰安市,山东省,0.19,20200103
济南市,山东省,0.19,20200103
锦州市,辽宁省,0.19,20200103
深圳市,广东省,0.19,20200103
呼伦贝尔市,内蒙古自治区,0.17,20200103
朝阳市,辽宁省,0.16,20200103
沧州市,河北省,0.16,20200103
青岛市,山东省,0.16,20200103
西安市,陕西省,0.14,20200103
本溪市,辽宁省,0.13,20200103
赤峰市,内蒙古自治区,0.13,20200103
南京市,江苏省,0.11,20200103
鸡西市,黑龙江省,0.11,20200103
牡丹江市,黑龙江省,0.11,20200103
保定市,河北省,0.1,20200103
厦门市,福建省,0.1,20200103
苏州市,江苏省,0.1,20200103
烟台市,山东省,0.1,20200103
阜新市,辽宁省,0.1,20200103
绍兴市,浙江省,0.08,20200103
聊城市,山东省,0.08,20200103
长春市,吉林省,25.42,20200104
通化市,吉林省,21.2,20200104
四平市,吉林省,13.49,20200104
铁岭市,辽宁省,5.92,20200104
抚顺市,辽宁省,4.85,20200104
沈阳市,辽宁省,4.7,20200104
吉林市,吉林省,4.51,20200104
白山市,吉林省,1.55,20200104
北京市,北京市,1.42,20200104
大连市,辽宁省,1.28,20200104
松原市,吉林省,1.05,20200104
辽阳市,辽宁省,0.96,20200104
上海市,上海市,0.91,20200104
哈尔滨市,黑龙江省,0.82,20200104
泰安市,山东省,0.71,20200104
通辽市,内蒙古自治区,0.69,20200104
唐山市,河北省,0.68,20200104
天津市,天津市,0.56,20200104
鞍山市,辽宁省,0.56,20200104
延边朝鲜族自治州,吉林省,0.49,20200104
营口市,辽宁省,0.48,20200104
盘锦市,辽宁省,0.41,20200104
葫芦岛市,辽宁省,0.28,20200104
白城市,吉林省,0.28,20200104
秦皇岛市,河北省,0.27,20200104
丹东市,辽宁省,0.22,20200104
西安市,陕西省,0.22,20200104
锦州市,辽宁省,0.22,20200104
济南市,山东省,0.18,20200104
赤峰市,内蒙古自治区,0.15,20200104
石家庄市,河北省,0.15,20200104
兴安盟,内蒙古自治区,0.14,20200104
齐齐哈尔市,黑龙江省,0.14,20200104
昆明市,云南省,0.13,20200104
临沂市,山东省,0.13,20200104
沧州市,河北省,0.13,20200104
潍坊市,山东省,0.11,20200104
南京市,江苏省,0.11,20200104
廊坊市,河北省,0.11,20200104
烟台市,山东省,0.11,20200104
广州市,广东省,0.11,20200104
本溪市,辽宁省,0.1,20200104
滨州市,山东省,0.1,20200104
朝阳市,辽宁省,0.1,20200104
呼伦贝尔市,内蒙古自治区,0.1,20200104
深圳市,广东省,0.09,20200104
阜新市,辽宁省,0.09,20200104
长沙市,湖南省,0.09,20200104
邯郸市,河北省,0.07,20200104
牡丹江市,黑龙江省,0.07,20200104
长春市,吉林省,29.05,20200105
