city_name,province_name,value,date
临沂市,山东省,12.41,20200101
盐城市,江苏省,10.29,20200101
宿迁市,江苏省,9.65,20200101
淮安市,江苏省,8.27,20200101
徐州市,江苏省,7.51,20200101
南京市,江苏省,6.64,20200101
日照市,山东省,5.77,20200101
苏州市,江苏省,5.28,20200101
上海市,上海市,3.21,20200101
青岛市,山东省,2.45,20200101
无锡市,江苏省,2.33,20200101
南通市,江苏省,2.03,20200101
常州市,江苏省,2.01,20200101
扬州市,江苏省,1.8,20200101
泰州市,江苏省,1.17,20200101
潍坊市,山东省,0.97,20200101
北京市,北京市,0.94,20200101
镇江市,江苏省,0.79,20200101
杭州市,浙江省,0.7,20200101
宁波市,浙江省,0.61,20200101
烟台市,山东省,0.48,20200101
宿州市,安徽省,0.47,20200101
济宁市,山东省,0.44,20200101
济南市,山东省,0.41,20200101
天津市,天津市,0.4,20200101
枣庄市,山东省,0.39,20200101
郑州市,河南省,0.38,20200101
合肥市,安徽省,0.35,20200101
广州市,广东省,0.35,20200101
菏泽市,山东省,0.29,20200101
嘉兴市,浙江省,0.28,20200101
淄博市,山东省,0.26,20200101
武汉市,湖北省,0.25,20200101
温州市,浙江省,0.25,20200101
滁州市,安徽省,0.24,20200101
商丘市,河南省,0.23,20200101
西安市,陕西省,0.21,20200101
阜阳市,安徽省,0.19,20200101
威海市,山东省,0.19,20200101
泰安市,山东省,0.18,20200101
重庆市,重庆市,0.18,20200101
长沙市,湖南省,0.17,20200101
石家庄市,河北省,0.16,20200101
开封市,河南省,0.16,20200101
沧州市,河北省,0.15,20200101
蚌埠市,安徽省,0.15,20200101
淮北市,安徽省,0.15,20200101
厦门市,福建省,0.15,20200101
成都市,四川省,0.15,20200101
洛阳市,河南省,0.14,20200101
盐城市,江苏省,7.92,20200102
南京市,江苏省,7.87,20200102
临沂市,山东省,7.33,20200102
宿迁市,江苏省,6.11,20200102
苏州市,江苏省,5.91,20200102
徐州市,江苏省,5.9,20200102
淮安市,江苏省,5.39,20200102
上海市,上海市,4.04,20200102
青岛市,山东省,3.48,20200102
日照市,山东省,3.24,20200102
无锡市,江苏省,3.2,20200102
南通市,江苏省,2.9,20200102
常州市,江苏省,2.47,20200102
扬州市,江苏省,2.46,20200102
泰州市,江苏省,1.57,20200102
北京市,北京市,1.39,20200102
杭州市,浙江省,1.15,20200102
镇江市,江苏省,1.11,20200102
潍坊市,山东省,1.07,20200102
宁波市,浙江省,0.92,20200102
烟台市,山东省,0.58,20200102
宿州市,安徽省,0.57,20200102
郑州市,河南省,0.55,20200102
合肥市,安徽省,0.52,20200102
天津市,天津市,0.5,20200102
济南市,山东省,0.46,20200102
西安市,陕西省,0.45,20200102
济宁市,山东省,0.45,20200102
菏泽市,山东省,0.42,20200102
重庆市,重庆市,0.41,20200102
武汉市,湖北省,0.39,20200102
枣庄市,山东省,0.37,20200102
嘉兴市,浙江省,0.37,20200102
淄博市,山东省,0.34,20200102
石家庄市,河北省,0.33,20200102
