city_name,province_name,value,date
长春市,吉林省,20.43,20200101
辽源市,吉林省,15.15,20200101
白山市,吉林省,14.32,20200101
吉林市,吉林省,7.9,20200101
沈阳市,辽宁省,6.05,20200101
抚顺市,辽宁省,3.46,20200101
天津市,天津市,2.87,20200101
北京市,北京市,2.78,20200101
四平市,吉林省,2.34,20200101
大连市,辽宁省,1.73,20200101
丹东市,辽宁省,1.7,20200101
本溪市,辽宁省,1.65,20200101
青岛市,山东省,1.39,20200101
延边朝鲜族自治州,吉林省,1.08,20200101
哈尔滨市,黑龙江省,1.0,20200101
松原市,吉林省,0.66,20200101
通辽市,内蒙古自治区,0.58,20200101
铁岭市,辽宁省,0.55,20200101
鞍山市,辽宁省,0.51,20200101
锦州市,辽宁省,0.46,20200101
白城市,吉林省,0.46,20200101
唐山市,河北省,0.45,20200101
上海市,上海市,0.42,20200101
杭州市,浙江省,0.37,20200101
潍坊市,山东省,0.36,20200101
沧州市,河北省,0.34,20200101
廊坊市,河北省,0.31,20200101
苏州市,江苏省,0.31,20200101
威海市,山东省,0.27,20200101
盘锦市,辽宁省,0.27,20200101
广州市,广东省,0.27,20200101
赤峰市,内蒙古自治区,0.25,20200101
秦皇岛市,河北省,0.25,20200101
营口市,辽宁省,0.25,20200101
深圳市,广东省,0.24,20200101
临沂市,山东省,0.24,20200101
朝阳市,辽宁省,0.22,20200101
烟台市,山东省,0.22,20200101
辽阳市,辽宁省,0.21,20200101
重庆市,重庆市,0.21,20200101
牡丹江市,黑龙江省,0.19,20200101
太原市,山西省,0.19,20200101
西安市,陕西省,0.19,20200101
济南市,山东省,0.18,20200101
郑州市,河南省,0.16,20200101
成都市,四川省,0.16,20200101
保定市,河北省,0.16,20200101
南京市,江苏省,0.16,20200101
齐齐哈尔市,黑龙江省,0.16,20200101
阜新市,辽宁省,0.15,20200101
长春市,吉林省,24.95,20200102
白山市,吉林省,10.43,20200102
辽源市,吉林省,8.92,20200102
吉林市,吉林省,7.63,20200102
沈阳市,辽宁省,6.31,20200102
天津市,天津市,2.91,20200102
大连市,辽宁省,2.8,20200102
北京市,北京市,2.74,20200102
四平市,吉林省,2.61,20200102
抚顺市,辽宁省,2.26,20200102
青岛市,山东省,1.88,20200102
延边朝鲜族自治州,吉林省,1.52,20200102
丹东市,辽宁省,1.5,20200102
本溪市,辽宁省,1.46,20200102
哈尔滨市,黑龙江省,1.17,20200102
上海市,上海市,0.87,20200102
松原市,吉林省,0.79,20200102
鞍山市,辽宁省,0.77,20200102
唐山市,河北省,0.65,20200102
潍坊市,山东省,0.59,20200102
廊坊市,河北省,0.59,20200102
白城市,吉林省,0.57,20200102
铁岭市,辽宁省,0.57,20200102
营口市,辽宁省,0.56,20200102
沧州市,河北省,0.47,20200102
锦州市,辽宁省,0.42,20200102
烟台市,山东省,0.38,20200102
深圳市,广东省,0.38,20200102
辽阳市,辽宁省,0.34,20200102
广州市,广东省,0.33,20200102
临沂市,山东省,0.33,20200102
盘锦市,辽宁省,0.32,20200102
济南市,山东省,0.32,20200102
威海市,山东省,0.32,20200102
石家庄市,河北省,0.29,20200102
通辽市,内蒙古自治区,0.29,20200102
秦皇岛市,河北省,0.29,20200102
郑州市,河南省,0.28,20200102
苏州市,江苏省,0.27,20200102
杭州市,浙江省,0.27,20200102
齐齐哈尔市,黑龙江省,0.25,20200102
西安市,陕西省,0.23,20200102
牡丹江市,黑龙江省,0.23,20200102
成都市,四川省,0.21,20200102
大庆市,黑龙江省,0.2,20200102
厦门市,福建省,0.2,20200102
朝阳市,辽宁省,0.19,20200102
南京市,江苏省,0.18,20200102
武汉市,湖北省,0.18,20200102
呼伦贝尔市,内蒙古自治区,0.18,20200102
长春市,吉林省,23.34,20200103
辽源市,吉林省,11.97,20200103
白山市,吉林省,11.37,20200103
吉林市,吉林省,7.61,20200103
沈阳市,辽宁省,6.82,20200103
抚顺市,辽宁省,2.89,20200103
大连市,辽宁省,2.68,20200103
四平市,吉林省,2.6,20200103
天津市,天津市,2.6,20200103
北京市,北京市,2.3,20200103
丹东市,辽宁省,2.17,20200103
青岛市,山东省,1.56,20200103
延边朝鲜族自治州,吉林省,1.31,20200103
本溪市,辽宁省,1.16,20200103
哈尔滨市,黑龙江省,1.08,20200103
铁岭市,辽宁省,0.72,20200103
白城市,吉林省,0.72,20200103
营口市,辽宁省,0.72,20200103
松原市,吉林省,0.69,20200103
上海市,上海市,0.67,20200103
廊坊市,河北省,0.6,20200103
鞍山市,辽宁省,0.56,20200103
威海市,山东省,0.51,20200103
唐山市,河北省,0.46,20200103
辽阳市,辽宁省,0.41,20200103
秦皇岛市,河北省,0.4,20200103
临沂市,山东省,0.35,20200103
葫芦岛市,辽宁省,0.33,20200103
通辽市,内蒙古自治区,0.31,20200103
烟台市,山东省,0.3,20200103
盘锦市,辽宁省,0.29,20200103
齐齐哈尔市,黑龙江省,0.29,20200103
深圳市,广东省,0.29,20200103
石家庄市,河北省,0.28,20200103
沧州市,河北省,0.25,20200103
保定市,河北省,0.25,20200103
潍坊市,山东省,0.25,20200103
济南市,山东省,0.24,20200103
广州市,广东省,0.23,20200103
太原市,山西省,0.23,20200103
锦州市,辽宁省,0.22,20200103
郑州市,河南省,0.22,20200103
呼和浩特市,内蒙古自治区,0.21,20200103
苏州市,江苏省,0.21,20200103
西安市,陕西省,0.2,20200103
杭州市,浙江省,0.2,20200103
大庆市,黑龙江省,0.19,20200103
南京市,江苏省,0.18,20200103
成都市,四川省,0.17,20200103
牡丹江市,黑龙江省,0.15,20200103
长春市,吉林省,22.03,20200104
辽源市,吉林省,12.54,20200104
白山市,吉林省,12.08,20200104
吉林市,吉林省,8.73,20200104
沈阳市,辽宁省,6.5,20200104
抚顺市,辽宁省,3.13,20200104
四平市,吉林省,2.94,20200104
天津市,天津市,2.53,20200104
北京市,北京市,2.49,20200104
大连市,辽宁省,2.12,20200104
丹东市,辽宁省,1.61,20200104
本溪市,辽宁省,1.4,20200104
青岛市,山东省,1.26,20200104
哈尔滨市,黑龙江省,1.21,20200104
延边朝鲜族自治州,吉林省,1.12,20200104
松原市,吉林省,0.99,20200104
白城市,吉林省,0.91,20200104
鞍山市,辽宁省,0.74,20200104
上海市,上海市,0.68,20200104
营口市,辽宁省,0.66,20200104
铁岭市,辽宁省,0.52,20200104
唐山市,河北省,0.46,20200104
廊坊市,河北省,0.45,20200104
潍坊市,山东省,0.41,20200104
通辽市,内蒙古自治区,0.4,20200104
沧州市,河北省,0.31,20200104
锦州市,辽宁省,0.31,20200104
威海市,山东省,0.3,20200104
烟台市,山东省,0.3,20200104
济南市,山东省,0.29,20200104
