city_name,province_name,value,date
成都市,四川省,37.36,20200101
重庆市,重庆市,12.06,20200101
绵阳市,四川省,11.46,20200101
南充市,四川省,6.71,20200101
资阳市,四川省,3.64,20200101
德阳市,四川省,3.25,20200101
广安市,四川省,1.73,20200101
内江市,四川省,1.13,20200101
佛山市,广东省,1.05,20200101
达州市,四川省,1.03,20200101
眉山市,四川省,0.89,20200101
上海市,上海市,0.78,20200101
拉萨市,西藏自治区,0.65,20200101
广元市,四川省,0.62,20200101
乐山市,四川省,0.61,20200101
深圳市,广东省,0.6,20200101
北京市,北京市,0.59,20200101
西安市,陕西省,0.57,20200101
宜宾市,四川省,0.55,20200101
泸州市,四川省,0.49,20200101
东莞市,广东省,0.47,20200101
温州市,浙江省,0.45,20200101
广州市,广东省,0.4,20200101
苏州市,江苏省,0.39,20200101
凉山彝族自治州,四川省,0.37,20200101
巴中市,四川省,0.37,20200101
宁波市,浙江省,0.37,20200101
自贡市,四川省,0.36,20200101
中山市,广东省,0.34,20200101
甘孜藏族自治州,四川省,0.32,20200101
昆明市,云南省,0.31,20200101
福州市,福建省,0.3,20200101
阿坝藏族羌族自治州,四川省,0.29,20200101
林芝市,西藏自治区,0.28,20200101
攀枝花市,四川省,0.27,20200101
乌鲁木齐市,新疆维吾尔自治区,0.27,20200101
厦门市,福建省,0.26,20200101
雅安市,四川省,0.21,20200101
泉州市,福建省,0.2,20200101
遵义市,贵州省,0.18,20200101
湖州市,浙江省,0.18,20200101
杭州市,浙江省,0.18,20200101
贵阳市,贵州省,0.18,20200101
无锡市,江苏省,0.17,20200101
绍兴市,浙江省,0.15,20200101
运城市,山西省,0.13,20200101
嘉兴市,浙江省,0.13,20200101
武汉市,湖北省,0.13,20200101
石家庄市,河北省,0.11,20200101
昭通市,云南省,0.11,20200101
成都市,四川省,36.56,20200102
重庆市,重庆市,9.23,20200102
绵阳市,四川省,7.37,20200102
南充市,四川省,4.79,20200102
德阳市,四川省,2.98,20200102
资阳市,四川省,1.91,20200102
佛山市,广东省,1.67,20200102
广安市,四川省,1.5,20200102
上海市,上海市,1.3,20200102
拉萨市,西藏自治区,1.27,20200102
内江市,四川省,1.16,20200102
深圳市,广东省,1.11,20200102
眉山市,四川省,1.02,20200102
达州市,四川省,0.97,20200102
北京市,北京市,0.85,20200102
广元市,四川省,0.83,20200102
东莞市,广东省,0.82,20200102
广州市,广东省,0.78,20200102
温州市,浙江省,0.68,20200102
苏州市,江苏省,0.68,20200102
西安市,陕西省,0.68,20200102
宜宾市,四川省,0.68,20200102
乐山市,四川省,0.6,20200102
乌鲁木齐市,新疆维吾尔自治区,0.6,20200102
宁波市,浙江省,0.6,20200102
甘孜藏族自治州,四川省,0.57,20200102
泉州市,福建省,0.55,20200102
中山市,广东省,0.55,20200102
泸州市,四川省,0.53,20200102
自贡市,四川省,0.5,20200102
阿坝藏族羌族自治州,四川省,0.47,20200102
凉山彝族自治州,四川省,0.43,20200102
厦门市,福建省,0.42,20200102
林芝市,西藏自治区,0.39,20200102
福州市,福建省,0.37,20200102
巴中市,四川省,0.34,20200102
江门市,广东省,0.32,20200102
攀枝花市,四川省,0.31,20200102
绍兴市,浙江省,0.3,20200102
昆明市,云南省,0.3,20200102
贵阳市,贵州省,0.28,20200102
雅安市,四川省,0.28,20200102
嘉兴市,浙江省,0.27,20200102
无锡市,江苏省,0.27,20200102
惠州市,广东省,0.26,20200102
湖州市,浙江省,0.24,20200102
天津市,天津市,0.22,20200102
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.21,20200102
阿克苏地区,新疆维吾尔自治区,0.21,20200102
杭州市,浙江省,0.21,20200102
成都市,四川省,41.08,20200103
重庆市,重庆市,9.62,20200103
绵阳市,四川省,8.66,20200103
南充市,四川省,5.37,20200103
德阳市,四川省,3.11,20200103
资阳市,四川省,2.53,20200103
广安市,四川省,1.57,20200103
眉山市,四川省,1.39,20200103
佛山市,广东省,1.23,20200103
达州市,四川省,0.98,20200103
内江市,四川省,0.96,20200103
深圳市,广东省,0.9,20200103
广元市,四川省,0.88,20200103
上海市,上海市,0.88,20200103
自贡市,四川省,0.65,20200103
拉萨市,西藏自治区,0.65,20200103
乐山市,四川省,0.6,20200103
宜宾市,四川省,0.57,20200103
甘孜藏族自治州,四川省,0.56,20200103
西安市,陕西省,0.55,20200103
广州市,广东省,0.52,20200103
泸州市,四川省,0.49,20200103
中山市,广东省,0.47,20200103
东莞市,广东省,0.45,20200103
北京市,北京市,0.43,20200103
巴中市,四川省,0.42,20200103
苏州市,江苏省,0.41,20200103
昆明市,云南省,0.39,20200103
宁波市,浙江省,0.39,20200103
阿坝藏族羌族自治州,四川省,0.38,20200103
泉州市,福建省,0.34,20200103
贵阳市,贵州省,0.32,20200103
乌鲁木齐市,新疆维吾尔自治区,0.31,20200103
温州市,浙江省,0.31,20200103
厦门市,福建省,0.3,20200103
凉山彝族自治州,四川省,0.29,20200103
福州市,福建省,0.27,20200103
林芝市,西藏自治区,0.26,20200103
攀枝花市,四川省,0.25,20200103
雅安市,四川省,0.24,20200103
惠州市,广东省,0.24,20200103
湖州市,浙江省,0.23,20200103
天津市,天津市,0.22,20200103
杭州市,浙江省,0.21,20200103
武汉市,湖北省,0.21,20200103
无锡市,江苏省,0.2,20200103
嘉兴市,浙江省,0.19,20200103
昭通市,云南省,0.18,20200103
济南市,山东省,0.16,20200103
江门市,广东省,0.15,20200103
成都市,四川省,38.11,20200104
重庆市,重庆市,10.34,20200104
绵阳市,四川省,9.5,20200104
南充市,四川省,5.93,20200104
德阳市,四川省,3.26,20200104
资阳市,四川省,3.14,20200104
广安市,四川省,1.45,20200104
佛山市,广东省,1.24,20200104
眉山市,四川省,1.16,20200104
上海市,上海市,1.1,20200104
内江市,四川省,1.06,20200104
深圳市,广东省,0.86,20200104
达州市,四川省,0.76,20200104
拉萨市,西藏自治区,0.72,20200104
宜宾市,四川省,0.64,20200104
乐山市,四川省,0.64,20200104
广元市,四川省,0.62,20200104
甘孜藏族自治州,四川省,0.59,20200104
西安市,陕西省,0.57,20200104
东莞市,广东省,0.56,20200104
广州市,广东省,0.56,20200104
北京市,北京市,0.56,20200104
温州市,浙江省,0.54,20200104
泸州市,四川省,0.5,20200104
自贡市,四川省,0.5,20200104
宁波市,浙江省,0.47,20200104
苏州市,江苏省,0.41,20200104
