city_name,province_name,value,date
成都市,四川省,41.34,20200101
重庆市,重庆市,14.65,20200101
绵阳市,四川省,12.04,20200101
南充市,四川省,7.3,20200101
资阳市,四川省,4.74,20200101
德阳市,四川省,4.03,20200101
广安市,四川省,1.88,20200101
内江市,四川省,1.3,20200101
眉山市,四川省,0.95,20200101
达州市,四川省,0.86,20200101
广元市,四川省,0.85,20200101
乐山市,四川省,0.76,20200101
泸州市,四川省,0.73,20200101
自贡市,四川省,0.57,20200101
宜宾市,四川省,0.48,20200101
巴中市,四川省,0.41,20200101
凉山彝族自治州,四川省,0.39,20200101
雅安市,四川省,0.28,20200101
阿坝藏族羌族自治州,四川省,0.28,20200101
西安市,陕西省,0.24,20200101
昆明市,云南省,0.24,20200101
昭通市,云南省,0.18,20200101
遵义市,贵州省,0.18,20200101
贵阳市,贵州省,0.17,20200101
北京市,北京市,0.17,20200101
甘孜藏族自治州,四川省,0.16,20200101
广州市,广东省,0.16,20200101
武汉市,湖北省,0.15,20200101
攀枝花市,四川省,0.14,20200101
深圳市,广东省,0.13,20200101
陇南市,甘肃省,0.13,20200101
东莞市,广东省,0.12,20200101
十堰市,湖北省,0.12,20200101
恩施土家族苗族自治州,湖北省,0.1,20200101
佛山市,广东省,0.1,20200101
上海市,上海市,0.09,20200101
黔南布依族苗族自治州,贵州省,0.08,20200101
汉中市,陕西省,0.08,20200101
兰州市,甘肃省,0.07,20200101
乌鲁木齐市,新疆维吾尔自治区,0.07,20200101
安顺市,贵州省,0.06,20200101
荆州市,湖北省,0.06,20200101
厦门市,福建省,0.05,20200101
南京市,江苏省,0.05,20200101
毕节市,贵州省,0.05,20200101
拉萨市,西藏自治区,0.05,20200101
西双版纳傣族自治州,云南省,0.05,20200101
三亚市,海南省,0.04,20200101
南宁市,广西壮族自治区,0.04,20200101
六盘水市,贵州省,0.04,20200101
成都市,四川省,45.32,20200102
重庆市,重庆市,12.61,20200102
绵阳市,四川省,9.79,20200102
南充市,四川省,5.87,20200102
德阳市,四川省,3.17,20200102
资阳市,四川省,3.16,20200102
广安市,四川省,1.54,20200102
内江市,四川省,1.4,20200102
达州市,四川省,1.03,20200102
凉山彝族自治州,四川省,1.01,20200102
眉山市,四川省,1.0,20200102
广元市,四川省,0.86,20200102
乐山市,四川省,0.76,20200102
泸州市,四川省,0.72,20200102
宜宾市,四川省,0.71,20200102
自贡市,四川省,0.64,20200102
阿坝藏族羌族自治州,四川省,0.6,20200102
巴中市,四川省,0.46,20200102
贵阳市,贵州省,0.37,20200102
雅安市,四川省,0.35,20200102
昆明市,云南省,0.34,20200102
北京市,北京市,0.28,20200102
甘孜藏族自治州,四川省,0.26,20200102
上海市,上海市,0.25,20200102
攀枝花市,四川省,0.25,20200102
深圳市,广东省,0.25,20200102
昭通市,云南省,0.2,20200102
遵义市,贵州省,0.18,20200102
西安市,陕西省,0.17,20200102
东莞市,广东省,0.15,20200102
西双版纳傣族自治州,云南省,0.15,20200102
广州市,广东省,0.13,20200102
汉中市,陕西省,0.13,20200102
佛山市,广东省,0.13,20200102
丽江市,云南省,0.12,20200102
宝鸡市,陕西省,0.11,20200102
三亚市,海南省,0.11,20200102
乌鲁木齐市,新疆维吾尔自治区,0.1,20200102
红河哈尼族彝族自治州,云南省,0.1,20200102
拉萨市,西藏自治区,0.1,20200102
苏州市,江苏省,0.1,20200102
恩施土家族苗族自治州,湖北省,0.09,20200102
福州市,福建省,0.08,20200102
毕节市,贵州省,0.08,20200102
曲靖市,云南省,0.08,20200102
黔南布依族苗族自治州,贵州省,0.08,20200102
聊城市,山东省,0.07,20200102
珠海市,广东省,0.07,20200102
铜仁市,贵州省,0.07,20200102
无锡市,江苏省,0.07,20200102
成都市,四川省,42.35,20200103
重庆市,重庆市,12.46,20200103
绵阳市,四川省,10.9,20200103
南充市,四川省,7.12,20200103
资阳市,四川省,4.27,20200103
德阳市,四川省,3.6,20200103
内江市,四川省,2.21,20200103
广安市,四川省,1.83,20200103
眉山市,四川省,1.21,20200103
达州市,四川省,1.0,20200103
乐山市,四川省,0.81,20200103
广元市,四川省,0.79,20200103
宜宾市,四川省,0.76,20200103
自贡市,四川省,0.74,20200103
泸州市,四川省,0.69,20200103
阿坝藏族羌族自治州,四川省,0.66,20200103
凉山彝族自治州,四川省,0.64,20200103
巴中市,四川省,0.43,20200103
西安市,陕西省,0.36,20200103
雅安市,四川省,0.34,20200103
昆明市,云南省,0.32,20200103
贵阳市,贵州省,0.24,20200103
深圳市,广东省,0.21,20200103
甘孜藏族自治州,四川省,0.21,20200103
北京市,北京市,0.2,20200103
昭通市,云南省,0.19,20200103
佛山市,广东省,0.18,20200103
上海市,上海市,0.16,20200103
遵义市,贵州省,0.15,20200103
攀枝花市,四川省,0.14,20200103
武汉市,湖北省,0.12,20200103
拉萨市,西藏自治区,0.12,20200103
汉中市,陕西省,0.1,20200103
铜仁市,贵州省,0.09,20200103
东莞市,广东省,0.09,20200103
西双版纳傣族自治州,云南省,0.07,20200103
长沙市,湖南省,0.07,20200103
恩施土家族苗族自治州,湖北省,0.07,20200103
杭州市,浙江省,0.07,20200103
陇南市,甘肃省,0.07,20200103
乌鲁木齐市,新疆维吾尔自治区,0.07,20200103
毕节市,贵州省,0.07,20200103
大理白族自治州,云南省,0.06,20200103
广州市,广东省,0.06,20200103
苏州市,江苏省,0.05,20200103
青岛市,山东省,0.05,20200103
南宁市,广西壮族自治区,0.05,20200103
宜昌市,湖北省,0.05,20200103
合肥市,安徽省,0.05,20200103
安顺市,贵州省,0.05,20200103
成都市,四川省,38.81,20200104
重庆市,重庆市,12.18,20200104
绵阳市,四川省,12.1,20200104
南充市,四川省,7.23,20200104
资阳市,四川省,5.11,20200104
德阳市,四川省,3.75,20200104
内江市,四川省,2.78,20200104
广安市,四川省,2.06,20200104
眉山市,四川省,1.34,20200104
达州市,四川省,1.19,20200104
阿坝藏族羌族自治州,四川省,1.08,20200104
广元市,四川省,0.91,20200104
宜宾市,四川省,0.71,20200104
乐山市,四川省,0.63,20200104
泸州市,四川省,0.62,20200104
凉山彝族自治州,四川省,0.58,20200104
巴中市,四川省,0.48,20200104
自贡市,四川省,0.41,20200104
雅安市,四川省,0.39,20200104
甘孜藏族自治州,四川省,0.3,20200104
西安市,陕西省,0.29,20200104
昆明市,云南省,0.28,20200104
昭通市,云南省,0.28,20200104
贵阳市,贵州省,0.25,20200104
北京市,北京市,0.25,20200104
深圳市,广东省,0.2,20200104
上海市,上海市,0.19,20200104
