city_name,province_name,value,date
贵阳市,贵州省,27.25,20200101
重庆市,重庆市,16.49,20200101
泸州市,四川省,13.61,20200101
毕节市,贵州省,10.42,20200101
铜仁市,贵州省,6.52,20200101
黔南布依族苗族自治州,贵州省,4.76,20200101
黔东南苗族侗族自治州,贵州省,2.6,20200101
安顺市,贵州省,1.69,20200101
成都市,四川省,1.55,20200101
六盘水市,贵州省,1.12,20200101
黔西南布依族苗族自治州,贵州省,0.98,20200101
广州市,广东省,0.6,20200101
昆明市,云南省,0.58,20200101
东莞市,广东省,0.43,20200101
深圳市,广东省,0.38,20200101
北京市,北京市,0.3,20200101
上海市,上海市,0.27,20200101
宜宾市,四川省,0.26,20200101
内江市,四川省,0.26,20200101
长沙市,湖南省,0.25,20200101
温州市,浙江省,0.24,20200101
佛山市,广东省,0.24,20200101
广安市,四川省,0.21,20200101
怀化市,湖南省,0.21,20200101
昭通市,云南省,0.2,20200101
武汉市,湖北省,0.2,20200101
自贡市,四川省,0.18,20200101
达州市,四川省,0.18,20200101
湘西土家族苗族自治州,湖南省,0.17,20200101
西安市,陕西省,0.17,20200101
南充市,四川省,0.16,20200101
泉州市,福建省,0.16,20200101
南宁市,广西壮族自治区,0.15,20200101
邵阳市,湖南省,0.14,20200101
绵阳市,四川省,0.13,20200101
厦门市,福建省,0.13,20200101
乐山市,四川省,0.13,20200101
福州市,福建省,0.12,20200101
河池市,广西壮族自治区,0.12,20200101
桂林市,广西壮族自治区,0.11,20200101
资阳市,四川省,0.1,20200101
曲靖市,云南省,0.1,20200101
杭州市,浙江省,0.1,20200101
宁波市,浙江省,0.1,20200101
郑州市,河南省,0.1,20200101
金华市,浙江省,0.1,20200101
红河哈尼族彝族自治州,云南省,0.09,20200101
三亚市,海南省,0.09,20200101
眉山市,四川省,0.09,20200101
遂宁市,四川省,0.09,20200101
贵阳市,贵州省,26.55,20200102
重庆市,重庆市,14.74,20200102
毕节市,贵州省,9.53,20200102
泸州市,四川省,7.13,20200102
铜仁市,贵州省,6.56,20200102
黔南布依族苗族自治州,贵州省,4.15,20200102
黔东南苗族侗族自治州,贵州省,3.21,20200102
安顺市,贵州省,2.0,20200102
成都市,四川省,1.82,20200102
六盘水市,贵州省,1.79,20200102
黔西南布依族苗族自治州,贵州省,1.46,20200102
广州市,广东省,0.96,20200102
昆明市,云南省,0.78,20200102
东莞市,广东省,0.62,20200102
上海市,上海市,0.54,20200102
长沙市,湖南省,0.53,20200102
深圳市,广东省,0.53,20200102
宜宾市,四川省,0.49,20200102
北京市,北京市,0.49,20200102
温州市,浙江省,0.4,20200102
佛山市,广东省,0.37,20200102
泉州市,福建省,0.32,20200102
漳州市,福建省,0.32,20200102
三亚市,海南省,0.32,20200102
厦门市,福建省,0.3,20200102
昭通市,云南省,0.29,20200102
杭州市,浙江省,0.27,20200102
广安市,四川省,0.26,20200102
内江市,四川省,0.25,20200102
南宁市,广西壮族自治区,0.24,20200102
曲靖市,云南省,0.23,20200102
南充市,四川省,0.23,20200102
金华市,浙江省,0.23,20200102
宁波市,浙江省,0.21,20200102
郑州市,河南省,0.21,20200102
湘西土家族苗族自治州,湖南省,0.2,20200102
桂林市,广西壮族自治区,0.2,20200102
西安市,陕西省,0.2,20200102
福州市,福建省,0.19,20200102
怀化市,湖南省,0.19,20200102
河池市,广西壮族自治区,0.17,20200102
自贡市,四川省,0.17,20200102
达州市,四川省,0.17,20200102
邵阳市,湖南省,0.16,20200102
中山市,广东省,0.16,20200102
常德市,湖南省,0.15,20200102
西双版纳傣族自治州,云南省,0.15,20200102
惠州市,广东省,0.15,20200102
绵阳市,四川省,0.14,20200102
资阳市,四川省,0.14,20200102
贵阳市,贵州省,26.38,20200103
重庆市,重庆市,14.74,20200103
毕节市,贵州省,10.64,20200103
泸州市,四川省,10.59,20200103
铜仁市,贵州省,6.51,20200103
